t,T+R,N_0,N_1
0,1,2.51889e-25,1.20912e-41
1,1,2.49652e-25,5.15503e-38
2,1,2.47694e-25,5.86439e-37
3,1,2.46535e-25,2.34142e-36
4,1,2.45461e-25,5.7157e-36
5,1,2.44783e-25,1.08688e-35
6,1,2.45663e-25,1.67221e-35
7,1,2.45238e-25,2.41349e-35
8,1,2.45079e-25,3.49279e-35
9,1,2.45513e-25,5.07346e-35
10,1,2.45956e-25,7.13397e-35
11,1,2.47316e-25,1.01339e-34
12,1,2.47189e-25,1.39478e-34
13,1,2.4674e-25,1.85029e-34
14,1,2.47325e-25,2.36071e-34
15,1,2.46421e-25,2.87261e-34
16,1,2.45498e-25,3.40641e-34
17,1,2.4396e-25,3.92103e-34
18,1,2.43382e-25,4.39263e-34
19,1,2.41532e-25,4.82832e-34
20,1,2.4034e-25,5.28e-34
21,1,2.394e-25,5.87527e-34
22,1,2.37537e-25,6.74169e-34
23,1,2.37607e-25,8.014e-34
24,1,2.36734e-25,9.72966e-34
25,1,2.37074e-25,1.17156e-33
26,1,2.37034e-25,1.37065e-33
27,1,2.36296e-25,1.53744e-33
28,1,2.36202e-25,1.64524e-33
29,1,2.36947e-25,1.69045e-33
30,1,2.37895e-25,1.69032e-33
31,1,2.38463e-25,1.69263e-33
32,1,2.38995e-25,1.78927e-33
33,1,2.39014e-25,2.09915e-33
34,1,2.38951e-25,2.76543e-33
35,1,2.38145e-25,3.88938e-33
36,1,2.37202e-25,5.53816e-33
37,1,2.36915e-25,7.72031e-33
38,1,2.37283e-25,1.03935e-32
39,1,2.36389e-25,1.34405e-32
40,1,2.36198e-25,1.66579e-32
41,1,2.36466e-25,1.98984e-32
42,1,2.36598e-25,2.29632e-32
43,1,2.3581e-25,2.56447e-32
44,1,2.35337e-25,2.77628e-32
45,1,2.35021e-25,2.9059e-32
46,1,2.355e-25,2.94375e-32
47,1,2.35747e-25,2.88971e-32
48,1,2.36513e-25,2.75445e-32
49,1,2.37829e-25,2.54599e-32
50,1,2.38743e-25,2.29129e-32
51,1,2.40133e-25,2.01283e-32
52,1,2.393e-25,1.72273e-32
53,1,2.40319e-25,1.45225e-32
54,1,2.41056e-25,1.23545e-32
55,1,2.41369e-25,1.10126e-32
56,1,2.41815e-25,1.07234e-32
57,1,2.41589e-25,1.17432e-32
58,1,2.41003e-25,1.43654e-32
59,1,2.40483e-25,1.87235e-32
60,1,2.40106e-25,2.49304e-32
61,1,2.41215e-25,3.30449e-32
62,1,2.43088e-25,4.30436e-32
63,1,2.4495e-25,5.48896e-32
64,1,2.46112e-25,6.83814e-32
65,1,2.47114e-25,8.34169e-32
66,1,2.47566e-25,9.97902e-32
67,1,2.48072e-25,1.17348e-31
68,1,2.49197e-25,1.35908e-31
69,1,2.48353e-25,1.55327e-31
70,1,2.47505e-25,1.75605e-31
71,1,2.45166e-25,1.96471e-31
72,1,2.43354e-25,2.17888e-31
73,1,2.41353e-25,2.39869e-31
74,1,2.3975e-25,2.62201e-31
75,1,2.38145e-25,2.84668e-31
76,1,2.37184e-25,3.07191e-31
77,1,2.36735e-25,3.29658e-31
