t,T+R,N_0,N_1,N_2,N_3
88,1,3.89217e-23,3.83807e-31,3.72034e-33,9.37193e-34
89,1,3.89238e-23,5.18977e-31,3.32356e-33,1.77194e-33
90,1,3.89228e-23,6.77826e-31,2.88392e-33,3.34687e-33
91,1,3.89174e-23,8.56884e-31,2.55829e-33,5.97379e-33
92,1,3.89195e-23,1.05101e-30,2.62714e-33,1.00241e-32
93,1,3.89234e-23,1.25443e-30,3.54583e-33,1.59435e-32
94,1,3.89233e-23,1.46194e-30,5.99797e-33,2.42729e-32
95,1,3.89232e-23,1.67029e-30,1.09408e-32,3.56652e-32
96,1,3.89246e-23,1.87866e-30,1.96292e-32,5.08833e-32
97,1,3.89263e-23,2.08885e-30,3.36062e-32,7.0765e-32
98,1,3.89274e-23,2.30536e-30,5.46478e-32,9.61499e-32
99,1,3.89248e-23,2.53409e-30,8.4652e-32,1.27789e-31
100,1,3.89235e-23,2.78167e-30,1.25472e-31,1.66291e-31
101,1,3.89223e-23,3.05453e-30,1.78706e-31,2.12193e-31
102,1,3.89224e-23,3.3596e-30,2.45479e-31,2.66216e-31
103,1,3.89237e-23,3.70424e-30,3.26265e-31,3.29742e-31
104,1,3.89192e-23,4.09757e-30,4.20824e-31,4.0543e-31
105,1,3.89182e-23,4.55199e-30,5.28262e-31,4.97771e-31
106,1,3.89163e-23,5.08438e-30,6.47248e-31,6.13361e-31
107,1,3.89191e-23,5.71673e-30,7.76291e-31,7.60635e-31
108,1,3.89213e-23,6.47698e-30,9.14015e-31,9.48995e-31
109,1,3.89248e-23,7.39858e-30,1.05928e-30,1.18739e-30
110,1,3.89262e-23,8.51997e-30,1.21113e-30,1.48261e-30
111,1,3.89307e-23,9.88155e-30,1.36847e-30,1.83771e-30
112,1,3.89349e-23,1.15207e-29,1.52968e-30,2.25099e-30
113,1,3.89386e-23,1.34653e-29,1.69219e-30,2.71585e-30
114,1,3.89412e-23,1.57263e-29,1.85223e-30,3.22181e-30
115,1,3.89475e-23,1.82902e-29,2.00493e-30,3.75656e-30
116,1,3.89526e-23,2.11155e-29,2.14473e-30,4.30895e-30
117,1,3.89617e-23,2.4134e-29,2.26604e-30,4.87221e-30
118,1,3.89724e-23,2.72569e-29,2.36404e-30,5.44698e-30
119,1,3.8983e-23,3.03863e-29,2.43536e-30,6.04345e-30
120,1,3.8991e-23,3.34272e-29,2.47844e-30,6.68216e-30
121,1,3.89975e-23,3.62991e-29,2.49356e-30,7.39334e-30
122,1,3.9006e-23,3.89425e-29,2.48244e-30,8.2148e-30
123,1,3.90171e-23,4.13199e-29,2.44769e-30,9.18863e-30
124,1,3.90236e-23,4.34092e-29,2.39214e-30,1.03567e-29
125,1,3.90308e-23,4.52002e-29,2.31848e-30,1.17548e-29
126,1,3.90322e-23,4.66849e-29,2.22902e-30,1.34062e-29
127,1,3.90389e-23,4.786e-29,2.12596e-30,1.53133e-29
128,1,3.90391e-23,4.87255e-29,2.01155e-30,1.74505e-29
129,1,3.9044e-23,4.92954e-29,1.8885e-30,1.97589e-29
130,1,3.90437e-23,4.95992e-29,1.75998e-30,2.21451e-29
131,1,3.90425e-23,4.96801e-29,1.62967e-30,2.44871e-29
132,1,3.90448e-23,4.95937e-29,1.50132e-30,2.6647e-29
133,1,3.90389e-23,4.9404e-29,1.37837e-30,2.84897e-29
134,1,3.90355e-23,4.91606e-29,1.26383e-30,2.99051e-29
135,1,3.90375e-23,4.88966e-29,1.15967e-30,3.08273e-29
136,0.999999,3.90367e-23,4.86191e-29,1.06687e-30,3.12481e-29
137,0.999999,3.90338e-23,4.83248e-29,9.85689e-31,3.12192e-29
138,1,3.90296e-23,4.79898e-29,9.15662e-31,3.08439e-29
139,1,3.90284e-23,4.75862e-29,8.55999e-31,3.02589e-29
140,1,3.9027e-23,4.70728e-29,8.05836e-31,2.96112e-29
141,1,3.90272e-23,4.64472e-29,7.64604e-31,2.90344e-29
142,1.00001,3.90287e-23,4.57443e-29,7.31994e-31,2.86312e-29
143,1.00001,3.90309e-23,4.496e-29,7.07857e-31,2.84576e-29
144,1.00001,3.90323e-23,4.4134e-29,6.92431e-31,2.85222e-29
145,1.00001,3.90319e-23,4.32976e-29,6.86568e-31,2.87881e-29
146,1.00001,3.90301e-23,4.24974e-29,6.9016e-31,2.91858e-29
147,1,3.90333e-23,4.17199e-29,7.04202e-31,2.96284e-29
148,0.999995,3.90331e-23,4.09694e-29,7.28521e-31,3.00299e-29
149,0.99998,3.90296e-23,4.0153e-29,7.63653e-31,3.03277e-29
150,0.999958,3.90324e-23,3.92654e-29,8.09283e-31,3.04943e-29
151,0.999931,3.90235e-23,3.82309e-29,8.65749e-31,3.055e-29
152,0.9999,3.90232e-23,3.69978e-29,9.34063e-31,3.05559e-29
153,0.999867,3.90209e-23,3.54568e-29,1.01171e-30,3.06073e-29
154,0.999839,3.90185e-23,3.36623e-29,1.10155e-30,3.08155e-29
155,0.99982,3.90157e-23,3.16048e-29,1.19718e-30,3.12922e-29
