t,T+R,N_0,N_1
154,1.01934,2.1373e-21,4.99469e-31
155,1.02526,2.13698e-21,5.05607e-31
156,1.03187,2.13648e-21,4.77635e-31
157,1.03905,2.13602e-21,4.25777e-31
158,1.04665,2.13535e-21,4.75616e-31
159,1.05445,2.13505e-21,4.98116e-31
160,1.06221,2.13545e-21,4.48595e-31
161,1.06961,2.13594e-21,4.4422e-31
162,1.07635,2.13671e-21,4.42057e-31
163,1.08208,2.1371e-21,4.49534e-31
164,1.08647,2.13735e-21,4.22888e-31
165,1.08923,2.1371e-21,4.50798e-31
166,1.09009,2.13677e-21,3.37046e-31
167,1.08887,2.1364e-21,3.11063e-31
168,1.08549,2.13559e-21,2.21977e-31
169,1.07997,2.1352e-21,9.82001e-32
170,1.07244,2.135e-21,4.47027e-33
171,1.06318,2.13485e-21,1.86093e-32
172,1.05255,2.13536e-21,8.34707e-32
173,1.04102,2.13614e-21,2.78945e-31
174,1.02913,2.13679e-21,4.17686e-31
175,1.01746,2.13721e-21,1.07e-30
176,1.00657,2.13768e-21,2.24471e-30
177,0.997,2.13722e-21,3.43227e-30
178,0.989165,2.13663e-21,4.58582e-30
179,0.983377,2.13535e-21,7.02594e-30
180,0.979795,2.13428e-21,8.82274e-30
181,0.978412,2.1336e-21,1.11717e-29
182,0.979058,2.13333e-21,1.13486e-29
183,0.981419,2.13348e-21,1.28165e-29
184,0.985065,2.13391e-21,1.33655e-29
185,0.989495,2.13491e-21,1.54373e-29
186,0.994181,2.13597e-21,1.40111e-29
187,0.99863,2.13622e-21,1.57848e-29
188,1.00242,2.13604e-21,1.55244e-29
189,1.00524,2.13547e-21,1.25536e-29
190,1.00693,2.13484e-21,8.59691e-30
191,1.00745,2.13401e-21,4.52943e-30
192,1.00693,2.13333e-21,4.03835e-30
193,1.00559,2.13315e-21,2.54653e-30
194,1.00371,2.13365e-21,4.36594e-30
195,1.00162,2.13466e-21,8.32555e-30
196,0.999634,2.13555e-21,1.05314e-29
197,0.997995,2.13613e-21,1.12257e-29
198,0.996874,2.13643e-21,1.22843e-29
199,0.996341,2.1359e-21,9.12338e-30
200,0.996373,2.13529e-21,5.26066e-30
201,0.996863,2.13386e-21,2.71475e-30
202,0.997652,2.13299e-21,4.89203e-31
203,0.998559,2.13229e-21,-2.95746e-31
204,0.999411,2.13222e-21,1.63347e-30
205,1.00007,2.13259e-21,6.54357e-30
206,1.00046,2.13355e-21,1.48129e-29
207,1.00056,2.13505e-21,3.50844e-29
208,1.0004,2.13577e-21,5.32545e-29
209,1.00006,2.13591e-21,7.25303e-29
210,0.999637,2.13624e-21,8.91929e-29
211,0.999226,2.13504e-21,8.98209e-29
212,0.998908,2.13398e-21,7.95039e-29
213,0.998729,2.13281e-21,4.52116e-29
214,0.9987,2.13223e-21,2.48556e-29
215,0.9988,2.13189e-21,5.09183e-30
216,0.998984,2.13222e-21,1.61332e-30
217,0.999197,2.1332e-21,1.02512e-29
218,0.999387,2.13442e-21,2.96371e-29
219,0.999516,2.13527e-21,7.13517e-29
220,0.999567,2.13609e-21,1.38555e-28
221,0.999542,2.13651e-21,1.76101e-28
222,0.99946,2.13643e-21,2.0023e-28
223,0.999352,2.13582e-21,1.99431e-28
224,0.99925,2.13483e-21,1.53743e-28
225,0.99918,2.13346e-21,1.37585e-28
226,0.999155,2.13286e-21,7.05977e-29
227,0.999172,2.13224e-21,4.30427e-29
228,0.999214,2.13284e-21,4.33783e-29
229,0.999259,2.13324e-21,7.4307e-29
230,0.999286,2.13384e-21,1.05723e-28
