t,Norm_0,AvgX_0
341,1,-42.0347
342,1,-41.5789
343,1,-41.1236
344,1,-40.6688
345,1,-40.2144
346,1,-39.7605
347,1,-39.3072
348,1,-38.8544
349,1,-38.4022
350,1,-37.9505
351,1,-37.4995
352,1,-37.049
353,1,-36.5993
354,1,-36.1501
355,1,-35.7017
356,1,-35.254
357,1,-34.807
358,1,-34.3607
359,1,-33.9152
360,1,-33.4704
361,1,-33.0265
362,1,-32.5834
363,1,-32.1411
364,1,-31.6997
365,1,-31.2591
366,1,-30.8194
367,1,-30.3807
368,1,-29.9429
369,1,-29.506
370,1,-29.07
371,1,-28.6351
372,1,-28.2011
373,1,-27.7682
374,1,-27.3363
375,1,-26.9054
376,1,-26.4756
377,1,-26.0468
378,1,-25.6191
379,1,-25.1925
380,1,-24.767
381,1,-24.3427
382,1,-23.9194
383,1,-23.4973
384,1,-23.0763
385,1,-22.6565
386,1,-22.2379
387,1,-21.8204
388,1,-21.4041
389,1,-20.9891
390,1,-20.5752
391,1,-20.1625
392,1,-19.751
393,1,-19.3407
394,1,-18.9317
395,1,-18.5238
396,1,-18.1172
397,1,-17.7118
398,1,-17.3077
399,1,-16.9048
400,1,-16.5031
401,1,-16.1027
402,1,-15.7035
403,1,-15.3055
404,1,-14.9088
405,1,-14.5133
406,1,-14.119
407,1,-13.726
408,1,-13.3342
409,1,-12.9437
410,1,-12.5544
411,1,-12.1663
412,1,-11.7794
413,1,-11.3938
414,1,-11.0094
415,1,-10.6262
416,1,-10.2442
417,1,-9.86344
418,1,-9.48389
419,1,-9.10555
420,1,-8.72841
421,1,-8.35247
422,1,-7.97774
423,1,-7.6042
424,1,-7.23186
425,1,-6.86071
426,1,-6.49076
427,1,-6.12199
428,1,-5.75442
429,1,-5.38803
430,1,-5.02284
431,1,-4.65883
432,1,-4.29601
433,1,-3.93439
434,1,-3.57395
435,1,-3.21472
436,1,-2.85668
437,1,-2.49984
438,1,-2.14421
439,1,-1.7898
440,1,-1.4366
441,1,-1.08463
442,1,-0.7339
443,1,-0.384412
444,1,-0.0361809
445,1,0.310783
446,1,0.656466
447,1,1.00085
448,1,1.34393
449,1,1.68568
450,1,2.02608
451,1,2.36512
452,1,2.70277
453,1,3.03901
454,1,3.37381
455,1,3.70716
456,1,4.03901
457,1,4.36934
458,1,4.69812
459,1,5.02531
460,1,5.35088
461,1,5.67479
462,1,5.997
463,1,6.31748
464,1,6.63617
465,1,6.95303
466,1,7.26801
467,1,7.58107
468,1,7.89215
469,1,8.2012
470,1,8.50816
471,1,8.81298
472,1,9.1156
473,1,9.41596
474,1,9.71399
475,1,10.0096
476,1,10.3028
477,1,10.5935
478,1,10.8816
479,1,11.167
480,1,11.4498
481,1,11.7297
482,1,12.0068
483,1,12.2809
484,1,12.552
485,1,12.8201
486,1,13.0851
487,1,13.3468
488,1,13.6053
489,1,13.8604
490,1,14.1122
491,1,14.3605
492,1,14.6054
493,1,14.8466
494,1,15.0843
495,1,15.3183
496,1,15.5486
497,1,15.7751
498,1,15.998
499,1,16.217
500,1,16.4322
501,1,16.6435
502,1,16.851
503,1,17.0547
504,1,17.2545
505,1,17.4505
506,1,17.6426
507,1,17.8309
508,1,18.0155
509,1,18.1962
510,1,18.3733
511,1,18.5466
512,1,18.7164
513,1,18.8825
514,1,19.0451
515,1,19.2043
516,1,19.3601
517,1,19.5126
518,1,19.6619
519,1,19.808
520,1,19.9511
521,1,20.0911
522,1,20.2283
523,1,20.3628
524,1,20.4945
525,1,20.6236
526,1,20.7501
527,1,20.8743
528,1,20.9962
529,1,21.1158
530,1,21.2332
531,1,21.3486
532,1,21.462
533,1,21.5736
534,1,21.6833
535,1,21.7913
536,1,21.8976
537,1,22.0023
538,1,22.1055
539,1,22.2072
540,1,22.3074
541,1,22.4064
542,1,22.504
543,1,22.6003
544,1,22.6954
545,1,22.7893
546,1,22.882
547,1,22.9737
548,1,23.0642
549,1,23.1536
550,1,23.2421
551,1,23.3295
552,1,23.4159
553,1,23.5013
554,1,23.5858
555,1,23.6694
556,1,23.752
557,1,23.8338
558,1,23.9146
559,1,23.9946
560,1,24.0738
561,1,24.1521
562,1,24.2297
563,1,24.3064
564,1,24.3824
