t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
45,1,-179.1,1.59446e-25,-1.15831e-23,1.35669e-27,-1.0631e-25,1.25409e-29,-1.02757e-27
46,1,-178.637,1.61553e-25,-1.13241e-23,1.39308e-27,-1.05874e-25,1.30952e-29,-1.04372e-27
47,1,-178.174,1.62908e-25,-1.0998e-23,1.40858e-27,-1.03508e-25,1.3319e-29,-1.02921e-27
48,1,-177.71,1.64491e-25,-1.06967e-23,1.41997e-27,-1.008e-25,1.34376e-29,-1.00535e-27
49,1,-177.247,1.66775e-25,-1.04622e-23,1.43804e-27,-9.87506e-26,1.36039e-29,-9.86334e-28
50,1,-176.783,1.69832e-25,-1.02969e-23,1.46975e-27,-9.79793e-26,1.39416e-29,-9.83475e-28
51,1,-176.32,1.73398e-25,-1.01714e-23,1.51741e-27,-9.86455e-26,1.45439e-29,-1.00487e-27
52,1,-175.857,1.77013e-25,-1.00392e-23,1.57723e-27,-1.00324e-25,1.54251e-29,-1.05086e-27
53,1,-175.393,1.80217e-25,-9.85668e-24,1.64043e-27,-1.02142e-25,1.64882e-29,-1.11132e-27
54,1,-174.93,1.8273e-25,-9.59955e-24,1.69736e-27,-1.03189e-25,1.75601e-29,-1.16956e-27
55,1,-174.466,1.84512e-25,-9.26777e-24,1.74163e-27,-1.02903e-25,1.84773e-29,-1.21058e-27
56,1,-174.003,1.8575e-25,-8.88272e-24,1.77178e-27,-1.01202e-25,1.91544e-29,-1.2272e-27
57,1,-173.54,1.86824e-25,-8.48415e-24,1.79032e-27,-9.83726e-26,1.95942e-29,-1.22062e-27
58,1,-173.076,1.88354e-25,-8.13504e-24,1.80215e-27,-9.49131e-26,1.98577e-29,-1.19723e-27
59,1,-172.613,1.91346e-25,-7.93697e-24,1.81444e-27,-9.15329e-26,2.00375e-29,-1.16618e-27
