t,T+R,N_0,N_1,N_2,N_3
88,1,1.16728e-23,2.77883e-31,2.77338e-32,1.47302e-32
89,1,1.16721e-23,2.57046e-31,3.30259e-32,1.77467e-32
90,1,1.167e-23,2.26582e-31,3.87023e-32,2.05226e-32
91,1,1.167e-23,1.8926e-31,4.44899e-32,2.29724e-32
92,1,1.16706e-23,1.48116e-31,5.01479e-32,2.51222e-32
93,1,1.16713e-23,1.0635e-31,5.54957e-32,2.71148e-32
94,1,1.16717e-23,6.73841e-32,6.0415e-32,2.91903e-32
95,1,1.16732e-23,3.50097e-32,6.48293e-32,3.16446e-32
96,1,1.16738e-23,1.35801e-32,6.86747e-32,3.47714e-32
97,1,1.16743e-23,8.2705e-33,7.18741e-32,3.87869e-32
98,1,1.16759e-23,2.55218e-32,7.43262e-32,4.37339e-32
99,1,1.16759e-23,7.35257e-32,7.59094e-32,4.93598e-32
100,1,1.16765e-23,1.62745e-31,7.64913e-32,5.49897e-32
101,1,1.16784e-23,3.06172e-31,7.59405e-32,5.94553e-32
102,1,1.16795e-23,5.18523e-31,7.41437e-32,6.11738e-32
103,1,1.16819e-23,8.14484e-31,7.10356e-32,5.84727e-32
104,1,1.16844e-23,1.2056e-30,6.66436e-32,5.01937e-32
105,1,1.16882e-23,1.6965e-30,6.11371e-32,3.65064e-32
106,1,1.16925e-23,2.28128e-30,5.48544e-32,1.97494e-32
107,1,1.16965e-23,2.94164e-30,4.82776e-32,5.0502e-33
108,1,1.16997e-23,3.64728e-30,4.19461e-32,5.00048e-34
109,1,1.17033e-23,4.35998e-30,3.63294e-32,1.67758e-32
110,1,1.17062e-23,5.03913e-30,3.17071e-32,6.62915e-32
111,1,1.17079e-23,5.64887e-30,2.81062e-32,1.62136e-31
112,1,1.17104e-23,6.16307e-30,2.53276e-32,3.17129e-31
113,1,1.17124e-23,6.56777e-30,2.30498e-32,5.43233e-31
114,1,1.17134e-23,6.86097e-30,2.09709e-32,8.51356e-31
115,1,1.17139e-23,7.05133e-30,1.89382e-32,1.25131e-30
116,1,1.17144e-23,7.15619e-30,1.70385e-32,1.75166e-30
117,1,1.1714e-23,7.19979e-30,1.56461e-32,2.35947e-30
118,1,1.17135e-23,7.21246e-30,1.54367e-32,3.08019e-30
119,1,1.17124e-23,7.22717e-30,1.73677e-32,3.91875e-30
120,1,1.17108e-23,7.27412e-30,2.26104e-32,4.88232e-30
121,1,1.17079e-23,7.37332e-30,3.24114e-32,5.98527e-30
122,1,1.17045e-23,7.5273e-30,4.78839e-32,7.25528e-30
123,1,1.17005e-23,7.71792e-30,6.97638e-32,8.73878e-30
124,1,1.16955e-23,7.90941e-30,9.81929e-32,1.0503e-29
125,1,1.16912e-23,8.05515e-30,1.32604e-31,1.26324e-29
126,1,1.16864e-23,8.10907e-30,1.71744e-31,1.52186e-29
127,1,1.16818e-23,8.03943e-30,2.13826e-31,1.83446e-29
128,1,1.16756e-23,7.84106e-30,2.56826e-31,2.20669e-29
129,1,1.16707e-23,7.54298e-30,2.98831e-31,2.63988e-29
130,1,1.16673e-23,7.21118e-30,3.38413e-31,3.13e-29
131,1,1.16625e-23,6.94071e-30,3.74926e-31,3.6675e-29
132,1,1.16591e-23,6.84327e-30,4.08606e-31,4.2379e-29
133,1,1.1657e-23,7.02522e-30,4.4041e-31,4.82325e-29
134,1,1.16551e-23,7.56757e-30,4.71711e-31,5.40383e-29
135,1,1.16543e-23,8.50566e-30,5.03796e-31,5.95994e-29
136,1,1.16535e-23,9.82628e-30,5.37355e-31,6.47329e-29
137,1,1.16541e-23,1.14621e-29,5.72486e-31,6.92805e-29
138,1,1.16556e-23,1.33188e-29,6.08486e-31,7.31105e-29
