t,T+R,N_0
257,0.972876,2.12853e-21
258,0.973201,2.12784e-21
259,0.978114,2.12764e-21
260,0.988046,2.1275e-21
261,1.00282,2.12807e-21
262,1.02162,2.12872e-21
263,1.04305,2.12982e-21
264,1.06529,2.13044e-21
265,1.08628,2.13067e-21
266,1.10394,2.13052e-21
267,1.11639,2.13038e-21
268,1.12214,2.12902e-21
269,1.12023,2.12784e-21
270,1.11028,2.12674e-21
271,1.09249,2.12582e-21
272,1.06757,2.12634e-21
273,1.03668,2.12702e-21
274,1.0012,2.12822e-21
275,0.962639,2.12953e-21
276,0.922478,2.12999e-21
277,0.88202,2.13013e-21
278,0.84231,2.12991e-21
279,0.80407,2.12919e-21
280,0.767679,2.12827e-21
281,0.733188,2.12745e-21
282,0.700363,2.12738e-21
283,0.668752,2.12794e-21
284,0.637762,2.12889e-21
285,0.606745,2.12957e-21
286,0.575076,2.12964e-21
287,0.542227,2.12953e-21
288,0.507821,2.12889e-21
289,0.471674,2.12788e-21
290,0.433816,2.12621e-21
291,0.394496,2.12397e-21
292,0.35417,2.12198e-21
293,0.313472,2.12078e-21
294,0.273179,2.11991e-21
295,0.234163,2.11978e-21
296,0.19734,2.12062e-21
297,0.163618,2.12238e-21
298,0.13384,2.12486e-21
299,0.108743,2.12846e-21
300,0.0889062,2.13298e-21
301,0.0747242,2.13987e-21
302,0.0663759,2.14943e-21
303,0.063811,2.16393e-21
304,0.066746,2.18518e-21
305,0.0746709,2.21533e-21
306,0.086868,2.25756e-21
307,0.102442,2.31534e-21
308,0.120357,2.39362e-21
309,0.139488,2.49842e-21
310,0.158672,2.63787e-21
311,0.176768,2.82452e-21
312,0.192716,3.07367e-21
313,0.205602,3.40764e-21
314,0.214708,3.85864e-21
315,0.219564,4.4711e-21
316,0.219988,5.30959e-21
317,0.216112,6.46717e-21
318,0.208392,8.07756e-21
319,0.197604,1.03386e-20
320,0.184821,1.35403e-20
321,0.171369,1.81098e-20
322,0.158772,2.46769e-20
323,0.14867,3.41743e-20
324,0.14274,4.79681e-20
325,0.142592,6.80784e-20
326,0.149676,9.74638e-20
327,0.165185,1.40459e-19
328,0.189964,2.03363e-19
329,0.224446,2.95338e-19
330,0.268596,4.29608e-19
331,0.321895,6.2523e-19
332,0.383343,9.09471e-19
333,0.451506,1.32121e-18
334,0.524589,1.91558e-18
335,0.600536,2.77042e-18
336,0.677159,3.99499e-18
337,0.752282,5.74192e-18
338,0.823882,8.22334e-18
339,0.890235,1.17323e-17
340,0.950033,1.66719e-17
341,1.00247,2.35933e-17
342,1.04731,3.32465e-17
343,1.08485,4.66462e-17
344,1.11591,6.51586e-17
345,1.14171,9.06142e-17
346,1.16374,1.25452e-16
347,1.18356,1.72906e-16
348,1.20264,2.37246e-16
349,1.22217,3.24078e-16
350,1.24289,4.40733e-16
351,1.26495,5.96753e-16
352,1.28789,8.04507e-16
353,1.31063,1.07996e-15
354,1.33154,1.44364e-15
355,1.34859,1.92186e-15
356,1.3596,2.54819e-15
357,1.36244,3.3654e-15
358,1.35532,4.42773e-15
359,1.33702,5.80385e-15
360,1.30708,7.58046e-15
361,1.26597,9.86674e-15
362,1.21504,1.27999e-14
363,1.15657,1.65523e-14
364,1.0935,2.13393e-14
365,1.02929,2.74304e-14
366,0.967551,3.51619e-14
367,0.911765,4.49525e-14
368,0.86496,5.73228e-14
369,0.829457,7.2919e-14
370,0.80668,9.25415e-14
371,0.797072,1.17179e-13
372,0.800108,1.48053e-13
373,0.814417,1.86663e-13
374,0.837971,2.34853e-13
375,0.86833,2.94881e-13
376,0.902905,3.69502e-13
377,0.939192,4.62074e-13
378,0.974971,5.76678e-13
379,1.00842,7.18255e-13
380,1.03817,8.92779e-13
381,1.06328,1.10745e-12
382,1.08315,1.37093e-12
383,1.09745,1.69361e-12
384,1.10602,2.08791e-12
