t,T+R,N_0,N_1,N_2
0,1,1.16569e-23,4.68735e-43,4.22871e-49
1,1,1.16608e-23,7.03359e-40,2.17295e-43
2,1,1.16639e-23,1.47876e-38,9.61372e-42
3,1,1.16669e-23,7.35916e-38,1.06676e-40
4,1,1.16697e-23,2.04376e-37,5.41633e-40
5,1,1.16736e-23,3.92272e-37,1.79097e-39
6,1,1.16769e-23,5.99347e-37,4.36759e-39
7,1,1.16799e-23,8.13175e-37,8.63383e-39
8,1,1.16827e-23,9.77545e-37,1.43443e-38
9,1,1.16858e-23,1.07905e-36,2.04391e-38
10,1,1.16867e-23,1.18407e-36,2.49174e-38
11,1,1.16883e-23,1.42801e-36,2.5723e-38
12,1,1.16892e-23,1.91075e-36,2.18729e-38
13,1,1.16897e-23,2.77415e-36,1.39974e-38
14,1,1.16899e-23,4.15711e-36,4.88017e-39
15,1,1.169e-23,6.20026e-36,2.69977e-40
16,1,1.16892e-23,8.89514e-36,9.37053e-39
17,1,1.16887e-23,1.23563e-35,4.39503e-38
18,1,1.16881e-23,1.66156e-35,1.17537e-37
19,1,1.16873e-23,2.1163e-35,2.4402e-37
20,1,1.16865e-23,2.5852e-35,4.36765e-37
21,1,1.1687e-23,3.03233e-35,7.09243e-37
22,1,1.16881e-23,3.43291e-35,1.07571e-36
23,1,1.16876e-23,3.73293e-35,1.55149e-36
24,1,1.16884e-23,3.94416e-35,2.14989e-36
25,1,1.16909e-23,4.09744e-35,2.88452e-36
26,1,1.16931e-23,4.32535e-35,3.76675e-36
27,1,1.16933e-23,4.78975e-35,4.80483e-36
28,1,1.16945e-23,5.63492e-35,6.00218e-36
29,1,1.16943e-23,7.15285e-35,7.35334e-36
30,1,1.1696e-23,9.58924e-35,8.83438e-36
31,1,1.16956e-23,1.32379e-34,1.03926e-35
32,1,1.16959e-23,1.8458e-34,1.1946e-35
33,1,1.16959e-23,2.5707e-34,1.33802e-35
34,1,1.16945e-23,3.57225e-34,1.45379e-35
35,1,1.16916e-23,4.93698e-34,1.52362e-35
36,1,1.16889e-23,6.78006e-34,1.52964e-35
37,1,1.16861e-23,9.28031e-34,1.4576e-35
38,1,1.16832e-23,1.25594e-33,1.30073e-35
39,1,1.16798e-23,1.6835e-33,1.06584e-35
40,1,1.16773e-23,2.24016e-33,7.78375e-36
41,1,1.16742e-23,2.95389e-33,4.87835e-36
42,1,1.167e-23,3.8616e-33,2.73577e-36
43,1,1.16669e-23,4.99832e-33,2.48498e-36
44,1,1.16627e-23,6.41031e-33,5.6429e-36
45,1,1.16577e-23,8.15832e-33,1.41549e-35
46,1,1.16542e-23,1.02843e-32,3.04284e-35
47,1,1.16498e-23,1.28243e-32,5.73063e-35
48,1,1.16466e-23,1.58064e-32,9.80612e-35
