t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
64,1,-170.296,3.10984e-25,-1.72779e-23,2.93387e-27,-1.76094e-25
65,1,-169.832,3.78231e-25,-2.3284e-23,3.88907e-27,-2.63037e-25
66,1,-169.369,4.64183e-25,-3.09909e-23,5.36823e-27,-3.98856e-25
67,1,-168.905,5.66527e-25,-4.01175e-23,7.46214e-27,-5.90945e-25
68,1,-168.442,6.80432e-25,-5.01468e-23,1.01852e-26,-8.39097e-25
69,1,-167.979,7.99323e-25,-6.04104e-23,1.34542e-26,-1.13374e-24
70,1,-167.515,9.16077e-25,-7.02106e-23,1.70932e-26,-1.45681e-24
71,1,-167.052,1.02428e-24,-7.89433e-23,2.08662e-26,-1.78513e-24
72,1,-166.588,1.11921e-24,-8.61853e-23,2.45254e-26,-2.09513e-24
73,1,-166.125,1.19827e-24,-9.17308e-23,2.78581e-26,-2.36731e-24
74,1,-165.662,1.26093e-24,-9.55766e-23,3.07194e-26,-2.58912e-24
75,1,-165.198,1.30833e-24,-9.78739e-23,3.30437e-26,-2.75572e-24
76,1,-164.735,1.34265e-24,-9.88666e-23,3.4836e-26,-2.86896e-24
77,1,-164.271,1.36657e-24,-9.88404e-23,3.6152e-26,-2.93527e-24
78,1,-163.808,1.38318e-24,-9.81177e-23,3.70748e-26,-2.96337e-24
79,1,-163.345,1.39715e-24,-9.72158e-23,3.76943e-26,-2.96236e-24
80,1,-162.881,1.42177e-24,-9.76798e-23,3.80934e-26,-2.94041e-24
81,1,-162.418,1.51e-24,-1.0578e-22,3.83406e-26,-2.90417e-24
82,1,-161.954,1.88615e-24,-1.48056e-22,3.84884e-26,-2.85864e-24
83,1,-161.491,3.47896e-24,-3.34056e-22,3.85743e-26,-2.80741e-24
84,1,-161.028,9.99811e-24,-1.0997e-21,3.86279e-26,-2.75329e-24
85,1,-160.564,3.57137e-23,-4.1155e-21,3.86915e-26,-2.70065e-24
86,1,-160.101,1.33519e-22,-1.55501e-20,3.89233e-26,-2.66654e-24
87,1,-159.637,4.92477e-22,-5.73718e-20,4.01229e-26,-2.73759e-24
88,1,-159.174,1.76487e-21,-2.05097e-19,4.63263e-26,-3.35037e-24
89,1,-158.711,6.12473e-21,-7.09512e-19,7.70451e-26,-6.61032e-24
90,1,-158.247,2.05779e-20,-2.37592e-18,2.22262e-25,-2.22021e-23
91,1,-157.784,6.69711e-20,-7.70683e-18,8.7805e-25,-9.26447e-23
92,1,-157.32,2.11285e-19,-2.42341e-17,3.71023e-24,-3.96312e-22
93,1,-156.857,6.46661e-19,-7.3931e-17,1.54218e-23,-1.64914e-21
94,1,-156.394,1.92155e-18,-2.18984e-16,6.18497e-23,-6.60394e-21
95,1,-155.93,5.54783e-18,-6.30257e-16,2.38518e-22,-2.54135e-20
96,1,-155.467,1.55746e-17,-1.76386e-15,8.84613e-22,-9.40414e-20
97,1,-155.003,4.25448e-17,-4.80363e-15,3.15824e-21,-3.34991e-19
98,1,-154.54,1.13168e-16,-1.27393e-14,1.08664e-20,-1.15002e-18
99,1,-154.076,2.93328e-16,-3.29222e-14,3.60716e-20,-3.80919e-18
100,1,-153.613,7.4136e-16,-8.29658e-14,1.15657e-19,-1.21871e-17
101,1,-153.15,1.82826e-15,-2.04015e-13,3.58566e-19,-3.7703e-17
102,1,-152.686,4.40213e-15,-4.89847e-13,1.07602e-18,-1.12906e-16
103,1,-152.223,1.03556e-14,-1.14912e-12,3.12866e-18,-3.27615e-16
104,1,-151.759,2.38147e-14,-2.63539e-12,8.82293e-18,-9.22017e-16
105,1,-151.296,5.3571e-14,-5.91232e-12,2.41544e-17,-2.51916e-15
106,1,-150.833,1.17946e-13,-1.29825e-11,6.42545e-17,-6.68823e-15
107,1,-150.369,2.54306e-13,-2.79186e-11,1.66235e-16,-1.72699e-14
108,1,-149.906,5.37263e-13,-5.88307e-11,4.18621e-16,-4.34072e-14
109,1,-149.442,1.11278e-12,-1.21541e-10,1.02698e-15,-1.06289e-13
110,1,-148.979,2.26075e-12,-2.46307e-10,2.45636e-15,-2.53755e-13
111,1,-148.516,4.50751e-12,-4.89881e-10,5.73254e-15,-5.91121e-13
112,1,-148.052,8.82431e-12,-9.56706e-10,1.30633e-14,-1.34462e-12
113,1,-147.589,1.69705e-11,-1.83549e-09,2.90885e-14,-2.98881e-12
114,1,-147.125,3.20761e-11,-3.46109e-09,6.33369e-14,-6.49643e-12
115,1,-146.662,5.96132e-11,-6.41745e-09,1.34944e-13,-1.38173e-11
116,1,-146.199,1.08986e-10,-1.17056e-08,2.81512e-13,-2.87756e-11
117,1,-145.735,1.9609e-10,-2.10134e-08,5.75388e-13,-5.87161e-11
118,1,-145.272,3.47361e-10,-3.71409e-08,1.15295e-12,-1.17459e-10
119,1,-144.808,6.06075e-10,-6.46607e-08,2.26622e-12,-2.30496e-10
120,1,-144.345,1.04199e-09,-1.10926e-07,4.37204e-12,-4.43958e-10
121,1,-143.882,1.76589e-09,-1.87588e-07,8.28322e-12,-8.39772e-10
122,1,-143.418,2.95114e-09,-3.12833e-07,1.54198e-11,-1.56082e-09
123,1,-142.955,4.86523e-09,-5.1466e-07,2.82194e-11,-2.85195e-09
124,1,-142.491,7.91515e-09,-8.3557e-07,5.07954e-11,-5.12561e-09
125,1,-142.028,1.27119e-08,-1.33922e-06,8.99744e-11,-9.06515e-09
126,1,-141.565,2.01606e-08,-2.11969e-06,1.56905e-10,-1.57846e-08
127,1,-141.101,3.15851e-08,-3.3143e-06,2.69508e-10,-2.70719e-08
128,1,-140.638,4.88974e-08,-5.12089e-06,4.56162e-10,-4.57531e-08
129,1,-140.174,7.48258e-08,-7.82116e-06,7.61136e-10,-7.62297e-08
130,1,-139.711,1.13216e-07,-1.18114e-05,1.25251e-09,-1.25259e-07
131,1,-139.247,1.6943e-07,-1.76425e-05,2.03351e-09,-2.03071e-07
132,1,-138.784,2.50852e-07,-2.60722e-05,3.25857e-09,-3.24943e-07
133,1,-138.321,3.67548e-07,-3.81304e-05,5.1557e-09,-5.13395e-07
134,0.999999,-137.857,5.33086e-07,-5.5203e-05,8.0572e-09,-8.01193e-07
135,0.999999,-137.394,7.65568e-07,-7.91343e-05,1.24414e-08,-1.23542e-06
136,0.999999,-136.93,1.08889e-06,-0.000112354,1.89885e-08,-1.88294e-06
137,0.999998,-136.467,1.5343e-06,-0.000158032,2.86543e-08,-2.83752e-06
138,0.999998,-136.003,2.14222e-06,-0.000220262,4.2767e-08,-4.22927e-06
139,0.999997,-135.54,2.96451e-06,-0.000304281,6.3151e-08,-6.2366e-06
140,0.999996,-135.076,4.06701e-06,-0.000416726,9.22855e-08,-9.10159e-06
141,0.999994,-134.613,5.5326e-06,-0.000565934,1.33504e-07,-1.31492e-05
142,0.999992,-134.149,7.46468e-06,-0.000762278,1.91245e-07,-1.88111e-05
143,0.99999,-133.686,9.99108e-06,-0.00101856,2.71351e-07,-2.66553e-05
144,0.999986,-133.222,1.32686e-05,-0.00135045,3.81451e-07,-3.74214e-05
145,0.999982,-132.758,1.74877e-05,-0.00177693,5.31401e-07,-5.20638e-05
146,0.999976,-132.294,2.28784e-05,-0.00232088,7.3382e-07,-7.18022e-05
147,0.999969,-131.83,2.97156e-05,-0.00300959,1.00472e-06,-9.81819e-05
148,0.99996,-131.366,3.83258e-05,-0.00387536,1.36424e-06,-0.000133143
149,0.999949,-130.901,4.90935e-05,-0.0049562,1.8375e-06,-0.0001791
150,0.999935,-130.436,6.24683e-05,-0.0062964,2.45554e-06,-0.000239034
151,0.999918,-129.971,7.8972e-05,-0.00794726,3.25645e-06,-0.000316594
152,0.999897,-129.506,9.92057e-05,-0.00996774,4.28656e-06,-0.000416212
153,0.999871,-129.04,0.000123857,-0.0124251,5.6018e-06,-0.00054323
154,0.999839,-128.573,0.000153708,-0.0153956,7.2692e-06,-0.000704033
155,0.999801,-128.106,0.000189639,-0.018965,9.36843e-06,-0.000906202
156,0.999755,-127.638,0.000232639,-0.0232293,1.19936e-05,-0.00115867
157,0.999701,-127.169,0.000283807,-0.0282947,1.52549e-05,-0.00147189
158,0.999636,-126.699,0.000344359,-0.0342788,1.92808e-05,-0.001858
159,0.99956,-126.229,0.000415631,-0.04131,2.42196e-05,-0.002331
160,0.999471,-125.756,0.000499081,-0.0495284,3.02419e-05,-0.00290696
161,0.999366,-125.283,0.000596292,-0.0590851,3.7542e-05,-0.00360416
162,0.999245,-124.807,0.000708968,-0.0701427,4.63405e-05,-0.00444326
163,0.999104,-124.33,0.000838935,-0.0828748,5.68856e-05,-0.00544753
164,0.998942,-123.851,0.000988137,-0.0974652,6.94557e-05,-0.00664294
165,0.998757,-123.37,0.00115863,-0.114108,8.436e-05,-0.00805831
166,0.998545,-122.886,0.00135257,-0.133006,0.000101941,-0.00972547
167,0.998305,-122.399,0.00157222,-0.15437,0.000122575,-0.0116793
168,0.998033,-121.909,0.00181992,-0.178418,0.000146675,-0.013958
169,0.997727,-121.416,0.00209809,-0.205374,0.000174687,-0.0166027
170,0.997384,-120.92,0.00240919,-0.235466,0.000207096,-0.019658
171,0.997,-120.419,0.00275574,-0.268925,0.000244422,-0.0231716
172,0.996572,-119.915,0.00314029,-0.305981,0.000287221,-0.0271944
173,0.996099,-119.406,0.00356539,-0.346867,0.000336086,-0.0317804
174,0.995575,-118.892,0.00403358,-0.391809,0.000391642,-0.0369863
175,0.994998,-118.374,0.00454736,-0.441032,0.000454547,-0.0428717
176,0.994365,-117.85,0.00510921,-0.494753,0.00052549,-0.0494989
177,0.993673,-117.321,0.00572151,-0.553179,0.000605188,-0.056932
178,0.992919,-116.786,0.00638656,-0.616509,0.000694382,-0.0652376
179,0.9921,-116.245,0.00710655,-0.684928,0.000793835,-0.0744836
180,0.991212,-115.697,0.00788353,-0.758607,0.00090433,-0.0847392
181,0.990254,-115.144,0.00871941,-0.837701,0.00102666,-0.0960747
182,0.989222,-114.583,0.00961593,-0.922348,0.00116163,-0.10856
183,0.988115,-114.016,0.0105746,-1.01267,0.00131006,-0.122267
184,0.98693,-113.441,0.0115969,-1.10875,0.00147274,-0.137265
185,0.985666,-112.859,0.0126838,-1.21068,0.00165049,-0.153623
186,0.98432,-112.27,0.0138364,-1.31851,0.0018441,-0.171409
187,0.98289,-111.674,0.0150552,-1.43227,0.00205435,-0.190689
188,0.981377,-111.07,0.0163408,-1.55195,0.002282,-0.211526
189,0.979779,-110.459,0.0176932,-1.67755,0.00252778,-0.233981
190,0.978095,-109.84,0.0191124,-1.80902,0.0027924,-0.258111
191,0.976325,-109.213,0.0205982,-1.94628,0.00307651,-0.283968
192,0.974469,-108.579,0.0221498,-2.08925,0.00338075,-0.311603
193,0.972528,-107.938,0.0237666,-2.2378,0.00370568,-0.341059
194,0.970501,-107.289,0.0254473,-2.39179,0.00405185,-0.372376
195,0.96839,-106.633,0.0271906,-2.55106,0.00441971,-0.405587
196,0.966195,-105.971,0.028995,-2.71542,0.00480971,-0.44072
197,0.963919,-105.301,0.0308587,-2.88465,0.00522217,-0.477799
198,0.961563,-104.625,0.0327796,-3.05853,0.00565742,-0.516838
199,0.959129,-103.942,0.0347555,-3.23682,0.00611565,-0.557848
200,0.956619,-103.253,0.036784,-3.41923,0.00659705,-0.600832
201,0.954036,-102.559,0.0388625,-3.6055,0.0071017,-0.645785
202,0.951382,-101.859,0.0409883,-3.79532,0.00762961,-0.692698
203,0.948661,-101.154,0.0431584,-3.9884,0.00818075,-0.741555
204,0.945875,-100.444,0.0453697,-4.1844,0.00875498,-0.792331
205,0.943029,-99.7292,0.0476192,-4.38301,0.00935211,-0.844996
206,0.940125,-99.0106,0.0499036,-4.58388,0.00997189,-0.899515
207,0.937166,-98.2882,0.0522196,-4.78668,0.010614,-0.955845
208,0.934158,-97.5625,0.0545637,-4.99107,0.011278,-1.01394
209,0.931104,-96.8339,0.0569326,-5.19668,0.0119635,-1.07373
210,0.928007,-96.1028,0.0593229,-5.40319,0.0126699,-1.13518
211,0.924872,-95.3695,0.0617309,-5.61023,0.0133967,-1.19821
212,0.921704,-94.6346,0.0641534,-5.81748,0.0141431,-1.26275
213,0.918505,-93.8983,0.0665867,-6.02458,0.0149087,-1.32873
214,0.91528,-93.1613,0.0690276,-6.2312,0.0156925,-1.39606
215,0.912034,-92.4237,0.0714727,-6.43701,0.0164938,-1.46467
216,0.90877,-91.6861,0.0739186,-6.6417,0.0173118,-1.53447
217,0.905492,-90.9489,0.0763621,-6.84496,0.0181456,-1.60537
218,0.902206,-90.2124,0.0788002,-7.04647,0.0189943,-1.67727
219,0.898913,-89.4771,0.0812297,-7.24595,0.019857,-1.75009
220,0.89562,-88.7432,0.0836476,-7.44313,0.0207328,-1.82372
221,0.892328,-88.0112,0.0860513,-7.63773,0.0216206,-1.89807
222,0.889043,-87.2815,0.0884378,-7.8295,0.0225194,-1.97305
223,0.885767,-86.5543,0.0908047,-8.0182,0.0234283,-2.04854
224,0.882504,-85.8301,0.0931494,-8.2036,0.0243463,-2.12445
225,0.879258,-85.109,0.0954697,-8.38549,0.0252722,-2.20068
226,0.876032,-84.3914,0.0977632,-8.56368,0.0262052,-2.27713
