t,T+R,N_0,N_1,N_2
99,1,6.03936e-24,1.42393e-31,2.46822e-31
100,1,6.03757e-24,1.45664e-31,2.73702e-31
101,1,6.03521e-24,1.47522e-31,2.97867e-31
102,1,6.03339e-24,1.49793e-31,3.21072e-31
103,1,6.03105e-24,1.55505e-31,3.46481e-31
104,1,6.03058e-24,1.68054e-31,3.78493e-31
105,1,6.02999e-24,1.90316e-31,4.22511e-31
106,1,6.02878e-24,2.2381e-31,4.84709e-31
107,1,6.02873e-24,2.68085e-31,5.71805e-31
108,1,6.03018e-24,3.20765e-31,6.90805e-31
109,1,6.03127e-24,3.78096e-31,8.48679e-31
110,1,6.03148e-24,4.35881e-31,1.05196e-30
111,1,6.03296e-24,4.9069e-31,1.30625e-30
112,1,6.03209e-24,5.41112e-31,1.61582e-30
113,1,6.03392e-24,5.88263e-31,1.98322e-30
114,1,6.03409e-24,6.35737e-31,2.4092e-30
115,1,6.03638e-24,6.8869e-31,2.89275e-30
116,1,6.03756e-24,7.52315e-31,3.43117e-30
117,1,6.03873e-24,8.29829e-31,4.01974e-30
118,1,6.0406e-24,9.20724e-31,4.65088e-30
119,1,6.04489e-24,1.02031e-30,5.31269e-30
120,1,6.04863e-24,1.12027e-30,5.98742e-30
121,1,6.05087e-24,1.2108e-30,6.6506e-30
122,1,6.05318e-24,1.28322e-30,7.27176e-30
123,1,6.05509e-24,1.33308e-30,7.81709e-30
124,1,6.0557e-24,1.3614e-30,8.2538e-30
125,1,6.05554e-24,1.37516e-30,8.55543e-30
126,1,6.05512e-24,1.38559e-30,8.70685e-30
127,1,6.05525e-24,1.40552e-30,8.70808e-30
128,1,6.05427e-24,1.4466e-30,8.57582e-30
129,1,6.05281e-24,1.51723e-30,8.34237e-30
130,1,6.05211e-24,1.62128e-30,8.05226e-30
131,1,6.0508e-24,1.7579e-30,7.75659e-30
132,1,6.04861e-24,1.92482e-30,7.50702e-30
133,1,6.04679e-24,2.116e-30,7.34986e-30
134,1,6.04453e-24,2.32762e-30,7.32176e-30
135,1,6.04194e-24,2.55674e-30,7.4463e-30
136,1,6.04027e-24,2.80156e-30,7.73257e-30
137,1,6.03793e-24,3.06391e-30,8.1729e-30
138,1,6.03669e-24,3.34685e-30,8.74381e-30
139,1,6.0334e-24,3.65555e-30,9.40652e-30
140,1,6.02892e-24,3.98912e-30,1.01099e-29
141,1,6.02684e-24,4.34203e-30,1.07978e-29
142,1,6.02464e-24,4.71905e-30,1.1413e-29
143,1,6.02193e-24,5.11308e-30,1.191e-29
144,1,6.01767e-24,5.5122e-30,1.22525e-29
145,1,6.01538e-24,5.93117e-30,1.24217e-29
146,1,6.01297e-24,6.36475e-30,1.24143e-29
147,1,6.0114e-24,6.83318e-30,1.22429e-29
148,1,6.01031e-24,7.34525e-30,1.19241e-29
149,1,6.00987e-24,7.91147e-30,1.14909e-29
150,1,6.00874e-24,8.51697e-30,1.09837e-29
151,1,6.00743e-24,9.1808e-30,1.04442e-29
152,1,6.0053e-24,9.84562e-30,9.91434e-30
153,0.999998,6.00439e-24,1.04739e-29,9.44861e-30
154,0.999995,6.00158e-24,1.10179e-29,9.07995e-30
155,0.999991,5.99968e-24,1.13443e-29,8.82934e-30
156,0.999986,5.99691e-24,1.14549e-29,8.68997e-30
157,0.999982,5.99697e-24,1.13608e-29,8.65006e-30
158,0.999979,5.99273e-24,1.08242e-29,8.66121e-30
159,0.99998,5.99017e-24,1.00267e-29,8.6935e-30
160,0.999987,5.98681e-24,9.03915e-30,8.71666e-30
161,1,5.98446e-24,7.84768e-30,8.69469e-30
162,1.00002,5.9811e-24,6.56398e-30,8.65617e-30
163,1.00005,5.97891e-24,5.30286e-30,8.63361e-30
164,1.00008,5.9765e-24,4.20723e-30,8.67256e-30
165,1.00012,5.97506e-24,3.4439e-30,8.81418e-30
166,1.00016,5.97143e-24,3.10158e-30,9.10185e-30
167,1.00018,5.9678e-24,3.20804e-30,9.48895e-30
168,1.00019,5.96401e-24,3.80052e-30,9.96938e-30
169,1.00018,5.96205e-24,4.77947e-30,1.04692e-29
170,1.00014,5.95914e-24,6.03645e-30,1.10045e-29
171,1.00005,5.95847e-24,7.44503e-30,1.14985e-29
172,0.999931,5.95912e-24,8.97525e-30,1.19591e-29
173,0.999766,5.95858e-24,1.05285e-29,1.24629e-29
174,0.999565,5.95762e-24,1.2156e-29,1.29861e-29
175,0.999335,5.95589e-24,1.34802e-29,1.36288e-29
176,0.999091,5.95466e-24,1.45338e-29,1.44579e-29
177,0.998851,5.95336e-24,1.52137e-29,1.55535e-29
178,0.998638,5.95224e-24,1.55934e-29,1.69541e-29
179,0.998478,5.95055e-24,1.57572e-29,1.85573e-29
180,0.998398,5.95015e-24,1.58557e-29,2.04424e-29
181,0.998424,5.94941e-24,1.58071e-29,2.25108e-29
182,0.998583,5.94883e-24,1.5417e-29,2.47349e-29
183,0.998896,5.94754e-24,1.46288e-29,2.70635e-29
184,0.99938,5.94508e-24,1.33653e-29,2.93392e-29
185,1.00004,5.94333e-24,1.23349e-29,3.1635e-29
186,1.00089,5.94239e-24,1.09825e-29,3.37118e-29
187,1.00191,5.94096e-24,9.73114e-30,3.55255e-29
188,1.00309,5.94017e-24,8.60376e-30,3.69026e-29
189,1.00441,5.93886e-24,7.64856e-30,3.79051e-29
190,1.00583,5.9373e-24,7.18458e-30,3.85674e-29
191,1.00732,5.93637e-24,7.20135e-30,3.87719e-29
192,1.00883,5.93467e-24,7.41011e-30,3.8449e-29
193,1.01031,5.93378e-24,8.61109e-30,3.79042e-29
194,1.01171,5.93183e-24,9.37989e-30,3.72206e-29
195,1.01299,5.93002e-24,1.0636e-29,3.64437e-29
196,1.01409,5.92633e-24,1.21313e-29,3.56047e-29
197,1.01497,5.92454e-24,1.44192e-29,3.5218e-29
198,1.01559,5.9227e-24,1.57441e-29,3.48589e-29
199,1.0159,5.91989e-24,1.72883e-29,3.51316e-29
200,1.01589,5.91804e-24,1.83238e-29,3.58568e-29
201,1.01553,5.91719e-24,1.9145e-29,3.70585e-29
202,1.01482,5.91567e-24,2.10626e-29,3.88072e-29
203,1.01374,5.91379e-24,2.10798e-29,4.102e-29
204,1.0123,5.91118e-24,2.20058e-29,4.37973e-29
205,1.01051,5.90976e-24,2.24078e-29,4.70951e-29
206,1.0084,5.90676e-24,2.40711e-29,5.06855e-29
207,1.00599,5.90474e-24,2.46767e-29,5.42632e-29
208,1.00332,5.90197e-24,2.62892e-29,5.78383e-29
209,1.00041,5.89962e-24,2.69508e-29,6.13039e-29
210,0.99732,5.89632e-24,2.8248e-29,6.4788e-29
211,0.994086,5.89283e-24,2.98135e-29,6.79617e-29
212,0.990753,5.89072e-24,2.99945e-29,7.13918e-29
213,0.98737,5.88734e-24,3.19464e-29,7.50535e-29
214,0.983983,5.88596e-24,3.40058e-29,7.75254e-29
215,0.980638,5.88485e-24,3.71205e-29,8.01798e-29
216,0.977379,5.8829e-24,3.91121e-29,8.25158e-29
217,0.974247,5.882e-24,4.2679e-29,8.43154e-29
218,0.971283,5.88177e-24,4.43707e-29,8.63897e-29
219,0.968521,5.87957e-24,4.80806e-29,8.79375e-29
220,0.965995,5.87933e-24,5.03188e-29,9.04024e-29
221,0.963733,5.87723e-24,5.31631e-29,9.24299e-29
222,0.961759,5.87687e-24,5.49262e-29,9.47778e-29
223,0.960094,5.87752e-24,5.59719e-29,9.70821e-29
224,0.958755,5.87592e-24,5.73322e-29,9.99208e-29
225,0.957753,5.87611e-24,5.97911e-29,1.03356e-28
226,0.957098,5.8751e-24,5.8526e-29,1.07003e-28
227,0.956794,5.87381e-24,5.86e-29,1.1073e-28
228,0.956841,5.87358e-24,5.74924e-29,1.14664e-28
229,0.957235,5.87328e-24,5.78051e-29,1.18029e-28
230,0.957972,5.87171e-24,5.70481e-29,1.22018e-28
231,0.95904,5.87166e-24,5.86329e-29,1.26236e-28
232,0.960426,5.87172e-24,6.17619e-29,1.29953e-28
233,0.962116,5.87163e-24,6.38785e-29,1.33134e-28
234,0.964089,5.8704e-24,6.47894e-29,1.35105e-28
235,0.966325,5.8694e-24,6.56724e-29,1.37366e-28
236,0.9688,5.86688e-24,6.80964e-29,1.40455e-28
237,0.97149,5.86371e-24,6.93498e-29,1.44159e-28
238,0.974365,5.86193e-24,7.17626e-29,1.48379e-28
239,0.977398,5.86115e-24,7.37996e-29,1.53686e-28
240,0.980558,5.85865e-24,7.84755e-29,1.59823e-28
241,0.983814,5.85919e-24,8.27182e-29,1.65186e-28
242,0.987133,5.85873e-24,8.56768e-29,1.70765e-28
243,0.990484,5.85805e-24,9.08425e-29,1.79112e-28
244,0.993832,5.85721e-24,9.44527e-29,1.87507e-28
245,0.997144,5.85825e-24,9.7688e-29,1.96629e-28
246,1.00039,5.85908e-24,1.00187e-28,2.06039e-28
247,1.00354,5.86066e-24,1.06131e-28,2.16788e-28
248,1.00655,5.862e-24,1.09884e-28,2.26747e-28
249,1.00941,5.8617e-24,1.14006e-28,2.36166e-28
250,1.01209,5.85928e-24,1.21262e-28,2.48335e-28
251,1.01455,5.8579e-24,1.25893e-28,2.58074e-28
252,1.01677,5.856e-24,1.32651e-28,2.67502e-28
253,1.01875,5.85538e-24,1.3767e-28,2.76819e-28
254,1.02046,5.85428e-24,1.44785e-28,2.88672e-28
255,1.02188,5.85398e-24,1.54779e-28,2.99193e-28
256,1.02301,5.85409e-24,1.65918e-28,3.09486e-28
257,1.02383,5.85288e-24,1.7523e-28,3.19726e-28
258,1.02434,5.85125e-24,1.89123e-28,3.31908e-28
259,1.02454,5.84945e-24,2.00696e-28,3.44279e-28
260,1.02447,5.84867e-24,2.11438e-28,3.54549e-28
261,1.02412,5.84759e-24,2.24959e-28,3.67284e-28
262,1.02351,5.84611e-24,2.3518e-28,3.777e-28
263,1.02262,5.84518e-24,2.4827e-28,3.87114e-28
264,1.02146,5.84253e-24,2.5765e-28,3.93745e-28
265,1.02004,5.83968e-24,2.69821e-28,3.99275e-28
266,1.01844,5.83839e-24,2.76544e-28,4.03364e-28
267,1.01672,5.83513e-24,2.87713e-28,4.08537e-28
268,1.01496,5.83186e-24,2.87901e-28,4.11253e-28
269,1.01315,5.82825e-24,2.86866e-28,4.14392e-28
270,1.01125,5.82481e-24,2.82922e-28,4.18639e-28
271,1.00918,5.82302e-24,2.80463e-28,4.20114e-28
272,1.00695,5.82303e-24,2.81359e-28,4.17133e-28
273,1.00464,5.82243e-24,2.91699e-28,4.14642e-28
274,1.00247,5.81852e-24,3.02339e-28,4.10592e-28
275,1.00063,5.81141e-24,3.02714e-28,4.12205e-28
276,0.999218,5.80117e-24,2.87037e-28,4.17821e-28
277,0.998138,5.79296e-24,2.59692e-28,4.32082e-28
278,0.9971,5.78984e-24,2.39258e-28,4.48988e-28
279,0.99578,5.80016e-24,2.5062e-28,4.57957e-28
280,0.994023,5.82082e-24,3.1341e-28,4.40621e-28
281,0.991999,5.84205e-24,4.07668e-28,4.01276e-28
282,0.990206,5.8451e-24,4.87907e-28,3.58642e-28
283,0.989272,5.81378e-24,4.92583e-28,3.52145e-28
284,0.989625,5.74199e-24,3.71471e-28,4.2177e-28
285,0.991197,5.65211e-24,1.63449e-28,5.87756e-28
286,0.993315,5.59348e-24,1.77597e-31,8.14796e-28
287,0.994905,5.62832e-24,9.41871e-29,9.99765e-28
288,0.994948,5.79271e-24,6.68196e-28,1.00428e-27
289,0.993013,6.06715e-24,1.83247e-27,7.51709e-28
290,0.989613,6.34159e-24,3.55873e-27,3.16496e-28
291,0.98617,6.44025e-24,5.81682e-27,3.30195e-29
292,0.984534,6.18555e-24,8.74697e-27,4.9528e-28
293,0.986201,5.50828e-24,1.3053e-26,2.41094e-27
294,0.991545,4.56058e-24,2.03168e-26,6.31464e-27
295,0.999395,3.76652e-24,3.34388e-26,1.22836e-26
296,1.00722,3.74288e-24,5.72292e-26,1.99386e-26
297,1.01193,5.08842e-24,9.94393e-26,2.89343e-26
298,1.01102,8.05793e-24,1.72256e-25,4.0267e-26
299,1.00372,1.22674e-23,2.95535e-25,5.82519e-26
300,0.991617,1.65892e-23,5.01437e-25,9.26951e-26
301,0.978428,1.94042e-23,8.41098e-25,1.60764e-25
302,0.969,1.9299e-23,1.39562e-24,2.87971e-25
303,0.967705,1.61005e-23,2.29509e-24,5.09658e-25
304,0.976793,1.20076e-23,3.75222e-24,8.74561e-25
305,0.995281,1.24331e-23,6.11783e-24,1.45495e-24
306,1.01879,2.61325e-23,9.96622e-24,2.36851e-24
307,1.04054,6.44362e-23,1.6233e-23,3.81707e-24
308,1.05316,1.39827e-22,2.64153e-23,6.14434e-24
309,1.05104,2.64606e-22,4.28774e-23,9.92275e-24
310,1.0322,4.51011e-22,6.9316e-23,1.60729e-23
311,0.999446,7.1436e-22,1.11506e-22,2.60426e-23
312,0.960041,1.08119e-21,1.78446e-22,4.20812e-23
313,0.924188,1.60393e-21,2.84232e-22,6.76834e-23
314,0.902472,2.38293e-21,4.50935e-22,1.08311e-22
315,0.90301,3.59702e-21,7.13101e-22,1.72526e-22
316,0.929037,5.54328e-21,1.12445e-21,2.73756e-22
317,0.977595,8.68852e-21,1.76815e-21,4.3296e-22
318,1.03973,1.37389e-20,2.7721e-21,6.82647e-22
319,1.10217,2.17389e-20,4.33205e-21,1.07292e-21
320,1.15026,3.42206e-20,6.74676e-21,1.68063e-21
321,1.17124,5.34354e-20,1.04707e-20,2.62338e-21
322,1.15738,8.2718e-20,1.61941e-20,4.08073e-21
323,1.10806,1.2705e-19,2.49628e-20,6.32648e-21
324,1.03033,1.93919e-19,3.83564e-20,9.77718e-21
325,0.937886,2.94611e-19,5.87535e-20,1.50644e-20
326,0.848507,4.46119e-19,8.97226e-20,2.31422e-20
327,0.780659,6.73932e-19,1.36599e-19,3.54457e-20
328,0.749833,1.0161e-18,2.0733e-19,5.41252e-20
329,0.765413,1.52907e-18,3.13723e-19,8.23921e-20
330,0.82868,2.29622e-18,4.73259e-19,1.25028e-19
331,0.932333,3.44004e-18,7.11756e-19,1.89136e-19
332,1.06159,5.13981e-18,1.06723e-18,2.85236e-19
333,1.19664,7.65708e-18,1.59551e-18,4.28873e-19
334,1.31598,1.13723e-17,2.37833e-18,6.42948e-19
335,1.40002,1.68375e-17,3.53496e-18,9.611e-19
336,1.43428,2.48516e-17,5.23902e-18,1.43258e-18
337,1.41177,3.65684e-17,7.74236e-18,2.12928e-18
338,1.33401,5.36495e-17,1.14094e-17,3.15582e-18
339,1.21077,7.84825e-17,1.67657e-17,4.664e-18
