t,T+R,N_0,N_1
157,0.999835,3.90509e-23,5.90136e-31
158,0.999889,3.90493e-23,7.09333e-31
159,0.999985,3.90429e-23,8.38722e-31
160,1.00013,3.90443e-23,1.00438e-30
161,1.00033,3.90413e-23,1.1521e-30
162,1.00059,3.90373e-23,1.31253e-30
163,1.0009,3.90371e-23,1.50904e-30
164,1.00127,3.90318e-23,1.76729e-30
165,1.00167,3.90287e-23,2.05095e-30
166,1.00209,3.90277e-23,2.3698e-30
167,1.00252,3.90291e-23,2.62217e-30
168,1.00293,3.90332e-23,2.93116e-30
169,1.00329,3.90349e-23,3.26058e-30
170,1.00358,3.90331e-23,3.74784e-30
171,1.00376,3.90306e-23,4.24949e-30
172,1.0038,3.90308e-23,4.98e-30
173,1.00368,3.90354e-23,5.53537e-30
174,1.00338,3.9038e-23,6.28138e-30
175,1.00287,3.90431e-23,7.37373e-30
176,1.00214,3.90431e-23,8.40005e-30
177,1.00119,3.90383e-23,9.55366e-30
178,1.00001,3.90401e-23,1.11639e-29
179,0.998619,3.90399e-23,1.3091e-29
180,0.997021,3.90396e-23,1.51722e-29
181,0.99524,3.90392e-23,1.6403e-29
182,0.993304,3.90362e-23,1.82185e-29
183,0.991248,3.90361e-23,2.01518e-29
184,0.98911,3.90354e-23,2.26106e-29
185,0.986932,3.90343e-23,2.43738e-29
186,0.98476,3.90313e-23,2.67558e-29
187,0.982643,3.90308e-23,2.96032e-29
188,0.980627,3.90345e-23,3.15214e-29
189,0.978762,3.9036e-23,3.22294e-29
190,0.977094,3.90385e-23,3.47051e-29
191,0.975666,3.90423e-23,3.70783e-29
192,0.974521,3.90423e-23,3.76852e-29
193,0.973694,3.90475e-23,3.92555e-29
194,0.973217,3.90467e-23,4.00731e-29
195,0.973116,3.90468e-23,4.11072e-29
196,0.97341,3.90503e-23,4.30573e-29
197,0.974111,3.90504e-23,4.33191e-29
198,0.975226,3.90463e-23,4.36813e-29
199,0.976752,3.90489e-23,4.34852e-29
200,0.978679,3.90466e-23,4.35052e-29
201,0.980991,3.90478e-23,4.39194e-29
202,0.983661,3.90431e-23,4.53897e-29
203,0.986658,3.90413e-23,4.55004e-29
204,0.989943,3.90431e-23,4.54946e-29
205,0.993469,3.90376e-23,4.55466e-29
206,0.997186,3.90358e-23,4.57916e-29
207,1.00104,3.90379e-23,4.6391e-29
208,1.00496,3.90443e-23,4.54788e-29
209,1.00889,3.90487e-23,4.60574e-29
210,1.01276,3.90602e-23,4.72111e-29
211,1.01651,3.90689e-23,4.73084e-29
212,1.02007,3.90762e-23,4.84714e-29
213,1.02337,3.9086e-23,4.84372e-29
214,1.02636,3.90917e-23,4.81649e-29
215,1.02898,3.91002e-23,4.72966e-29
216,1.03118,3.91077e-23,4.70412e-29
217,1.03292,3.91128e-23,4.57631e-29
218,1.03416,3.91193e-23,4.34605e-29
219,1.0349,3.91261e-23,4.23294e-29
220,1.0351,3.91277e-23,3.98122e-29
221,1.03478,3.91356e-23,3.78642e-29
222,1.03395,3.91409e-23,3.70738e-29
223,1.03263,3.91482e-23,3.37679e-29
224,1.03085,3.91535e-23,3.08913e-29
225,1.02866,3.9157e-23,2.75637e-29
226,1.02612,3.91658e-23,2.44604e-29
227,1.02328,3.91738e-23,2.13477e-29
228,1.02023,3.9181e-23,1.90806e-29
229,1.01702,3.91833e-23,1.77217e-29
230,1.01374,3.91863e-23,1.47357e-29
231,1.01047,3.91914e-23,1.28703e-29
232,1.00728,3.91961e-23,1.14672e-29
233,1.00424,3.92003e-23,9.09871e-30
234,1.00142,3.92026e-23,7.89356e-30
235,0.99887,3.92079e-23,5.37267e-30
236,0.996636,3.92141e-23,5.09764e-30
237,0.994752,3.9216e-23,3.96172e-30
238,0.993241,3.92202e-23,2.21556e-30
239,0.992113,3.92266e-23,4.25166e-30
240,0.991365,3.92333e-23,3.04696e-30
241,0.99098,3.92347e-23,3.18676e-30
242,0.990931,3.92367e-23,3.65492e-30
243,0.99118,3.92362e-23,4.13826e-30
244,0.991683,3.92358e-23,6.78668e-30
245,0.992392,3.92381e-23,6.04693e-30
246,0.993255,3.92382e-23,7.33686e-30
247,0.99422,3.92378e-23,8.86745e-30
248,0.995229,3.9242e-23,1.11345e-29
249,0.996225,3.92376e-23,1.43233e-29
250,0.997156,3.92385e-23,1.79814e-29
251,0.997987,3.9241e-23,1.99386e-29
252,0.998697,3.92447e-23,1.75037e-29
253,0.999282,3.92481e-23,1.76881e-29
254,0.999739,3.92568e-23,2.20496e-29
255,1.00006,3.92651e-23,2.07462e-29
256,1.00021,3.92707e-23,2.33023e-29
257,1.00018,3.92754e-23,2.51013e-29
258,0.999979,3.92808e-23,2.59779e-29
259,0.99964,3.92874e-23,2.97828e-29
260,0.999257,3.92964e-23,3.16433e-29
261,0.998929,3.93018e-23,3.28031e-29
262,0.99872,3.93097e-23,3.58896e-29
263,0.998618,3.93094e-23,4.00385e-29
264,0.998529,3.931e-23,3.67729e-29
265,0.998317,3.9313e-23,3.87378e-29
266,0.997888,3.93169e-23,3.75647e-29
267,0.997263,3.93196e-23,3.37391e-29
268,0.99662,3.9322e-23,3.32652e-29
269,0.996244,3.93235e-23,3.58829e-29
270,0.996407,3.9323e-23,3.72065e-29
271,0.99722,3.93244e-23,3.96934e-29
272,0.998522,3.93271e-23,4.00699e-29
273,0.999867,3.93301e-23,4.06101e-29
274,1.00066,3.93282e-23,4.31757e-29
275,1.00039,3.93272e-23,4.22183e-29
276,0.99886,3.93332e-23,4.3286e-29
277,0.996397,3.93441e-23,4.71549e-29
278,0.993806,3.93575e-23,5.33379e-29
279,0.992165,3.93701e-23,6.01948e-29
280,0.992457,3.93861e-23,6.18382e-29
281,0.995156,3.93884e-23,6.48832e-29
282,0.999933,3.9377e-23,5.92292e-29
283,1.0056,3.93456e-23,4.1444e-29
284,1.01037,3.9297e-23,1.96296e-29
285,1.01233,3.92415e-23,-3.81893e-32
286,1.01009,3.92028e-23,-9.17426e-30
