t,T+R,N_0
0,1,1.16569e-23
1,1,1.16601e-23
2,1,1.16631e-23
3,1,1.16669e-23
4,1,1.16722e-23
5,1,1.16767e-23
6,1,1.16792e-23
7,1,1.16803e-23
8,1,1.16819e-23
9,1,1.16835e-23
10,1,1.1685e-23
11,1,1.16862e-23
12,1,1.16866e-23
13,1,1.16869e-23
14,1,1.16866e-23
15,1,1.16863e-23
16,1,1.16867e-23
17,1,1.16864e-23
18,1,1.16869e-23
19,1,1.16875e-23
20,1,1.16877e-23
21,1,1.16886e-23
22,1,1.16895e-23
23,1,1.16917e-23
24,1,1.16914e-23
25,1,1.16925e-23
26,1,1.16936e-23
27,1,1.16944e-23
28,1,1.16965e-23
29,1,1.16976e-23
30,1,1.16972e-23
31,1,1.1696e-23
32,1,1.16966e-23
33,1,1.16955e-23
34,1,1.1694e-23
35,1,1.16913e-23
36,1,1.1688e-23
37,1,1.16842e-23
38,1,1.16809e-23
39,1,1.16781e-23
40,1,1.16748e-23
41,1,1.16719e-23
42,1,1.1667e-23
43,1,1.16625e-23
44,1,1.16585e-23
45,1,1.16537e-23
46,1,1.16505e-23
47,1,1.16485e-23
48,1,1.16453e-23
49,1,1.16421e-23
50,1,1.16396e-23
51,1,1.16378e-23
52,1,1.16368e-23
53,1,1.16358e-23
54,1,1.16357e-23
55,1,1.16371e-23
56,1,1.16392e-23
57,1,1.16429e-23
58,1,1.16462e-23
59,1,1.16505e-23
60,1,1.16551e-23
61,1,1.16588e-23
62,1,1.16637e-23
63,1,1.16681e-23
64,1,1.16727e-23
65,1,1.16758e-23
66,1,1.16788e-23
67,1,1.1682e-23
68,1,1.16859e-23
69,1,1.16887e-23
70,1,1.16913e-23
71,1,1.16939e-23
72,1,1.16955e-23
73,1,1.16958e-23
74,1,1.16971e-23
75,1,1.16987e-23
76,1,1.16976e-23
77,1,1.16973e-23
78,1,1.16974e-23
79,1,1.16964e-23
80,1,1.16932e-23
81,1,1.16915e-23
82,1,1.16886e-23
83,1,1.16857e-23
84,1,1.1682e-23
85,1,1.16798e-23
86,1,1.16768e-23
87,1,1.16738e-23
88,1,1.1671e-23
89,1,1.16688e-23
90,1,1.1669e-23
91,1,1.16688e-23
