E,T,R0,R,N_R0,E/V0
4658.73,2.35179,0.373354,0.373354,0.137003,46.5873
4658.93,2.45658,0.298978,0.298978,0.1085,46.5893
4659.12,2.34951,0.343902,0.343902,0.127682,46.5912
4659.32,2.33571,0.32892,0.32892,0.123439,46.5932
4659.51,2.42103,0.32711,0.32711,0.119029,46.5951
4659.71,2.38099,0.298805,0.298805,0.111503,46.5971
4659.91,2.38817,0.26915,0.26915,0.101286,46.5991
4660.1,2.27299,0.224511,0.224511,0.0898942,46.601
4660.3,2.34039,0.195244,0.195244,0.077,46.603
4660.49,2.30786,0.186193,0.186193,0.0746547,46.6049
4660.69,2.30099,0.200286,0.200286,0.0800738,46.6069
4660.89,2.26689,0.202454,0.202454,0.0819872,46.6089
4661.08,2.35273,0.1392,0.1392,0.0558603,46.6108
4661.28,2.3069,0.135506,0.135506,0.0554805,46.6128
4661.48,2.26989,0.10103,0.10103,0.0426122,46.6148
4661.67,2.27673,0.0913025,0.0913025,0.0385563,46.6167
4661.87,2.2021,0.0911444,0.0911444,0.0397447,46.6187
4662.06,2.24334,0.0775471,0.0775471,0.0334126,46.6206
4662.26,2.28964,0.0792685,0.0792685,0.033462,46.6226
4662.46,2.22094,0.0575673,0.0575673,0.0252653,46.6246
4662.65,2.20634,0.0323088,0.0323088,0.0144322,46.6265
4662.85,2.25375,0.0508662,0.0508662,0.0220714,46.6285
4663.04,2.24983,0.0447444,0.0447444,0.0195001,46.6304
4663.24,2.28557,0.0425063,0.0425063,0.0182581,46.6324
4663.44,2.28518,0.0473378,0.0473378,0.0202947,46.6344
4663.63,2.31364,0.0430802,0.0430802,0.0182797,46.6363
4663.83,2.35009,0.0524149,0.0524149,0.0218167,46.6383
4664.02,2.21333,0.0855243,0.0855243,0.0372029,46.6402
4664.22,2.29879,0.084644,0.084644,0.0355135,46.6422
4664.42,2.34464,0.122743,0.122743,0.0497463,46.6442
4664.61,2.43094,0.108586,0.108586,0.0427583,46.6461
4664.81,2.39343,0.115397,0.115397,0.0459963,46.6481
4665.01,2.40917,0.123483,0.123483,0.0487564,46.6501
4665.2,2.48149,0.184714,0.184714,0.0692799,46.652
4665.4,2.42619,0.1905,0.1905,0.0728018,46.654
