t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
46,0.468043,9.99873,0.243976,5.21202,0.15059,3.21704,0.0437145,0.933865,0.0936757,2.00118
47,0.454654,9.92305,0.242277,5.28781,0.155744,3.39919,0.0445824,0.973033,0.102743,2.24241
48,0.441508,9.84039,0.240205,5.35372,0.160813,3.58421,0.045361,1.01101,0.112113,2.4988
49,0.428612,9.75122,0.237787,5.40982,0.165794,3.77194,0.0460702,1.04813,0.121737,2.76961
50,0.415971,9.65602,0.235049,5.45624,0.170688,3.96222,0.0467325,1.08481,0.13156,3.05394
51,0.403589,9.55525,0.23202,5.49323,0.175494,4.15495,0.0473717,1.12156,0.141526,3.35073
52,0.391469,9.44935,0.22873,5.52113,0.180213,4.35001,0.0480122,1.15893,0.151575,3.65874
53,0.379615,9.33872,0.225213,5.54036,0.184846,4.54731,0.0486782,1.19751,0.161648,3.97662
54,0.368026,9.22378,0.221502,5.55147,0.189395,4.74678,0.0493926,1.23792,0.171684,4.3029
55,0.356703,9.10489,0.217632,5.55509,0.193862,4.94836,0.0501763,1.28076,0.181626,4.63603
56,0.345646,8.98241,0.21364,5.55195,0.198251,5.15201,0.0510469,1.32657,0.191416,4.9744
57,0.334852,8.85667,0.209566,5.54291,0.202563,5.3577,0.0520188,1.37587,0.201,5.31636
58,0.32432,8.72797,0.205447,5.52891,0.206803,5.56541,0.0531015,1.42905,0.210328,5.66027
59,0.314046,8.5966,0.201326,5.51103,0.210974,5.77514,0.0543002,1.48639,0.219353,6.0045
60,0.304028,8.4628,0.197244,5.49041,0.215079,5.98687,0.0556146,1.54807,0.228034,6.34748
61,0.294259,8.32682,0.193245,5.46835,0.219122,6.20061,0.0570395,1.61408,0.236335,6.68771
62,0.284737,8.18887,0.189371,5.4462,0.223103,6.41633,0.0585642,1.68427,0.244225,7.02376
63,0.275455,8.04913,0.185668,5.42544,0.227026,6.63399,0.0601735,1.75834,0.251677,7.35432
64,0.266408,7.90778,0.18218,5.40763,0.230892,6.85356,0.0618473,1.83581,0.258673,7.67819
65,0.25759,7.76496,0.178951,5.39442,0.234699,7.07493,0.0635618,1.91605,0.265198,7.9943
66,0.248995,7.62081,0.176027,5.38753,0.238447,7.29796,0.0652898,1.99828,0.271241,8.30169
67,0.240617,7.47545,0.173451,5.38876,0.242131,7.52249,0.067002,2.08161,0.276798,8.59952
68,0.23245,7.32898,0.171268,5.39995,0.245748,7.74825,0.0686675,2.16504,0.281867,8.88709
69,0.224487,7.1815,0.169518,5.42301,0.249289,7.97493,0.0702548,2.2475,0.286451,9.16377
