t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5
36,0.612907,10.2562,0.237378,3.97222,0.0912361,1.52672,0.0372538,0.623395,0.0108771,0.182014,0.0103479,0.173159
37,0.597677,10.2781,0.240619,4.13789,0.0959838,1.65062,0.0410614,0.706125,0.0121085,0.208227,0.0125502,0.215823
38,0.582552,10.2878,0.243387,4.29818,0.100573,1.77611,0.0450365,0.79534,0.013371,0.236131,0.0150808,0.266326
39,0.567551,10.2857,0.245687,4.45256,0.104977,1.90249,0.0491689,0.891082,0.0146536,0.265565,0.0179621,0.325524
40,0.552691,10.2722,0.247532,4.60059,0.109171,2.02904,0.0534472,0.993363,0.0159453,0.296357,0.0212132,0.394265
41,0.537989,10.248,0.248932,4.74185,0.113133,2.15505,0.0578598,1.10216,0.0172362,0.328328,0.0248502,0.473367
42,0.523458,10.2135,0.249901,4.876,0.116844,2.27983,0.0623943,1.21742,0.0185173,0.361303,0.0288852,0.563598
43,0.509111,10.1693,0.250455,5.00273,0.120289,2.40271,0.0670378,1.33905,0.0197813,0.395123,0.0333256,0.665664
44,0.494963,10.1157,0.25061,5.1218,0.123454,2.52306,0.0717772,1.46694,0.0210228,0.42965,0.0381743,0.780182
45,0.481022,10.0534,0.250381,5.233,0.12633,2.64032,0.0765991,1.60093,0.0222383,0.464783,0.043429,0.90767
46,0.4673,9.98285,0.249788,5.33618,0.128914,2.75396,0.08149,1.74086,0.0234264,0.500454,0.0490819,1.04853
47,0.453805,9.90453,0.248847,5.43122,0.131203,2.86358,0.0864361,1.88651,0.0245879,0.536643,0.0551202,1.20303
48,0.440546,9.81896,0.247577,5.51802,0.133202,2.96882,0.0914237,2.03766,0.0257254,0.573371,0.0615258,1.3713
49,0.42753,9.72662,0.245994,5.59654,0.134917,3.06946,0.0964393,2.19406,0.0268433,0.610704,0.0682759,1.55332
50,0.414763,9.628,0.244116,5.66674,0.136361,3.16538,0.101469,2.35543,0.0279472,0.648745,0.0753427,1.74895
51,0.402251,9.52359,0.241961,5.72859,0.137549,3.25657,0.106501,2.52148,0.0290437,0.68763,0.0826947,1.95786
52,0.389999,9.41386,0.239542,5.78211,0.138502,3.34318,0.11152,2.6919,0.0301397,0.727517,0.0902966,2.17959
53,0.378011,9.29926,0.236877,5.8273,0.139244,3.42548,0.116516,2.86636,0.0312421,0.768573,0.0981101,2.41356
54,0.36629,9.18027,0.233978,5.86417,0.139804,3.50389,0.121476,3.04452,0.0323572,0.810965,0.106095,2.65904
55,0.35484,9.05734,0.23086,5.89274,0.140214,3.57898,0.126387,3.22605,0.0334903,0.854844,0.114208,2.91518
56,0.343664,8.9309,0.227535,5.91303,0.140509,3.65147,0.13124,3.41057,0.0346451,0.900333,0.122407,3.18103
57,0.332763,8.80142,0.224014,5.92506,0.140729,3.72221,0.136023,3.59773,0.0358236,0.947515,0.130648,3.45556
58,0.32214,8.66931,0.220308,5.92883,0.140914,3.79223,0.140726,3.78716,0.0370257,0.996422,0.138886,3.73765
59,0.311797,8.53501,0.216426,5.92436,0.141109,3.86267,0.145339,3.97847,0.0382495,1.04703,0.14708,4.02611
60,0.301734,8.39895,0.212377,5.91166,0.141358,3.9348,0.149854,4.17128,0.0394906,1.09925,0.155186,4.31971
61,0.291953,8.26156,0.208171,5.89073,0.141708,4.00999,0.15426,4.36518,0.0407428,1.15292,0.163165,4.61718
62,0.282455,8.12324,0.203815,5.8616,0.142205,4.08975,0.158549,4.55978,0.0419984,1.20785,0.170977,4.91721
63,0.273241,7.98444,0.199317,5.82429,0.142896,4.17561,0.162712,4.75464,0.043248,1.26376,0.178586,5.2185
64,0.264311,7.84555,0.194686,5.77885,0.143826,4.26918,0.16674,4.94935,0.0444814,1.32034,0.185955,5.51971
65,0.255667,7.707,0.189929,5.72534,0.145038,4.37212,0.170625,5.14344,0.045688,1.37725,0.193053,5.8195
66,0.247309,7.5692,0.185056,5.66387,0.146573,4.48605,0.174359,5.33647,0.0468572,1.43413,0.199846,6.11655
67,0.239237,7.43258,0.180076,5.59457,0.148468,4.61258,0.177932,5.52795,0.047979,1.4906,0.206308,6.40954
68,0.231453,7.29755,0.175,5.51763,0.150757,4.75327,0.181336,5.71738,0.0490443,1.54633,0.21241,6.69713
69,0.223957,7.16454,0.16984,5.4333,0.153468,4.90956,0.184562,5.90428,0.0500457,1.601,0.218127,6.97804
70,0.216749,7.03396,0.164609,5.3419,0.156624,5.08279,0.187603,6.08812,0.0509773,1.65432,0.223437,7.25098
71,0.209831,6.90623,0.159322,5.24382,0.160243,5.27412,0.190451,6.26839,0.0518356,1.70608,0.228317,7.51469
72,0.203203,6.7818,0.153996,5.13955,0.164333,5.48454,0.193099,6.44458,0.052619,1.75613,0.232751,7.76794
73,0.196866,6.66108,0.14865,5.02966,0.168899,5.7148,0.195539,6.61618,0.0533283,1.8044,0.236719,8.00956
74,0.19082,6.54451,0.143303,4.91484,0.173935,5.96541,0.197765,6.78269,0.0539666,1.85088,0.24021,8.2384
75,0.185068,6.43253,0.13798,4.79587,0.179432,6.23663,0.199773,6.94365,0.0545386,1.89564,0.243209,8.4534
76,0.179609,6.32558,0.132704,4.67366,0.185368,6.52839,0.201558,7.09861,0.0550509,1.93882,0.24571,8.65357
77,0.174445,6.22411,0.127503,4.54923,0.191716,6.84033,0.203118,7.24715,0.0555115,1.98062,0.247706,8.83802
78,0.169577,6.12855,0.122404,4.42372,0.198443,7.17178,0.204452,7.38893,0.0559292,2.02129,0.249195,9.00595
79,0.165006,6.03938,0.117439,4.29838,0.205507,7.52173,0.205558,7.5236,0.0563133,2.06112,0.250177,9.1567
80,0.160734,5.95705,0.112639,4.17457,0.212858,7.88885,0.206438,7.6509,0.056673,2.10039,0.250658,9.28976
81,0.156762,5.88202,0.108037,4.05376,0.220443,8.27147,0.207094,7.7706,0.0570173,2.13941,0.250647,9.40477
82,0.153091,5.81477,0.103667,3.93751,0.228201,8.66765,0.207531,7.88254,0.0573541,2.17845,0.250156,9.50155
83,0.149723,5.75578,0.0995632,3.82749,0.236068,9.07513,0.207752,7.98658,0.0576902,2.21777,0.249204,9.58009
84,0.14666,5.70552,0.0957613,3.72541,0.243975,9.49138,0.207763,8.08264,0.0580307,2.25758,0.24781,9.64059
85,0.143903,5.66451,0.0922957,3.63306,0.251849,9.91362,0.207571,8.17068,0.0583791,2.298,0.246002,9.68344
86,0.141455,5.63323,0.0892004,3.55226,0.259618,10.3389,0.207182,8.2507,0.0587371,2.33911,0.243807,9.70923
87,0.139318,5.61219,0.0865084,3.48486,0.267207,10.764,0.206604,8.32271,0.059104,2.38091,0.241259,9.71875
88,0.137493,5.60193,0.0842512,3.43268,0.274541,11.1857,0.205843,8.38673,0.0594777,2.42332,0.238394,9.71298
89,0.135984,5.60298,0.0824584,3.39755,0.281546,11.6006,0.204907,8.44282,0.059854,2.46618,0.235251,9.69309
90,0.134793,5.61586,0.0811572,3.38125,0.288151,12.0052,0.203802,8.49102,0.0602269,2.50923,0.23187,9.66039
91,0.133922,5.64115,0.0803719,3.38548,0.294287,12.3962,0.202536,8.53137,0.0605891,2.55218,0.228294,9.61633
92,0.133375,5.6794,0.0801235,3.41184,0.299889,12.77,0.201115,8.56392,0.0609322,2.59463,0.224566,9.56251
93,0.133155,5.7312,0.0804293,3.46182,0.304897,13.1233,0.199543,8.58868,0.0612466,2.63616,0.22073,9.50059
94,0.133264,5.79715,0.0813029,3.53677,0.309255,13.453,0.197827,8.60569,0.0615225,2.6763,0.216828,9.43229
95,0.133707,5.87783,0.0827533,3.63787,0.312916,13.7559,0.19597,8.61495,0.0617495,2.71454,0.212904,9.35936
96,0.134487,5.97388,0.0847851,3.76613,0.315835,14.0293,0.193979,8.61648,0.0619174,2.75035,0.208996,9.28354
97,0.135608,6.08592,0.087398,3.92232,0.317979,14.2705,0.191857,8.6103,0.0620163,2.78321,0.205142,9.20653
98,0.137073,6.21459,0.090587,4.10702,0.319318,14.4772,0.189609,8.59644,0.0620369,2.81262,0.201376,9.12995
99,0.138887,6.36056,0.0943418,4.32054,0.319833,14.6473,0.187239,8.57494,0.0619708,2.83806,0.197728,9.05531
100,0.141053,6.52447,0.0986472,4.56298,0.319511,14.7792,0.184754,8.54589,0.0618108,2.85909,0.194225,8.98396
101,0.143575,6.70701,0.103483,4.83413,0.318346,14.8713,0.182159,8.50941,0.0615509,2.8753,0.190886,8.9171
102,0.146458,6.90885,0.108824,5.13353,0.316343,14.9228,0.17946,8.46566,0.0611865,2.88634,0.187729,8.85572
103,0.149705,7.13067,0.11464,5.46045,0.31351,14.9329,0.176666,8.41485,0.0607148,2.89193,0.184764,8.80058
104,0.153321,7.37316,0.120896,5.81387,0.309867,14.9015,0.173784,8.35727,0.0601345,2.89186,0.181997,8.75221
105,0.157308,7.637,0.127554,6.1925,0.305439,14.8285,0.170825,8.29325,0.0594462,2.886,0.179428,8.71088
106,0.16167,7.92288,0.13457,6.59479,0.300258,14.7146,0.167799,8.2232,0.0586522,2.87433,0.17705,8.6766
107,0.166412,8.23146,0.141898,7.01891,0.294363,14.5605,0.164716,8.14758,0.0577564,2.85689,0.174855,8.64912
108,0.171534,8.56342,0.149488,7.46279,0.287798,14.3676,0.161589,8.06691,0.0567647,2.83384,0.172826,8.62792
109,0.177041,8.91938,0.157286,7.92415,0.280615,14.1375,0.15843,7.98174,0.0556843,2.8054,0.170944,8.61223
110,0.182933,9.3,0.165239,8.40046,0.272867,13.8721,0.155251,7.8927,0.054524,2.7719,0.169185,8.60104
111,0.189214,9.70587,0.173289,8.88902,0.264616,13.5737,0.152067,7.80039,0.0532937,2.73375,0.167521,8.59314
112,0.195882,10.1376,0.181378,9.38695,0.255923,13.2449,0.148888,7.70548,0.0520045,2.69141,0.165923,8.5871
113,0.20294,10.5957,0.189448,9.89125,0.246856,12.8886,0.145728,7.6086,0.0506681,2.64543,0.16436,8.58136
114,0.210386,11.0806,0.197439,10.3988,0.237484,12.5078,0.142598,7.51039,0.0492967,2.59637,0.162797,8.57421
115,0.218219,11.593,0.205294,10.9063,0.227876,12.106,0.139509,7.41145,0.0479027,2.54485,0.161201,8.56386
116,0.226437,12.1331,0.212954,11.4106,0.218103,11.6865,0.136469,7.31236,0.0464981,2.49149,0.159538,8.54847
117,0.235038,12.7013,0.220365,11.9085,0.208237,11.253,0.133488,7.21363,0.0450946,2.43689,0.157777,8.52621
118,0.244018,13.2981,0.227473,12.3965,0.198347,10.8092,0.130572,7.11572,0.0437028,2.38165,0.155887,8.49527
119,0.253371,13.9236,0.234228,12.8716,0.188502,10.3588,0.127727,7.01903,0.0423324,2.3263,0.153838,8.45392
120,0.263094,14.578,0.240581,13.3306,0.178769,9.90558,0.124957,6.92388,0.0409912,2.27132,0.151607,8.40054
121,0.273178,15.2615,0.246489,13.7704,0.16921,9.45317,0.122265,6.8305,0.0396859,2.21711,0.149172,8.33368
122,0.283617,15.9741,0.251912,14.1884,0.159885,9.00518,0.119651,6.73907,0.0384209,2.16397,0.146514,8.25208
123,0.294402,16.7159,0.256814,14.5817,0.150849,8.56505,0.117115,6.64967,0.037199,2.11212,0.143621,8.15468
124,0.305523,17.4867,0.261166,14.9479,0.142151,8.13604,0.114655,6.56231,0.036021,2.06167,0.140484,8.04066
125,0.31697,18.2864,0.26494,15.2847,0.133836,7.72116,0.112269,6.47693,0.0348859,2.01261,0.1371,7.90945
126,0.328732,19.1148,0.268116,15.5902,0.125942,7.32317,0.109951,6.39337,0.0337911,1.96486,0.133468,7.76077
127,0.340795,19.9716,0.27068,15.8626,0.118502,6.94455,0.107698,6.31142,0.0327326,1.91823,0.129594,7.59457
128,0.353147,20.8564,0.272619,16.1005,0.11154,6.58742,0.105502,6.23081,0.0317052,1.87247,0.125487,7.4111
129,0.365774,21.7687,0.273929,16.3027,0.105077,6.25357,0.103356,6.15117,0.0307031,1.82727,0.121161,7.21082
130,0.37866,22.7081,0.27461,16.4683,0.0991237,5.94441,0.101253,6.07211,0.02972,1.7823,0.116633,6.99447
131,0.39179,23.6739,0.274667,16.5967,0.0936862,5.66098,0.0991833,5.99315,0.0287497,1.7372,0.111924,6.76299
132,0.405149,24.6655,0.274108,16.6877,0.0887636,5.40394,0.0971379,5.91377,0.0277864,1.69164,0.107055,6.51753
