t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
82,0.309687,11.7627,0.21074,8.00441,0.479574,18.2154
83,0.311582,11.9781,0.222402,8.54977,0.466016,17.915
84,0.313884,12.2111,0.234096,9.10708,0.452019,17.585
85,0.316597,12.4623,0.245738,9.67307,0.437665,17.2279
86,0.319722,12.7324,0.257243,10.2443,0.423035,16.8467
87,0.323262,13.0221,0.268525,10.8171,0.408213,16.4442
88,0.327217,13.3319,0.279502,11.3878,0.393281,16.0236
89,0.331589,13.6625,0.290091,11.9527,0.37832,15.588
90,0.336376,14.0144,0.300212,12.5077,0.363412,15.1408
91,0.341578,14.3882,0.309788,13.0491,0.348634,14.6854
92,0.347191,14.7842,0.318746,13.5729,0.334063,14.2251
93,0.353213,15.2029,0.327016,14.0753,0.319771,13.7635
94,0.359638,15.6447,0.334533,14.5526,0.305829,13.3039
95,0.366461,16.1098,0.341238,15.001,0.292301,12.8497
96,0.373674,16.5985,0.347076,15.417,0.27925,12.4042
97,0.381268,17.1108,0.352,15.7973,0.266733,11.9706
98,0.389234,17.647,0.355967,16.1388,0.254799,11.552
99,0.39756,18.2069,0.358943,16.4384,0.243497,11.1514
100,0.406233,18.7905,0.360901,16.6937,0.232866,10.7713
101,0.415239,19.3976,0.36182,16.9022,0.222941,10.4145
102,0.424563,20.0279,0.361687,17.0618,0.21375,10.0832
103,0.434187,20.6809,0.360497,17.171,0.205316,9.7795
104,0.444092,21.3563,0.358252,17.2283,0.197656,9.50522
105,0.45426,22.0535,0.354962,17.2327,0.190778,9.26192
106,0.46467,22.7718,0.350643,17.1837,0.184687,9.05084
107,0.475298,23.5104,0.345321,17.0811,0.17938,8.87295
108,0.486123,24.2684,0.339028,16.9251,0.174849,8.72891
109,0.497119,25.045,0.331802,16.7163,0.171079,8.61905
110,0.508261,25.8391,0.323688,16.4557,0.168051,8.5434
111,0.519524,26.6494,0.314738,16.1447,0.165738,8.50168
112,0.530881,27.4749,0.305008,15.7852,0.164111,8.49329
113,0.542305,28.3142,0.294562,15.3793,0.163133,8.51734
114,0.553767,29.1659,0.283466,14.9297,0.162767,8.57264
115,0.56524,30.0286,0.271793,14.4391,0.162967,8.6577
116,0.576696,30.9008,0.259617,13.9109,0.163688,8.7708
117,0.588106,31.781,0.247016,13.3486,0.164878,8.90994
118,0.599443,32.6675,0.234072,12.7561,0.166486,9.07289
119,0.610678,33.5587,0.220866,12.1373,0.168456,9.25722
120,0.621784,34.453,0.207483,11.4966,0.170733,9.46031
121,0.632734,35.3486,0.194006,10.8384,0.17326,9.67939
122,0.643503,36.2439,0.18052,10.1674,0.175977,9.91153
123,0.654065,37.1372,0.167107,9.48817,0.178828,10.1537
124,0.664395,38.0268,0.153849,8.80558,0.181756,10.4029
125,0.674471,38.9111,0.140825,8.12439,0.184704,10.6558
126,0.68427,39.7884,0.128112,7.44939,0.187618,10.9094
127,0.693772,40.6571,0.115784,6.78528,0.190444,11.1606
128,0.702958,41.5158,0.103909,6.13671,0.193133,11.4062
129,0.711811,42.3629,0.0925516,5.50814,0.195637,11.6432
130,0.720314,43.197,0.0817728,4.90388,0.197913,11.8688
131,0.728454,44.0168,0.0716265,4.32803,0.199919,12.0801
132,0.736218,44.8211,0.0621617,3.78441,0.20162,12.2746
133,0.743597,45.6086,0.0534209,3.27658,0.202982,12.4499
134,0.750581,46.3784,0.0454404,2.80776,0.203979,12.6039
135,0.757164,47.1295,0.0382497,2.38084,0.204587,12.7345
136,0.763341,47.8611,0.0318716,1.99833,0.204787,12.84
137,0.769111,48.5724,0.0263218,1.66233,0.204567,12.9192
138,0.774472,49.2628,0.0216094,1.37453,0.203919,12.9709
139,0.779425,49.9319,0.0177359,1.13621,0.202839,12.9944
140,0.783975,50.5794,0.0146964,0.948162,0.201329,12.9891
141,0.788125,51.2049,0.0124789,0.810762,0.199396,12.9549
142,0.791883,51.8084,0.0110649,0.723914,0.197052,12.892
