t,Norm_0,AvgX_0,Norm_1,AvgX_1
142,0.972418,63.6198,0.0275821,1.80454
143,0.978664,64.4724,0.0213362,1.40559
144,0.984125,65.2785,0.0158751,1.05302
145,0.988792,66.0364,0.0112081,0.74853
146,0.992657,66.7444,0.00734345,0.49376
147,0.995712,67.401,0.00428792,0.290255
148,0.997953,68.0047,0.00204683,0.13948
149,0.999376,68.5542,0.000624096,0.0428111
150,0.999978,69.0481,2.21932e-05,0.00153243
151,0.999758,69.4853,0.000242177,0.0168318
152,0.998716,69.8647,0.00128366,0.0897981
153,0.996855,70.1853,0.00314483,0.221418
154,0.994178,70.4462,0.00582244,0.412571
155,0.990688,70.6467,0.0093118,0.664031
156,0.986393,70.786,0.0136068,0.976459
157,0.9813,70.8636,0.0187,1.3504
158,0.975418,70.8792,0.0245824,1.7863
159,0.968756,70.8323,0.0312439,2.28445
160,0.961327,70.7228,0.0386727,2.84507
161,0.953144,70.5506,0.0468559,3.46822
162,0.944221,70.3158,0.0557791,4.15385
163,0.934573,70.0185,0.0654269,4.9018
164,0.924218,69.659,0.0757823,5.71177
165,0.913173,69.2378,0.0868273,6.58334
166,0.901457,68.7553,0.0985425,7.51597
167,0.889092,68.2123,0.110908,8.50898
168,0.876099,67.6096,0.123901,9.56157
169,0.8625,66.948,0.1375,10.6728
170,0.84832,66.2286,0.15168,11.8417
171,0.833582,65.4526,0.166418,13.0671
172,0.818313,64.6213,0.181687,14.3476
173,0.80254,63.736,0.19746,15.6819
174,0.786289,62.7983,0.213711,17.0684
175,0.76959,61.8099,0.23041,18.5054
176,0.752472,60.7725,0.247528,19.9913
177,0.734963,59.6879,0.265037,21.5242
178,0.717096,58.5583,0.282904,23.102
179,0.698901,57.3855,0.301099,24.7227
180,0.68041,56.1719,0.31959,26.3841
181,0.661655,54.9198,0.338345,28.0838
182,0.64267,53.6315,0.35733,29.8196
183,0.623486,52.3094,0.376514,31.5889
184,0.604138,50.9562,0.395862,33.3891
185,0.58466,49.5746,0.41534,35.2177
186,0.565085,48.1672,0.434915,37.0717
187,0.545447,46.7369,0.454553,38.9486
188,0.525782,45.2866,0.474218,40.8453
189,0.506123,43.8191,0.493877,42.7589
190,0.486505,42.3376,0.513495,44.6864
191,0.466962,40.845,0.533038,46.6247
192,0.447528,39.3445,0.552472,48.5708
193,0.428236,37.8393,0.571764,50.5215
194,0.409122,36.3325,0.590878,52.4735
195,0.390218,34.8273,0.609782,54.4237
196,0.371556,33.3271,0.628444,56.3688
197,0.353171,31.835,0.646829,58.3055
198,0.335093,30.3544,0.664907,60.2305
199,0.317355,28.8885,0.682645,62.1406
200,0.299987,27.4408,0.700013,64.0325
201,0.28302,26.0143,0.71698,65.9028
202,0.266483,24.6125,0.733517,67.7482
203,0.250405,23.2386,0.749595,69.5656
204,0.234815,21.8959,0.765185,71.3516
205,0.219739,20.5874,0.780261,73.1031
206,0.205204,19.3165,0.794796,74.8169
207,0.191235,18.0863,0.808765,76.4898
208,0.177857,16.8997,0.822143,78.1188
209,0.165093,15.7599,0.834907,79.7009
210,0.152965,14.6698,0.847035,81.233
211,0.141495,13.6323,0.858505,82.7124
212,0.130703,12.6502,0.869297,84.1361
213,0.120606,11.7263,0.879394,85.5015
214,0.111224,10.8631,0.888776,86.8059
215,0.102572,10.0634,0.897428,88.0467
216,0.0946658,9.32939,0.905334,89.2214
217,0.0875188,8.66361,0.912481,90.3278
218,0.0811436,8.06825,0.918856,91.3635
219,0.0755513,7.54546,0.924449,92.3265
220,0.0707518,7.09724,0.929248,93.2147
221,0.0667533,6.7255,0.933247,94.0261
222,0.0635629,6.432,0.936437,94.7591
223,0.0611861,6.21838,0.938814,95.4121
224,0.0596272,6.08612,0.940373,95.9834
225,0.0588888,6.03659,0.941111,96.4718
226,0.0589722,6.07101,0.941028,96.876
227,0.0598772,6.19043,0.940123,97.195
228,0.0616024,6.39578,0.938398,97.4279
229,0.0641446,6.68782,0.935855,97.5738
230,0.0674994,7.06715,0.932501,97.6322
231,0.071661,7.53422,0.928339,97.6027
232,0.0766221,8.08932,0.923378,97.4849
233,0.0823741,8.73258,0.917626,97.2787
234,0.0889069,9.46397,0.911093,96.9842
235,0.096209,10.2833,0.903791,96.6015
236,0.104268,11.1901,0.895732,96.131
237,0.113069,12.184,0.886931,95.5733
238,0.122598,13.2642,0.877402,94.929
239,0.132837,14.4299,0.867163,94.199
240,0.143768,15.68,0.856232,93.3844
241,0.155374,17.0133,0.844626,92.4863
242,0.167632,18.4286,0.832368,91.506
243,0.180522,19.9242,0.819478,90.4452
244,0.194022,21.4984,0.805978,89.3055
245,0.208108,23.1495,0.791892,88.0886
246,0.222755,24.8755,0.777245,86.7967
247,0.237937,26.6742,0.762063,85.4318
248,0.253628,28.5432,0.746372,83.9963
249,0.269802,30.4803,0.730198,82.4926
250,0.286428,32.4827,0.713572,80.9233
251,0.303479,34.5477,0.696521,79.2911
