t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4,Norm_5,AvgX_5,Norm_6,AvgX_6
29,0.720668,9.72265,0.201304,2.71583,0.05624,0.758744,0.0156753,0.211478,0.00446647,0.0602579,0.00109095,0.0147182,0.000555126,0.0074893
30,0.705321,9.84239,0.207841,2.90032,0.0612601,0.854854,0.0180019,0.251207,0.00543281,0.075812,0.00137468,0.0191829,0.000768446,0.0107233
31,0.689915,9.94704,0.213929,3.08438,0.0663558,0.956703,0.020504,0.295622,0.00654111,0.0943083,0.00170766,0.0246207,0.0010471,0.0150969
32,0.674478,10.0369,0.219553,3.26718,0.071497,1.06395,0.0231726,0.344832,0.00780062,0.116081,0.0020929,0.0311445,0.0014057,0.0209183
33,0.659036,10.1124,0.224701,3.44788,0.0766535,1.17619,0.025996,0.39889,0.00921967,0.141469,0.00253256,0.0388602,0.00186069,0.0285509
34,0.643614,10.1739,0.229367,3.62571,0.0817957,1.29298,0.0289602,0.457787,0.0108056,0.170809,0.00302787,0.0478628,0.00243022,0.0384155
35,0.628234,10.2218,0.233545,3.79992,0.0868944,1.41383,0.0320488,0.521453,0.0125645,0.204433,0.00357904,0.0582331,0.00313399,0.0509919
36,0.612921,10.2565,0.237234,3.96981,0.0919217,1.53819,0.0352436,0.589757,0.0145014,0.242663,0.00418526,0.070035,0.00399302,0.0668182
37,0.597694,10.2784,0.240437,4.13475,0.0968507,1.66552,0.0385247,0.662503,0.0166198,0.285808,0.00484471,0.0833137,0.00502929,0.0864879
38,0.582574,10.2882,0.243157,4.29412,0.101656,1.79524,0.0418711,0.739439,0.0189218,0.334157,0.0055547,0.0980952,0.00626536,0.110645
39,0.567578,10.2862,0.245402,4.44739,0.106315,1.92673,0.0452609,0.820258,0.0214082,0.387978,0.00631173,0.114387,0.00772388,0.139979
40,0.552725,10.2729,0.247181,4.59408,0.110805,2.0594,0.0486718,0.904608,0.024078,0.44751,0.00711177,0.132178,0.00942713,0.175211
41,0.53803,10.2488,0.248507,4.73375,0.115106,2.19264,0.0520818,0.992095,0.0269289,0.512964,0.00795041,0.151446,0.0113965,0.217089
42,0.523507,10.2145,0.249391,4.86604,0.119201,2.32582,0.0554693,1.0823,0.0299571,0.584514,0.00882309,0.172153,0.0136517,0.266368
43,0.50917,10.1704,0.249849,4.99063,0.123074,2.45834,0.058814,1.17478,0.0331571,0.662298,0.00972538,0.19426,0.0162107,0.323801
44,0.495031,10.1171,0.249899,5.10726,0.12671,2.58961,0.0620973,1.2691,0.0365221,0.746416,0.0106531,0.217721,0.0190886,0.390121
45,0.481101,10.0551,0.249556,5.21576,0.130096,2.71902,0.0653025,1.36483,0.0400439,0.836923,0.0116026,0.242495,0.0222978,0.466026
46,0.46739,9.98477,0.248842,5.31596,0.133222,2.84601,0.0684157,1.46155,0.043713,0.933833,0.0125707,0.268546,0.0258469,0.552163
47,0.453906,9.90673,0.247775,5.40781,0.136079,2.96999,0.0714258,1.55891,0.0475185,1.03712,0.0135552,0.295848,0.0297409,0.649111
48,0.440657,9.82143,0.246376,5.49126,0.138658,3.09042,0.0743253,1.65657,0.0514486,1.14669,0.0145542,0.324386,0.0339808,0.757369
49,0.42765,9.72935,0.244668,5.56636,0.140951,3.20674,0.0771102,1.75431,0.0554907,1.26245,0.0155668,0.354156,0.0385632,0.87734
50,0.41489,9.63095,0.242671,5.63319,0.142954,3.31842,0.0797805,1.85196,0.059631,1.38423,0.0165925,0.385166,0.0434805,1.00932
51,0.402382,9.52668,0.24041,5.69189,0.14466,3.42493,0.0823401,1.94946,0.0638555,1.51183,0.0176313,0.417435,0.0487209,1.1535
52,0.390128,9.41697,0.237908,5.74266,0.146065,3.52574,0.0847972,2.04685,0.0681496,1.645,0.0186835,0.450986,0.0542683,1.30994
53,0.378132,9.30226,0.235188,5.78576,0.147165,3.62034,0.0871638,2.14428,0.0724982,1.7835,0.0197494,0.485847,0.0601028,1.47856
54,0.366396,9.18293,0.232275,5.82147,0.147957,3.70822,0.0894559,2.24202,0.0768865,1.927,0.0208294,0.522043,0.0662006,1.65917
55,0.35492,9.05938,0.229192,5.85017,0.148437,3.78888,0.091693,2.34048,0.0812995,2.07518,0.0219233,0.559595,0.0725345,1.85145
56,0.343705,8.93197,0.225966,5.87225,0.148604,3.86183,0.0938978,2.44015,0.0857224,2.2277,0.0230309,0.598513,0.0790743,2.05493
57,0.332749,8.80104,0.22262,5.88819,0.148456,3.9266,0.0960957,2.54168,0.0901407,2.38418,0.0241514,0.638793,0.0857871,2.26903
58,0.322051,8.66692,0.21918,5.8985,0.147993,3.98272,0.098314,2.64579,0.0945404,2.54423,0.0252835,0.680418,0.0926377,2.49303
