t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
60,0.288554,8.03209,0.293304,8.1643,0.0730908,2.03453,0.345051,9.60472
61,0.278022,7.86734,0.294841,8.34328,0.074186,2.09928,0.352951,9.98766
62,0.267782,7.70126,0.296495,8.52703,0.0756723,2.17629,0.36005,10.3548
63,0.257843,7.53448,0.298283,8.7162,0.0775492,2.26608,0.366325,10.7045
64,0.24821,7.36762,0.300221,8.91145,0.0798076,2.36893,0.371761,11.035
65,0.238893,7.20134,0.302324,9.11345,0.0824302,2.48483,0.376353,11.345
66,0.229897,7.0363,0.304608,9.32291,0.0853914,2.61351,0.380104,11.6336
67,0.221233,6.87321,0.307086,9.5405,0.088658,2.75441,0.383023,11.8997
68,0.212907,6.7128,0.309772,9.7669,0.0921893,2.90666,0.385132,12.1429
69,0.204929,6.55582,0.312678,10.0028,0.0959383,3.06913,0.386455,12.363
70,0.197308,6.40304,0.315815,10.2488,0.0998519,3.2404,0.387026,12.5598
71,0.190052,6.25525,0.31919,10.5056,0.103873,3.41879,0.386885,12.7337
72,0.183172,6.1133,0.322812,10.7737,0.107939,3.60241,0.386076,12.8851
73,0.176678,5.97802,0.326686,11.0536,0.111986,3.78914,0.38465,13.0149
74,0.170579,5.8503,0.330813,11.3458,0.11595,3.9767,0.382659,13.1239
75,0.164885,5.73103,0.335194,11.6506,0.119763,4.16268,0.380158,13.2134
76,0.159607,5.62114,0.339826,11.9682,0.123361,4.34459,0.377206,13.2847
77,0.154755,5.52157,0.344704,12.2989,0.12668,4.51989,0.37386,13.3391
78,0.150339,5.43327,0.349819,12.6425,0.129662,4.68602,0.37018,13.3784
79,0.146369,5.35724,0.355159,12.9991,0.132251,4.84051,0.366221,13.404
80,0.142856,5.29445,0.360709,13.3684,0.134397,4.98096,0.362038,13.4177
81,0.139809,5.24592,0.36645,13.7499,0.136057,5.10513,0.357684,13.421
82,0.137238,5.21265,0.37236,14.1432,0.137193,5.21095,0.353208,13.4157
83,0.135153,5.19567,0.378415,14.5473,0.137778,5.29659,0.348653,13.4032
84,0.133562,5.19599,0.384586,14.9616,0.137791,5.36051,0.34406,13.385
85,0.132475,5.21464,0.390842,15.3848,0.13722,5.40144,0.339463,13.3624
86,0.131898,5.25262,0.397149,15.8158,0.136062,5.41846,0.334891,13.3365
87,0.131839,5.31093,0.403471,16.2532,0.134322,5.41096,0.330368,13.3083
88,0.132305,5.39057,0.409769,16.6954,0.132015,5.37875,0.32591,13.2787
89,0.133302,5.49249,0.416003,17.1407,0.129163,5.32195,0.321531,13.2481
90,0.134835,5.61765,0.422131,17.5872,0.125797,5.2411,0.317236,13.217
91,0.136908,5.76695,0.428109,18.0331,0.121955,5.13705,0.313027,13.1856
92,0.139525,5.94128,0.433896,18.4763,0.117679,5.01104,0.308901,13.1537
93,0.142687,6.14148,0.439445,18.9145,0.113021,4.86461,0.304847,13.1212
94,0.146395,6.36835,0.444716,19.3457,0.108034,4.69959,0.300855,13.0876
95,0.15065,6.62264,0.449665,19.7675,0.102776,4.51807,0.296909,13.0523
96,0.15545,6.90506,0.45425,20.1777,0.0973079,4.32239,0.292991,13.0146
97,0.160794,7.21624,0.458434,20.574,0.0916918,4.11501,0.28908,12.9736
98,0.166677,7.55678,0.462178,20.9542,0.0859896,3.89858,0.285155,12.9283
99,0.173095,7.92719,0.465449,21.316,0.080263,3.67578,0.281193,12.8777
100,0.180042,8.32794,0.468215,21.6575,0.0745715,3.44935,0.277172,12.8207
101,0.18751,8.7594,0.470447,21.9766,0.068972,3.22198,0.27307,12.7563
102,0.195491,9.22189,0.472123,22.2714,0.0635174,2.9963,0.268869,12.6833
103,0.203976,9.71566,0.47322,22.5401,0.058256,2.77482,0.264548,12.6008
104,0.212953,10.2409,0.473723,22.7813,0.0532311,2.55987,0.260093,12.5078
105,0.22241,10.7976,0.473619,22.9933,0.0484796,2.35359,0.255491,12.4036
106,0.232335,11.3859,0.472902,23.1752,0.0440324,2.15787,0.250731,12.2874
107,0.242713,12.0057,0.471566,23.3258,0.0399135,1.9743,0.245808,12.1588
108,0.253529,12.6568,0.469612,23.4442,0.0361402,1.80421,0.240719,12.0173
109,0.264766,13.339,0.467046,23.53,0.0327229,1.64859,0.235465,11.8628
110,0.276409,14.0521,0.463876,23.5826,0.0296651,1.50812,0.230051,11.6954
111,0.288438,14.7957,0.460113,23.6019,0.026964,1.38314,0.224485,11.5151
112,0.300836,15.5693,0.455774,23.5878,0.0246106,1.27368,0.21878,11.3226
113,0.313583,16.3725,0.450876,23.5407,0.0225903,1.17946,0.21295,11.1183
114,0.32666,17.2046,0.445443,23.4607,0.0208838,1.09991,0.207013,10.903
115,0.340046,18.0651,0.439496,23.3484,0.0194673,1.03421,0.20099,10.6777
116,0.353722,18.9533,0.433062,23.2046,0.0183134,0.98128,0.194903,10.4434
117,0.367665,19.8684,0.426168,23.0299,0.0173924,0.939878,0.188775,10.2013
118,0.381854,20.8097,0.418842,22.8254,0.0166726,0.908595,0.182631,9.95273
119,0.396269,21.7763,0.411114,22.592,0.0161212,0.885914,0.176496,9.69902
120,0.410888,22.7672,0.403011,22.3308,0.0157058,0.870256,0.170395,9.44157
121,0.425689,23.7817,0.394564,22.0429,0.0153943,0.860025,0.164352,9.18178
122,0.440651,24.8187,0.385802,21.7294,0.0151564,0.853651,0.158391,8.92104
123,0.455752,25.8772,0.376751,21.3916,0.014964,0.84964,0.152533,8.6607
124,0.47097,26.9561,0.367441,21.0306,0.0147918,0.84661,0.146798,8.40201
125,0.486285,28.0544,0.357895,20.6474,0.014618,0.843332,0.141202,8.14614
126,0.501674,29.171,0.34814,20.2434,0.0144248,0.838761,0.135761,7.89412
127,0.517118,30.3047,0.338198,19.8194,0.0141983,0.832065,0.130486,7.64687
128,0.532595,31.4544,0.32809,19.3766,0.0139293,0.822646,0.125386,7.40511
129,0.548084,32.6188,0.317838,18.9159,0.0136128,0.810154,0.120466,7.16944
130,0.563564,33.7968,0.307458,18.4382,0.0132483,0.794494,0.115729,6.94024
131,0.579016,34.987,0.296969,17.9443,0.0128395,0.775827,0.111175,6.71774
132,0.594419,36.1883,0.286386,17.4352,0.0123942,0.754562,0.1068,6.502
133,0.609753,37.3993,0.275725,16.9116,0.0119237,0.731341,0.102598,6.29289
134,0.624997,38.6186,0.264998,16.3743,0.0114423,0.70702,0.0985619,6.09014
135,0.640132,39.8449,0.25422,15.8239,0.010967,0.682639,0.0946801,5.89335
136,0.655138,41.0768,0.243404,15.2613,0.0105166,0.659387,0.0909413,5.70197
137,0.669994,42.3128,0.232562,14.6872,0.0101113,0.638568,0.0873323,5.51538
138,0.684682,43.5514,0.221708,14.1024,0.00977169,0.621561,0.0838392,5.33287
139,0.699179,44.7912,0.210855,13.5079,0.00951831,0.609767,0.0804477,5.15368
140,0.713468,46.0305,0.200017,12.9044,0.00937082,0.604573,0.0771438,4.97705
141,0.727527,47.2678,0.189212,12.2932,0.00934735,0.607302,0.0739138,4.80222
142,0.741337,48.5015,0.178454,11.6752,0.00946388,0.619168,0.0707451,4.62845
143,0.754877,49.7298,0.167763,11.0519,0.00973363,0.641232,0.0676263,4.45508
144,0.768126,50.951,0.157159,10.4246,0.0101666,0.674368,0.0645478,4.28155
145,0.781066,52.1634,0.146663,9.79489,0.0107692,0.719223,0.0615018,4.10739
146,0.793674,53.3652,0.136299,9.16451,0.0115439,0.776192,0.0584828,3.93227
147,0.805931,54.5545,0.126093,8.53537,0.0124889,0.845393,0.0554874,3.75601
148,0.817816,55.7294,0.11607,7.90953,0.0135984,0.926653,0.0525147,3.57857
149,0.82931,56.8882,0.106262,7.28923,0.0148622,1.0195,0.0495665,3.40011
150,0.840391,58.0287,0.0966966,6.67686,0.0162662,1.12317,0.0466465,3.22092
