t,T+R,N_0,N_1,N_2,N_3
4200,0.9847,0.0341483,0.223256,0.0107001,0.174223
4300,0.9847,0.0341483,0.223256,0.0107001,0.174223
4400,0.9847,0.0341483,0.223256,0.0107001,0.174223
4500,0.9847,0.0341483,0.223256,0.0107001,0.174223
4600,0.9847,0.0341483,0.223256,0.0107001,0.174223
4700,0.9847,0.0341483,0.223256,0.0107001,0.174223
4800,0.9847,0.0341483,0.223256,0.0107001,0.174223
4900,0.9847,0.0341483,0.223256,0.0107001,0.174223
5000,0.9847,0.0341483,0.223256,0.0107001,0.174223
5100,0.9847,0.0341483,0.223256,0.0107001,0.174223
5200,0.9847,0.0341483,0.223256,0.0107001,0.174223
5300,0.9847,0.0341483,0.223256,0.0107001,0.174223
5400,0.9847,0.0341483,0.223256,0.0107001,0.174223
5500,0.9847,0.0341483,0.223256,0.0107001,0.174223
5600,0.9847,0.0341483,0.223256,0.0107001,0.174223
5700,0.9847,0.0341483,0.223256,0.0107001,0.174223
5800,0.9847,0.0341483,0.223256,0.0107001,0.174223
5900,0.9847,0.0341483,0.223256,0.0107001,0.174223
6000,0.9847,0.0341483,0.223256,0.0107001,0.174223
6100,0.9847,0.0341483,0.223256,0.0107001,0.174223
6200,0.9847,0.0341483,0.223256,0.0107001,0.174223
6300,0.9847,0.0341483,0.223256,0.0107001,0.174223
6400,0.9847,0.0341483,0.223256,0.0107001,0.174223
6500,0.9847,0.0341483,0.223256,0.0107001,0.174223
6600,0.9847,0.0341483,0.223256,0.0107001,0.174223
6700,0.9847,0.0341483,0.223256,0.0107001,0.174223
6800,0.9847,0.0341483,0.223256,0.0107001,0.174223
6900,0.9847,0.0341483,0.223256,0.0107001,0.174223
7000,0.9847,0.0341483,0.223256,0.0107001,0.174223
7100,0.9847,0.0341483,0.223256,0.0107001,0.174223
7200,0.9847,0.0341483,0.223256,0.0107001,0.174223
7300,0.9847,0.0341483,0.223256,0.0107001,0.174223
7400,0.9847,0.0341483,0.223256,0.0107001,0.174223
7500,0.9847,0.0341483,0.223256,0.0107001,0.174223
7600,0.9847,0.0341483,0.223256,0.0107001,0.174223
7700,0.9847,0.0341483,0.223256,0.0107001,0.174223
7800,0.9847,0.0341483,0.223256,0.0107001,0.174223
7900,0.9847,0.0341483,0.223256,0.0107001,0.174223
8000,0.9847,0.0341483,0.223256,0.0107001,0.174223
8100,0.9847,0.0341483,0.223256,0.0107001,0.174223
8200,0.9847,0.0341483,0.223256,0.0107001,0.174223
8300,0.9847,0.0341483,0.223256,0.0107001,0.174223
8400,0.9847,0.0341483,0.223256,0.0107001,0.174223
