t,T+R,N_0
0,1,1.92374e-26
10,1,1.17488e-26
20,1,9.32006e-27
30,1,6.66601e-27
40,1,2.26258e-27
50,1,4.99647e-27
60,1,8.00956e-27
70,1,1.22486e-26
80,1,1.09522e-26
90,1,1.61662e-26
100,1,1.18585e-26
110,1.00003,1.12719e-26
120,1.00919,7.65724e-27
130,0.852143,5.75202e-27
140,0.337158,6.11599e-28
150,0.04629,1.98143e-26
160,0.065799,4.98883e-23
170,0.146198,9.95743e-20
180,0.561974,5.60761e-17
190,1.23172,1.03153e-14
200,1.20369,7.26921e-13
210,0.868662,2.36049e-11
220,1.07287,4.14529e-10
230,0.962289,4.33207e-09
240,1.0118,2.86936e-08
250,1.0061,1.25598e-07
260,0.99277,3.7228e-07
270,0.998744,7.53629e-07
280,1.00298,1.03639e-06
290,1.00126,9.56534e-07
300,0.999019,6.00411e-07
310,0.998968,2.95444e-07
320,1.00002,1.52187e-07
330,1.00054,8.18993e-08
340,1.00026,4.17468e-08
350,0.99985,2.19323e-08
360,0.99979,1.13255e-08
370,0.99997,5.90251e-09
380,1.00009,3.05655e-09
390,1.00006,1.59109e-09
400,0.999984,8.24323e-10
410,0.999959,4.28871e-10
420,0.999987,2.22343e-10
430,1.00001,1.15544e-10
440,1.00001,6.00066e-11
450,1,3.11457e-11
460,0.999992,1.61841e-11
470,0.999996,8.39488e-12
480,1,4.35822e-12
490,1,2.26586e-12
500,1,1.17723e-12
600,1,1.71942e-15
700,1,3.6512e-18
800,1,4.83348e-19
900,1,4.8953e-19
1000,1,4.91304e-19
1100,1,4.91319e-19
1200,1,4.91346e-19
1300,1,4.91559e-19
1400,1,4.91789e-19
1500,1,4.92033e-19
1600,1,4.91181e-19
1700,1,4.91131e-19
1800,1,4.91306e-19
1900,1,4.91424e-19
2000,1,4.91267e-19
2100,1,4.90917e-19
2200,1,4.91058e-19
2300,1,4.91157e-19
2400,1,4.91485e-19
2500,1,4.90849e-19
2600,1,4.90832e-19
2700,1,4.90874e-19
2800,1,4.90626e-19
2900,1,4.91005e-19
3000,1,4.90703e-19
3100,1,4.90648e-19
3200,1,4.90449e-19
3300,1,4.90206e-19
3400,1,4.89803e-19
3500,1,4.9026e-19
3600,1,4.90647e-19
3700,1,4.89808e-19
3800,1,4.90155e-19
3900,1,4.89812e-19
4000,1,4.89384e-19
4100,1,4.90306e-19
4200,1,4.89648e-19
4300,1,4.89275e-19
4400,1,4.88893e-19
4500,1,4.89499e-19
4600,1,4.89436e-19
4700,1,4.89087e-19
4800,1,4.8897e-19
4900,1,4.89653e-19
5000,1,4.9044e-19
5100,1,4.8942e-19
5200,1,4.90431e-19
5300,1,4.90099e-19
5400,1,4.90208e-19
5500,1,4.90834e-19
5600,1,4.90232e-19
5700,1,4.90772e-19
5800,1,4.89871e-19
5900,1,4.89801e-19
6000,1,4.90231e-19
6100,1,4.9011e-19
6200,1,4.90622e-19
6300,1,4.9007e-19
6400,1,4.90408e-19
6500,1,4.89307e-19
6600,1,4.88867e-19
6700,1,4.89117e-19
6800,1,4.88734e-19
6900,1,4.89861e-19
7000,1,4.89073e-19
7100,1,4.87364e-19
7200,1,4.84728e-19
7300,1,4.85895e-19
7400,1,4.85221e-19
7500,1,4.85303e-19
7600,1,4.85061e-19
7700,1,4.8421e-19
7800,1,4.83146e-19
7900,1,4.82497e-19
8000,1,4.8343e-19
8100,1,4.8396e-19
8200,1,4.82447e-19
8300,1,4.82645e-19
8400,1,4.8315e-19
