t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
65,1,-69.8323,3.53307e-25,1.48274e-23,3.53307e-25,1.48274e-23
66,1,-69.3689,4.27828e-25,1.56207e-23,4.27828e-25,1.56207e-23
67,1,-68.9055,5.21165e-25,1.65938e-23,5.21165e-25,1.65938e-23
68,1,-68.4421,6.30827e-25,1.77948e-23,6.30827e-25,1.77948e-23
69,1,-67.9787,7.51984e-25,1.92564e-23,7.51984e-25,1.92564e-23
70,1,-67.5153,8.78229e-25,2.09894e-23,8.78229e-25,2.09894e-23
71,1,-67.0519,1.00268e-24,2.29804e-23,1.00268e-24,2.29804e-23
72,1,-66.5884,1.11913e-24,2.51958e-23,1.11913e-24,2.51958e-23
73,1,-66.125,1.22287e-24,2.75889e-23,1.22287e-24,2.75889e-23
74,1,-65.6616,1.31117e-24,3.01089e-23,1.31117e-24,3.01089e-23
75,1,-65.1982,1.38323e-24,3.27086e-23,1.38323e-24,3.27086e-23
76,1,-64.7348,1.43982e-24,3.53493e-23,1.43982e-24,3.53493e-23
77,1,-64.2714,1.48287e-24,3.80012e-23,1.48287e-24,3.80012e-23
78,1,-63.808,1.51519e-24,4.06371e-23,1.51519e-24,4.06371e-23
79,1,-63.3446,1.54164e-24,4.31998e-23,1.54164e-24,4.31998e-23
80,1,-62.8812,1.5759e-24,4.54644e-23,1.5759e-24,4.54644e-23
81,1,-62.4178,1.67139e-24,4.64565e-23,1.67139e-24,4.64565e-23
82,1,-61.9544,2.05274e-24,4.20645e-23,2.05274e-24,4.20645e-23
83,1,-61.491,3.6483e-24,1.56257e-23,3.6483e-24,1.56257e-23
84,1,-61.0276,1.01643e-23,-9.77701e-23,1.01643e-23,-9.77702e-23
85,1,-60.5642,3.58531e-23,-5.41437e-22,3.58531e-23,-5.41437e-22
86,1,-60.1008,1.33523e-22,-2.19388e-21,1.33523e-22,-2.19388e-21
87,1,-59.6374,4.91857e-22,-8.11314e-21,4.91857e-22,-8.11314e-21
88,1,-59.174,1.7615e-21,-2.8571e-20,1.7615e-21,-2.8571e-20
89,1,-58.7106,6.10974e-21,-9.68895e-20,6.10974e-21,-9.68895e-20
90,1,-58.2471,2.0516e-20,-3.17555e-19,2.0516e-20,-3.17555e-19
91,1,-57.7837,6.67275e-20,-1.00753e-18,6.67275e-20,-1.00753e-18
92,1,-57.3203,2.10365e-19,-3.09769e-18,2.10365e-19,-3.09769e-18
93,1,-56.8569,6.43325e-19,-9.23717e-18,6.43325e-19,-9.23717e-18
94,1,-56.3935,1.90989e-18,-2.67366e-17,1.90989e-18,-2.67366e-17
95,1,-55.9301,5.50857e-18,-7.51744e-17,5.50857e-18,-7.51744e-17
96,1,-55.4667,1.54469e-17,-2.05473e-16,1.54469e-17,-2.05473e-16
97,1,-55.0033,4.21437e-17,-5.46354e-16,4.21437e-17,-5.46354e-16
98,1,-54.5399,1.11949e-16,-1.41429e-15,1.11949e-16,-1.41429e-15
99,1,-54.0765,2.8974e-16,-3.56651e-15,2.8974e-16,-3.56651e-15
100,1,-53.6131,7.31121e-16,-8.76772e-15,7.31121e-16,-8.76772e-15
101,1,-53.1497,1.79992e-15,-2.10259e-14,1.79992e-15,-2.10259e-14
102,1,-52.6863,4.32593e-15,-4.92181e-14,4.32593e-15,-4.92181e-14
103,1,-52.2229,1.01565e-14,-1.12531e-13,1.01565e-14,-1.12531e-13
104,1,-51.7595,2.33088e-14,-2.51456e-13,2.33088e-14,-2.51456e-13
105,1,-51.2961,5.23196e-14,-5.49486e-13,5.23196e-14,-5.49486e-13
106,1,-50.8327,1.1493e-13,-1.17491e-12,1.1493e-13,-1.17491e-12
107,1,-50.3692,2.47219e-13,-2.45957e-12,2.47219e-13,-2.45957e-12
108,1,-49.9058,5.21015e-13,-5.04379e-12,5.21015e-13,-5.04379e-12
109,1,-49.4424,1.07641e-12,-1.01376e-11,1.07641e-12,-1.01376e-11
110,1,-48.979,2.1812e-12,-1.9981e-11,2.1812e-12,-1.9981e-11
111,1,-48.5156,4.3374e-12,-3.86392e-11,4.3374e-12,-3.86392e-11
112,1,-48.0522,8.46844e-12,-7.33475e-11,8.46844e-12,-7.33475e-11
113,1,-47.5888,1.62417e-11,-1.36741e-10,1.62417e-11,-1.36741e-10
114,1,-47.1254,3.06141e-11,-2.50479e-10,3.06141e-11,-2.50479e-10
115,1,-46.662,5.67388e-11,-4.51028e-10,5.67388e-11,-4.51028e-10
116,1,-46.1986,1.03444e-10,-7.98708e-10,1.03444e-10,-7.98708e-10
117,1,-45.7352,1.85607e-10,-1.39159e-09,1.85607e-10,-1.39159e-09
118,1,-45.2718,3.27893e-10,-2.38647e-09,3.27893e-10,-2.38647e-09
119,1,-44.8084,5.70565e-10,-4.02994e-09,5.70565e-10,-4.02994e-09
120,1,-44.345,9.78343e-10,-6.70362e-09,9.78343e-10,-6.70362e-09
121,1,-43.8816,1.65373e-09,-1.09889e-08,1.65373e-09,-1.09889e-08
122,1,-43.4182,2.75675e-09,-1.7758e-08,2.75675e-09,-1.7758e-08
123,1,-42.9548,4.53371e-09,-2.82999e-08,4.53371e-09,-2.82999e-08
124,1,-42.4914,7.35856e-09,-4.44912e-08,7.35856e-09,-4.44912e-08
125,1,-42.028,1.17916e-08,-6.90253e-08,1.17916e-08,-6.90253e-08
126,1,-41.5645,1.86614e-08,-1.05712e-07,1.86614e-08,-1.05712e-07
127,1,-41.1011,2.91779e-08,-1.59868e-07,2.91779e-08,-1.59868e-07
128,1,-40.6377,4.50868e-08,-2.38807e-07,4.50868e-08,-2.38807e-07
129,1,-40.1743,6.88761e-08,-3.52454e-07,6.88761e-08,-3.52454e-07
130,1,-39.711,1.04051e-07,-5.14102e-07,1.04051e-07,-5.14102e-07
131,1,-39.2476,1.55495e-07,-7.41311e-07,1.55495e-07,-7.41311e-07
132,1,-38.7842,2.29937e-07,-1.05697e-06,2.29937e-07,-1.05697e-06
133,0.999999,-38.3208,3.36545e-07,-1.49054e-06,3.36545e-07,-1.49054e-06
134,0.999999,-37.8574,4.87692e-07,-2.07941e-06,4.87692e-07,-2.07941e-06
135,0.999999,-37.3941,6.99893e-07,-2.87038e-06,6.99893e-07,-2.87038e-06
136,0.999998,-36.9307,9.94987e-07,-3.92131e-06,9.94987e-07,-3.92131e-06
137,0.999997,-36.4674,1.40157e-06,-5.30266e-06,1.40157e-06,-5.30266e-06
138,0.999996,-36.004,1.95672e-06,-7.09909e-06,1.95672e-06,-7.09909e-06
139,0.999995,-35.5407,2.70811e-06,-9.41072e-06,2.70811e-06,-9.41072e-06
140,0.999993,-35.0775,3.71647e-06,-1.23542e-05,3.71647e-06,-1.23542e-05
141,0.99999,-34.6143,5.05849e-06,-1.6063e-05,5.05849e-06,-1.6063e-05
142,0.999986,-34.1511,6.83019e-06,-2.06874e-05,6.83019e-06,-2.06874e-05
143,0.999982,-33.6879,9.15082e-06,-2.63927e-05,9.15082e-06,-2.63927e-05
144,0.999976,-33.2249,1.21673e-05,-3.33565e-05,1.21673e-05,-3.33565e-05
145,0.999968,-32.7619,1.60592e-05,-4.17646e-05,1.60592e-05,-4.17646e-05
146,0.999958,-32.299,2.10443e-05,-5.1804e-05,2.10443e-05,-5.1804e-05
147,0.999945,-31.8362,2.73849e-05,-6.36537e-05,2.73849e-05,-6.36537e-05
148,0.999929,-31.3735,3.53942e-05,-7.7473e-05,3.53942e-05,-7.7473e-05
149,0.999909,-30.911,4.54443e-05,-9.33857e-05,4.54443e-05,-9.33857e-05
150,0.999884,-30.4486,5.79733e-05,-0.000111461,5.79733e-05,-0.000111461
151,0.999853,-29.9865,7.34943e-05,-0.00013169,7.34943e-05,-0.00013169
152,0.999815,-29.5246,9.26035e-05,-0.000153956,9.26035e-05,-0.000153956
153,0.999768,-29.063,0.00011599,-0.000178005,0.00011599,-0.000178005
154,0.999711,-28.6016,0.000144445,-0.000203402,0.000144445,-0.000203402
155,0.999642,-28.1407,0.000178869,-0.00022949,0.000178869,-0.00022949
156,0.999559,-27.6801,0.000220287,-0.000255342,0.000220287,-0.000255342
157,0.99946,-27.22,0.000269851,-0.000279701,0.000269851,-0.000279701
158,0.999342,-26.7604,0.000328853,-0.000300921,0.000328853,-0.000300921
159,0.999203,-26.3014,0.000398732,-0.000316903,0.000398732,-0.000316903
160,0.999038,-25.843,0.000481083,-0.000325021,0.000481083,-0.000325021
161,0.998845,-25.3853,0.000577664,-0.000322043,0.000577664,-0.000322043
162,0.998619,-24.9284,0.0006904,-0.000304058,0.0006904,-0.000304058
163,0.998357,-24.4725,0.00082139,-0.000266387,0.00082139,-0.000266387
164,0.998054,-24.0174,0.000972912,-0.000203497,0.000972912,-0.000203497
165,0.997705,-23.5635,0.00114742,-0.000108916,0.00114742,-0.000108916
166,0.997305,-23.1107,0.00134755,2.4857e-05,0.00134755,2.4857e-05
