x,x_g,x_ex,k,init,g,ex,E,T
-400,0,0,-16.081,4.761e-29,4.26596e-29,1.39092e-30,186.325,0
-399.805,0,0,-16.0732,5.2972e-29,8.45322e-29,4.36282e-31,186.143,0
-399.609,1.26808e-28,4.4096e-30,-16.0653,5.79092e-29,1.56286e-28,2.50682e-31,185.961,0
-399.414,1.09333e-28,3.67936e-30,-16.0575,6.38304e-29,3.91467e-29,8.69853e-32,185.779,0
-399.219,8.92388e-30,1.31162e-31,-16.0496,7.03024e-29,2.425e-29,6.52261e-31,185.598,0
-399.023,8.88739e-29,2.75477e-30,-16.0418,7.64312e-29,1.66706e-29,1.97976e-31,185.416,0
-398.828,1.22393e-28,5.37308e-30,-16.0339,8.2932e-29,4.35724e-29,8.41104e-32,185.234,0
-398.632,2.35506e-29,3.50003e-30,-16.026,8.92726e-29,1.55783e-28,1.86638e-30,185.053,0
-398.437,6.36921e-29,4.81785e-31,-16.0182,9.63147e-29,8.74392e-29,1.10356e-30,184.872,0
-398.242,1.25921e-28,4.55265e-30,-16.0103,1.02646e-28,5.40192e-29,4.18882e-31,184.69,0
-398.046,4.32123e-29,5.79387e-30,-16.0025,1.10568e-28,6.96186e-29,7.78152e-30,184.509,0
-397.851,3.77778e-29,2.62762e-30,-15.9946,1.18097e-28,3.59186e-29,2.3964e-30,184.328,0
-397.656,1.32367e-28,1.55205e-30,-15.9868,1.2617e-28,6.53318e-29,1.94625e-30,184.147,0
-397.46,5.05473e-29,4.61913e-30,-15.9789,1.33317e-28,1.02116e-28,1.02615e-30,183.966,0
-397.265,2.28002e-29,4.745e-30,-15.9711,1.41587e-28,6.42622e-29,7.67511e-31,183.786,0
-397.07,1.15122e-28,1.82104e-30,-15.9632,1.4853e-28,4.11101e-29,2.07267e-30,183.605,0
-396.874,8.58119e-29,3.44322e-30,-15.9554,1.5685e-28,4.56543e-29,3.01478e-31,183.424,0
-396.679,2.74214e-31,5.86231e-30,-15.9475,1.66807e-28,4.87929e-29,1.36089e-31,183.244,0
-396.484,7.96247e-29,4.99291e-30,-15.9397,1.74315e-28,6.31454e-29,3.59694e-30,183.063,0
-396.288,1.13191e-28,3.12334e-30,-15.9318,1.8208e-28,7.24838e-29,1.53616e-30,182.883,0
-396.093,1.81134e-29,5.25981e-30,-15.9239,1.90901e-28,1.27645e-28,2.88852e-31,182.703,0
-395.897,3.69726e-29,5.40471e-30,-15.9161,1.99083e-28,1.00354e-28,6.26733e-30,182.522,0
-395.702,1.07716e-28,3.37529e-30,-15.9082,2.07718e-28,7.20488e-29,1.98346e-31,182.342,0
-395.507,6.83109e-29,5.55441e-30,-15.9004,2.15653e-28,1.14891e-28,6.12756e-31,182.162,0
-395.311,3.9814e-30,8.28107e-30,-15.8925,2.23816e-28,1.31208e-28,2.27553e-31,181.982,0
-395.116,5.25351e-29,5.17015e-30,-15.8847,2.3265e-28,7.99343e-29,2.31331e-31,181.803,0
-394.921,7.8071e-29,6.06968e-30,-15.8768,2.40581e-28,1.34556e-28,2.18446e-31,181.623,0
-394.725,4.77966e-29,7.73232e-30,-15.869,2.47992e-28,1.86873e-28,2.52145e-30,181.443,0
