x,AbsPsi
-975,2.49851e-13
-974.9,2.50954e-13
-974.8,2.51234e-13
-974.7,2.52185e-13
-974.6,2.524e-13
-974.5,2.5266e-13
-974.4,2.53045e-13
-974.3,2.53646e-13
-974.2,2.55287e-13
-974.1,2.55877e-13
-974,2.56704e-13
-973.9,2.58434e-13
-973.8,2.58975e-13
-973.7,2.60436e-13
-973.6,2.60143e-13
-973.5,2.61608e-13
-973.4,2.61704e-13
-973.3,2.63574e-13
-973.2,2.64609e-13
-973.1,2.65277e-13
-973,2.66426e-13
-972.9,2.65843e-13
-972.8,2.68139e-13
-972.7,2.67758e-13
-972.6,2.70291e-13
-972.5,2.6902e-13
-972.4,2.69245e-13
-972.3,2.69672e-13
-972.2,2.70159e-13
-972.1,2.71701e-13
-972,2.71804e-13
-971.9,2.71085e-13
-971.8,2.73007e-13
-971.7,2.73162e-13
-971.6,2.74662e-13
-971.5,2.74884e-13
-971.4,2.76595e-13
-971.3,2.76504e-13
-971.2,2.77162e-13
-971.1,2.76828e-13
-971,2.79213e-13
-970.9,2.80038e-13
-970.8,2.79927e-13
-970.7,2.80806e-13
-970.6,2.81627e-13
-970.5,2.81267e-13
-970.4,2.82169e-13
-970.3,2.82842e-13
-970.2,2.82186e-13
-970.1,2.84855e-13
-970,2.84782e-13
-969.9,2.86703e-13
-969.8,2.85876e-13
-969.7,2.86509e-13
-969.6,2.85028e-13
-969.5,2.86804e-13
-969.4,2.86778e-13
-969.3,2.8673e-13
-969.2,2.87258e-13
-969.1,2.89062e-13
-969,2.87102e-13
-968.9,2.9008e-13
-968.8,2.88825e-13
-968.7,2.90734e-13
-968.6,2.89829e-13
-968.5,2.90726e-13
-968.4,2.88597e-13
-968.3,2.91676e-13
-968.2,2.93746e-13
-968.1,2.93304e-13
-968,2.93333e-13
-967.9,2.94522e-13
-967.8,2.92688e-13
-967.7,2.93359e-13
-967.6,2.93782e-13
-967.5,2.94351e-13
-967.4,2.9558e-13
-967.3,2.96475e-13
-967.2,2.96554e-13
-967.1,2.95795e-13
-967,2.97419e-13
-966.9,2.97689e-13
-966.8,2.97193e-13
-966.7,2.98825e-13
-966.6,2.98608e-13
-966.5,3.00004e-13
-966.4,2.99559e-13
-966.3,3.01371e-13
-966.2,2.99724e-13
-966.1,3.00923e-13
-966,2.99576e-13
-965.9,3.01676e-13
-965.8,3.01256e-13
-965.7,3.02561e-13
-965.6,2.99408e-13
-965.5,3.0109e-13
-965.4,2.99922e-13
-965.3,3.02098e-13
-965.2,3.00561e-13
-965.1,3.03126e-13
-965,3.01805e-13
-964.9,3.03655e-13
-964.8,3.03273e-13
-964.7,3.04266e-13
-964.6,3.02553e-13
-964.5,3.03901e-13
-964.4,3.02533e-13
-964.3,3.04516e-13
-964.2,3.03901e-13
-964.1,3.03972e-13
-964,3.03753e-13
-963.9,3.05052e-13
-963.8,3.04313e-13
-963.7,3.04992e-13
-963.6,3.05703e-13
-963.5,3.04008e-13
-963.4,3.04866e-13
-963.3,3.04144e-13
-963.2,3.03994e-13
-963.1,3.03754e-13
-963,3.04311e-13
-962.9,3.03829e-13
-962.8,3.04295e-13
-962.7,3.04087e-13
-962.6,3.05521e-13
-962.5,3.05416e-13
-962.4,3.06091e-13
-962.3,3.05049e-13
-962.2,3.06448e-13
-962.1,3.06798e-13
-962,3.08044e-13
-961.9,3.07891e-13
-961.8,3.08942e-13
-961.7,3.07687e-13
-961.6,3.07141e-13
-961.5,3.08624e-13
-961.4,3.08466e-13
-961.3,3.10388e-13
-961.2,3.0755e-13
-961.1,3.08675e-13
-961,3.07807e-13
-960.9,3.09313e-13
-960.8,3.0781e-13
-960.7,3.10358e-13
-960.6,3.07497e-13
-960.5,3.08923e-13
-960.4,3.08641e-13
-960.3,3.09859e-13
-960.2,3.07834e-13
-960.1,3.10058e-13
-960,3.0995e-13
-959.9,3.10486e-13
-959.8,3.08658e-13
-959.7,3.09907e-13
-959.6,3.0933e-13
-959.5,3.10332e-13
-959.4,3.10179e-13
-959.3,3.11208e-13
-959.2,3.09489e-13
-959.1,3.12107e-13
-959,3.10687e-13
-958.9,3.11122e-13
-958.8,3.11262e-13
-958.7,3.11196e-13
-958.6,3.12421e-13
-958.5,3.12349e-13
-958.4,3.1156e-13
-958.3,3.12083e-13
-958.2,3.1179e-13
-958.1,3.1326e-13
-958,3.11987e-13
-957.9,3.12788e-13
-957.8,3.1163e-13
-957.7,3.12212e-13
-957.6,3.12013e-13
-957.5,3.1354e-13
-957.4,3.12255e-13
-957.3,3.14023e-13
-957.2,3.12217e-13
-957.1,3.1373e-13
-957,3.13179e-13
-956.9,3.13285e-13
-956.8,3.117e-13
-956.7,3.13988e-13
-956.6,3.13274e-13
-956.5,3.14031e-13
-956.4,3.12197e-13
-956.3,3.12891e-13
-956.2,3.12982e-13
-956.1,3.1367e-13
-956,3.15312e-13
-955.9,3.14346e-13
-955.8,3.15182e-13
-955.7,3.14746e-13
-955.6,3.15569e-13
-955.5,3.15831e-13
-955.4,3.15641e-13
-955.3,3.16591e-13
-955.2,3.1648e-13
-955.1,3.16517e-13
-955,3.17479e-13
-954.9,3.18099e-13
-954.8,3.1629e-13
-954.7,3.18685e-13
-954.6,3.16318e-13
-954.5,3.16633e-13
-954.4,3.17098e-13
-954.3,3.16753e-13
-954.2,3.15851e-13
-954.1,3.18006e-13
-954,3.1722e-13
-953.9,3.18513e-13
-953.8,3.1766e-13
-953.7,3.19442e-13
-953.6,3.18113e-13
-953.5,3.18934e-13
-953.4,3.18513e-13
-953.3,3.18562e-13
-953.2,3.19168e-13
-953.1,3.17287e-13
-953,3.19225e-13
-952.9,3.18636e-13
-952.8,3.18266e-13
-952.7,3.1788e-13
-952.6,3.19848e-13
-952.5,3.18529e-13
-952.4,3.18662e-13
-952.3,3.2061e-13
-952.2,3.20447e-13
-952.1,3.20754e-13
-952,3.20371e-13
-951.9,3.19201e-13
-951.8,3.19989e-13
-951.7,3.18987e-13
-951.6,3.20557e-13
-951.5,3.19422e-13
-951.4,3.21606e-13
-951.3,3.20694e-13
-951.2,3.21226e-13
-951.1,3.21386e-13
-951,3.21242e-13
-950.9,3.192e-13
-950.8,3.2136e-13
-950.7,3.19611e-13
-950.6,3.23785e-13
-950.5,3.22284e-13
-950.4,3.22421e-13
-950.3,3.21044e-13
-950.2,3.23015e-13
-950.1,3.21198e-13
-950,3.22382e-13
-949.9,3.21363e-13
-949.8,3.22815e-13
-949.7,3.22241e-13
-949.6,3.23053e-13
-949.5,3.24116e-13
-949.4,3.23292e-13
-949.3,3.24361e-13
-949.2,3.23191e-13
-949.1,3.23965e-13
-949,3.23696e-13
-948.9,3.22851e-13
-948.8,3.23373e-13
-948.7,3.22995e-13
-948.6,3.24265e-13
-948.5,3.23372e-13
-948.4,3.23193e-13
-948.3,3.23601e-13
-948.2,3.23843e-13
-948.1,3.25736e-13
-948,3.26354e-13
-947.9,3.25257e-13
-947.8,3.26123e-13
-947.7,3.25978e-13
-947.6,3.24615e-13
-947.5,3.27164e-13
-947.4,3.26678e-13
-947.3,3.28145e-13
-947.2,3.26331e-13
-947.1,3.26869e-13
-947,3.27537e-13
-946.9,3.28097e-13
-946.8,3.2855e-13
-946.7,3.26981e-13
-946.6,3.2709e-13
-946.5,3.29146e-13
-946.4,3.28022e-13
-946.3,3.29972e-13
-946.2,3.29012e-13
-946.1,3.31312e-13
-946,3.3071e-13
-945.9,3.32184e-13
-945.8,3.29766e-13
-945.7,3.31677e-13
-945.6,3.31322e-13
-945.5,3.31923e-13
-945.4,3.3213e-13
-945.3,3.32553e-13
-945.2,3.32463e-13
-945.1,3.31783e-13
-945,3.31807e-13
-944.9,3.30929e-13
-944.8,3.31773e-13
-944.7,3.33343e-13
-944.6,3.32794e-13
-944.5,3.32534e-13
-944.4,3.32142e-13
-944.3,3.34655e-13
-944.2,3.33626e-13
-944.1,3.35702e-13
-944,3.35087e-13
-943.9,3.36097e-13
-943.8,3.37048e-13
-943.7,3.36795e-13
-943.6,3.3666e-13
-943.5,3.36621e-13
-943.4,3.3747e-13
-943.3,3.38222e-13
-943.2,3.38425e-13
-943.1,3.38662e-13
-943,3.37784e-13
-942.9,3.3748e-13
-942.8,3.38701e-13
-942.7,3.39658e-13
-942.6,3.39972e-13
-942.5,3.38685e-13
-942.4,3.40116e-13
-942.3,3.41589e-13
-942.2,3.41134e-13
-942.1,3.4093e-13
-942,3.39676e-13
-941.9,3.40606e-13
-941.8,3.3922e-13
-941.7,3.41602e-13
-941.6,3.41674e-13
-941.5,3.42676e-13
-941.4,3.42861e-13
-941.3,3.44215e-13
-941.2,3.43507e-13
-941.1,3.43873e-13
-941,3.4453e-13
-940.9,3.45713e-13
-940.8,3.4523e-13
-940.7,3.45365e-13
-940.6,3.44569e-13
-940.5,3.45761e-13
-940.4,3.4531e-13
-940.3,3.44564e-13
-940.2,3.4518e-13
-940.1,3.43681e-13
-940,3.46449e-13
-939.9,3.44758e-13
-939.8,3.4474e-13
-939.7,3.42709e-13
-939.6,3.4304e-13
-939.5,3.42733e-13
-939.4,3.43587e-13
-939.3,3.44226e-13
-939.2,3.4303e-13
-939.1,3.42502e-13
-939,3.45379e-13
-938.9,3.44441e-13
-938.8,3.43888e-13
-938.7,3.44673e-13
-938.6,3.4417e-13
-938.5,3.43687e-13
-938.4,3.44874e-13
-938.3,3.44879e-13
-938.2,3.46704e-13
-938.1,3.47924e-13
-938,3.48216e-13
-937.9,3.46726e-13
-937.8,3.48381e-13
-937.7,3.47185e-13
-937.6,3.47516e-13
-937.5,3.47592e-13
-937.4,3.46551e-13
-937.3,3.46753e-13
-937.2,3.48051e-13
-937.1,3.46801e-13
-937,3.49379e-13
-936.9,3.50015e-13
-936.8,3.49256e-13
-936.7,3.4991e-13
-936.6,3.49709e-13
-936.5,3.49828e-13
-936.4,3.51031e-13
-936.3,3.49772e-13
-936.2,3.51708e-13
-936.1,3.52034e-13
-936,3.53016e-13
-935.9,3.51966e-13
-935.8,3.51423e-13
-935.7,3.52598e-13
-935.6,3.51015e-13
