x,AbsPsi
-975,1.32267e-17
-974.9,7.85594e-18
-974.8,1.5319e-17
-974.7,7.86892e-18
-974.6,7.4126e-18
-974.5,9.24086e-18
-974.4,1.18466e-17
-974.3,8.71957e-18
-974.2,1.53592e-17
-974.1,1.46753e-17
-974,1.82432e-18
-973.9,9.95448e-18
-973.8,9.70968e-18
-973.7,1.67869e-17
-973.6,1.62371e-17
-973.5,2.03898e-17
-973.4,1.09299e-17
-973.3,2.12038e-17
-973.2,8.93315e-18
-973.1,7.67279e-18
-973,1.24956e-17
-972.9,6.63938e-18
-972.8,1.55727e-17
-972.7,9.90991e-18
-972.6,1.11253e-17
-972.5,1.22334e-17
-972.4,8.7083e-18
-972.3,1.29655e-17
-972.2,8.00291e-18
-972.1,1.06594e-17
-972,9.85381e-18
-971.9,1.8352e-18
-971.8,1.02109e-17
-971.7,1.17168e-17
-971.6,1.10627e-17
-971.5,3.05247e-17
-971.4,1.35975e-17
-971.3,9.80129e-18
-971.2,9.01832e-18
-971.1,8.00996e-18
-971,7.94644e-18
-970.9,2.1632e-17
-970.8,1.76488e-17
-970.7,1.45256e-18
-970.6,1.18588e-17
-970.5,8.39407e-18
-970.4,1.00895e-17
-970.3,1.64056e-17
-970.2,5.4345e-18
-970.1,1.10373e-17
-970,5.03778e-18
-969.9,4.3619e-18
-969.8,1.21563e-17
-969.7,8.01627e-18
-969.6,1.34365e-17
-969.5,1.24424e-17
-969.4,2.05467e-17
-969.3,3.94364e-18
-969.2,5.25927e-18
-969.1,2.6509e-17
-969,2.48832e-18
-968.9,8.40682e-18
-968.8,1.12209e-17
-968.7,1.64675e-17
-968.6,1.87326e-17
-968.5,1.74242e-17
-968.4,1.53373e-17
-968.3,1.26123e-18
-968.2,5.39982e-18
-968.1,3.66112e-18
-968,6.36659e-18
-967.9,3.16183e-18
-967.8,1.26924e-17
-967.7,7.9388e-18
-967.6,9.14033e-18
-967.5,2.78015e-18
-967.4,1.59155e-17
-967.3,5.26484e-18
-967.2,1.51999e-17
-967.1,5.46223e-18
-967,1.93628e-17
-966.9,1.22104e-17
-966.8,1.20867e-17
-966.7,1.59289e-17
-966.6,1.83192e-17
-966.5,1.64479e-17
-966.4,5.61884e-18
-966.3,1.82417e-17
-966.2,1.17993e-17
-966.1,6.91901e-18
-966,5.95488e-18
-965.9,1.81807e-17
-965.8,1.54569e-17
-965.7,1.71555e-17
-965.6,3.43829e-17
-965.5,1.05508e-17
-965.4,1.20249e-17
-965.3,5.60442e-18
-965.2,1.27669e-17
-965.1,1.81479e-17
-965,4.69617e-18
-964.9,6.47125e-18
-964.8,1.23222e-17
-964.7,1.55723e-17
-964.6,4.56276e-18
-964.5,4.90595e-18
-964.4,1.57709e-17
-964.3,1.21472e-17
-964.2,1.6452e-17
-964.1,8.43627e-18
-964,3.51524e-18
-963.9,2.26514e-18
-963.8,1.5069e-17
-963.7,1.36146e-17
-963.6,9.74776e-18
-963.5,7.79042e-18
-963.4,1.38651e-17
-963.3,1.80165e-17
-963.2,1.69405e-17
-963.1,7.45858e-18
-963,1.509e-17
-962.9,2.50736e-17
-962.8,8.38208e-18
-962.7,1.34759e-17
-962.6,2.88334e-18
-962.5,5.21786e-18
-962.4,1.84052e-17
-962.3,2.3703e-17
-962.2,1.24697e-17
-962.1,1.81036e-17
-962,3.15669e-17
-961.9,2.0297e-17
-961.8,1.73798e-17
-961.7,1.44239e-17
-961.6,4.29708e-18
-961.5,2.97266e-18
-961.4,9.85001e-18
-961.3,5.88673e-18
-961.2,1.45873e-17
-961.1,2.58565e-18
-961,1.79918e-18
-960.9,1.43453e-17
-960.8,1.01315e-17
-960.7,2.33041e-17
-960.6,1.96718e-17
-960.5,9.15348e-18
-960.4,9.28922e-18
-960.3,4.10683e-18
-960.2,1.58378e-17
-960.1,1.94245e-18
-960,1.4833e-17
-959.9,2.07739e-17
-959.8,1.01459e-17
-959.7,1.47336e-17
-959.6,1.28432e-17
-959.5,2.23767e-18
-959.4,1.07182e-17
-959.3,3.55563e-18
-959.2,3.41525e-18
-959.1,2.28798e-17
-959,2.09922e-17
-958.9,2.71786e-17
-958.8,1.55624e-17
-958.7,6.4246e-18
-958.6,8.11485e-18
-958.5,1.07083e-17
-958.4,9.10674e-18
-958.3,9.21968e-18
-958.2,1.21386e-17
-958.1,1.29458e-17
-958,7.6327e-18
-957.9,1.34442e-17
-957.8,2.46942e-17
-957.7,7.47242e-18
-957.6,1.97576e-17
-957.5,1.03378e-17
-957.4,1.94536e-17
-957.3,2.39011e-17
-957.2,9.62715e-18
-957.1,1.70084e-17
-957,1.65448e-17
-956.9,5.59614e-18
-956.8,3.29189e-18
-956.7,9.40757e-18
-956.6,4.81516e-18
-956.5,2.09423e-17
-956.4,1.19091e-17
-956.3,1.14682e-17
-956.2,1.55117e-17
-956.1,8.42366e-18
-956,1.52091e-17
-955.9,1.64486e-17
-955.8,1.24567e-17
-955.7,2.43864e-17
-955.6,7.12633e-18
-955.5,1.34119e-17
-955.4,2.33184e-17
-955.3,1.34738e-17
-955.2,2.35111e-18
-955.1,1.06479e-17
-955,2.18277e-17
-954.9,1.34698e-17
-954.8,1.21475e-17
-954.7,8.51872e-18
-954.6,1.92835e-17
-954.5,1.38123e-17
-954.4,2.33974e-17
-954.3,9.66486e-18
-954.2,1.75482e-17
-954.1,1.51109e-17
-954,1.82476e-17
-953.9,7.87739e-18
-953.8,1.36021e-17
-953.7,1.26734e-17
-953.6,1.44333e-17
-953.5,6.00171e-18
-953.4,1.32932e-17
-953.3,2.96801e-18
-953.2,1.89529e-17
-953.1,2.02235e-17
-953,9.08772e-18
-952.9,1.64781e-17
-952.8,4.98617e-18
-952.7,9.2087e-18
-952.6,1.55224e-17
-952.5,1.77987e-18
-952.4,1.97962e-17
-952.3,1.52034e-17
-952.2,8.19264e-18
-952.1,1.93706e-17
-952,1.20397e-17
-951.9,1.01929e-17
-951.8,1.3559e-17
-951.7,1.29801e-17
-951.6,7.44772e-18
-951.5,3.48587e-18
-951.4,1.12529e-17
-951.3,1.23731e-17
-951.2,1.05683e-17
-951.1,2.1151e-17
-951,1.31317e-17
-950.9,4.99179e-18
-950.8,1.65583e-17
-950.7,1.56352e-17
-950.6,2.97415e-18
-950.5,9.34065e-18
-950.4,1.25632e-17
-950.3,1.07695e-17
-950.2,7.89941e-19
-950.1,2.057e-17
-950,2.65279e-18
-949.9,1.82517e-17
-949.8,7.72205e-18
-949.7,1.37949e-17
-949.6,1.2606e-17
-949.5,7.23832e-18
-949.4,1.23787e-17
-949.3,1.02435e-17
-949.2,8.94507e-18
-949.1,1.1911e-17
-949,4.3301e-18
-948.9,1.52291e-17
-948.8,1.05886e-17
-948.7,5.84652e-18
-948.6,1.35431e-17
-948.5,5.5029e-18
-948.4,9.32896e-18
-948.3,7.1287e-18
-948.2,7.4353e-18
-948.1,1.23132e-17
-948,1.30611e-17
-947.9,1.36905e-17
-947.8,9.81343e-18
-947.7,1.18426e-17
-947.6,1.56065e-17
-947.5,2.84585e-17
-947.4,4.43866e-18
-947.3,6.17014e-18
-947.2,4.92752e-18
-947.1,4.77447e-18
-947,1.59874e-17
-946.9,4.66803e-18
-946.8,1.99721e-17
-946.7,1.01428e-17
-946.6,2.14613e-17
-946.5,1.6897e-17
-946.4,4.11067e-18
-946.3,1.18412e-17
-946.2,7.81551e-18
-946.1,1.7088e-17
-946,7.3298e-18
-945.9,8.54241e-18
-945.8,1.40048e-17
-945.7,1.04828e-17
-945.6,7.58434e-18
-945.5,3.02482e-18
-945.4,3.18351e-18
-945.3,1.09012e-17
-945.2,1.68318e-17
-945.1,1.32935e-17
-945,1.71076e-17
-944.9,7.25788e-18
-944.8,1.68934e-17
-944.7,1.83881e-18
-944.6,1.46853e-17
-944.5,6.17763e-18
-944.4,2.0855e-17
-944.3,1.59922e-17
-944.2,1.7196e-17
-944.1,1.32242e-17
-944,4.58115e-18
-943.9,5.72095e-18
-943.8,7.96007e-18
-943.7,7.82842e-18
-943.6,1.06703e-17
-943.5,1.08702e-17
-943.4,4.51147e-18
-943.3,1.44286e-17
-943.2,5.42016e-18
-943.1,6.54926e-18
-943,6.65534e-18
-942.9,2.28419e-17
-942.8,7.72159e-18
-942.7,1.37996e-17
-942.6,9.02219e-18
-942.5,1.27965e-17
-942.4,7.55015e-18
-942.3,1.75192e-17
-942.2,3.87943e-18
-942.1,1.841e-17
-942,3.63743e-18
-941.9,1.34892e-17
-941.8,4.60708e-18
-941.7,4.45087e-18
-941.6,1.171e-17
-941.5,3.10346e-18
-941.4,8.93299e-18
-941.3,7.39459e-18
-941.2,2.3486e-17
-941.1,2.93724e-17
-941,9.95938e-18
-940.9,1.07937e-17
-940.8,1.49985e-17
-940.7,3.30883e-18
-940.6,3.56199e-18
-940.5,7.36936e-18
-940.4,9.22416e-18
-940.3,7.5928e-18
-940.2,1.42242e-17
-940.1,7.97679e-18
-940,3.50567e-18
-939.9,1.03953e-17
-939.8,9.24453e-18
-939.7,9.82717e-18
-939.6,6.9665e-18
-939.5,5.25906e-18
-939.4,1.79528e-17
-939.3,9.94621e-18
-939.2,4.06296e-18
-939.1,9.04858e-18
-939,2.03125e-17
-938.9,1.10674e-17
-938.8,1.39449e-17
-938.7,1.10185e-17
-938.6,1.82935e-17
-938.5,6.1871e-18
-938.4,1.16511e-17
-938.3,1.70482e-17
-938.2,7.64216e-18
-938.1,9.99286e-18
-938,8.23639e-18
-937.9,5.27035e-18
-937.8,1.13772e-17
-937.7,5.59242e-18
-937.6,1.14803e-17
-937.5,7.72523e-18
-937.4,6.43026e-18
-937.3,2.01074e-17
-937.2,5.06861e-18
-937.1,1.3419e-17
-937,5.78828e-18
-936.9,1.36348e-17
-936.8,1.66422e-17
-936.7,1.21174e-17
-936.6,9.54687e-18
-936.5,1.02823e-17
-936.4,1.61899e-17
-936.3,2.58596e-18
-936.2,1.15793e-17
-936.1,7.27457e-18
-936,2.51342e-18
-935.9,3.43502e-18
-935.8,1.21449e-17
-935.7,1.49057e-17
-935.6,7.95862e-18
-935.5,2.66308e-17
-935.4,1.44315e-17
-935.3,1.58653e-17
-935.2,9.60545e-18
-935.1,1.12687e-17
-935,1.1831e-17
-934.9,3.08692e-18
-934.8,2.34691e-17
-934.7,1.21466e-17
-934.6,7.2857e-18
-934.5,6.83356e-18
-934.4,1.00237e-17
-934.3,7.96732e-18
-934.2,6.07727e-18
-934.1,1.81001e-17
-934,3.81349e-18
-933.9,8.07506e-18
-933.8,1.16635e-17
-933.7,2.60928e-17
-933.6,4.35856e-18
-933.5,1.69836e-17
-933.4,1.00346e-17
-933.3,1.588e-18
-933.2,3.82002e-18
-933.1,2.01854e-17
-933,6.65592e-18
-932.9,5.60743e-18
-932.8,1.52312e-17
-932.7,6.61491e-18
-932.6,8.14215e-18
-932.5,2.43395e-18
-932.4,9.78161e-18
-932.3,9.37392e-18
-932.2,1.00601e-17
-932.1,4.49953e-18
-932,1.15441e-17
-931.9,1.35089e-17
-931.8,1.22621e-17
-931.7,4.0854e-18
-931.6,1.52861e-17
-931.5,5.42852e-18
-931.4,9.14154e-18
-931.3,1.05825e-17
-931.2,4.60733e-18
-931.1,3.36105e-18
-931,9.13235e-18
-930.9,9.15177e-18
-930.8,8.73998e-18
-930.7,1.40571e-17
-930.6,1.19595e-17
-930.5,1.19598e-17
-930.4,2.87057e-18
-930.3,4.01975e-18
-930.2,5.47406e-18
-930.1,7.54478e-18
-930,7.30572e-19
-929.9,8.0965e-18
-929.8,1.23637e-17
-929.7,5.25224e-18
-929.6,5.05196e-18
-929.5,3.88465e-18
-929.4,1.29701e-17
-929.3,2.32367e-18
-929.2,5.69822e-18
-929.1,6.64506e-18
-929,9.96859e-18
-928.9,1.63594e-17
-928.8,2.00499e-17
-928.7,7.2275e-18
-928.6,1.00231e-17
-928.5,4.91397e-18
-928.4,4.27806e-18
-928.3,1.20686e-17
-928.2,9.30407e-19
-928.1,1.79025e-17
-928,5.0108e-18
-927.9,7.84963e-18
-927.8,1.92634e-18
-927.7,9.48517e-18
-927.6,1.47425e-17
-927.5,1.29555e-17
-927.4,1.36228e-17
-927.3,1.04395e-17
-927.2,1.38096e-17
-927.1,1.02961e-17
-927,5.41557e-18
-926.9,3.52377e-18
-926.8,8.58642e-18
-926.7,8.22688e-18
-926.6,3.20375e-19
-926.5,9.21338e-18
-926.4,1.3744e-18
-926.3,6.78795e-18
-926.2,1.27741e-17
-926.1,6.71501e-18
-926,1.35524e-17
-925.9,1.58452e-17
-925.8,5.44884e-18
-925.7,8.85418e-18
-925.6,1.89912e-17
-925.5,7.24215e-18
-925.4,8.85549e-18
-925.3,5.67149e-18
-925.2,1.22631e-17
-925.1,6.00505e-18
-925,7.34054e-18
-924.9,1.23425e-17
-924.8,1.94373e-17
-924.7,1.47362e-17
-924.6,2.3381e-18
-924.5,1.4409e-17
-924.4,8.10257e-18
-924.3,1.60479e-18
-924.2,1.94851e-17
-924.1,1.46621e-17
-924,1.70224e-17
-923.9,5.94889e-18
-923.8,6.2593e-18
-923.7,2.23183e-18
-923.6,9.67631e-18
-923.5,4.05831e-18
-923.4,1.43278e-17
-923.3,5.51007e-18
-923.2,2.71983e-18
-923.1,1.05679e-17
-923,1.59122e-17
-922.9,1.52358e-17
-922.8,1.20547e-17
-922.7,8.45233e-18
-922.6,7.73998e-18
-922.5,2.31569e-18
-922.4,2.38776e-18
-922.3,7.32526e-18
-922.2,9.38155e-18
-922.1,4.92188e-18
-922,1.18309e-17
-921.9,1.08464e-17
-921.8,8.80967e-18
-921.7,1.20333e-18
-921.6,2.39937e-18
-921.5,5.41004e-18
-921.4,6.35607e-18
-921.3,2.7005e-18
-921.2,7.91284e-18
-921.1,1.05298e-17
-921,3.03131e-18
-920.9,7.83583e-18
-920.8,1.20544e-17
-920.7,3.68829e-18
-920.6,2.75572e-18
-920.5,1.73349e-18
-920.4,1.14554e-17
-920.3,1.69612e-17
-920.2,9.94685e-18
-920.1,6.24256e-18
-920,5.90715e-18
-919.9,6.80704e-18
-919.8,1.80299e-17
-919.7,1.74206e-17
-919.6,1.36482e-17
-919.5,1.51282e-17
-919.4,2.51942e-17
-919.3,6.83042e-18
-919.2,1.24359e-17
-919.1,1.02884e-17
-919,1.61828e-17
-918.9,1.93769e-18
-918.8,3.78809e-18
-918.7,5.30076e-18
-918.6,1.33613e-17
-918.5,1.3081e-17
-918.4,9.50098e-18
-918.3,5.44771e-18
-918.2,7.98958e-18
-918.1,6.74461e-18
-918,9.18578e-18
-917.9,6.6347e-18
-917.8,1.6841e-17
-917.7,1.18884e-17
-917.6,9.01959e-18
-917.5,9.91684e-18
-917.4,9.54022e-18
-917.3,6.8e-18
-917.2,7.43553e-18
-917.1,1.47787e-17
-917,1.35346e-17
-916.9,9.80217e-18
-916.8,1.81305e-17
-916.7,1.32531e-17
-916.6,4.46117e-18
-916.5,8.68979e-18
-916.4,1.5736e-17
-916.3,4.33244e-18
-916.2,2.38225e-18
-916.1,9.39651e-18
-916,5.55842e-18
-915.9,8.37667e-18
-915.8,6.8452e-18
-915.7,1.27558e-17
-915.6,7.89629e-18
-915.5,1.23041e-18
-915.4,9.67762e-18
-915.3,1.30069e-17
-915.2,2.59653e-18
-915.1,2.13798e-18
-915,7.57749e-18
-914.9,2.78765e-18
-914.8,7.70911e-18
-914.7,9.62006e-19
-914.6,1.12371e-17
-914.5,4.72061e-18
-914.4,4.33977e-18
-914.3,1.76204e-17
-914.2,1.60976e-17
-914.1,6.94711e-18
-914,1.03896e-17
-913.9,7.56851e-18
-913.8,6.52158e-18
-913.7,1.43157e-17
-913.6,1.65123e-17
-913.5,1.32587e-17
-913.4,2.14164e-17
-913.3,1.14776e-17
-913.2,7.48294e-18
-913.1,5.09724e-18
-913,1.72227e-17
-912.9,1.35226e-17
-912.8,1.16548e-17
-912.7,8.59872e-18
-912.6,1.04433e-17
-912.5,2.38621e-18
-912.4,1.08722e-17
-912.3,3.90232e-18
-912.2,9.29532e-18
-912.1,1.1934e-17
-912,1.08697e-17
-911.9,1.09698e-17
-911.8,1.9649e-17
-911.7,9.45697e-18
-911.6,6.1101e-18
-911.5,7.81043e-18
-911.4,1.20942e-17
-911.3,2.68846e-18
-911.2,1.68118e-17
-911.1,1.18358e-17
-911,1.23586e-17
-910.9,6.79687e-18
-910.8,1.32353e-17
-910.7,4.75856e-18
-910.6,1.1979e-17
-910.5,9.52748e-18
-910.4,1.29684e-17
-910.3,8.75837e-18
-910.2,1.19604e-17
-910.1,7.04486e-18
-910,1.51749e-17
-909.9,1.04508e-17
-909.8,7.94614e-18
-909.7,1.23175e-17
-909.6,5.38667e-18
-909.5,1.78025e-17
-909.4,7.29203e-18
-909.3,5.02195e-18
-909.2,7.9745e-18
-909.1,1.73472e-17
-909,7.91256e-18
-908.9,1.1909e-17
-908.8,1.95312e-17
-908.7,5.49984e-18
-908.6,1.63203e-17
-908.5,1.91395e-17
-908.4,1.40944e-17
-908.3,1.59199e-17
-908.2,2.05077e-17
-908.1,2.03528e-18
-908,1.48529e-17
-907.9,1.40675e-17
-907.8,1.89905e-17
-907.7,1.20533e-17
-907.6,1.68284e-17
-907.5,1.40907e-17
-907.4,1.00961e-17
-907.3,2.29557e-17
-907.2,1.67013e-17
-907.1,7.17702e-18
-907,1.9915e-17
-906.9,7.83399e-18
-906.8,4.40304e-18
-906.7,1.72077e-17
-906.6,8.33985e-18
-906.5,1.14014e-17
-906.4,2.26597e-17
-906.3,7.45032e-18
-906.2,2.92248e-18
-906.1,1.4622e-17
-906,3.83148e-18
-905.9,9.37538e-18
-905.8,1.32597e-17
-905.7,1.09266e-17
-905.6,1.4068e-17
-905.5,5.86939e-18
-905.4,7.23417e-18
-905.3,1.19582e-17
-905.2,1.87756e-17
-905.1,9.46228e-18
-905,8.79734e-18
-904.9,2.11784e-17
-904.8,5.4761e-18
-904.7,7.50497e-18
-904.6,6.60547e-18
-904.5,1.09987e-17
-904.4,1.8945e-17
-904.3,2.99139e-17
-904.2,8.88482e-18
-904.1,2.07042e-17
-904,1.70999e-17
-903.9,1.07563e-17
-903.8,7.42534e-18
-903.7,2.06478e-17
-903.6,1.79874e-17
-903.5,1.12226e-17
-903.4,1.73697e-17
-903.3,1.44768e-17
-903.2,1.48932e-17
-903.1,1.66543e-17
-903,2.73356e-17
-902.9,1.21493e-17
-902.8,1.56251e-17
-902.7,2.36533e-17
-902.6,1.03154e-17
-902.5,1.62168e-17
-902.4,4.42574e-18
-902.3,1.09961e-17
-902.2,1.00776e-17
-902.1,1.39509e-17
-902,1.12527e-17
-901.9,7.87732e-18
-901.8,2.39206e-18
-901.7,4.66673e-18
-901.6,2.87563e-17
-901.5,3.2404e-18
-901.4,1.1023e-17
-901.3,1.55699e-17
-901.2,1.68727e-17
-901.1,9.39777e-18
-901,1.25681e-17
-900.9,1.31078e-17
-900.8,8.51392e-18
-900.7,2.49953e-17
-900.6,1.25014e-17
-900.5,1.39434e-17
-900.4,9.7975e-18
-900.3,6.95387e-18
-900.2,1.0524e-17
-900.1,2.20661e-17
-900,1.77517e-17
-899.9,8.87579e-18
-899.8,1.43297e-17
-899.7,8.21853e-18
-899.6,1.15707e-17
-899.5,2.45103e-17
-899.4,1.53167e-17
-899.3,1.80407e-17
-899.2,2.61803e-17
-899.1,1.62258e-17
-899,8.73693e-18
-898.9,1.16187e-17
-898.8,8.63916e-18
-898.7,1.4919e-17
-898.6,5.22175e-18
-898.5,1.54696e-17
-898.4,1.17378e-17
-898.3,1.20373e-17
-898.2,1.57056e-17
-898.1,2.58187e-18
-898,1.13621e-17
-897.9,1.75642e-17
-897.8,6.75415e-18
-897.7,2.14564e-17
-897.6,8.38766e-18
-897.5,1.64077e-17
-897.4,1.49717e-17
-897.3,8.98412e-18
-897.2,1.39224e-17
-897.1,2.14136e-17
-897,5.95673e-18
-896.9,1.98726e-17
-896.8,1.25045e-17
-896.7,1.71192e-17
-896.6,9.22415e-18
-896.5,1.61128e-17
