x,x_g,x_ex,k,init,g,ex,E,T
-400,0,0,-16.081,4.761e-29,4.69023e-29,2.26913e-30,186.325,0
-399.805,0,0,-16.0732,5.2972e-29,1.08251e-28,3.23918e-30,186.143,0
-399.609,1.23231e-28,2.84732e-30,-16.0653,5.79092e-29,1.30912e-28,1.55399e-30,185.961,0
-399.414,1.13655e-28,2.99791e-30,-16.0575,6.38304e-29,4.0309e-29,5.86068e-30,185.779,0
-399.219,4.07296e-30,4.2972e-31,-16.0496,7.03024e-29,1.96861e-29,1.45821e-30,185.598,0
-399.023,6.79064e-29,8.69142e-31,-16.0418,7.64312e-29,1.06447e-28,1.41228e-30,185.416,0
-398.828,1.15109e-28,3.87572e-30,-16.0339,8.2932e-29,5.50917e-29,4.1828e-31,185.234,0
-398.632,4.28695e-29,2.6578e-30,-16.026,8.92726e-29,1.01889e-28,2.79402e-31,185.053,0
-398.437,1.52977e-29,5.59353e-31,-16.0182,9.63147e-29,2.61981e-29,1.22342e-30,184.872,0
-398.242,7.56893e-29,1.71433e-30,-16.0103,1.02646e-28,7.95134e-29,2.5626e-31,184.69,0
-398.046,5.28681e-29,3.41309e-30,-16.0025,1.10568e-28,8.52381e-29,2.12205e-31,184.509,0
-397.851,1.19989e-29,3.05781e-30,-15.9946,1.18097e-28,1.0612e-28,3.24186e-30,184.328,0
-397.656,3.24279e-29,1.43435e-30,-15.9868,1.2617e-28,4.87641e-29,3.77546e-31,184.147,0
-397.46,3.90594e-29,2.8548e-30,-15.9789,1.33317e-28,3.89751e-29,1.47191e-30,183.966,0
-397.265,1.36312e-29,3.4203e-30,-15.9711,1.41587e-28,8.74798e-29,6.71977e-31,183.786,0
-397.07,2.39645e-29,2.92351e-30,-15.9632,1.4853e-28,1.16267e-28,3.27599e-31,183.605,0
-396.874,3.355e-29,1.99162e-30,-15.9554,1.5685e-28,1.07489e-28,2.69154e-30,183.424,0
-396.679,8.52347e-30,1.57514e-30,-15.9475,1.66807e-28,1.12238e-28,1.15271e-30,183.244,0
-396.484,2.25938e-29,3.93032e-30,-15.9397,1.74315e-28,3.86405e-29,1.96031e-30,183.063,0
-396.288,6.22471e-29,3.45213e-30,-15.9318,1.8208e-28,1.18006e-28,6.49771e-30,182.883,0
-396.093,4.4745e-29,1.59499e-30,-15.9239,1.90901e-28,1.11727e-28,8.98142e-31,182.703,0
-395.897,3.40907e-30,2.247e-30,-15.9161,1.99083e-28,1.11673e-28,1.57974e-30,182.522,0
-395.702,8.86923e-29,4.93863e-30,-15.9082,2.07718e-28,8.41245e-29,3.91669e-31,182.342,0
-395.507,1.56172e-28,4.63483e-30,-15.9004,2.15653e-28,1.1381e-28,1.26336e-30,182.162,0
-395.311,4.16832e-29,1.63384e-30,-15.8925,2.23816e-28,1.45438e-29,5.93423e-31,181.982,0
-395.116,3.96769e-29,2.93168e-30,-15.8847,2.3265e-28,1.08043e-28,1.3885e-31,181.803,0
-394.921,2.49855e-28,7.50223e-30,-15.8768,2.40581e-28,1.92734e-28,3.70465e-31,181.623,0
-394.725,1.94432e-28,4.75638e-30,-15.869,2.47992e-28,1.0453e-28,1.1016e-30,181.443,0
-394.53,8.44124e-30,1.371e-30,-15.8611,2.56515e-28,1.53122e-28,9.37608e-31,181.264,0
-394.335,2.02911e-28,5.88852e-30,-15.8533,2.64722e-28,1.16288e-28,3.16472e-30,181.084,0
-394.139,3.56399e-28,6.93235e-30,-15.8454,2.7207e-28,1.28027e-28,1.62382e-30,180.905,0
-393.944,8.84861e-29,2.5055e-30,-15.8376,2.80737e-28,1.2973e-28,9.9211e-31,180.726,0
-393.748,9.58523e-29,2.42792e-30,-15.8297,2.87417e-28,1.24781e-28,5.54606e-31,180.546,0
-393.553,4.71682e-28,6.16921e-30,-15.8218,2.95246e-28,1.30685e-28,1.29573e-30,180.367,0
-393.358,3.0946e-28,5.98474e-30,-15.814,3.0244e-28,1.34156e-28,2.62744e-30,180.188,0
-393.162,2.20415e-29,1.16613e-30,-15.8061,3.08641e-28,1.54351e-28,2.69806e-31,180.009,0
-392.967,3.24233e-28,3.88119e-30,-15.7983,3.16557e-28,5.58323e-29,5.17066e-30,179.83,0
-392.772,4.57719e-28,8.86245e-30,-15.7904,3.22369e-28,7.45889e-29,3.75429e-31,179.652,0
-392.576,1.16296e-28,4.39818e-30,-15.7826,3.29515e-28,1.65626e-28,8.48127e-31,179.473,0
-392.381,1.45369e-28,1.11284e-30,-15.7747,3.33938e-28,1.83896e-28,1.42178e-31,179.294,0
-392.186,4.66781e-28,5.92565e-30,-15.7669,3.40519e-28,9.23133e-29,9.43687e-31,179.116,0
-391.99,2.53844e-28,8.01268e-30,-15.759,3.4528e-28,1.58052e-28,1.09857e-30,178.938,0
-391.795,1.62857e-29,1.80254e-30,-15.7512,3.48537e-28,1.35152e-28,7.11195e-31,178.759,0
-391.6,2.91192e-28,1.91893e-30,-15.7433,3.54148e-28,1.44034e-28,6.20747e-30,178.581,0
-391.404,4.07913e-28,7.35754e-30,-15.7355,3.60186e-28,2.20856e-28,7.9764e-30,178.403,0
-391.209,6.86641e-29,4.88642e-30,-15.7276,3.63762e-28,2.34743e-28,1.15579e-30,178.225,0
-391.013,1.04353e-28,1.41368e-31,-15.7197,3.67546e-28,4.95169e-29,1.46195e-30,178.047,0
-390.818,3.50204e-28,3.58496e-30,-15.7119,3.71862e-28,6.43512e-29,2.75691e-30,177.869,0
-390.623,1.83994e-28,8.89062e-30,-15.704,3.7342e-28,2.01686e-28,2.19595e-30,177.691,0
-390.427,1.97433e-30,3.68669e-30,-15.6962,3.75808e-28,1.87175e-28,5.88832e-30,177.513,0
-390.232,2.05367e-28,4.35126e-31,-15.6883,3.79773e-28,6.29974e-29,2.84229e-30,177.336,0
-390.037,2.31413e-28,5.35979e-30,-15.6805,3.81976e-28,8.63721e-29,4.08579e-30,177.158,0
-389.841,4.14025e-29,5.93691e-30,-15.6726,3.83744e-28,5.58458e-29,5.05291e-31,176.981,0
-389.646,4.37714e-29,8.72307e-31,-15.6648,3.83612e-28,1.06835e-28,9.91324e-30,176.804,0
-389.451,1.93897e-28,2.74156e-30,-15.6569,3.86282e-28,1.78933e-28,1.08129e-30,176.626,0
-389.255,1.12157e-28,8.19744e-30,-15.6491,3.85315e-28,5.8818e-29,2.84882e-30,176.449,0
-389.06,4.3187e-30,5.86619e-30,-15.6412,3.84879e-28,7.87845e-29,4.18518e-30,176.272,0
-388.864,6.56887e-29,2.06188e-30,-15.6334,3.85325e-28,1.24808e-28,1.53366e-30,176.095,0
-388.669,1.43281e-28,5.16249e-30,-15.6255,3.85148e-28,1.02272e-28,4.88373e-30,175.918,0
-388.474,4.87631e-29,7.4775e-30,-15.6176,3.8309e-28,1.88223e-29,3.39767e-30,175.741,0
-388.278,1.63382e-29,6.02687e-30,-15.6098,3.82307e-28,1.55756e-28,1.35481e-29,175.565,0
-388.083,9.22596e-29,3.751e-30,-15.6019,3.81027e-28,1.58472e-28,4.81609e-30,175.388,0
-387.888,1.08302e-28,7.6543e-30,-15.5941,3.78963e-28,2.35505e-28,9.96625e-31,175.212,0
-387.692,1.7728e-29,9.39342e-30,-15.5862,3.76758e-28,8.91961e-29,4.53584e-30,175.035,0
-387.497,3.79946e-29,7.04941e-30,-15.5784,3.74752e-28,4.51509e-29,9.12615e-31,174.859,0
-387.302,1.18167e-28,5.43121e-30,-15.5705,3.71475e-28,1.59913e-28,3.27462e-30,174.683,0
-387.106,5.56213e-29,9.14849e-30,-15.5627,3.68101e-28,1.78906e-28,4.91036e-30,174.506,0
-386.911,2.07553e-30,1.27401e-29,-15.5548,3.65159e-28,8.52757e-29,7.92265e-32,174.33,0
-386.716,7.85599e-29,6.41707e-30,-15.547,3.60733e-28,1.68062e-28,1.99885e-30,174.154,0
-386.52,9.08291e-29,5.51776e-30,-15.5391,3.57781e-28,1.84465e-28,3.11164e-31,173.978,0
-386.325,1.62291e-29,1.63951e-29,-15.5312,3.52811e-28,9.72159e-29,5.55389e-30,173.803,0
-386.129,3.41563e-29,1.36351e-29,-15.5234,3.47268e-28,4.23469e-29,7.68553e-30,173.627,0
-385.934,9.31037e-29,4.19376e-30,-15.5155,3.43342e-28,4.95532e-29,1.20978e-30,173.451,0
-385.739,4.86876e-29,1.07118e-29,-15.5077,3.38128e-28,6.03299e-29,3.02241e-30,173.276,0
-385.543,4.35564e-30,1.91171e-29,-15.4998,3.32271e-28,1.29554e-28,3.3927e-30,173.1,0
-385.348,6.46923e-29,7.36245e-30,-15.492,3.26803e-28,7.6669e-29,4.19489e-30,172.925,0
-385.153,7.18903e-29,5.6731e-30,-15.4841,3.21272e-28,3.31639e-30,4.6584e-30,172.749,0
-384.957,8.78896e-30,1.80211e-29,-15.4763,3.15874e-28,1.74236e-29,5.96055e-30,172.574,0
-384.762,2.74138e-29,1.82037e-29,-15.4684,3.10466e-28,1.21664e-28,3.52995e-30,172.399,0
-384.567,5.73989e-29,2.68684e-30,-15.4606,3.03335e-28,1.136e-28,7.04212e-31,172.224,0
-384.371,3.04853e-29,1.10046e-29,-15.4527,2.97548e-28,6.28648e-29,1.38409e-30,172.049,0
-384.176,1.62784e-30,1.82883e-29,-15.4449,2.91174e-28,3.37352e-29,2.063e-31,171.874,0
-383.98,3.65851e-29,5.95626e-30,-15.437,2.85537e-28,4.74432e-30,3.02443e-30,171.7,0
-383.785,6.2438e-29,3.45771e-30,-15.4291,2.77496e-28,6.02161e-29,1.63751e-30,171.525,0
-383.59,1.04582e-29,1.46776e-29,-15.4213,2.70279e-28,1.24007e-28,1.5712e-30,171.35,0
-383.394,2.14988e-29,1.32769e-29,-15.4134,2.63992e-28,5.58953e-29,5.4742e-30,171.176,0
-383.199,7.50628e-29,1.37024e-30,-15.4056,2.58161e-28,6.14654e-29,3.0415e-30,171.001,0
-383.004,2.83176e-29,8.00787e-30,-15.3977,2.50558e-28,4.45451e-29,1.00593e-30,170.827,0
-382.808,1.20161e-29,1.46209e-29,-15.3899,2.4351e-28,1.22207e-29,2.62491e-30,170.653,0
-382.613,9.71541e-29,6.18214e-30,-15.382,2.36856e-28,1.45234e-29,6.70668e-31,170.479,0
-382.418,9.80386e-29,1.07664e-30,-15.3742,2.29741e-28,2.2707e-29,6.41307e-31,170.305,0
-382.222,1.87229e-29,1.16124e-29,-15.3663,2.22572e-28,4.59731e-29,6.66492e-30,170.131,0
-382.027,8.5819e-29,1.09658e-29,-15.3585,2.15334e-28,1.18732e-28,3.47222e-30,169.957,0
-381.832,1.31288e-28,1.70355e-30,-15.3506,2.09793e-28,6.51568e-29,6.95659e-30,169.783,0
-381.636,6.38397e-29,3.54129e-30,-15.3428,2.02293e-28,2.9125e-29,3.04799e-30,169.609,0
-381.441,8.67044e-29,1.12356e-29,-15.3349,1.95603e-28,6.27439e-30,3.51686e-31,169.436,0
-381.245,1.77907e-28,6.10923e-30,-15.327,1.88539e-28,4.36331e-29,5.06661e-30,169.262,0
-381.05,1.14788e-28,4.77236e-31,-15.3192,1.82088e-28,5.8391e-29,1.7015e-30,169.089,0
-380.855,1.24355e-28,5.29222e-30,-15.3113,1.75433e-28,6.72238e-29,6.03119e-30,168.916,0
-380.659,1.78939e-28,1.01624e-29,-15.3035,1.68803e-28,3.16307e-29,1.0227e-31,168.742,0
-380.464,1.74805e-28,4.4014e-30,-15.2956,1.62494e-28,3.4139e-30,2.72993e-30,168.569,0
-380.269,1.726e-28,2.40144e-30,-15.2878,1.56014e-28,8.1216e-30,5.71905e-30,168.396,0
-380.073,2.26542e-28,9.49977e-30,-15.2799,1.5037e-28,4.8111e-29,5.12479e-30,168.223,0
-379.878,2.0201e-28,9.92585e-30,-15.2721,1.43689e-28,5.65957e-29,6.64269e-30,168.05,0
-379.683,2.42042e-28,3.32085e-30,-15.2642,1.38328e-28,3.81637e-29,1.22524e-30,167.877,0
-379.487,2.74376e-28,5.71817e-30,-15.2564,1.31344e-28,1.75104e-29,1.01127e-30,167.705,0
-379.292,2.03289e-28,1.10676e-29,-15.2485,1.25215e-28,3.10152e-29,3.54244e-30,167.532,0
-379.096,2.58971e-28,1.03454e-29,-15.2407,1.19811e-28,8.4375e-31,5.73115e-30,167.36,0
-378.901,3.31249e-28,7.01356e-30,-15.2328,1.1426e-28,1.18817e-29,2.88442e-31,167.187,0
-378.706,2.10377e-28,1.3951e-29,-15.2249,1.09292e-28,8.0615e-29,1.09485e-30,167.015,0
-378.51,2.37288e-28,1.50231e-29,-15.2171,1.03255e-28,5.64534e-29,2.97554e-30,166.842,0
-378.315,4.13086e-28,1.13696e-29,-15.2092,9.89254e-29,2.08409e-29,1.42089e-30,166.67,0
-378.12,2.96173e-28,9.7983e-30,-15.2014,9.34385e-29,2.90546e-29,1.94955e-30,166.498,0
-377.924,2.01421e-28,1.55147e-29,-15.1935,8.81707e-29,9.32892e-30,2.45921e-30,166.326,0
-377.729,3.62598e-28,1.23172e-29,-15.1857,8.34775e-29,1.17647e-29,3.42331e-31,166.154,0
-377.534,3.57008e-28,1.27829e-29,-15.1778,7.90153e-29,2.72032e-29,3.21628e-30,165.982,0
-377.338,1.78874e-28,1.5525e-29,-15.17,7.46141e-29,1.93198e-29,6.68829e-31,165.811,0
-377.143,2.83657e-28,1.66455e-29,-15.1621,6.99118e-29,2.43787e-29,3.70448e-30,165.639,0
-376.947,3.64951e-28,1.31028e-29,-15.1543,6.62879e-29,7.24157e-29,2.31945e-30,165.467,0
-376.752,3.00115e-28,1.49937e-29,-15.1464,6.16156e-29,7.08244e-29,8.13423e-30,165.296,0
-376.557,2.29699e-28,1.77352e-29,-15.1385,5.74159e-29,1.98804e-29,3.24582e-30,165.125,0
-376.361,2.54549e-28,1.44873e-29,-15.1307,5.35483e-29,1.39027e-31,2.06798e-30,164.953,0
-376.166,2.3442e-28,1.45695e-29,-15.1228,5.05099e-29,6.70357e-30,2.37411e-30,164.782,0
-375.971,2.15182e-28,1.56856e-29,-15.115,4.60639e-29,3.86789e-29,3.9332e-31,164.611,0
-375.775,1.63981e-28,1.50461e-29,-15.1071,4.29231e-29,1.81483e-29,8.22567e-30,164.44,0
-375.58,2.18719e-28,1.3744e-29,-15.0993,3.96084e-29,5.69282e-29,1.65747e-30,164.269,0
-375.385,2.46611e-28,1.47041e-29,-15.0914,3.65937e-29,4.45743e-30,3.83171e-31,164.098,0
-375.189,1.90145e-28,1.54329e-29,-15.0836,3.3945e-29,2.46963e-29,2.74284e-30,163.927,0
-374.994,1.19835e-28,1.18636e-29,-15.0757,3.08994e-29,1.92961e-30,4.01842e-30,163.757,0
-374.799,2.15893e-28,9.89543e-30,-15.0679,2.81358e-29,7.92486e-30,6.37466e-30,163.586,0
-374.603,1.7039e-28,1.46927e-29,-15.06,2.55061e-29,2.03663e-29,2.52698e-31,163.416,0
-374.408,7.2353e-29,1.20991e-29,-15.0522,2.28494e-29,1.02582e-29,9.28274e-31,163.245,0
-374.212,1.18243e-28,9.1486e-30,-15.0443,2.04382e-29,6.43455e-30,1.92607e-30,163.075,0
-374.017,2.05352e-28,1.05747e-29,-15.0364,1.85207e-29,1.48269e-29,4.83655e-32,162.905,0
-373.822,9.73007e-29,1.20045e-29,-15.0286,1.64129e-29,3.44708e-30,1.74468e-31,162.735,0
-373.626,4.88952e-29,6.70745e-30,-15.0207,1.43018e-29,5.2138e-30,1.20303e-30,162.565,0
-373.431,1.24315e-28,6.63368e-30,-15.0129,1.27013e-29,2.5913e-29,3.82435e-30,162.395,0
-373.236,9.11597e-29,9.46804e-30,-15.005,1.0983e-29,1.7634e-29,1.37589e-30,162.225,0
-373.04,3.94576e-29,7.31965e-30,-14.9972,9.42261e-30,4.24483e-30,2.60112e-32,162.055,0
