x,x_g,x_ex,k,init,g,ex,E,T
-390.427,6.84466e-29,2.57872e-29,-15.6962,3.75808e-28,1.24746e-28,6.17664e-30,177.513,0
-390.232,8.99519e-30,6.72613e-29,-15.6883,3.79773e-28,7.51501e-29,1.9758e-30,177.336,0
-390.037,5.29714e-29,8.34545e-29,-15.6805,3.81976e-28,4.97711e-29,3.47342e-30,177.158,0
-389.841,1.21988e-28,3.04802e-29,-15.6726,3.83744e-28,5.48478e-29,4.66753e-30,176.981,0
-389.646,3.94032e-29,4.57947e-29,-15.6648,3.83612e-28,1.71346e-28,1.86596e-30,176.804,0
-389.451,8.37788e-30,9.94942e-29,-15.6569,3.86282e-28,1.8275e-28,4.34096e-29,176.626,0
-389.255,1.16343e-28,5.29491e-29,-15.6491,3.85315e-28,1.30718e-28,1.66645e-30,176.449,0
-389.06,9.94632e-29,2.55295e-29,-15.6412,3.84879e-28,9.09243e-29,1.46354e-29,176.272,0
-388.864,1.58355e-30,8.29029e-29,-15.6334,3.85325e-28,6.65314e-29,1.13614e-29,176.095,0
-388.669,6.82757e-29,8.25837e-29,-15.6255,3.85148e-28,1.1559e-28,1.85887e-30,175.918,0
-388.474,1.43281e-28,2.16492e-29,-15.6176,3.8309e-28,1.75528e-28,2.113e-29,175.741,0
-388.278,3.51168e-29,6.25074e-29,-15.6098,3.82307e-28,2.35947e-28,1.92378e-29,175.565,0
-388.083,1.68706e-29,9.77407e-29,-15.6019,3.81027e-28,6.7742e-29,3.58267e-30,175.388,0
-387.888,1.02984e-28,3.24851e-29,-15.5941,3.78963e-28,7.1511e-29,9.15735e-30,175.212,0
-387.692,7.37117e-29,3.27727e-29,-15.5862,3.76758e-28,4.539e-29,1.57517e-29,175.035,0
-387.497,5.25851e-31,1.09613e-28,-15.5784,3.74752e-28,6.84091e-29,2.95125e-30,174.859,0
-387.302,6.5305e-29,5.59814e-29,-15.5705,3.71475e-28,1.7609e-28,3.28778e-30,174.683,0
-387.106,9.36374e-29,9.86688e-30,-15.5627,3.68101e-28,1.84304e-28,4.65814e-30,174.506,0
-386.911,1.02976e-29,8.43765e-29,-15.5548,3.65159e-28,1.21039e-28,1.08484e-29,174.33,0
-386.716,1.63016e-29,9.53213e-29,-15.547,3.60733e-28,5.44653e-29,7.8031e-31,174.154,0
-386.52,5.70658e-29,1.04977e-29,-15.5391,3.57781e-28,1.11678e-28,2.14567e-31,173.978,0
-386.325,2.56591e-29,4.37264e-29,-15.5312,3.52811e-28,9.38184e-29,1.66744e-30,173.803,0
-386.129,9.16806e-30,9.08347e-29,-15.5234,3.47268e-28,7.20176e-29,3.47374e-30,173.627,0
-385.934,3.93081e-29,3.34815e-29,-15.5155,3.43342e-28,1.34696e-28,4.61213e-30,173.451,0
-385.739,3.13181e-29,1.44236e-29,-15.5077,3.38128e-28,6.48347e-29,4.38007e-30,173.276,0
-385.543,1.888e-29,8.29992e-29,-15.4998,3.32271e-28,3.93375e-29,1.76669e-29,173.1,0
-385.348,2.95566e-29,5.80506e-29,-15.492,3.26803e-28,6.6795e-29,3.08481e-29,172.925,0
-385.153,2.67371e-29,3.62282e-31,-15.4841,3.21272e-28,4.91189e-29,1.42146e-30,172.749,0
-384.957,1.65216e-29,5.07482e-29,-15.4763,3.15874e-28,7.33011e-29,6.55326e-30,172.574,0
