t,T+R,N_0,N_1
154,0.94517,1.08292e-22,1.89905e-23
155,0.992958,1.83613e-22,4.48096e-23
156,1.06275,3.7016e-22,1.04254e-22
157,1.14295,8.4997e-22,2.39317e-22
158,1.21657,2.04007e-21,5.4233e-22
159,1.26468,4.84782e-21,1.21381e-21
160,1.2707,1.11906e-20,2.68403e-21
161,1.22466,2.50545e-20,5.86528e-21
162,1.12619,5.46518e-20,1.26693e-20
163,0.985657,1.16782e-19,2.70567e-20
164,0.823,2.45583e-19,5.71401e-20
165,0.664568,5.09872e-19,1.19355e-19
166,0.538532,1.04716e-18,2.46638e-19
167,0.469892,2.12953e-18,5.04296e-19
168,0.476057,4.28987e-18,1.02048e-18
169,0.563832,8.56102e-18,2.04407e-18
170,0.728332,1.69244e-17,4.05362e-18
171,0.953924,3.31423e-17,7.96021e-18
172,1.2169,6.42886e-17,1.54816e-17
173,1.4893,1.23534e-16,2.98257e-17
174,1.74316,2.35169e-16,5.69274e-17
175,1.95443,4.43578e-16,1.07665e-16
176,2.10594,8.29127e-16,2.01801e-16
177,2.18912,1.53603e-15,3.7491e-16
178,2.20425,2.8208e-15,6.90482e-16
179,2.15939,5.13578e-15,1.26084e-15
180,2.06841,9.27189e-15,2.28303e-15
181,1.94834,1.66004e-14,4.09983e-15
182,1.81673,2.94792e-14,7.30262e-15
183,1.68923,5.19301e-14,1.29034e-14
184,1.57778,9.07574e-14,2.26205e-14
185,1.48956,1.57383e-13,3.93477e-14
186,1.42673,2.70832e-13,6.79218e-14
187,1.38692,4.62548e-13,1.16365e-13
188,1.36418,7.84113e-13,1.97883e-13
189,1.35038,1.31951e-12,3.34051e-13
190,1.33656,2.20447e-12,5.59865e-13
191,1.31434,3.65678e-12,9.31678e-13
192,1.27697,6.02342e-12,1.53958e-12
193,1.22005,9.85322e-12,2.52662e-12
194,1.14193,1.60084e-11,4.11829e-12
195,1.04364,2.5834e-11,6.6677e-12
196,0.928562,4.14143e-11,1.0724e-11
197,0.801872,6.59576e-11,1.71356e-11
198,0.669828,1.04369e-10,2.72046e-11
199,0.539047,1.64101e-10,4.29163e-11
200,0.415817,2.56399e-10,6.72782e-11
201,0.305533,3.9813e-10,1.04818e-10
202,0.212287,6.14429e-10,1.62309e-10
203,0.138634,9.42522e-10,2.4982e-10
204,0.0855347,1.4372e-09,3.82228e-10
205,0.0524452,2.17862e-09,5.81382e-10
206,0.0375362,3.28334e-09,8.79178e-10
207,0.0379913,4.91985e-09,1.3219e-09
208,0.0503511,7.33028e-09,1.97632e-09
209,0.0708644,1.08605e-08,2.9382e-09
210,0.0958134,1.60019e-08,4.34412e-09
211,0.12179,2.34484e-08,6.38772e-09
212,0.145908,3.41745e-08,9.34203e-09
213,0.16594,4.95411e-08,1.35898e-08
214,0.180385,7.1438e-08,1.96649e-08
