t,T+R,N_0,N_1
0,1,1.36648e-21,6.44813e-41
1,1,1.36684e-21,2.89996e-37
2,1,1.36687e-21,3.54619e-36
3,1,1.36633e-21,1.28674e-35
4,1,1.36554e-21,2.861e-35
5,1,1.36485e-21,4.27674e-35
6,1,1.36417e-21,5.27113e-35
7,1,1.36388e-21,6.28693e-35
8,1,1.36411e-21,7.19232e-35
9,1,1.36462e-21,8.79658e-35
10,1,1.36493e-21,1.18529e-34
11,1,1.36575e-21,1.6158e-34
12,1,1.36633e-21,2.25705e-34
13,1,1.36644e-21,3.0878e-34
14,1,1.36586e-21,3.67929e-34
15,1,1.36524e-21,4.08512e-34
16,1,1.3646e-21,4.75174e-34
17,1,1.36419e-21,5.9199e-34
18,1,1.36403e-21,7.71169e-34
19,1,1.36424e-21,9.88595e-34
20,1,1.36457e-21,1.17725e-33
21,1,1.36499e-21,1.22375e-33
22,1,1.36543e-21,1.12425e-33
23,1,1.36598e-21,9.62803e-34
24,1,1.3662e-21,7.73171e-34
25,1,1.36562e-21,5.941e-34
26,1,1.36512e-21,4.42958e-34
27,1,1.36471e-21,3.1698e-34
28,1,1.36461e-21,2.23586e-34
29,1,1.36458e-21,1.81521e-34
30,1,1.36472e-21,2.44607e-34
31,1,1.36523e-21,4.89428e-34
32,1,1.36569e-21,9.04503e-34
33,1,1.36597e-21,1.41758e-33
34,1,1.36605e-21,2.02974e-33
35,1,1.36593e-21,2.74485e-33
36,1,1.36541e-21,3.6289e-33
37,1,1.36469e-21,4.82627e-33
38,1,1.36463e-21,6.33209e-33
39,1,1.36409e-21,8.00732e-33
40,1,1.36435e-21,9.90669e-33
41,1,1.36484e-21,1.20969e-32
42,1,1.36566e-21,1.4265e-32
43,1,1.36611e-21,1.60897e-32
44,1,1.3668e-21,1.73574e-32
45,1,1.36681e-21,1.81214e-32
46,1,1.36661e-21,1.8911e-32
47,1,1.36642e-21,2.04645e-32
48,1,1.36608e-21,2.33307e-32
49,1,1.36557e-21,2.76741e-32
50,1,1.36516e-21,3.34744e-32
51,1,1.36458e-21,4.07606e-32
52,1,1.36493e-21,4.99073e-32
53,1,1.3653e-21,6.09869e-32
54,1,1.36591e-21,7.39291e-32
55,1,1.36644e-21,8.78076e-32
