t,T+R,N_0,N_1
154,1.09092,4.3094e-23,5.91542e-24
155,1.03786,5.02023e-23,1.41018e-23
156,0.960033,8.25525e-23,3.31731e-23
157,0.867893,1.99751e-22,7.70236e-23
158,0.776738,5.43782e-22,1.76561e-22
159,0.704178,1.42799e-21,3.99673e-22
160,0.666951,3.51729e-21,8.93643e-22
161,0.677781,8.19589e-21,1.97415e-21
162,0.742912,1.83195e-20,4.30979e-21
163,0.860812,3.97492e-20,9.30025e-21
164,1.02225,8.4456e-20,1.98425e-20
165,1.21172,1.76742e-19,4.18652e-20
166,1.40983,3.65568e-19,8.73697e-20
167,1.59626,7.48687e-19,1.80388e-19
168,1.75266,1.51937e-18,3.68533e-19
169,1.86509,3.05585e-18,7.45165e-19
170,1.92554,6.09066e-18,1.49148e-18
171,1.93252,1.2028e-17,2.9556e-18
172,1.89058,2.35322e-17,5.79986e-18
173,1.80906,4.5609e-17,1.12721e-17
174,1.70026,8.75717e-17,2.17009e-17
175,1.57753,1.66584e-16,4.13913e-17
176,1.45334,3.13981e-16,7.82284e-17
177,1.33783,5.86457e-16,1.46525e-16
178,1.23785,1.08566e-15,2.72028e-16
179,1.15661,1.99224e-15,5.00651e-16
180,1.09382,3.62448e-15,9.13556e-16
181,1.04635,6.53835e-15,1.65301e-15
182,1.00914,1.16969e-14,2.96626e-15
183,0.976205,2.07546e-14,5.27957e-15
184,0.941648,3.65302e-14,9.32171e-15
185,0.900494,6.37886e-14,1.63288e-14
186,0.849282,1.10519e-13,2.8381e-14
187,0.786379,1.90016e-13,4.89515e-14
188,0.712025,3.24227e-13,8.37952e-14
189,0.628127,5.49116e-13,1.42376e-13
190,0.53789,9.23168e-13,2.4014e-13
191,0.445338,1.5408e-12,4.02115e-13
192,0.35479,2.55333e-12,6.68556e-13
193,0.270384,4.20151e-12,1.10375e-12
194,0.195663,6.86572e-12,1.80966e-12
195,0.133282,1.11427e-11,2.94682e-12
196,0.0848373,1.79621e-11,4.76631e-12
197,0.0508224,2.87628e-11,7.65817e-12
198,0.0306938,4.5756e-11,1.22242e-11
199,0.0230264,7.23182e-11,1.93867e-11
200,0.0257297,1.13571e-10,3.05504e-11
201,0.036294,1.77232e-10,4.78404e-11
202,0.0520409,2.74859e-10,7.44514e-11
203,0.0703548,4.23646e-10,1.15156e-10
204,0.0888756,6.4902e-10,1.77038e-10
205,0.105645,9.88342e-10,2.70553e-10
206,0.119197,1.49618e-09,4.11027e-10
207,0.128596,2.25173e-09,6.20807e-10
208,0.133428,3.3693e-09,9.32267e-10
209,0.133751,5.01282e-09,1.39204e-09
210,0.130015,7.41607e-09,2.06691e-09
211,0.122962,1.09105e-08,3.05194e-09
212,0.113524,1.59632e-08,4.48174e-09
213,0.102716,2.32289e-08,6.54575e-09
214,0.0915444,3.362e-08,9.50913e-09
215,0.0809255,4.84009e-08,1.3741e-08
216,0.0716276,6.9314e-08,1.97522e-08
217,0.0642312,9.87473e-08,2.82462e-08
218,0.0591108,1.39956e-07,4.0186e-08
219,0.0564348,1.97352e-07,5.6883e-08
220,0.0561807,2.76885e-07,8.0114e-08
221,0.0581633,3.86533e-07,1.12273e-07
222,0.0620698,5.36942e-07,1.56568e-07
223,0.0675001,7.42233e-07,2.17277e-07
224,0.074007,1.02105e-06,3.00075e-07
225,0.0811342,1.39788e-06,4.12448e-07
226,0.0884497,1.90469e-06,5.64228e-07
227,0.0955723,2.58304e-06,7.68252e-07
228,0.102191,3.48666e-06,1.0412e-06
229,0.108076,4.68465e-06,1.40465e-06
230,0.113083,6.26543e-06,1.88634e-06
231,0.117153,8.34158e-06,2.52178e-06
232,0.120302,1.10557e-05,3.3562e-06
233,0.122608,1.45874e-05,4.4469e-06
234,0.124201,1.91621e-05,5.86614e-06
235,0.125244,2.50606e-05,7.70455e-06
236,0.125916,3.26318e-05,1.00753e-05
237,0.126402,4.23063e-05,1.31189e-05
238,0.126875,5.4613e-05,1.70091e-05
239,0.127488,7.01984e-05,2.19595e-05
240,0.128366,8.98486e-05,2.82316e-05
241,0.129604,0.000114514,3.61435e-05
242,0.131259,0.00014534,4.60809e-05
243,0.133358,0.000183695,5.85086e-05
244,0.135896,0.00023121,7.39838e-05
245,0.138843,0.000289817,9.31718e-05
246,0.14215,0.000361792,0.000116862
247,0.145754,0.000449802,0.000145986
248,0.149583,0.000556953,0.000181641
249,0.153567,0.000686847,0.000225105
250,0.157639,0.000843633,0.000277866
251,0.161743,0.00103206,0.000341647
252,0.165834,0.00125755,0.000418423
253,0.169881,0.00152622,0.000510459
254,0.173871,0.00184497,0.000620326
255,0.177804,0.0022215,0.000750933
256,0.181698,0.00266437,0.000905549
257,0.185579,0.00318302,0.00108783
258,0.189488,0.00378777,0.00130182
259,0.193471,0.00448988,0.001552
260,0.197578,0.00530144,0.00184328
261,0.201863,0.00623544,0.00218099
262,0.206378,0.00730562,0.0025709
263,0.211173,0.00852642,0.00301921
264,0.216292,0.00991287,0.00353251
265,0.221775,0.0114804,0.00411776
266,0.227655,0.0132447,0.00478225
267,0.233958,0.0152215,0.00553354
268,0.240704,0.0174263,0.0063794
269,0.247906,0.0198741,0.00732769
270,0.255573,0.022579,0.00838634
271,0.26371,0.0255541,0.00956315
272,0.272317,0.0288107,0.0108657
273,0.281393,0.0323585,0.0123014
274,0.290935,0.0362047,0.0138769
275,0.300938,0.0403539,0.0155984
276,0.311397,0.0448077,0.0174714
277,0.322305,0.0495642,0.0195003
278,0.333655,0.054618,0.0216885
279,0.345436,0.0599594,0.0240382
280,0.357637,0.0655749,0.0265503
281,0.370241,0.0714464,0.0292242
282,0.38323,0.0775517,0.0320577
283,0.396578,0.0838642,0.0350471
284,0.410256,0.0903532,0.0381871
285,0.424228,0.0969842,0.0414707
286,0.438452,0.103719,0.0448892
287,0.45288,0.110517,0.0484324
288,0.467458,0.117335,0.0520889
289,0.482128,0.124127,0.0558456
290,0.496828,0.130847,0.0596887
291,0.511493,0.137451,0.0636033
292,0.526055,0.143892,0.0675737
293,0.54045,0.150127,0.0715842
294,0.554612,0.156117,0.0756186
295,0.568483,0.161823,0.0796612
296,0.582006,0.167214,0.0836966
297,0.595133,0.172262,0.0877102
298,0.607824,0.176946,0.0916884
299,0.620047,0.181251,0.0956189
300,0.631779,0.18517,0.099491
301,0.643008,0.1887,0.103295
302,0.653732,0.191847,0.107025
303,0.663956,0.194624,0.110674
304,0.673696,0.197048,0.114238
305,0.682975,0.199144,0.117716
306,0.691822,0.200939,0.121108
307,0.700272,0.202467,0.124415
308,0.708363,0.203763,0.12764
309,0.716137,0.204863,0.130786
310,0.723636,0.205806,0.133859
311,0.7309,0.206626,0.136865
312,0.737969,0.207361,0.139808
313,0.744878,0.208041,0.142695
314,0.751661,0.208696,0.145531
315,0.758345,0.20935,0.148322
316,0.76495,0.210022,0.151073
317,0.771493,0.210726,0.153787
318,0.777984,0.211473,0.156467
319,0.784428,0.212264,0.159116
320,0.790825,0.2131,0.161733
321,0.797167,0.213976,0.16432
322,0.803447,0.214881,0.166875
323,0.809651,0.215805,0.169396
324,0.815765,0.216734,0.171882
