t,T+R,N_0,N_1,N_2,N_3
88,1,5.93453e-24,1.57218e-29,1.82589e-30,3.94141e-31
89,1,5.94283e-24,1.81991e-29,2.09786e-30,3.8844e-31
90,1,5.95146e-24,2.06871e-29,2.37187e-30,3.76376e-31
91,1,5.96111e-24,2.30021e-29,2.63802e-30,3.69967e-31
92,1,5.96908e-24,2.49858e-29,2.8845e-30,3.78908e-31
93,1,5.98396e-24,2.65449e-29,3.09805e-30,4.07561e-31
94,1,5.99504e-24,2.76516e-29,3.26525e-30,4.54175e-31
95,1,6.003e-24,2.83011e-29,3.37431e-30,5.1233e-31
96,1,6.01171e-24,2.84621e-29,3.41704e-30,5.7369e-31
97,1,6.01384e-24,2.80572e-29,3.39037e-30,6.31017e-31
98,1,6.02023e-24,2.69987e-29,3.29689e-30,6.80833e-31
99,1,6.02418e-24,2.52567e-29,3.14435e-30,7.25639e-31
100,1,6.01945e-24,2.29113e-29,2.94409e-30,7.75604e-31
101,1,6.01642e-24,2.01462e-29,2.70911e-30,8.49232e-31
102,1,6.00642e-24,1.71821e-29,2.4522e-30,9.72132e-31
103,1,5.9953e-24,1.4198e-29,2.18467e-30,1.17332e-30
104,1,5.98686e-24,1.12956e-29,1.91578e-30,1.47954e-30
105,1,5.97525e-24,8.53109e-30,1.65281e-30,1.90933e-30
106,1,5.9556e-24,5.98388e-30,1.40134e-30,2.46891e-30
107,1,5.94282e-24,3.79999e-30,1.16573e-30,3.1514e-30
108,1,5.92908e-24,2.17075e-30,9.49624e-31,3.93906e-30
109,1,5.91404e-24,1.25688e-30,7.56376e-31,4.80692e-30
110,1,5.90868e-24,1.10237e-30,5.8946e-31,5.72581e-30
111,1,5.90869e-24,1.59257e-30,4.52503e-31,6.66307e-30
112,1,5.91704e-24,2.47514e-30,3.48839e-31,7.58115e-30
113,1,5.92653e-24,3.42943e-30,2.80607e-31,8.43536e-30
114,1,5.94262e-24,4.15259e-30,2.47819e-31,9.17357e-30
115,1,5.9608e-24,4.43297e-30,2.4791e-31,9.74036e-30
116,1,5.97633e-24,4.19474e-30,2.76104e-31,1.00872e-29
117,1,5.98888e-24,3.50558e-30,3.26394e-31,1.01873e-29
118,1,6.00266e-24,2.54902e-30,3.92475e-31,1.00515e-29
119,1,6.01139e-24,1.56391e-30,4.6792e-31,9.73834e-30
120,1,6.01774e-24,7.70502e-31,5.45541e-31,9.3542e-30
121,1,6.01595e-24,3.07136e-31,6.17105e-31,9.04065e-30
122,1,6.0152e-24,1.99937e-31,6.75306e-31,8.95351e-30
123,1,6.00728e-24,3.6571e-31,7.17821e-31,9.2418e-30
124,1,5.99535e-24,6.336e-31,7.47533e-31,1.00369e-29
125,0.999999,5.97718e-24,8.07562e-31,7.60085e-31,1.14521e-29
126,0.999998,5.96587e-24,8.44392e-31,7.22522e-31,1.3568e-29
127,1,5.95838e-24,1.13659e-30,5.7663e-31,1.63598e-29
128,1,5.96201e-24,2.50919e-30,3.14997e-31,1.95363e-29
129,1.00001,5.96573e-24,5.27953e-30,1.25369e-31,2.238e-29
130,1,5.96665e-24,7.62616e-30,4.99201e-31,2.38763e-29
131,0.999984,5.95174e-24,6.3433e-30,2.24569e-30,2.35649e-29
132,0.99997,5.93957e-24,6.16031e-30,6.86338e-30,2.33482e-29
133,0.999983,5.96805e-24,4.35121e-29,1.89367e-29,2.97362e-29
134,1.00004,6.09534e-24,2.28436e-28,5.44189e-29,5.50197e-29
135,1.00011,6.28737e-24,8.24863e-28,1.63613e-28,1.16059e-28
136,1.00011,6.32116e-24,2.4802e-27,4.92802e-28,2.33604e-28
137,0.999964,5.86447e-24,6.98157e-27,1.45496e-27,4.47964e-28
138,0.999711,4.85217e-24,1.95485e-26,4.20927e-27,8.963e-28
139,0.999543,4.08139e-24,5.51396e-26,1.19826e-26,2.0611e-27
140,0.999739,5.48051e-24,1.54846e-25,3.35984e-26,5.44721e-27
141,1.00042,1.11734e-23,4.27668e-25,9.26466e-26,1.53064e-26
142,1.00128,2.14287e-23,1.15641e-24,2.50827e-25,4.29327e-26
143,1.00161,3.31814e-23,3.06435e-24,6.66459e-25,1.17282e-25
144,1.00064,4.36557e-23,7.97764e-24,1.73895e-24,3.11066e-25
145,0.99825,6.47252e-23,2.04408e-23,4.46005e-24,8.04167e-25
146,0.995535,1.52856e-22,5.15826e-23,1.12541e-23,2.03569e-24
147,0.994617,4.58481e-22,1.282e-22,2.79555e-23,5.06295e-24
148,0.99753,1.30796e-21,3.13767e-22,6.83879e-23,1.23958e-23
149,1.00454,3.36823e-21,7.56277e-22,1.64808e-22,2.99062e-23
150,1.0129,8.03991e-21,1.79567e-21,3.91374e-22,7.11342e-23
151,1.01728,1.84146e-20,4.20163e-21,9.16131e-22,1.66858e-22
152,1.01219,4.15081e-20,9.69273e-21,2.11456e-21,3.86064e-22
153,0.99567,9.31714e-20,2.20541e-20,4.81427e-21,8.8128e-22
154,0.972324,2.08471e-19,4.95121e-20,1.08151e-20,1.98528e-21
155,0.953414,4.63155e-19,1.09711e-19,2.39809e-20,4.41468e-21
156,0.952899,1.01754e-18,2.40017e-19,5.25006e-20,9.69335e-21
157,0.980344,2.20568e-18,5.18568e-19,1.13515e-19,2.10219e-20
158,1.03372,4.71534e-18,1.10678e-18,2.42469e-19,4.50423e-20
159,1.09611,9.94767e-18,2.33416e-18,5.11788e-19,9.5376e-20
160,1.13919,2.07282e-17,4.86543e-18,1.06774e-18,1.99639e-19
161,1.13381,4.26949e-17,1.00265e-17,2.20241e-18,4.13191e-19
162,1.06413,8.69754e-17,2.04325e-17,4.49253e-18,8.45788e-19
163,0.939497,1.75291e-16,4.11853e-17,9.06457e-18,1.7127e-18
164,0.797948,3.49576e-16,8.21321e-17,1.80953e-17,3.43169e-18
165,0.697812,6.89931e-16,1.6208e-16,3.57476e-17,6.80513e-18
166,0.698549,1.34776e-15,3.16584e-16,6.99003e-17,1.33586e-17
167,0.83676,2.60637e-15,6.12182e-16,1.35317e-16,2.59637e-17
168,1.10625,4.99069e-15,1.17217e-15,2.59392e-16,4.99738e-17
169,1.45082,9.46396e-15,2.22283e-15,4.92462e-16,9.52734e-17
170,1.77452,1.77771e-14,4.1755e-15,9.26152e-16,1.79942e-16
171,1.96846,3.30835e-14,7.77099e-15,1.72569e-15,3.36749e-16
172,1.94656,6.10104e-14,1.43314e-14,3.18634e-15,6.24547e-16
173,1.67932,1.11511e-13,2.61948e-14,5.83097e-15,1.14811e-15
174,1.21363,2.02033e-13,4.74605e-14,1.05774e-14,2.09232e-15
175,0.670837,3.62902e-13,8.52526e-14,1.9023e-14,3.7807e-15
176,0.221417,6.46379e-13,1.51848e-13,3.39235e-14,6.77448e-15
177,0.0420241,1.14177e-12,2.68224e-13,5.99947e-14,1.20394e-14
178,0.266325,2.00046e-12,4.69939e-13,1.05238e-13,2.12237e-14
179,0.943466,3.47697e-12,8.16769e-13,1.83124e-13,3.71179e-14
180,2.01632,5.99584e-12,1.40841e-12,3.16143e-13,6.4409e-14
181,3.32646,1.02597e-11,2.40984e-12,5.41557e-13,1.10909e-13
182,4.64556,1.74227e-11,4.09195e-12,9.20622e-13,1.8954e-13
183,5.72608,2.93658e-11,6.89622e-12,1.55327e-12,3.21511e-13
184,6.35863,4.91324e-11,1.15367e-11,2.60131e-12,5.41382e-13
185,6.42223,8.16102e-11,1.91598e-11,4.3248e-12,9.05052e-13
186,5.91524,1.34592e-10,3.15927e-11,7.13862e-12,1.50228e-12
187,4.95961,2.20415e-10,5.17269e-11,1.16999e-11,2.47618e-12
188,3.77788,3.58474e-10,8.4106e-11,1.90422e-11,4.05331e-12
189,2.64826,5.79042e-10,1.35819e-10,3.07794e-11,6.58987e-12
190,1.84816,9.29059e-10,2.17851e-10,4.94141e-11,1.06421e-11
191,1.59842,1.48081e-09,3.4711e-10,7.8801e-11,1.70724e-11
192,2.01997,2.34487e-09,5.49442e-10,1.24836e-10,2.72096e-11
193,3.11109,3.68927e-09,8.64097e-10,1.96479e-10,4.30871e-11
194,4.74889,5.7677e-09,1.35029e-09,3.07252e-10,6.77962e-11
195,6.71344,8.96073e-09,2.09678e-09,4.77432e-10,1.06006e-10
196,8.72855,1.38356e-08,3.23573e-09,7.37225e-10,1.64725e-10
197,10.5104,2.12324e-08,4.96276e-09,1.13134e-09,2.54402e-10
198,11.8148,3.2388e-08,7.5655e-09,1.72555e-09,3.90526e-10
199,12.474,4.91116e-08,1.14643e-08,2.61595e-09,5.95904e-10
200,12.4181,7.40339e-08,1.72697e-08,3.94212e-09,9.03922e-10
201,11.6788,1.10957e-07,2.5863e-08,5.90555e-09,1.36315e-09
