t,T+R,N_0
232,0.981435,6.54718e-09
233,0.994004,7.99521e-09
234,1.0061,9.72066e-09
235,1.01608,1.17671e-08
236,1.0227,1.41831e-08
237,1.02532,1.70223e-08
238,1.02392,2.03435e-08
239,1.01906,2.42108e-08
240,1.0118,2.86936e-08
241,1.00345,3.38663e-08
242,0.995418,3.98081e-08
243,0.988937,4.66025e-08
244,0.984921,5.43367e-08
245,0.983817,6.3101e-08
246,0.985567,7.29875e-08
247,0.989635,8.40892e-08
248,0.99513,9.64986e-08
249,1.00097,1.10306e-07
250,1.0061,1.25598e-07
251,1.00965,1.42455e-07
252,1.01111,1.6095e-07
253,1.01037,1.81147e-07
254,1.00776,2.03096e-07
255,1.00392,2.26832e-07
256,0.999692,2.52376e-07
257,0.995908,2.79727e-07
258,0.99327,3.08862e-07
259,0.992196,3.39737e-07
260,0.99277,3.7228e-07
261,0.994742,4.06393e-07
262,0.997606,4.41948e-07
263,1.00071,4.78791e-07
264,1.00341,5.16734e-07
265,1.00518,5.55565e-07
266,1.00573,5.95039e-07
267,1.00503,6.34887e-07
268,1.00333,6.74815e-07
269,1.00106,7.14507e-07
270,0.998744,7.53629e-07
271,0.996881,7.91831e-07
272,0.995842,8.28755e-07
273,0.995791,8.64039e-07
274,0.99667,8.97321e-07
275,0.998219,9.28246e-07
276,1.00005,9.56473e-07
277,1.00173,9.8168e-07
278,1.0029,1.00357e-06
279,1.00333,1.02188e-06
280,1.00298,1.03639e-06
281,1.00198,1.0469e-06
282,1.0006,1.05329e-06
283,0.999186,1.05546e-06
284,0.998062,1.05338e-06
285,0.997465,1.04707e-06
286,0.997496,1.03661e-06
287,0.998104,1.02212e-06
288,0.999111,1.00378e-06
289,1.00026,9.81827e-07
290,1.00126,9.56534e-07
291,1.0019,9.28217e-07
292,1.00206,8.97226e-07
293,1.00172,8.63937e-07
294,1.00099,8.28747e-07
295,1.00008,7.92064e-07
296,0.999217,7.54302e-07
297,0.998593,7.15869e-07
298,0.998346,6.77161e-07
299,0.99851,6.38557e-07
300,0.999019,6.00411e-07
301,0.99973,5.63043e-07
302,1.00046,5.26741e-07
303,1.00103,4.91752e-07
304,1.00132,4.5828e-07
305,1.00127,4.26489e-07
306,1.00092,3.96495e-07
307,1.00037,3.68377e-07
308,0.99977,3.42169e-07
309,0.999263,3.1787e-07
310,0.998968,2.95444e-07
311,0.998941,2.74829e-07
312,0.999172,2.55935e-07
313,0.999589,2.38654e-07
314,1.00008,2.22867e-07
315,1.00052,2.08442e-07
316,1.0008,1.95247e-07
317,1.00088,1.83148e-07
318,1.00073,1.72017e-07
319,1.00042,1.61734e-07
320,1.00002,1.52187e-07
321,0.999647,1.43278e-07
322,0.999382,1.34922e-07
323,0.999284,1.27047e-07
324,0.999367,1.19594e-07
325,0.999599,1.12518e-07
326,0.999914,1.05784e-07
327,1.00023,9.93687e-08
328,1.00047,9.32549e-08
329,1.00058,8.74334e-08
330,1.00054,8.18992e-08
331,1.00037,7.66502e-08
332,1.00012,7.16856e-08
333,0.999861,6.70045e-08
334,0.999649,6.2605e-08
335,0.999536,5.84833e-08
336,0.999543,5.46334e-08
337,0.999662,5.10468e-08
338,0.999856,4.77125e-08
339,1.00007,4.46174e-08
340,1.00026,4.17468e-08
341,1.00037,3.90846e-08
342,1.00038,3.66143e-08
343,1.0003,3.43189e-08
344,1.00015,3.21822e-08
345,0.999974,3.01889e-08
346,0.999815,2.83247e-08
347,0.999711,2.65771e-08
348,0.999684,2.4935e-08
349,0.999737,2.33893e-08
350,0.99985,2.19323e-08
351,0.999993,2.0558e-08
352,1.00013,1.92613e-08
353,1.00022,1.80385e-08
354,1.00026,1.68866e-08
355,1.00023,1.58029e-08
356,1.00014,1.47852e-08
357,1.00003,1.3831e-08
358,0.999914,1.29382e-08
359,0.999828,1.21039e-08
360,0.99979,1.13255e-08
361,0.999806,1.05998e-08
362,0.999868,9.92368e-09
363,0.999958,9.29363e-09
364,1.00005,8.70626e-09
365,1.00013,8.15821e-09
366,1.00017,7.64623e-09
367,1.00016,7.16728e-09
368,1.00012,6.71861e-09
369,1.00005,6.29775e-09
370,0.99997,5.90251e-09
371,0.999904,5.53105e-09
372,0.999866,5.18179e-09
373,0.999862,4.85337e-09
374,0.999893,4.54467e-09
375,0.999948,4.2547e-09
376,1.00001,3.98257e-09
377,1.00007,3.72749e-09
378,1.00011,3.48865e-09
379,1.00011,3.26527e-09
380,1.00009,3.05654e-09
381,1.00005,2.86163e-09
382,1,2.67968e-09
383,0.999951,2.50981e-09
384,0.999917,2.35117e-09
385,0.999906,2.2029e-09
386,0.999919,2.0642e-09
387,0.99995,1.93431e-09
388,0.999992,1.81256e-09
389,1.00003,1.69833e-09
390,1.00006,1.59109e-09
391,1.00008,1.4904e-09
392,1.00007,1.39584e-09
393,1.00005,1.30708e-09
394,1.00001,1.22381e-09
395,0.999979,1.14574e-09
396,0.999952,1.07262e-09
397,0.999938,1.00417e-09
398,0.999941,9.40141e-10
399,0.999958,8.80279e-10
400,0.999984,8.24325e-10
401,1.00001,7.72025e-10
402,1.00004,7.23131e-10
403,1.00005,6.77404e-10
404,1.00005,6.34617e-10
405,1.00004,5.94557e-10
406,1.00002,5.57027e-10
407,0.999994,5.21848e-10
408,0.999974,4.88857e-10
409,0.999961,4.57909e-10
410,0.999959,4.28872e-10
411,0.999967,4.01631e-10
412,0.999982,3.76082e-10
413,1,3.52129e-10
414,1.00002,3.29688e-10
415,1.00003,3.08675e-10
416,1.00003,2.89014e-10
417,1.00003,2.70626e-10
418,1.00002,2.53436e-10
419,1,2.37367e-10
420,0.999987,2.22343e-10
421,0.999977,2.0829e-10
422,0.999972,1.95137e-10
423,0.999975,1.82816e-10
424,0.999984,1.71268e-10
425,0.999996,1.60436e-10
426,1.00001,1.50273e-10
427,1.00002,1.40736e-10
428,1.00002,1.3179e-10
429,1.00002,1.23402e-10
430,1.00001,1.15543e-10
431,1.00001,1.08184e-10
432,0.999995,1.01299e-10
433,0.999987,9.48593e-11
434,0.999982,8.88377e-11
435,0.999982,8.32062e-11
436,0.999987,7.79379e-11
437,0.999994,7.30069e-11
438,1,6.83889e-11
439,1.00001,6.4062e-11
440,1.00001,6.00063e-11
