t,T+R,N_0,N_1,N_2,N_3
88,1,1.36592e-21,5.92668e-30,9.16752e-33,1.94561e-30
89,1,1.36699e-21,7.99569e-30,9.08909e-33,2.33023e-30
90,1,1.36724e-21,1.06298e-29,9.27442e-33,2.70603e-30
91,1,1.36674e-21,1.38704e-29,1.00502e-32,3.04828e-30
92,1,1.36628e-21,1.77162e-29,1.18172e-32,3.33367e-30
93,1,1.36525e-21,2.21049e-29,1.5093e-32,3.54377e-30
94,1,1.36454e-21,2.69032e-29,2.05061e-32,3.6682e-30
95,1,1.36375e-21,3.18858e-29,2.86896e-32,3.70694e-30
96,1,1.36367e-21,3.67343e-29,4.00968e-32,3.67229e-30
97,1,1.36416e-21,4.10589e-29,5.48481e-32,3.59081e-30
98,1,1.36471e-21,4.44655e-29,7.26856e-32,3.50633e-30
99,1,1.36537e-21,4.66488e-29,9.30195e-32,3.48422e-30
100,1,1.366e-21,4.74802e-29,1.14906e-31,3.61657e-30
101,1,1.36641e-21,4.69769e-29,1.36861e-31,4.02589e-30
102,0.999999,1.3668e-21,4.53167e-29,1.5679e-31,4.86315e-30
103,0.999999,1.36645e-21,4.27849e-29,1.72262e-31,6.29437e-30
104,0.999999,1.3657e-21,3.97329e-29,1.81105e-31,8.47048e-30
105,0.999999,1.36561e-21,3.65158e-29,1.8198e-31,1.14795e-29
106,1,1.36568e-21,3.34004e-29,1.7459e-31,1.52877e-29
107,1,1.36563e-21,3.04777e-29,1.59543e-31,1.96875e-29
108,1.00001,1.36615e-21,2.76367e-29,1.3806e-31,2.42784e-29
109,1.00002,1.36646e-21,2.46174e-29,1.11728e-31,2.8508e-29
110,1.00003,1.3668e-21,2.11513e-29,8.246e-32,3.1788e-29
111,1.00004,1.36707e-21,1.71972e-29,5.27063e-32,3.36713e-29
112,1.00006,1.36649e-21,1.32231e-29,2.58593e-32,3.40455e-29
113,1.00011,1.36598e-21,1.05191e-29,6.69986e-33,3.32682e-29
