t,T+R,N_0
0,1,6.00054e-24
1,1,6.00224e-24
2,1,5.99838e-24
3,1,6.00145e-24
4,1,5.99879e-24
5,1,6.00072e-24
6,1,6.00025e-24
7,1,6.00291e-24
8,1,6.00668e-24
9,1,6.00785e-24
10,1,6.01678e-24
11,1,6.01992e-24
12,1,6.02675e-24
13,1,6.02853e-24
14,1,6.02942e-24
15,1,6.02959e-24
16,1,6.0285e-24
17,1,6.0268e-24
18,1,6.02764e-24
19,1,6.02861e-24
20,1,6.02667e-24
21,1,6.02934e-24
22,1,6.03676e-24
23,1,6.03658e-24
24,1,6.0447e-24
25,1,6.06207e-24
26,1,6.07928e-24
27,1,6.0934e-24
28,1,6.10965e-24
29,1,6.12153e-24
30,1,6.13402e-24
31,1,6.14382e-24
32,1,6.14924e-24
33,1,6.14868e-24
34,1,6.13754e-24
35,1,6.12138e-24
36,1,6.08921e-24
37,1,6.06041e-24
38,1,6.02635e-24
39,1,5.99284e-24
40,1,5.95455e-24
41,1,5.92967e-24
42,1,5.90598e-24
43,1,5.89395e-24
44,1,5.88832e-24
45,1,5.89274e-24
46,1,5.90632e-24
47,1,5.91507e-24
48,1,5.92332e-24
49,1,5.93611e-24
50,1,5.94329e-24
51,1,5.95682e-24
52,1,5.96342e-24
53,1,5.96292e-24
54,1,5.96162e-24
55,1,5.96193e-24
56,1,5.959e-24
57,1,5.95937e-24
58,1,5.9561e-24
59,1,5.95653e-24
60,1,5.95513e-24
61,1,5.95215e-24
62,1,5.95065e-24
63,1,5.94701e-24
64,1,5.93894e-24
65,1,5.93448e-24
66,1,5.93274e-24
67,1,5.93116e-24
68,1,5.92949e-24
69,1,5.92455e-24
70,1,5.92256e-24
71,1,5.92254e-24
72,1,5.92251e-24
73,1,5.9278e-24
74,1,5.92831e-24
75,1,5.93104e-24
76,1,5.9342e-24
77,1,5.93912e-24
78,1,5.93941e-24
79,1,5.93736e-24
80,1,5.93733e-24
81,1,5.93925e-24
82,1,5.93347e-24
83,1,5.93023e-24
84,1,5.92633e-24
85,1,5.92882e-24
86,1,5.93139e-24
87,1,5.93367e-24
88,1,5.93996e-24
89,1,5.94688e-24
90,1,5.95793e-24
91,1,5.96935e-24
92,1,5.98241e-24
93,1,5.9908e-24
94,1,6.00129e-24
95,1,6.01277e-24
96,1,6.02436e-24
97,1,6.03325e-24
98,1,6.04242e-24
99,1,6.0462e-24
100,1,6.04357e-24
101,1,6.03412e-24
102,1,6.02551e-24
103,1,6.02071e-24
104,1,6.00467e-24
105,1,5.98859e-24
106,1,5.97652e-24
107,1,5.95843e-24
108,1,5.94331e-24
109,1,5.9351e-24
110,1,5.93485e-24
111,1,5.93271e-24
112,1,5.93591e-24
113,1,5.9381e-24
114,1,5.94568e-24
115,1,5.95694e-24
116,1,5.96722e-24
117,1,5.97747e-24
118,1,5.98449e-24
119,1,5.98795e-24
120,1,5.98505e-24
121,1,5.98895e-24
122,1,5.99166e-24
123,1,5.98607e-24
124,1,5.97885e-24
125,0.999999,5.9683e-24
126,0.999998,5.95931e-24
127,1,5.96119e-24
128,1,5.96307e-24
129,1.00001,5.97211e-24
130,1,5.9751e-24
131,0.999985,5.96232e-24
132,0.99997,5.94617e-24
133,0.999983,5.9784e-24
134,1.00004,6.10052e-24
135,1.00011,6.27786e-24
136,1.00011,6.32553e-24
137,0.999966,5.9031e-24
138,0.999714,4.92857e-24
139,0.999544,4.12466e-24
140,0.999734,5.29541e-24
141,1.00041,1.05455e-23
142,1.00127,2.02659e-23
143,1.00161,3.16114e-23
144,1.00066,4.14326e-23
145,0.998286,5.93103e-23
146,0.995562,1.35394e-22
147,0.994603,4.06386e-22
148,0.997459,1.17105e-21
149,1.00443,3.03907e-21
150,1.01281,7.28389e-21
151,1.01731,1.67072e-20
152,1.01237,3.76606e-20
153,0.995963,8.45122e-20
154,0.972593,1.89118e-19
155,0.953458,4.20413e-19
156,0.952566,9.24519e-19
157,0.979641,2.00627e-18
158,1.03288,4.29385e-18
159,1.09554,9.06826e-18
160,1.13932,1.89154e-17
161,1.13484,3.90011e-17
162,1.06585,7.95333e-17
163,0.941255,1.60463e-16
164,0.798815,3.20361e-16
165,0.696943,6.32995e-16
166,0.6956,1.238e-15
167,0.832183,2.39702e-15
168,1.10132,4.59554e-15
169,1.44728,8.72574e-15
170,1.774,1.64119e-14
171,1.97178,3.05837e-14
172,1.95322,5.64778e-14
173,1.6874,1.03371e-13
174,1.22021,1.87556e-13
175,0.672856,3.37396e-13
176,0.21672,6.01857e-13
177,0.0302964,1.06477e-12
178,0.249542,1.86851e-12
179,0.925683,3.25289e-12
180,2.00278,5.61874e-12
181,3.32224,9.63078e-12
182,4.65414,1.6383e-11
183,5.74816,2.76623e-11
184,6.39173,4.6366e-11
185,6.46108,7.71575e-11
186,5.95295,1.27489e-10
187,4.98944,2.09185e-10
188,3.79503,3.40878e-10
189,2.65131,5.51722e-10
190,1.83975,8.87034e-10
191,1.58495,1.41677e-09
192,2.01035,2.24822e-09
193,3.1148,3.54485e-09
194,4.77382,5.55411e-09
195,6.76389,8.64821e-09
196,8.80395,1.33834e-08
197,10.605,2.05861e-08
198,11.9182,3.14761e-08
199,12.5729,4.78429e-08
200,12.4987,7.22967e-08
201,11.729,1.08621e-07
202,10.3869,1.62268e-07
203,8.65869,2.41048e-07
204,6.75929,3.56087e-07
205,4.8974,5.23137e-07
206,3.24571,7.64382e-07
207,1.92058,1.11087e-06
208,0.973405,1.60585e-06
209,0.393561,2.30915e-06
210,0.121023,3.30317e-06
211,0.0653192,4.70074e-06
212,0.126887,6.65544e-06
213,0.217032,9.37529e-06
214,0.273346,1.31405e-05
215,0.268607,1.83263e-05
216,0.212422,2.54329e-05
217,0.14614,3.5123e-05
218,0.132536,4.82705e-05
219,0.24242,6.6021e-05
220,0.540537,8.98689e-05
221,1.07303,0.000121753
222,1.85822,0.000164176
223,2.88184,0.000220349
224,4.09716,0.000294376
225,5.42961,0.000391465
226,6.78506,0.000518202
227,8.06043,0.000682861
228,9.15516,0.000895785
229,9.98208,0.00116984
230,10.4764,0.00152092
231,10.6017,0.00196862
232,10.3534,0.00253686
233,9.75747,0.00325477
234,8.86734,0.00415759
235,7.75766,0.00528774
236,6.51653,0.00669595
237,5.23697,0.00844255
238,4.00856,0.0105989
239,2.91006,0.0132489
240,2.00351,0.0164906
241,1.3304,0.0204378
242,0.909983,0.0252217
243,0.739646,0.030993
244,0.79718,0.037923
245,1.0445,0.0462054
246,1.43238,0.0560576
