t,T+R,N_0
236,0.107957,7.00015e-05
237,0.113629,9.09647e-05
238,0.117956,0.000117715
239,0.120887,0.000151704
240,0.122474,0.000194709
241,0.122849,0.000248889
242,0.12221,0.000316865
243,0.120791,0.000401793
244,0.118847,0.00050746
245,0.116634,0.000638387
246,0.114388,0.000799947
247,0.112316,0.000998491
248,0.110586,0.00124149
249,0.109323,0.00153769
250,0.108603,0.00189729
251,0.108462,0.00233207
252,0.108896,0.00285566
253,0.10987,0.00348367
254,0.111323,0.0042339
255,0.113182,0.00512655
256,0.115369,0.00618445
257,0.117804,0.00743317
258,0.120421,0.00890129
259,0.123167,0.0106205
260,0.126007,0.0126257
261,0.128932,0.0149553
262,0.131953,0.0176509
263,0.135103,0.0207576
264,0.138436,0.024324
265,0.142024,0.0284017
266,0.145954,0.0330454
267,0.150322,0.0383126
268,0.155231,0.044263
269,0.160786,0.0509582
270,0.167091,0.0584611
271,0.174245,0.066835
272,0.18234,0.0761433
273,0.19146,0.0864477
274,0.201677,0.0978082
275,0.213053,0.110281
276,0.225638,0.123919
277,0.239468,0.138769
278,0.254572,0.154869
279,0.270963,0.172252
280,0.288646,0.19094
281,0.307614,0.210943
282,0.327853,0.232263
283,0.349334,0.254885
284,0.372021,0.278783
285,0.395867,0.303916
286,0.420812,0.330228
287,0.446789,0.357649
288,0.473715,0.386093
289,0.501496,0.415459
290,0.530028,0.445633
291,0.559194,0.476488
292,0.588863,0.507883
293,0.618898,0.53967
294,0.649149,0.57169
295,0.679461,0.603779
296,0.70967,0.635768
297,0.739613,0.667488
298,0.769123,0.698769
299,0.798036,0.729446
300,0.826194,0.759361
301,0.853447,0.788363
302,0.879655,0.816315
303,0.904693,0.843092
304,0.928449,0.868586
305,0.950832,0.892704
306,0.97177,0.915376
307,0.991208,0.936547
308,1.00912,0.956185
309,1.02548,0.974278
310,1.04032,0.990831
311,1.05365,1.00587
312,1.06552,1.01944
313,1.076,1.0316
314,1.08516,1.04241
315,1.09308,1.05197
316,1.09987,1.06036
317,1.10561,1.06768
318,1.11042,1.07402
319,1.11439,1.0795
320,1.11762,1.08421
321,1.12022,1.08824
322,1.12226,1.09168
323,1.12383,1.09462
324,1.12501,1.09711
325,1.12585,1.09923
326,1.12639,1.10103
327,1.12669,1.10253
328,1.12677,1.10378
329,1.12665,1.10479
330,1.12634,1.10557
331,1.12583,1.10613
332,1.12514,1.10645
333,1.12425,1.10653
334,1.12314,1.10637
335,1.12182,1.10594
336,1.12026,1.10524
337,1.11845,1.10426
338,1.11639,1.10298
339,1.11408,1.1014
340,1.1115,1.09953
341,1.10868,1.09737
342,1.10561,1.09493
343,1.10232,1.09223
344,1.09882,1.08929
345,1.09514,1.08612
346,1.0913,1.08277
347,1.08733,1.07925
348,1.08326,1.07561
349,1.07913,1.07187
350,1.07497,1.06807
351,1.0708,1.06423
352,1.06665,1.06038
353,1.06255,1.05656
354,1.05852,1.05278
355,1.05458,1.04906
356,1.05073,1.04542
357,1.047,1.04187
358,1.04338,1.03841
359,1.03989,1.03505
360,1.03652,1.0318
361,1.03328,1.02865
362,1.03015,1.02561
363,1.02714,1.02266
364,1.02424,1.01981
365,1.02145,1.01705
366,1.01876,1.01438
367,1.01618,1.0118
368,1.01369,1.00931
369,1.0113,1.0069
370,1.00901,1.00458
371,1.00682,1.00236
372,1.00473,1.00022
373,1.00275,0.998179
374,1.00087,0.996239
375,0.999095,0.994401
376,0.997436,0.99267
377,0.995892,0.991048
378,0.994463,0.989537
379,0.99315,0.988139
380,0.991952,0.986853
381,0.990868,0.985678
382,0.989895,0.984611
383,0.98903,0.983651
384,0.988267,0.982792
385,0.987602,0.98203
386,0.987028,0.981359
387,0.986541,0.980775
388,0.986133,0.980271
389,0.9858,0.979842
390,0.985536,0.979483
391,0.985335,0.979189
392,0.985194,0.978957
393,0.985108,0.978781
394,0.985074,0.97866
395,0.985089,0.97859
396,0.985151,0.978569
397,0.985258,0.978595
398,0.985406,0.978667
399,0.985595,0.978781
400,0.985823,0.978937
401,0.986086,0.979133
402,0.986384,0.979365
403,0.986713,0.979631
404,0.98707,0.979929
405,0.987453,0.980256
406,0.987858,0.980607
407,0.988281,0.980981
408,0.988721,0.981373
409,0.989172,0.981781
410,0.989632,0.9822
411,0.990099,0.982629
412,0.990568,0.983064
413,0.99104,0.983504
414,0.99151,0.983945
415,0.991978,0.984387
416,0.992442,0.984828
