t,Norm_0,AvgX_0
286,1,11.477
287,1,11.5693
288,1,11.6586
289,1,11.7451
290,1,11.8289
291,1,11.9101
292,1,11.989
293,1,12.0657
294,1,12.1403
295,1,12.2131
296,1,12.284
297,1,12.3533
298,1,12.4212
299,1,12.4876
300,1,12.5528
301,1,12.6169
302,1,12.6799
303,1,12.742
304,1,12.8032
305,1,12.8636
306,1,12.9233
307,1,12.9823
308,1,13.0407
309,1,13.0985
310,1,13.1558
311,1,13.2126
312,1,13.269
313,1,13.325
314,1,13.3805
315,1,13.4357
316,1,13.4905
317,1,13.545
318,1,13.5991
319,1,13.653
320,1,13.7066
321,1,13.7599
322,1,13.8129
323,1,13.8657
324,1,13.9183
325,1,13.9706
326,1,14.0227
327,1,14.0747
328,1,14.1264
329,1,14.178
330,1,14.2295
331,1,14.2807
332,1,14.3319
333,1,14.3829
334,1,14.4337
335,1,14.4845
336,1,14.5351
337,1,14.5857
338,1,14.6361
339,1,14.6865
340,1,14.7368
341,1,14.7869
342,1,14.8371
343,1,14.8871
344,1,14.9371
345,1,14.987
346,1,15.0368
347,1,15.0866
348,1,15.1363
349,1,15.186
350,1,15.2357
351,1,15.2852
352,1,15.3348
353,1,15.3843
354,1,15.4338
355,1,15.4832
356,1,15.5326
357,1,15.5819
358,1,15.6313
359,1,15.6806
360,1,15.7298
361,1,15.7791
362,1,15.8283
363,1,15.8775
364,1,15.9267
365,1,15.9758
366,1,16.0249
367,1,16.0741
368,1,16.1232
369,1,16.1722
370,1,16.2213
371,1,16.2704
372,1,16.3194
373,1,16.3684
374,1,16.4174
375,1,16.4664
376,1,16.5154
377,1,16.5644
378,1,16.6133
379,1,16.6623
380,1,16.7112
381,1,16.7602
382,1,16.8091
383,1,16.858
384,1,16.9069
385,1,16.9558
386,1,17.0047
387,1,17.0536
388,1,17.1025
389,1,17.1514
390,1,17.2003
391,1,17.2491
392,1,17.298
393,1,17.3469
394,1,17.3957
395,1,17.4446
396,1,17.4934
397,1,17.5423
398,1,17.5911
399,1,17.64
400,1,17.6888
401,1,17.7376
402,1,17.7864
403,1,17.8353
404,1,17.8841
405,1,17.9329
406,1,17.9817
