t,T+R,N_0,N_1,N_2
0,1,1.01492e-23,7.10104e-44,1.46205e-50
1,1,1.01494e-23,1.29242e-40,6.5041e-45
2,1,1.01488e-23,5.30789e-40,1.44961e-43
3,1,1.01495e-23,1.07745e-39,5.56219e-43
4,1,1.01502e-23,9.65026e-40,1.53153e-42
5,1,1.01499e-23,1.04482e-39,3.98451e-42
6,1,1.01509e-23,9.35641e-40,1.16733e-41
7,1,1.0152e-23,4.20328e-39,4.52213e-41
8,1,1.01514e-23,3.7468e-38,2.01508e-40
9,1,1.01523e-23,1.67409e-37,8.29324e-40
10,1,1.01533e-23,5.14503e-37,2.90303e-39
11,1,1.01536e-23,1.25866e-36,8.64026e-39
12,1,1.01533e-23,2.73694e-36,2.24131e-38
13,1,1.01546e-23,5.3094e-36,5.1757e-38
14,1,1.01546e-23,9.5389e-36,1.07892e-37
15,1,1.01557e-23,1.62352e-35,2.05916e-37
16,1,1.01562e-23,2.66286e-35,3.64169e-37
17,1,1.01561e-23,4.2264e-35,6.02523e-37
18,1,1.01577e-23,6.46653e-35,9.39167e-37
19,1,1.01575e-23,9.53404e-35,1.38604e-36
20,1,1.0158e-23,1.35024e-34,1.94346e-36
21,1,1.01588e-23,1.82526e-34,2.59343e-36
22,1,1.01592e-23,2.34758e-34,3.29431e-36
23,1,1.01596e-23,2.85335e-34,3.97976e-36
24,1,1.01593e-23,3.25867e-34,4.56619e-36
25,1,1.016e-23,3.48838e-34,4.97373e-36
26,1,1.01595e-23,3.50471e-34,5.15974e-36
27,1,1.01574e-23,3.37083e-34,5.15886e-36
28,1,1.01561e-23,3.25038e-34,5.1128e-36
29,1,1.01558e-23,3.40156e-34,5.26837e-36
30,1,1.01554e-23,4.10999e-34,5.93262e-36
31,1,1.0154e-23,5.63999e-34,7.38634e-36
32,1,1.01519e-23,8.10722e-34,9.76659e-36
33,1,1.01509e-23,1.14279e-33,1.29484e-35
34,1,1.01501e-23,1.53434e-33,1.6478e-35
35,1,1.01482e-23,1.9608e-33,1.9603e-35
36,1,1.01466e-23,2.41316e-33,2.14237e-35
37,1,1.0146e-23,2.93992e-33,2.11588e-35
38,1,1.01459e-23,3.66659e-33,1.85027e-35
39,1,1.01441e-23,4.81018e-33,1.39684e-35
40,1,1.01411e-23,6.67239e-33,9.15927e-36
41,1,1.01416e-23,9.60553e-33,6.87748e-36
42,1,1.01416e-23,1.39562e-32,1.10399e-35
43,1,1.01412e-23,2.00111e-32,2.64125e-35
44,1,1.01389e-23,2.79572e-32,5.82228e-35
45,1,1.01383e-23,3.7844e-32,1.11702e-34
46,1,1.0136e-23,4.95688e-32,1.91628e-34
47,1,1.0135e-23,6.28486e-32,3.01806e-34
48,1,1.0135e-23,7.72268e-32,4.44525e-34
49,1,1.0134e-23,9.20829e-32,6.19946e-34
50,1,1.01322e-23,1.06633e-31,8.25521e-34
51,1,1.01291e-23,1.19995e-31,1.05554e-33
52,1,1.01267e-23,1.31342e-31,1.30122e-33
53,1,1.01251e-23,1.39945e-31,1.55138e-33
54,1,1.01227e-23,1.45312e-31,1.79371e-33
55,1,1.01211e-23,1.47252e-31,2.01633e-33
56,1,1.01192e-23,1.45876e-31,2.20939e-33
57,1,1.01211e-23,1.41486e-31,2.36597e-33
58,1,1.01234e-23,1.34561e-31,2.48231e-33
59,1,1.01243e-23,1.25649e-31,2.55755e-33
60,1,1.01257e-23,1.1524e-31,2.59284e-33
61,1,1.0126e-23,1.03739e-31,2.5902e-33
62,1,1.01261e-23,9.1513e-32,2.55158e-33
63,1,1.01279e-23,7.89301e-32,2.47828e-33
64,1,1.01271e-23,6.63857e-32,2.37111e-33
65,1,1.01278e-23,5.43479e-32,2.23136e-33
66,1,1.01288e-23,4.3323e-32,2.06254e-33
67,1,1.01288e-23,3.37927e-32,1.87194e-33
68,1,1.01283e-23,2.61416e-32,1.67088e-33
69,1,1.01252e-23,2.05899e-32,1.47315e-33
70,1,1.01246e-23,1.71529e-32,1.29227e-33
71,1,1.01242e-23,1.56648e-32,1.1388e-33
72,1,1.01232e-23,1.5815e-32,1.0191e-33
73,1,1.01215e-23,1.71713e-32,9.35824e-34
74,1,1.01199e-23,1.92707e-32,8.89378e-34
