t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,1,1.99706e-25,4.23508e-30,2.75449e-33,9.94178e-33,1.78337e-34,2.36949e-33,9.25222e-34,1.20705e-33
1,1.00033,2.05272e-25,4.82009e-28,1.98542e-30,1.5275e-30,6.21363e-33,2.1724e-31,1.47394e-32,1.74538e-31
2,1.00122,2.05107e-25,1.62125e-27,1.70841e-29,6.83879e-30,1.87669e-32,1.12163e-30,7.20353e-33,1.78869e-31
3,1.00267,2.05159e-25,3.23844e-27,6.43977e-29,1.66129e-29,1.80552e-31,2.26566e-30,3.17036e-32,7.69035e-31
4,1.00471,1.96721e-25,5.13357e-27,1.64476e-28,2.77531e-29,9.4172e-31,5.00574e-30,4.5031e-32,9.05396e-31
5,1.00735,1.97083e-25,7.18426e-27,3.46319e-28,3.40006e-29,2.66341e-30,7.71884e-30,1.64961e-31,2.26472e-30
6,1.01065,1.87763e-25,9.44448e-27,6.52282e-28,3.24601e-29,5.43973e-30,1.17821e-29,1.3035e-31,2.84264e-30
7,1.01466,1.88384e-25,1.23778e-26,1.11787e-27,3.16312e-29,9.1001e-30,1.37519e-29,3.28673e-31,4.91819e-30
8,1.01945,1.76982e-25,1.57034e-26,1.77552e-27,7.05922e-29,1.55303e-29,1.74933e-29,1.28013e-31,6.22466e-30
9,1.02512,1.69976e-25,1.9078e-26,2.71053e-27,2.08269e-28,2.48037e-29,2.74411e-29,2.9906e-31,1.00146e-29
10,1.03176,1.70482e-25,2.27133e-26,3.88223e-27,5.14127e-28,4.54654e-29,6.147e-29,6.30973e-32,1.7322e-29
11,1.03947,1.63065e-25,2.61868e-26,5.0256e-27,1.05881e-27,8.10125e-29,1.38785e-28,2.44717e-31,3.15079e-29
12,1.04833,1.59641e-25,3.00071e-26,6.38212e-27,1.92022e-27,1.26219e-28,2.87201e-28,3.64294e-31,6.2475e-29
13,1.05843,1.56875e-25,3.27299e-26,7.20218e-27,3.15533e-27,1.86172e-28,5.58117e-28,1.03753e-30,1.1662e-28
14,1.06983,1.62318e-25,3.45249e-26,8.30203e-27,4.69233e-27,2.4146e-28,9.86056e-28,1.14943e-30,2.13858e-28
15,1.08258,1.53272e-25,3.67618e-26,9.08567e-27,6.4665e-27,3.01014e-28,1.5877e-27,2.1903e-30,3.44133e-28
16,1.0967,1.44259e-25,4.21612e-26,9.36158e-27,8.27439e-27,3.13707e-28,2.30946e-27,3.3291e-30,5.25323e-28
17,1.11216,1.38382e-25,4.75657e-26,9.76295e-27,1.04277e-26,3.19696e-28,3.14581e-27,4.15794e-30,7.37305e-28
18,1.12886,1.3173e-25,5.3448e-26,9.81303e-27,1.36464e-26,2.41258e-28,4.10542e-27,4.26426e-30,1.02181e-27
19,1.14661,1.22391e-25,6.03172e-26,9.65409e-27,1.76912e-26,1.64929e-28,5.18754e-27,3.2154e-30,1.27175e-27
20,1.16511,1.13361e-25,6.42551e-26,9.3816e-27,2.13901e-26,1.02772e-28,5.86369e-27,2.1843e-30,1.57013e-27
21,1.18403,1.06435e-25,6.77358e-26,8.65744e-27,2.50803e-26,8.10302e-29,6.75911e-27,2.34143e-30,1.75383e-27
22,1.20297,9.16878e-26,7.37703e-26,7.48225e-27,2.9857e-26,7.91311e-29,7.57553e-27,2.55487e-30,1.8576e-27
23,1.22157,8.92567e-26,7.52128e-26,6.14153e-27,3.25595e-26,1.10685e-28,8.26762e-27,3.59729e-31,2.17552e-27
24,1.23947,8.32664e-26,7.25882e-26,5.85089e-27,3.63341e-26,1.59375e-28,9.21614e-27,1.48133e-30,2.40003e-27
25,1.25636,8.19609e-26,6.98151e-26,4.31989e-27,3.6529e-26,2.01429e-28,1.04867e-26,1.56053e-30,2.73053e-27
26,1.27191,7.86198e-26,7.34975e-26,4.46929e-27,3.69908e-26,2.76512e-28,1.13317e-26,4.36453e-30,3.05242e-27
27,1.28584,7.46348e-26,7.31243e-26,3.67298e-27,3.7394e-26,3.021e-28,1.23166e-26,3.12775e-30,3.46783e-27
28,1.29784,7.09787e-26,7.70917e-26,3.65453e-27,3.93115e-26,3.87559e-28,1.32705e-26,6.26161e-30,3.57663e-27
29,1.30766,6.88221e-26,7.70069e-26,3.86079e-27,4.10284e-26,2.47412e-28,1.326e-26,6.26244e-30,3.99439e-27
30,1.31511,6.58701e-26,8.59753e-26,4.06129e-27,4.19598e-26,1.70398e-28,1.23918e-26,5.0674e-30,3.8574e-27
31,1.3201,5.15646e-26,9.2324e-26,4.52183e-27,4.68871e-26,9.84243e-29,1.24623e-26,6.11521e-30,3.68604e-27
32,1.32265,4.72185e-26,1.03721e-25,5.30771e-27,4.68328e-26,3.0628e-29,1.14485e-26,2.29535e-30,3.31828e-27
33,1.32289,3.97939e-26,1.10814e-25,5.41714e-27,5.07017e-26,4.78354e-30,1.0962e-26,2.52603e-30,3.18086e-27
34,1.32102,3.12664e-26,1.14553e-25,5.34377e-27,5.12358e-26,2.01203e-29,1.13433e-26,1.46862e-30,2.88679e-27
35,1.3173,2.61062e-26,1.25039e-25,6.09746e-27,4.8584e-26,1.24123e-28,1.10372e-26,2.96535e-30,2.73851e-27
36,1.31199,2.18039e-26,1.2298e-25,7.51024e-27,4.5572e-26,2.15868e-28,1.15541e-26,2.82771e-30,2.81907e-27
37,1.30535,1.82415e-26,1.28021e-25,7.15479e-27,4.23821e-26,5.53014e-28,1.28082e-26,6.57372e-30,2.87158e-27
38,1.29763,1.6056e-26,1.35547e-25,6.55707e-27,4.19365e-26,8.18748e-28,1.3675e-26,4.49109e-30,2.92619e-27
39,1.28907,1.39276e-26,1.34139e-25,6.51073e-27,3.72495e-26,7.7041e-28,1.27893e-26,8.95521e-30,3.17568e-27
40,1.27992,1.35617e-26,1.34234e-25,6.2732e-27,3.52938e-26,8.16801e-28,1.30769e-26,1.09657e-29,3.3525e-27
41,1.27038,1.17447e-26,1.37422e-25,6.80313e-27,3.74389e-26,5.63423e-28,1.10383e-26,5.28854e-30,3.26388e-27
42,1.26063,1.05872e-26,1.48662e-25,7.23004e-27,3.95053e-26,5.45417e-28,9.29867e-27,1.04496e-29,2.9592e-27
43,1.25084,9.75738e-27,1.5037e-25,6.76486e-27,3.86296e-26,2.63438e-28,7.34366e-27,3.59619e-30,2.91798e-27
44,1.2411,8.58754e-27,1.54795e-25,6.17756e-27,4.05056e-26,1.58901e-28,6.17338e-27,5.60609e-30,2.40229e-27
45,1.23149,8.68088e-27,1.71649e-25,4.90739e-27,3.69733e-26,8.24995e-29,6.03803e-27,1.2356e-30,2.12822e-27
46,1.22206,9.06287e-27,1.75283e-25,4.71016e-27,3.59306e-26,2.5148e-28,5.47947e-27,6.2444e-31,1.87413e-27
47,1.21287,9.4832e-27,1.66049e-25,2.7598e-27,3.39408e-26,5.98711e-28,7.08e-27,1.23183e-31,1.62398e-27
48,1.20396,9.94768e-27,1.70943e-25,1.83657e-27,3.33204e-26,7.95201e-28,8.44345e-27,6.07877e-30,1.61267e-27
