t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,0.999996,3.29768e-26,5.18885e-31,9.41979e-35,2.14573e-33,1.06752e-35,5.71929e-34,2.26123e-35,1.29481e-34
1,0.999566,3.30752e-26,6.44285e-29,5.48283e-32,2.25747e-31,1.89354e-32,2.02954e-32,2.01593e-32,1.04083e-32
2,0.998418,3.32613e-26,2.40999e-28,1.15624e-30,6.60093e-31,1.63417e-31,4.7182e-32,5.20602e-33,2.36132e-32
3,0.996548,3.26979e-26,5.39347e-28,6.24876e-30,1.20896e-30,5.77933e-31,7.98029e-32,6.64017e-33,3.57997e-32
4,0.993949,3.20226e-26,9.68565e-28,2.05403e-29,2.17535e-30,1.11968e-30,2.62157e-31,2.06463e-32,7.60545e-32
5,0.990612,3.17989e-26,1.51509e-27,5.07059e-29,4.3848e-30,1.75723e-30,6.95002e-31,3.50239e-33,2.80541e-31
6,0.986523,3.13443e-26,2.14843e-27,1.01741e-28,8.74485e-30,2.4467e-30,1.84609e-30,2.46728e-32,4.24311e-31
7,0.981664,3.04728e-26,2.78107e-27,1.73634e-28,1.73596e-29,3.45271e-30,3.5073e-30,1.31805e-32,1.07331e-30
8,0.976013,2.92877e-26,3.62393e-27,2.76716e-28,3.2615e-29,4.35771e-30,6.77825e-30,2.94666e-32,1.48681e-30
9,0.969545,2.84125e-26,4.61633e-27,4.16699e-28,6.14039e-29,5.18264e-30,1.16011e-29,4.75371e-32,2.98433e-30
10,0.962237,2.66571e-26,5.27932e-27,5.91989e-28,1.08146e-28,6.24758e-30,1.95633e-29,5.62184e-32,4.23744e-30
11,0.954069,2.577e-26,5.95374e-27,7.90744e-28,1.87862e-28,8.65499e-30,3.18815e-29,1.5733e-31,7.62518e-30
12,0.945026,2.45173e-26,6.81053e-27,1.00705e-27,2.97292e-28,1.26895e-29,5.28654e-29,1.27112e-31,1.16475e-29
13,0.935102,2.42855e-26,7.37399e-27,1.27183e-27,4.64775e-28,2.05729e-29,8.32966e-29,3.60978e-31,1.91945e-29
14,0.924301,2.20564e-26,7.56788e-27,1.45496e-27,6.62447e-28,2.72676e-29,1.28933e-28,2.6473e-31,2.99336e-29
15,0.912642,2.09686e-26,7.90427e-27,1.62823e-27,9.03943e-28,3.28892e-29,1.98295e-28,5.40533e-31,4.73024e-29
16,0.900158,2.11614e-26,7.7263e-27,1.87452e-27,1.21825e-27,3.827e-29,2.80779e-28,2.61768e-31,6.67224e-29
17,0.886912,2.02721e-26,7.94849e-27,1.86494e-27,1.52022e-27,3.35229e-29,3.80896e-28,2.89057e-31,9.04309e-29
18,0.872994,1.90552e-26,8.29609e-27,2.01678e-27,1.9467e-27,3.42532e-29,5.07052e-28,1.20818e-31,1.19592e-28
19,0.858532,1.79151e-26,8.42322e-27,1.94485e-27,2.34633e-27,2.8188e-29,6.4843e-28,1.13298e-31,1.51318e-28
20,0.843685,1.67093e-26,8.79372e-27,1.83369e-27,2.88812e-27,2.60004e-29,7.46701e-28,7.36038e-32,1.88814e-28
21,0.828638,1.66679e-26,9.46428e-27,1.64746e-27,3.24165e-27,2.16742e-29,9.34865e-28,2.70324e-31,2.24989e-28
22,0.813589,1.46732e-26,9.90771e-27,1.54708e-27,4.0188e-27,2.50769e-29,1.06122e-27,4.30386e-31,2.70989e-28
23,0.798742,1.30272e-26,9.84432e-27,1.31714e-27,4.64404e-27,2.46326e-29,1.25053e-27,5.14958e-31,2.93776e-28
24,0.784295,1.28677e-26,9.62175e-27,1.0228e-27,5.35455e-27,2.87292e-29,1.51597e-27,3.71351e-31,3.5849e-28
25,0.770439,1.07074e-26,9.70956e-27,8.76528e-28,5.88935e-27,3.08583e-29,1.74126e-27,3.87607e-31,3.92111e-28
26,0.757357,1.04606e-26,9.72421e-27,6.22488e-28,6.46244e-27,2.1621e-29,1.89839e-27,1.21752e-31,4.20875e-28
27,0.74522,9.28054e-27,9.16735e-27,5.29541e-28,6.96567e-27,1.79413e-29,2.09184e-27,9.37556e-32,4.18281e-28
28,0.734189,8.92492e-27,9.90399e-27,4.35145e-28,7.49914e-27,1.31663e-29,2.25677e-27,3.91604e-31,4.29663e-28
29,0.724401,7.78528e-27,1.04503e-26,3.69834e-28,7.8288e-27,1.03091e-29,2.32586e-27,7.42844e-32,3.49842e-28
30,0.715961,7.10435e-27,1.17696e-26,4.28913e-28,8.12019e-27,1.12219e-29,2.17654e-27,2.19756e-31,3.28451e-28
31,0.708934,5.66683e-27,1.10992e-26,4.49966e-28,8.30496e-27,1.05846e-29,2.16937e-27,6.49064e-31,2.89316e-28
32,0.703338,4.58425e-27,1.24311e-26,5.11638e-28,8.51921e-27,1.30567e-29,1.92471e-27,5.04862e-31,2.41051e-28
33,0.699144,3.6808e-27,1.3181e-26,7.24107e-28,8.65668e-27,1.63532e-29,1.67859e-27,6.81652e-31,2.06139e-28
34,0.696291,3.48146e-27,1.40887e-26,7.07893e-28,8.52762e-27,2.90004e-29,1.63252e-27,-1.39592e-33,1.71958e-28
35,0.694687,2.58485e-27,1.54869e-26,9.2145e-28,8.42023e-27,2.79704e-29,1.35056e-27,5.2301e-31,1.91055e-28
