E,T,R0,R1,R2,R3,R4,R5,R6,R7,R,N_R0,N_R1,N_R2,N_R3,N_R4,N_R5,N_R6,N_R7,E/V0
18.4984,11726.7,1.30227e-23,5.87764e-23,8.77182e-24,2.95126e-24,2.06322e-24,6.44762e-24,1.57837e-27,3.16192e-24,9.51965e-23,1.11051e-27,5.01216e-27,7.48018e-28,2.51669e-28,1.75941e-28,5.49822e-28,1.34596e-31,2.69633e-28,0.184984
18.6222,11512.3,2.95824e-23,-1.97654e-23,6.94282e-25,-5.21875e-24,-3.78558e-26,4.34267e-24,9.54371e-26,1.07099e-24,1.07638e-23,2.56964e-27,-1.7169e-27,6.03079e-29,-4.5332e-28,-3.28829e-30,3.7722e-28,8.29001e-30,9.30298e-29,0.186222
18.7463,11297.8,4.66348e-23,5.87643e-23,-1.47479e-24,1.64274e-23,4.81843e-25,1.25389e-23,4.13354e-26,5.35775e-24,1.38771e-22,4.12778e-27,5.2014e-27,-1.30538e-28,1.45403e-27,4.26494e-29,1.10985e-27,3.65872e-30,4.7423e-28,0.187463
18.8709,11083.4,9.87667e-24,2.18268e-22,9.59848e-25,3.06884e-23,1.0166e-24,4.22759e-24,1.40393e-26,3.22871e-24,2.6828e-22,8.91126e-28,1.96933e-26,8.66027e-29,2.76887e-27,9.17229e-29,3.81436e-28,1.26671e-30,2.91311e-28,0.188709
18.9958,10869.1,2.8922e-23,8.44591e-23,3.45946e-24,2.50636e-24,-3.53777e-25,3.33357e-24,3.94378e-27,3.82627e-25,1.22713e-22,2.66093e-27,7.77056e-27,3.18284e-28,2.30594e-28,-3.25488e-29,3.06701e-28,3.62842e-31,3.52032e-29,0.189958
19.1212,10655.2,5.8777e-23,-5.9276e-23,2.13676e-24,4.00367e-24,1.66059e-24,1.66874e-23,3.97632e-26,4.81955e-25,2.45111e-23,5.51628e-27,-5.56311e-27,2.00537e-28,3.75748e-28,1.55848e-28,1.56612e-27,3.73181e-30,4.52319e-29,0.191212
19.247,10441.8,4.42864e-23,3.2578e-23,4.87996e-24,3.55442e-23,1.03098e-24,9.83614e-25,2.18469e-26,5.6798e-25,1.19893e-22,4.24127e-27,3.11997e-27,4.6735e-28,3.40404e-27,9.87366e-29,9.42e-29,2.09226e-30,5.4395e-29,0.19247
19.3732,10229,5.06302e-24,1.23162e-22,-1.30138e-24,7.20451e-24,2.44262e-24,-7.29471e-25,7.50015e-28,1.1438e-24,1.36985e-22,4.94966e-28,1.20404e-26,-1.27225e-28,7.0432e-28,2.38793e-28,-7.13138e-29,7.33222e-32,1.11819e-28,0.193732
19.4999,10017.1,2.51942e-23,5.0573e-23,1.71719e-24,8.5631e-25,-1.17724e-24,4.7315e-24,2.75667e-26,7.89852e-25,8.27123e-23,2.51512e-27,5.04868e-27,1.71426e-28,8.5485e-29,-1.17524e-28,4.72344e-28,2.75197e-30,7.88506e-29,0.194999
19.6269,9806.02,3.49615e-23,-4.25921e-23,7.19603e-25,1.68266e-23,1.61944e-25,6.26591e-25,2.30244e-25,1.09169e-24,1.2026e-23,3.56531e-27,-4.34347e-27,7.33838e-29,1.71594e-27,1.65147e-29,6.38986e-29,2.34799e-29,1.11329e-28,0.196269
19.7543,9595.99,7.67444e-24,4.96569e-23,7.29074e-24,1.5815e-23,4.94705e-25,5.7695e-24,-1.61893e-26,2.09208e-25,8.68943e-23,7.99755e-28,5.17476e-27,7.59769e-28,1.64808e-27,5.15533e-29,6.0124e-28,-1.68709e-30,2.18016e-29,0.197543
19.8822,9387.13,1.11267e-23,5.71831e-23,9.89343e-24,-7.26188e-25,-2.02231e-26,-9.75068e-25,3.14093e-26,5.78818e-25,7.7092e-23,1.18531e-27,6.09166e-27,1.05394e-27,-7.736e-29,-2.15435e-30,-1.03873e-28,3.34599e-30,6.16608e-29,0.198822
20.0105,9179.63,3.07196e-23,2.98639e-23,4.98316e-25,6.38218e-24,5.01925e-25,3.36665e-24,6.14512e-27,1.95218e-25,7.15339e-23,3.3465e-27,3.25327e-27,5.4285e-29,6.95254e-28,5.46781e-29,3.66752e-28,6.69429e-31,2.12664e-29,0.200105
20.1391,8973.58,2.75747e-23,1.17228e-23,4.74861e-24,1.81615e-23,2.13505e-25,1.45686e-24,-9.93848e-27,8.01142e-25,6.46691e-23,3.07287e-27,1.30637e-27,5.29177e-28,2.02388e-27,2.37926e-29,1.6235e-28,-1.10753e-30,8.92779e-29,0.201391
