t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
44,0.991893,6.5218e-29,6.28173e-28,3.10897e-30,1.29268e-28,6.87699e-31,1.60788e-29,8.51943e-33,6.62956e-30
45,0.992372,8.81756e-29,5.75221e-28,4.07899e-30,1.23653e-28,1.06288e-30,1.3733e-29,6.14877e-33,6.83588e-30
46,0.992817,1.00389e-28,6.18905e-28,1.99167e-30,1.21438e-28,7.39452e-31,1.25042e-29,-5.05676e-33,7.88086e-30
47,0.993227,9.28746e-29,4.89479e-28,8.99979e-30,1.11046e-28,9.63215e-31,1.06868e-29,-1.00374e-32,8.60076e-30
48,0.993599,9.95643e-29,5.52499e-28,7.98828e-30,1.16674e-28,1.15721e-30,9.41457e-30,-3.88852e-33,8.97219e-30
49,0.993934,1.45913e-28,5.31993e-28,1.11555e-29,1.056e-28,8.95622e-31,1.13931e-29,-1.76481e-33,8.71559e-30
50,0.99423,1.81773e-28,4.60474e-28,2.05643e-29,1.036e-28,6.08845e-31,1.09917e-29,-2.12475e-33,1.01976e-29
51,0.994491,1.8494e-28,4.44655e-28,1.98241e-29,8.46759e-29,6.83545e-31,1.22343e-29,-4.79244e-34,9.4628e-30
52,0.994721,2.09692e-28,4.62744e-28,2.17237e-29,9.6542e-29,8.10424e-31,1.4533e-29,4.46212e-33,1.02521e-29
53,0.994925,2.25332e-28,4.09285e-28,1.9331e-29,7.89974e-29,3.01857e-31,1.70662e-29,5.925e-33,1.06599e-29
54,0.995108,2.88192e-28,4.23472e-28,2.15953e-29,8.54524e-29,6.95651e-31,2.12106e-29,4.04374e-33,1.04615e-29
55,0.995275,2.99076e-28,3.29453e-28,2.33892e-29,7.84894e-29,5.80885e-31,2.27475e-29,-6.1588e-33,9.58249e-30
56,0.995431,3.23901e-28,3.03443e-28,2.95527e-29,6.7515e-29,4.58886e-31,2.5005e-29,2.63366e-32,1.14909e-29
57,0.995578,2.94989e-28,3.46846e-28,2.7721e-29,6.59402e-29,5.63038e-31,2.7248e-29,1.17519e-32,1.06526e-29
58,0.995723,3.74747e-28,3.24187e-28,2.99977e-29,5.47568e-29,8.73211e-31,2.78308e-29,-2.10541e-33,1.08107e-29
59,0.995871,4.40305e-28,2.77049e-28,2.98378e-29,6.14927e-29,5.5757e-31,3.31882e-29,1.25882e-32,1.05103e-29
60,0.996033,4.50788e-28,2.66769e-28,2.53374e-29,5.09303e-29,3.99985e-31,3.67985e-29,1.78852e-34,9.8651e-30
61,0.996218,4.63452e-28,2.22987e-28,2.98373e-29,5.41804e-29,7.13222e-31,4.06433e-29,-3.00272e-34,1.02372e-29
62,0.996438,4.92598e-28,2.56777e-28,2.77514e-29,3.71637e-29,6.66557e-31,4.42393e-29,2.68472e-33,1.02523e-29
63,0.996702,5.28739e-28,2.31815e-28,1.968e-29,5.14451e-29,3.3697e-31,4.7751e-29,1.14792e-33,9.51662e-30
64,0.997018,6.02254e-28,1.90587e-28,2.07203e-29,6.17325e-29,6.52663e-31,5.02964e-29,6.70834e-33,8.94361e-30
65,0.997387,5.95275e-28,1.5939e-28,1.42741e-29,5.49996e-29,7.7614e-31,5.36702e-29,1.39013e-32,7.93728e-30
66,0.997809,6.26446e-28,1.76944e-28,1.76565e-29,6.41669e-29,5.46863e-31,5.43121e-29,7.95031e-33,8.17696e-30
67,0.998278,6.11741e-28,1.55556e-28,1.439e-29,4.96308e-29,5.47394e-31,5.38194e-29,3.51667e-32,6.87632e-30
68,0.998787,6.78775e-28,1.50819e-28,9.02162e-30,6.66134e-29,8.35956e-31,5.35799e-29,5.59202e-33,4.79258e-30
