E,T,R0,R1,R2,R3,R,N_R0,N_R1,N_R2,N_R3,E/V0
0.681831,49.5382,1.95945e-07,0,0,0,1.95945e-07,3.95544e-09,0,0,0,0.00681831
0.705753,52.7611,1.48625e-07,0,0,0,1.48625e-07,2.81694e-09,0,0,0,0.00705753
0.730088,56.1733,1.12703e-07,0,0,0,1.12703e-07,2.00635e-09,0,0,0,0.00730088
0.754835,59.7847,8.54364e-08,0,0,0,8.54364e-08,1.42907e-09,0,0,0,0.00754835
0.779994,63.6052,6.47336e-08,0,0,0,6.47336e-08,1.01774e-09,0,0,0,0.00779994
0.805566,67.6454,4.90223e-08,0,0,0,4.90223e-08,7.24694e-10,0,0,0,0.00805566
0.83155,71.9163,3.71116e-08,0,0,0,3.71116e-08,5.16039e-10,0,0,0,0.0083155
0.857947,76.4292,2.80918e-08,0,0,0,2.80918e-08,3.67554e-10,0,0,0,0.00857947
0.884756,81.1959,2.12579e-08,0,0,0,2.12579e-08,2.6181e-10,0,0,0,0.00884756
0.911978,86.2287,1.6078e-08,0,0,0,1.6078e-08,1.86457e-10,0,0,0,0.00911978
0.939612,91.5403,1.21523e-08,0,0,0,1.21523e-08,1.32754e-10,0,0,0,0.00939612
0.967659,97.1441,9.1825e-09,0,0,0,9.1825e-09,9.45246e-11,0,0,0,0.00967659
0.996118,103.054,6.93819e-09,0,0,0,6.93819e-09,6.73261e-11,0,0,0,0.00996118
1.02499,109.283,5.24135e-09,0,0,0,5.24135e-09,4.79612e-11,0,0,0,0.0102499
1.05427,115.847,3.95745e-09,0,0,0,3.95745e-09,3.41609e-11,0,0,0,0.0105427
1.08397,122.761,2.98631e-09,0,0,0,2.98631e-09,2.43261e-11,0,0,0,0.0108397
1.11408,130.041,2.2523e-09,0,0,0,2.2523e-09,1.73199e-11,0,0,0,0.0111408
1.1446,137.703,1.69852e-09,0,0,0,1.69852e-09,1.23347e-11,0,0,0,0.011446
1.17553,145.763,1.28039e-09,0,0,0,1.28039e-09,8.78407e-12,0,0,0,0.0117553
1.20688,154.239,9.64808e-10,0,0,0,9.64808e-10,6.25527e-12,0,0,0,0.0120688
1.23864,163.15,7.26852e-10,0,0,0,7.26852e-10,4.45513e-12,0,0,0,0.0123864
1.27081,172.512,5.47332e-10,0,0,0,5.47332e-10,3.17271e-12,0,0,0,0.0127081
1.30339,182.346,4.12168e-10,0,0,0,4.12168e-10,2.26036e-12,0,0,0,0.0130339
1.33639,192.671,3.10175e-10,0,0,0,3.10175e-10,1.60987e-12,0,0,0,0.0133639
1.3698,203.507,2.33269e-10,0,0,0,2.33269e-10,1.14625e-12,0,0,0,0.013698
1.40362,214.875,1.7534e-10,0,0,0,1.7534e-10,8.16012e-13,0,0,0,0.0140362
1.43785,226.795,1.31849e-10,0,0,0,1.31849e-10,5.81355e-13,0,0,0,0.0143785
1.4725,239.291,9.91287e-11,0,0,0,9.91287e-11,4.1426e-13,0,0,0,0.014725
1.50756,252.384,7.45235e-11,0,0,0,7.45235e-11,2.95279e-13,0,0,0,0.0150756
1.54303,266.096,5.58953e-11,0,0,0,5.58953e-11,2.10057e-13,0,0,0,0.0154303
1.57891,280.453,4.18842e-11,0,0,0,4.18842e-11,1.49345e-13,0,0,0,0.0157891
1.6152,295.477,3.13971e-11,0,0,0,3.13971e-11,1.06259e-13,0,0,0,0.016152
1.65191,311.194,2.35896e-11,0,0,0,2.35896e-11,7.58038e-14,0,0,0,0.0165191
1.68903,327.628,1.77275e-11,0,0,0,1.77275e-11,5.41087e-14,0,0,0,0.0168903
1.72657,344.805,1.32752e-11,0,0,0,1.32752e-11,3.85007e-14,0,0,0,0.0172657
1.76451,362.752,9.92148e-12,0,0,0,9.92148e-12,2.73506e-14,0,0,0,0.0176451
1.80287,381.495,7.42725e-12,0,0,0,7.42725e-12,1.94688e-14,0,0,0,0.0180287
1.84164,401.061,5.57257e-12,0,0,0,5.57257e-12,1.38946e-14,0,0,0,0.0184164
1.88082,421.479,4.18092e-12,0,0,0,4.18092e-12,9.91964e-15,0,0,0,0.0188082
1.92042,442.775,3.12293e-12,0,0,0,3.12293e-12,7.05307e-15,0,0,0,0.0192042
1.96043,464.98,2.32964e-12,0,0,0,2.32964e-12,5.01018e-15,0,0,0,0.0196043
2.00085,488.123,1.74175e-12,0.000286133,0,0,0.000286133,3.56827e-15,5.86191e-07,0,0,0.0200085
2.04168,512.235,1.30648e-12,3.16125e-05,0,0,3.16126e-05,2.55055e-15,6.1715e-08,0,0,0.0204168
2.08292,537.345,9.78138e-13,1.04433e-05,0,0,1.04433e-05,1.82031e-15,1.94351e-08,0,0,0.0208292
2.12458,563.486,7.25931e-13,4.3419e-06,0,0,4.3419e-06,1.28829e-15,7.70542e-09,0,0,0.0212458
2.16665,590.687,5.39137e-13,1.92875e-06,0,0,1.92875e-06,9.12727e-16,3.26527e-09,0,0,0.0216665
2.20913,618.983,4.03423e-13,9.80165e-07,0,0,9.80166e-07,6.51751e-16,1.58351e-09,0,0,0.0220913
2.25203,648.404,3.0314e-13,5.08107e-07,0,0,5.08107e-07,4.67517e-16,7.83626e-10,0,0,0.0225203
2.29533,678.984,2.25974e-13,2.76034e-07,0,0,2.76034e-07,3.32812e-16,4.0654e-10,0,0,0.0229533
2.33905,710.756,1.66665e-13,1.55193e-07,0,0,1.55193e-07,2.3449e-16,2.18349e-10,0,0,0.0233905
2.38319,743.755,1.24078e-13,8.69975e-08,0,0,8.69976e-08,1.66827e-16,1.16971e-10,0,0,0.0238319
2.42773,778.013,9.31215e-14,5.17365e-08,0,0,5.17366e-08,1.19691e-16,6.64983e-11,0,0,0.0242773
2.47269,813.567,7.05739e-14,3.0397e-08,0,0,3.03971e-08,8.67463e-17,3.73627e-11,0,0,0.0247269
2.51806,850.45,5.22383e-14,1.80993e-08,0,0,1.80993e-08,6.14244e-17,2.1282e-11,0,0,0.0251806
2.56384,888.697,3.80425e-14,1.09285e-08,0,0,1.09285e-08,4.2807e-17,1.22972e-11,0,0,0.0256384
2.61003,928.344,2.78919e-14,6.69269e-09,0,0,6.69272e-09,3.00448e-17,7.20928e-12,0,0,0.0261003
2.65664,969.427,2.10088e-14,4.1543e-09,0,0,4.15432e-09,2.16713e-17,4.28532e-12,0,0,0.0265664
2.70366,1011.98,1.61971e-14,2.61214e-09,0,0,2.61215e-09,1.60053e-17,2.58121e-12,0,0,0.0270366
2.75109,1056.05,1.20335e-14,1.66148e-09,0,0,1.66149e-09,1.13949e-17,1.5733e-12,0,0,0.0275109
2.79894,1101.66,8.66939e-15,1.06709e-09,0,0,1.0671e-09,7.86941e-18,9.68627e-13,0,0,0.0279894
2.84719,1148.85,6.24341e-15,6.9107e-10,0,0,6.91076e-10,5.4345e-18,6.01533e-13,0,0,0.0284719
2.89586,1197.65,4.74409e-15,4.50321e-10,0,0,4.50325e-10,3.96115e-18,3.76002e-13,0,0,0.0289586
2.94494,1248.11,3.6168e-15,2.94741e-10,0,0,2.94744e-10,2.89781e-18,2.36149e-13,0,0,0.0294494
2.99444,1300.26,2.63455e-15,1.84592e-10,0,0,1.84595e-10,2.02616e-18,1.41965e-13,0,0,0.0299444
3.04434,1354.15,1.865e-15,1.23426e-10,0,0,1.23428e-10,1.37725e-18,9.11467e-14,0,0,0.0304434
3.09466,1409.8,1.35571e-15,8.25099e-11,0,0,8.25113e-11,9.61633e-19,5.85261e-14,0,0,0.0309466
3.14539,1467.23,1.05815e-15,5.51249e-11,0,0,5.5126e-11,7.21188e-19,3.75706e-14,0,0,0.0314539
3.19654,1526.53,8.32777e-16,3.55639e-11,0,0,3.55647e-11,5.45537e-19,2.32972e-14,0,0,0.0319654
3.24809,1587.69,6.03917e-16,2.4123e-11,0,0,2.41236e-11,3.80375e-19,1.51938e-14,0,0,0.0324809
3.30006,1650.75,4.18401e-16,1.55347e-11,0,0,1.55351e-11,2.53461e-19,9.4107e-15,0,0,0.0330006
3.35244,1715.77,3.1914e-16,1.0696e-11,0,0,1.06963e-11,1.86003e-19,6.23389e-15,0,0,0.0335244
3.40524,1782.75,2.68899e-16,7.30452e-12,0,0,7.30479e-12,1.50833e-19,4.09733e-15,0,0,0.0340524
