t,T+R,N_0,N_1,N_2,N_3
81,1.00571,1.35498e-27,2.20822e-30,4.70382e-29,3.27816e-29
82,1.00586,1.58741e-27,2.58076e-32,4.0395e-29,3.94158e-29
83,1.006,1.46765e-27,-4.76492e-31,3.91131e-29,4.45025e-29
84,1.00614,1.42349e-27,4.97432e-30,3.90726e-29,3.9784e-29
85,1.00626,1.4432e-27,9.90041e-30,4.52282e-29,6.47465e-29
86,1.00637,1.41816e-27,2.27821e-29,4.54188e-29,6.79309e-29
87,1.00647,1.5291e-27,9.72308e-30,3.26607e-29,8.41074e-29
88,1.00656,1.4151e-27,1.99215e-29,2.56642e-29,7.4282e-29
89,1.00665,1.38556e-27,4.0016e-29,3.18714e-29,8.98605e-29
90,1.00674,1.53348e-27,8.03179e-29,2.49052e-29,7.72037e-29
91,1.00683,1.54536e-27,9.09618e-29,2.23438e-29,9.64391e-29
92,1.00692,1.52446e-27,1.08218e-28,1.8136e-29,9.11678e-29
93,1.00701,1.50684e-27,8.08728e-29,2.72014e-29,1.01372e-28
94,1.00711,1.59025e-27,1.78983e-28,1.05521e-29,9.18066e-29
95,1.00723,1.52826e-27,2.54469e-28,1.24516e-29,8.9571e-29
96,1.00734,1.56484e-27,2.01549e-28,8.44022e-30,1.14667e-28
97,1.00747,1.33609e-27,2.73126e-28,3.8695e-30,1.1414e-28
98,1.00761,1.48207e-27,3.52505e-28,8.85748e-30,1.12542e-28
99,1.00776,1.42763e-27,4.1532e-28,5.58746e-30,1.20083e-28
100,1.00792,1.40743e-27,5.29342e-28,3.26203e-30,1.12728e-28
101,1.00808,1.24588e-27,5.27493e-28,2.63581e-30,1.1774e-28
102,1.00825,1.20416e-27,5.76459e-28,6.67919e-30,1.29709e-28
103,1.00843,1.15277e-27,7.51661e-28,8.94773e-30,1.26352e-28
104,1.00862,1.11021e-27,7.75092e-28,6.42681e-30,1.33627e-28
105,1.00881,1.0619e-27,8.25057e-28,5.84541e-30,1.59836e-28
