t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7
0,0.999999,9.05509e-28,1.77475e-32,1.06745e-35,3.26958e-34,6.54473e-37,1.79534e-35,9.09062e-37,3.10298e-36
1,0.999934,9.10752e-28,2.19758e-30,7.44725e-33,3.57112e-32,5.03841e-34,2.40674e-33,7.37341e-36,2.01749e-34
2,0.999759,9.16603e-28,8.18231e-30,6.59982e-32,1.15966e-31,4.57499e-33,9.85091e-33,7.82432e-35,1.69337e-33
3,0.999472,9.1534e-28,1.72531e-29,2.60053e-31,2.31333e-31,1.30446e-32,3.06377e-32,1.54381e-34,5.01566e-33
4,0.99907,9.04612e-28,2.90404e-29,6.6948e-31,4.00676e-31,2.01994e-32,7.17236e-32,4.29003e-34,1.50429e-32
5,0.998549,9.1919e-28,4.2177e-29,1.40549e-30,6.82333e-31,2.19426e-32,1.48261e-31,4.0278e-34,3.22147e-32
6,0.9979,9.1786e-28,5.94778e-29,2.55118e-30,1.14797e-30,2.47814e-32,2.60614e-31,8.20896e-34,6.19727e-32
7,0.997115,9.29141e-28,7.6798e-29,4.20749e-30,1.90763e-30,4.06245e-32,4.36775e-31,1.09579e-33,1.10234e-31
8,0.996181,9.11685e-28,8.91082e-29,6.08522e-30,3.0903e-30,7.32282e-32,7.13562e-31,1.94698e-33,1.84745e-31
9,0.995082,8.93813e-28,1.10967e-28,8.44012e-30,4.89451e-30,1.20029e-31,1.16416e-30,2.17323e-33,3.15846e-31
10,0.993804,8.75241e-28,1.27085e-28,1.1419e-29,7.4844e-30,1.80287e-31,1.84837e-30,3.00007e-33,5.05506e-31
11,0.992329,8.91159e-28,1.35544e-28,1.44377e-29,1.11231e-29,2.60164e-31,2.77838e-30,3.75065e-33,7.95265e-31
12,0.990644,8.47613e-28,1.58197e-28,1.75874e-29,1.5772e-29,3.67117e-31,4.16328e-30,6.60692e-33,1.17587e-30
13,0.988737,8.0181e-28,1.75513e-28,2.0567e-29,2.16344e-29,4.84379e-31,5.94421e-30,7.55122e-33,1.71249e-30
14,0.986596,7.85474e-28,1.82626e-28,2.27968e-29,2.94768e-29,6.33938e-31,8.30476e-30,1.08978e-32,2.41636e-30
15,0.984216,7.77339e-28,1.97337e-28,2.57794e-29,3.81614e-29,6.93255e-31,1.154e-29,1.47256e-32,3.30197e-30
16,0.981592,7.25376e-28,2.00669e-28,2.85705e-29,4.9975e-29,7.42592e-31,1.47407e-29,1.62402e-32,4.15987e-30
17,0.978732,6.96585e-28,2.01216e-28,3.00498e-29,6.19145e-29,7.77595e-31,1.85918e-29,1.22789e-32,5.26735e-30
18,0.975654,6.6326e-28,2.22212e-28,3.12115e-29,7.44632e-29,8.28247e-31,2.30006e-29,1.61395e-32,6.43732e-30
19,0.972393,6.22034e-28,2.25354e-28,3.11531e-29,8.86228e-29,8.82408e-31,2.86935e-29,3.3455e-32,8.39907e-30
20,0.968995,5.94663e-28,2.25902e-28,3.01361e-29,1.07797e-28,1.0187e-30,3.35197e-29,2.11811e-32,9.31758e-30
21,0.965519,5.40017e-28,2.33622e-28,2.97623e-29,1.2592e-28,1.0956e-30,3.84143e-29,2.77922e-32,1.06857e-29
22,0.962029,5.13303e-28,2.58497e-28,2.77532e-29,1.41546e-28,1.11206e-30,4.23075e-29,2.46919e-32,1.15969e-29
23,0.958588,4.73552e-28,2.47148e-28,2.53763e-29,1.70477e-28,1.01735e-30,5.04841e-29,4.38814e-32,1.25552e-29
24,0.955258,4.37437e-28,2.39023e-28,2.42143e-29,1.76206e-28,8.64053e-31,5.39675e-29,1.57468e-32,1.37425e-29
25,0.952094,4.15664e-28,2.44526e-28,2.34639e-29,1.96882e-28,7.88189e-31,6.08446e-29,2.35327e-32,1.56161e-29
26,0.949151,3.72209e-28,2.5514e-28,2.01881e-29,2.1842e-28,8.94323e-31,6.48211e-29,3.07973e-32,1.59638e-29
27,0.946481,3.60937e-28,2.80832e-28,2.1589e-29,2.41007e-28,9.21524e-31,6.49332e-29,2.65848e-32,1.62939e-29
28,0.944136,3.34912e-28,2.60682e-28,2.16293e-29,2.39855e-28,1.36567e-30,6.74364e-29,3.86147e-32,1.8194e-29
29,0.94216,3.08924e-28,3.11861e-28,2.66349e-29,2.56393e-28,1.53549e-30,6.70702e-29,1.19305e-32,1.78457e-29
30,0.940585,2.99386e-28,2.90928e-28,3.19954e-29,2.56864e-28,1.50398e-30,7.2688e-29,8.18993e-33,1.9242e-29
31,0.93943,3.00621e-28,3.08469e-28,3.98899e-29,2.53142e-28,1.74963e-30,6.89723e-29,2.76022e-32,2.12204e-29
32,0.938692,2.40019e-28,3.42704e-28,4.7593e-29,2.21662e-28,2.02957e-30,7.83461e-29,3.6905e-32,2.57727e-29
33,0.938353,2.49266e-28,3.82208e-28,5.22474e-29,2.51084e-28,1.86217e-30,8.41198e-29,2.42216e-32,2.53962e-29
34,0.938381,2.19545e-28,3.85695e-28,6.66373e-29,2.30815e-28,1.99944e-30,8.44334e-29,2.59857e-32,2.7e-29
