t,T+R,N_0,N_1,N_2,N_3
0,1,1.01492e-23,2.60928e-43,6.54757e-50,1.70688e-56
10,1,1.01575e-23,1.98158e-36,7.82489e-38,3.21001e-39
20,1,1.01624e-23,8.47827e-34,4.15519e-35,4.01719e-36
30,1,1.01573e-23,3.25891e-32,8.54243e-34,1.10934e-34
40,1,1.01475e-23,4.21201e-31,1.18915e-32,6.69295e-34
50,1,1.01291e-23,2.7056e-30,1.34901e-31,1.02791e-32
60,1,1.01238e-23,3.40157e-30,2.41906e-31,3.22895e-32
70,1,1.01218e-23,2.53838e-30,1.90145e-31,2.12304e-32
80,1,1.01152e-23,3.8737e-30,1.61558e-31,1.54477e-31
90,1,1.0125e-23,4.95075e-30,3.01428e-31,2.0025e-31
100,1,1.01261e-23,5.24394e-30,5.04891e-32,6.64869e-30
110,1,1.01048e-23,4.18375e-30,1.02555e-30,2.5795e-29
120,1,1.01046e-23,1.21435e-30,4.60848e-30,6.19771e-29
130,0.999967,1.00907e-23,5.04384e-30,8.35143e-30,8.91789e-29
140,0.996795,1.01291e-23,8.59183e-30,3.41274e-29,9.62809e-30
150,0.973396,1.48496e-23,8.72752e-25,2.72169e-25,1.36251e-24
160,1.255,4.08289e-21,4.37747e-21,1.09149e-21,7.50245e-21
170,0.749008,5.93163e-18,6.61803e-18,1.23334e-18,1.21622e-17
180,2.05827,3.0414e-15,3.75887e-15,4.72722e-16,7.2414e-15
190,1.31983,6.72774e-13,9.38175e-13,7.05692e-14,1.84225e-12
200,0.435656,7.23457e-11,1.15768e-10,4.89181e-12,2.24662e-10
210,0.0940058,4.145e-09,7.72526e-09,2.47614e-10,1.43664e-08
220,0.145014,1.36146e-07,2.98499e-07,1.37526e-08,5.17424e-07
230,0.0690491,2.72182e-06,7.03372e-06,5.76867e-07,1.1122e-05
240,0.11586,3.48444e-05,0.000105078,1.41713e-05,0.000149681
250,0.109961,0.000298805,0.00102418,0.000203122,0.00131383
260,0.126991,0.00178826,0.00665007,0.00176924,0.00779511
270,0.183602,0.00773579,0.0292106,0.00971088,0.0322369
280,0.335474,0.02477,0.0879505,0.0345795,0.095147
290,0.609088,0.0592695,0.184561,0.0821913,0.203536
300,0.904077,0.106523,0.27844,0.135707,0.320568
310,1.07181,0.147832,0.321876,0.167188,0.388238
320,1.09605,0.171366,0.317758,0.173785,0.400799
330,1.07746,0.183518,0.300474,0.174592,0.397601
340,1.0557,0.188272,0.286236,0.176517,0.390939
350,1.02264,0.184198,0.276019,0.174707,0.378388
360,0.996163,0.176219,0.271592,0.170762,0.370336
370,0.982178,0.16849,0.271871,0.167148,0.368007
380,0.974841,0.162504,0.273962,0.164261,0.367266
390,0.97347,0.159401,0.276366,0.162967,0.367417
400,0.974167,0.158686,0.277907,0.162662,0.367114
410,0.97575,0.159553,0.278423,0.162803,0.36681
420,0.977271,0.161026,0.278256,0.162986,0.366625
430,0.978614,0.162401,0.277919,0.163147,0.366678
440,0.979659,0.163313,0.27774,0.163306,0.366827
450,0.980412,0.163718,0.27778,0.163468,0.367016
460,0.980808,0.163744,0.277926,0.163582,0.367183
470,0.980907,0.163578,0.278048,0.16363,0.36733
480,0.980774,0.163367,0.278083,0.163621,0.367415
490,0.98054,0.163197,0.278044,0.163596,0.367434
500,0.980296,0.163092,0.27797,0.163578,0.367392
600,0.980155,0.163103,0.27789,0.163573,0.367297
700,0.980139,0.163099,0.277885,0.163571,0.367292
800,0.980139,0.163099,0.277885,0.163571,0.367292
900,0.980139,0.163099,0.277885,0.163571,0.367292
1000,0.980139,0.163099,0.277885,0.163571,0.367292
1100,0.980139,0.163099,0.277885,0.163571,0.367292
1200,0.980139,0.163099,0.277885,0.163571,0.367292
1300,0.980139,0.163099,0.277885,0.163571,0.367292
1400,0.980139,0.163099,0.277885,0.163571,0.367292
1500,0.980139,0.163099,0.277885,0.163571,0.367292
1600,0.980139,0.163099,0.277885,0.163571,0.367292
1700,0.980139,0.163099,0.277885,0.163571,0.367292
1800,0.980139,0.163099,0.277885,0.163571,0.367292
1900,0.980139,0.163099,0.277885,0.163571,0.367292
2000,0.980139,0.163099,0.277885,0.163571,0.367292
2100,0.980139,0.163099,0.277885,0.163571,0.367292
2200,0.980139,0.163099,0.277885,0.163571,0.367292
2300,0.980139,0.163099,0.277885,0.163571,0.367292
2400,0.980139,0.163099,0.277885,0.163571,0.367292
2500,0.980139,0.163099,0.277885,0.163571,0.367292
2600,0.980139,0.163099,0.277885,0.163571,0.367292
2700,0.980139,0.163099,0.277885,0.163571,0.367292
2800,0.980139,0.163099,0.277885,0.163571,0.367292
2900,0.980139,0.163099,0.277885,0.163571,0.367292
3000,0.980139,0.163099,0.277885,0.163571,0.367292
3100,0.980139,0.163099,0.277885,0.163571,0.367292
3200,0.980139,0.163099,0.277885,0.163571,0.367292
3300,0.980139,0.163099,0.277885,0.163571,0.367292
3400,0.980139,0.163099,0.277885,0.163571,0.367292
3500,0.980139,0.163099,0.277885,0.163571,0.367292
3600,0.980139,0.163099,0.277885,0.163571,0.367292
3700,0.980139,0.163099,0.277885,0.163571,0.367292
3800,0.980139,0.163099,0.277885,0.163571,0.367292
3900,0.980139,0.163099,0.277885,0.163571,0.367292
4000,0.980139,0.163099,0.277885,0.163571,0.367292
4100,0.980139,0.163099,0.277885,0.163571,0.367292
4200,0.980139,0.163099,0.277885,0.163571,0.367292
4300,0.980139,0.163099,0.277885,0.163571,0.367292
4400,0.980139,0.163099,0.277885,0.163571,0.367292
4500,0.980139,0.163099,0.277885,0.163571,0.367292
4600,0.980139,0.163099,0.277885,0.163571,0.367292
