t,T+R,N_0,N_1
0,1,6.00054e-24,2.5019e-42
10,1,6.00076e-24,4.84221e-34
20,1,6.00666e-24,6.02304e-33
30,1,6.09798e-24,1.75345e-31
40,1,5.91963e-24,6.41377e-31
50,1,5.93188e-24,2.13566e-31
60,1,5.95585e-24,8.28728e-32
70,1,5.89548e-24,1.05703e-30
80,1,5.89676e-24,3.59741e-29
90,1,5.90163e-24,1.94445e-28
100,1,5.9408e-24,2.14816e-28
110,1,5.88532e-24,3.8186e-29
120,1,5.94433e-24,8.85995e-29
130,1,5.94567e-24,8.19242e-29
140,0.999791,5.36905e-24,5.5198e-25
150,1.01176,3.13254e-21,6.74396e-21
160,1.12551,7.315e-18,1.91322e-17
170,1.71862,5.81012e-15,1.7204e-14
180,2.06518,1.79668e-12,6.09279e-12
190,2.16232,2.52035e-10,9.9235e-10
200,12.065,1.79109e-08,8.30786e-08
210,0.38402,6.98371e-07,3.87523e-06
220,0.965211,1.58326e-05,0.000106795
230,9.54804,0.000217716,0.00181292
240,2.80755,0.00187487,0.0194818
250,2.83635,0.0104082,0.134282
260,2.11624,0.0387336,0.59192
270,2.052,0.102873,1.62754
280,3.31422,0.206267,2.62351
290,2.56772,0.293983,2.15805
300,1.05962,0.228471,0.71101
310,0.602476,0.0565752,0.502727
320,0.957436,0.0697986,0.857443
330,0.694881,0.123821,0.558596
340,0.71676,0.0535567,0.65505
350,0.871897,0.102044,0.766553
360,0.851657,0.103174,0.746267
370,0.956624,0.0895884,0.866125
380,0.99215,0.120483,0.871108
390,0.992523,0.0976406,0.894605
400,1.00083,0.109016,0.891677
410,0.984844,0.104397,0.880366
420,0.97455,0.100566,0.873948
430,0.982442,0.106265,0.876157
440,0.979576,0.102184,0.877381
450,0.983905,0.104912,0.878987
460,0.983317,0.103898,0.879417
470,0.97974,0.103398,0.876341
480,0.982968,0.104262,0.878706
490,0.981336,0.103666,0.87767
500,0.98225,0.104001,0.878249
600,0.981915,0.103879,0.878037
700,0.98189,0.103881,0.878009
800,0.981889,0.103881,0.878008
900,0.98189,0.103881,0.878008
1000,0.98189,0.103881,0.878008
1100,0.98189,0.103881,0.878008
1200,0.98189,0.103881,0.878008
1300,0.98189,0.103881,0.878008
1400,0.98189,0.103881,0.878008
1500,0.98189,0.103881,0.878008
1600,0.98189,0.103881,0.878008
1700,0.98189,0.103881,0.878008
1800,0.98189,0.103881,0.878008
1900,0.98189,0.103881,0.878008
2000,0.98189,0.103881,0.878008
2100,0.98189,0.103881,0.878008
2200,0.98189,0.103881,0.878008
2300,0.98189,0.103881,0.878008
2400,0.98189,0.103881,0.878008
2500,0.98189,0.103881,0.878008
2600,0.98189,0.103881,0.878008
2700,0.98189,0.103881,0.878008
2800,0.98189,0.103881,0.878008
2900,0.98189,0.103881,0.878008
3000,0.98189,0.103881,0.878008
3100,0.98189,0.103881,0.878008
3200,0.98189,0.103881,0.878008
3300,0.98189,0.103881,0.878008
3400,0.98189,0.103881,0.878008
3500,0.98189,0.103881,0.878008
3600,0.98189,0.103881,0.878008
3700,0.98189,0.103881,0.878008
3800,0.98189,0.103881,0.878008
3900,0.98189,0.103881,0.878008
4000,0.98189,0.103881,0.878008
4100,0.98189,0.103881,0.878008
4200,0.98189,0.103881,0.878008
4300,0.98189,0.103881,0.878008
4400,0.98189,0.103881,0.878008
4500,0.98189,0.103881,0.878008
4600,0.98189,0.103881,0.878008
4700,0.98189,0.103881,0.878008
4800,0.98189,0.103881,0.878008
4900,0.98189,0.103881,0.878008
5000,0.98189,0.103881,0.878008
5100,0.98189,0.103881,0.878008
5200,0.98189,0.103881,0.878008
5300,0.98189,0.103881,0.878008
5400,0.98189,0.103881,0.878008
5500,0.98189,0.103881,0.878008
5600,0.98189,0.103881,0.878008
5700,0.98189,0.103881,0.878008
5800,0.98189,0.103881,0.878008
5900,0.98189,0.103881,0.878008
6000,0.98189,0.103881,0.878008
6100,0.98189,0.103881,0.878008
6200,0.98189,0.103881,0.878008
6300,0.98189,0.103881,0.878008
6400,0.98189,0.103881,0.878008
6500,0.98189,0.103881,0.878008
6600,0.98189,0.103881,0.878008
6700,0.98189,0.103881,0.878008
6800,0.98189,0.103881,0.878008
6900,0.98189,0.103881,0.878008
7000,0.98189,0.103881,0.878008
7100,0.98189,0.103881,0.878008
7200,0.98189,0.103881,0.878008
7300,0.98189,0.103881,0.878008
7400,0.98189,0.103881,0.878008
7500,0.98189,0.103881,0.878008
7600,0.98189,0.103881,0.878008
7700,0.98189,0.103881,0.878008
7800,0.98189,0.103881,0.878008
7900,0.98189,0.103881,0.878008
8000,0.98189,0.103881,0.878008
8100,0.98189,0.103881,0.878008
8200,0.98189,0.103881,0.878008
8300,0.98189,0.103881,0.878008
8400,0.98189,0.103881,0.878008
