t,T+R,N_0,N_1,N_2,N_3
4200,0.986582,0.0712647,0.224015,0.0791539,0.15848
4300,0.986582,0.0712647,0.224015,0.0791539,0.15848
4400,0.986582,0.0712647,0.224015,0.0791539,0.15848
4500,0.986582,0.0712647,0.224015,0.0791539,0.15848
4600,0.986582,0.0712647,0.224015,0.0791539,0.15848
4700,0.986582,0.0712647,0.224015,0.0791539,0.15848
4800,0.986582,0.0712647,0.224015,0.0791539,0.15848
4900,0.986582,0.0712647,0.224015,0.0791539,0.15848
5000,0.986582,0.0712647,0.224015,0.0791539,0.15848
5100,0.986582,0.0712647,0.224015,0.0791539,0.15848
5200,0.986582,0.0712647,0.224015,0.0791539,0.15848
5300,0.986582,0.0712647,0.224015,0.0791539,0.15848
5400,0.986582,0.0712647,0.224015,0.0791539,0.15848
5500,0.986582,0.0712647,0.224015,0.0791539,0.15848
5600,0.986582,0.0712647,0.224015,0.0791539,0.15848
5700,0.986582,0.0712647,0.224015,0.0791539,0.15848
5800,0.986582,0.0712647,0.224015,0.0791539,0.15848
5900,0.986582,0.0712647,0.224015,0.0791539,0.15848
6000,0.986582,0.0712647,0.224015,0.0791539,0.15848
6100,0.986582,0.0712647,0.224015,0.0791539,0.15848
6200,0.986582,0.0712647,0.224015,0.0791539,0.15848
6300,0.986582,0.0712647,0.224015,0.0791539,0.15848
6400,0.986582,0.0712647,0.224015,0.0791539,0.15848
6500,0.986582,0.0712647,0.224015,0.0791539,0.15848
6600,0.986582,0.0712647,0.224015,0.0791539,0.15848
6700,0.986582,0.0712647,0.224015,0.0791539,0.15848
6800,0.986582,0.0712647,0.224015,0.0791539,0.15848
6900,0.986582,0.0712647,0.224015,0.0791539,0.15848
7000,0.986582,0.0712647,0.224015,0.0791539,0.15848
7100,0.986582,0.0712647,0.224015,0.0791539,0.15848
7200,0.986582,0.0712647,0.224015,0.0791539,0.15848
7300,0.986582,0.0712647,0.224015,0.0791539,0.15848
7400,0.986582,0.0712647,0.224015,0.0791539,0.15848
7500,0.986582,0.0712647,0.224015,0.0791539,0.15848
7600,0.986582,0.0712647,0.224015,0.0791539,0.15848
7700,0.986582,0.0712647,0.224015,0.0791539,0.15848
7800,0.986582,0.0712647,0.224015,0.0791539,0.15848
7900,0.986582,0.0712647,0.224015,0.0791539,0.15848
8000,0.986582,0.0712647,0.224015,0.0791539,0.15848
8100,0.986582,0.0712647,0.224015,0.0791539,0.15848
8200,0.986582,0.0712647,0.224015,0.0791539,0.15848
8300,0.986582,0.0712647,0.224015,0.0791539,0.15848
8400,0.986582,0.0712647,0.224015,0.0791539,0.15848
