t,T+R,N_0,N_1,N_2,N_3,N_4
0,1,1.99406e-25,6.56884e-31,1.15297e-31,2.41327e-31,9.64526e-31
1,1.00054,2.04254e-25,9.25785e-29,1.18952e-29,3.0039e-29,1.13309e-28
2,1.00197,2.06769e-25,3.74991e-28,3.84458e-29,1.10298e-28,3.96041e-28
3,1.00428,2.03426e-25,8.83636e-28,7.63571e-29,2.3357e-28,8.1752e-28
4,1.00746,1.99293e-25,1.63035e-27,1.21222e-28,3.83575e-28,1.30678e-27
5,1.01148,1.99352e-25,2.61598e-27,1.62377e-28,5.48272e-28,1.86371e-27
6,1.01631,1.93772e-25,3.82252e-27,1.96943e-28,6.794e-28,2.52241e-27
7,1.02192,1.91414e-25,5.30698e-27,2.37066e-28,8.07242e-28,3.05862e-27
8,1.02828,1.88737e-25,6.85324e-27,2.9173e-28,1.00686e-27,3.76275e-27
9,1.03533,1.8233e-25,8.44635e-27,4.03832e-28,1.27727e-27,4.32224e-27
10,1.04303,1.83956e-25,9.96664e-27,5.92344e-28,1.67976e-27,5.38167e-27
11,1.05132,1.78366e-25,1.14432e-26,8.34391e-28,2.09878e-27,6.62576e-27
12,1.06014,1.71888e-25,1.28219e-26,1.16383e-27,2.64992e-27,8.10045e-27
13,1.06943,1.6519e-25,1.36745e-26,1.46967e-27,3.23258e-27,9.68245e-27
14,1.07913,1.61895e-25,1.44385e-26,1.72611e-27,3.82795e-27,1.15708e-26
15,1.08917,1.54333e-25,1.56907e-26,1.88102e-27,4.26705e-27,1.34153e-26
16,1.09948,1.57065e-25,1.69675e-26,2.01957e-27,4.52644e-27,1.61004e-26
17,1.10998,1.52378e-25,1.89758e-26,2.27243e-27,4.71483e-27,1.82671e-26
18,1.12061,1.44754e-25,2.00916e-26,2.66363e-27,5.05618e-27,1.9692e-26
19,1.13128,1.49525e-25,2.10535e-26,3.1161e-27,5.41633e-27,2.2343e-26
20,1.14192,1.48107e-25,2.32203e-26,3.80491e-27,5.86234e-27,2.4441e-26
21,1.15247,1.51257e-25,2.51827e-26,4.34973e-27,6.42265e-27,2.66633e-26
22,1.16283,1.43172e-25,2.72552e-26,5.03938e-27,7.38019e-27,2.77593e-26
23,1.17295,1.38237e-25,2.85864e-26,5.45917e-27,7.91722e-27,2.71702e-26
24,1.18275,1.33688e-25,3.07505e-26,5.50212e-27,8.6913e-27,2.84137e-26
25,1.19217,1.34436e-25,3.53258e-26,5.56273e-27,8.79235e-27,3.01551e-26
26,1.20113,1.3171e-25,3.83515e-26,5.88311e-27,8.89299e-27,3.142e-26
27,1.20957,1.18186e-25,3.89715e-26,6.36045e-27,9.10417e-27,3.17303e-26
28,1.21744,1.11244e-25,4.07081e-26,7.22132e-27,9.68891e-27,3.39517e-26
29,1.22468,1.12617e-25,4.11713e-26,8.44078e-27,8.94479e-27,3.67549e-26
30,1.23124,1.18935e-25,4.14089e-26,9.81993e-27,9.15716e-27,4.20653e-26
31,1.23708,1.12488e-25,4.02211e-26,1.03537e-26,9.08858e-27,4.40292e-26
32,1.24215,9.73173e-26,4.20005e-26,1.14732e-26,9.92827e-27,4.75272e-26
33,1.24641,9.65805e-26,4.11797e-26,1.14485e-26,1.04729e-26,4.36797e-26
34,1.24984,9.64122e-26,4.20042e-26,1.17474e-26,1.06373e-26,4.6837e-26
35,1.25241,9.99798e-26,4.57987e-26,1.19629e-26,1.1191e-26,4.72866e-26
