t,T+R,N_0,N_1,N_2
0,0.999999,3.28665e-26,8.94209e-32,1.82793e-32
1,0.999906,3.34173e-26,1.07378e-29,2.1564e-30
2,0.999657,3.3302e-26,4.05114e-29,7.7274e-30
3,0.999254,3.33546e-26,9.08731e-29,1.62421e-29
4,0.998697,3.25712e-26,1.62404e-28,2.85105e-29
5,0.997987,3.31904e-26,2.63434e-28,4.3442e-29
6,0.997125,3.2487e-26,3.81411e-28,6.45004e-29
7,0.996114,3.25176e-26,5.1232e-28,8.70966e-29
8,0.994956,3.23986e-26,7.01544e-28,1.19346e-28
9,0.993651,3.27634e-26,9.13838e-28,1.68294e-28
10,0.992205,3.37086e-26,1.08424e-27,2.15458e-28
11,0.990618,3.26071e-26,1.29257e-27,2.90161e-28
12,0.988895,3.30558e-26,1.47711e-27,3.76228e-28
13,0.987038,3.23641e-26,1.76462e-27,4.83177e-28
14,0.985052,3.27723e-26,2.00988e-27,5.77083e-28
15,0.982941,3.1889e-26,2.26967e-27,6.95938e-28
16,0.980708,3.19731e-26,2.46752e-27,7.92944e-28
17,0.978358,3.17719e-26,2.82175e-27,8.77198e-28
18,0.975896,3.08553e-26,3.16856e-27,9.33221e-28
19,0.973328,3.05028e-26,3.61884e-27,1.02032e-27
20,0.970656,2.84587e-26,4.07404e-27,1.10402e-27
21,0.967889,2.86384e-26,4.18308e-27,1.12666e-27
22,0.96503,2.74833e-26,4.71977e-27,1.19221e-27
23,0.962085,2.7225e-26,4.89072e-27,1.24071e-27
24,0.959061,2.48357e-26,5.05325e-27,1.28522e-27
25,0.955963,2.40374e-26,5.17376e-27,1.26273e-27
26,0.952797,2.31039e-26,5.09323e-27,1.38414e-27
27,0.949571,2.31583e-26,5.20969e-27,1.46986e-27
28,0.946289,2.31604e-26,5.42857e-27,1.4476e-27
29,0.942959,2.3372e-26,5.62497e-27,1.6499e-27
30,0.939588,2.19215e-26,5.6018e-27,1.72601e-27
31,0.936181,2.09348e-26,6.39745e-27,1.93271e-27
32,0.932747,2.00161e-26,5.83106e-27,2.10201e-27
33,0.92929,1.9259e-26,6.45945e-27,2.21982e-27
34,0.925819,1.74804e-26,7.23841e-27,2.50297e-27
35,0.92234,2.0127e-26,7.62304e-27,2.61067e-27
36,0.918861,1.70006e-26,7.35368e-27,2.84717e-27
37,0.915387,1.93379e-26,7.76993e-27,3.08319e-27
38,0.911925,1.84674e-26,8.71221e-27,3.2836e-27
39,0.908484,2.00394e-26,8.4596e-27,3.23347e-27
40,0.905068,1.7607e-26,9.87281e-27,3.38071e-27
41,0.901686,1.82469e-26,9.27039e-27,3.84427e-27
42,0.898343,1.78677e-26,9.01811e-27,4.0613e-27
43,0.895046,1.67676e-26,1.04852e-26,4.02445e-27
44,0.891801,1.7115e-26,1.06263e-26,4.05445e-27
45,0.888616,1.44666e-26,1.15339e-26,4.08291e-27
46,0.885495,1.57293e-26,1.02166e-26,4.49404e-27
47,0.882445,1.47873e-26,1.06384e-26,4.47097e-27
48,0.879473,1.54066e-26,1.1044e-26,4.36397e-27
49,0.876583,1.34932e-26,1.11364e-26,5.33013e-27
50,0.873782,1.38834e-26,1.14839e-26,4.96096e-27
51,0.871074,1.25593e-26,1.13481e-26,5.69422e-27
52,0.868465,1.27682e-26,1.20403e-26,6.18984e-27
53,0.86596,1.29055e-26,1.24579e-26,6.63272e-27
54,0.863564,1.34213e-26,1.19931e-26,6.54834e-27
55,0.861282,1.23425e-26,1.35727e-26,7.01992e-27
