t,T+R,N_0,N_1,N_2,N_3,N_4
0,0.999996,3.30267e-26,1.0365e-31,1.62036e-32,2.50392e-32,1.33975e-31
1,0.999553,3.3301e-26,1.32949e-29,1.64105e-30,2.85387e-30,1.59906e-29
2,0.998374,3.31117e-26,5.09675e-29,4.95303e-30,9.87586e-30,5.57914e-29
3,0.996466,3.39909e-26,1.17343e-28,8.67196e-30,2.06183e-29,1.20492e-28
4,0.993842,3.33679e-26,2.07304e-28,1.25042e-29,3.49334e-29,2.11216e-28
5,0.990517,3.30153e-26,3.24473e-28,1.56314e-29,5.39023e-29,3.16018e-28
6,0.986512,3.21594e-26,4.42021e-28,1.84771e-29,7.73664e-29,4.51914e-28
7,0.981853,3.1642e-26,5.87748e-28,2.27073e-29,1.05517e-28,5.66821e-28
8,0.976567,3.14821e-26,7.49975e-28,2.69652e-29,1.37839e-28,7.23501e-28
9,0.970689,3.19712e-26,9.56684e-28,3.55977e-29,1.78801e-28,9.02275e-28
10,0.964254,3.12394e-26,1.15944e-27,5.02492e-29,2.24725e-28,1.06513e-27
11,0.957302,3.08461e-26,1.36374e-27,7.27278e-29,2.76172e-28,1.2378e-27
12,0.949877,3.06392e-26,1.58543e-27,9.8289e-29,3.21049e-28,1.45364e-27
13,0.942023,2.83299e-26,1.77848e-27,1.29401e-28,3.79106e-28,1.65475e-27
14,0.933791,2.90564e-26,2.09584e-27,1.53327e-28,4.10843e-28,1.83232e-27
15,0.925229,2.76603e-26,2.30978e-27,1.96458e-28,4.55317e-28,2.1213e-27
16,0.916392,2.78725e-26,2.69685e-27,2.15502e-28,5.00025e-28,2.33248e-27
17,0.907333,2.66684e-26,2.87642e-27,2.67638e-28,5.39517e-28,2.68605e-27
18,0.898107,2.69822e-26,3.19622e-27,3.00499e-28,5.70356e-28,3.07866e-27
19,0.888772,2.69048e-26,3.44894e-27,3.34052e-28,5.93285e-28,3.31859e-27
20,0.879384,2.64563e-26,3.98769e-27,3.81547e-28,6.29959e-28,3.91682e-27
21,0.869999,2.45547e-26,4.25572e-27,4.47646e-28,7.21097e-28,4.24085e-27
22,0.860675,2.35523e-26,4.52231e-27,5.35013e-28,7.98286e-28,4.71686e-27
23,0.851469,2.4829e-26,4.7282e-27,5.63632e-28,8.77925e-28,5.05724e-27
24,0.842434,2.33758e-26,4.69249e-27,6.57597e-28,9.8051e-28,5.03715e-27
25,0.833625,2.16318e-26,4.90572e-27,7.45776e-28,1.14163e-27,5.76707e-27
26,0.825095,2.12085e-26,5.35958e-27,8.40067e-28,1.28122e-27,5.98982e-27
27,0.816893,2.17216e-26,5.10129e-27,9.74783e-28,1.35919e-27,5.87014e-27
28,0.809068,2.34199e-26,5.29169e-27,1.02255e-27,1.45284e-27,6.38115e-27
29,0.801666,2.04989e-26,5.39213e-27,1.13547e-27,1.49295e-27,6.55703e-27
30,0.794727,2.11108e-26,5.67016e-27,1.20469e-27,1.57416e-27,6.77409e-27
31,0.788293,2.00186e-26,5.50195e-27,1.24955e-27,1.68753e-27,6.58495e-27
32,0.782399,1.88204e-26,5.78164e-27,1.45872e-27,1.7168e-27,6.79689e-27
33,0.777077,1.90417e-26,5.75145e-27,1.65738e-27,1.69948e-27,6.71573e-27
34,0.772357,1.82891e-26,5.98511e-27,1.74608e-27,1.83822e-27,6.77207e-27
35,0.768261,1.62157e-26,5.95699e-27,1.76342e-27,1.79393e-27,6.8725e-27
36,0.764812,1.65871e-26,5.75961e-27,1.98297e-27,1.88478e-27,6.42341e-27
37,0.762025,1.69146e-26,6.39477e-27,2.07883e-27,1.81744e-27,6.35274e-27
38,0.759912,1.6471e-26,6.29788e-27,2.30588e-27,1.801e-27,5.78658e-27
39,0.758481,1.66461e-26,6.40206e-27,2.45696e-27,1.73353e-27,5.54288e-27
40,0.757735,1.5289e-26,6.79415e-27,2.63258e-27,1.76634e-27,5.16913e-27
41,0.757672,1.65235e-26,6.32182e-27,2.8733e-27,1.80485e-27,5.16313e-27
42,0.758287,1.71456e-26,6.86715e-27,2.99579e-27,1.58176e-27,5.44541e-27
43,0.75957,1.66025e-26,7.05032e-27,3.32802e-27,1.56426e-27,5.27536e-27
44,0.761508,1.67857e-26,7.00299e-27,3.41686e-27,1.49443e-27,5.78932e-27
45,0.764081,1.58351e-26,7.32267e-27,3.5808e-27,1.43307e-27,5.34298e-27
46,0.767267,1.69441e-26,7.22665e-27,3.83162e-27,1.39522e-27,5.58911e-27
47,0.771041,1.7798e-26,6.74326e-27,4.26671e-27,1.34594e-27,5.94037e-27
48,0.775374,1.81127e-26,7.81238e-27,4.04284e-27,1.18385e-27,5.8839e-27
49,0.780232,1.76216e-26,7.14022e-27,4.30208e-27,1.07916e-27,6.41665e-27
50,0.785579,1.80722e-26,7.56283e-27,4.00201e-27,1.09762e-27,5.61761e-27
51,0.791377,1.70699e-26,6.29497e-27,4.23029e-27,1.11395e-27,5.73109e-27
52,0.797584,1.97215e-26,7.11352e-27,4.36398e-27,1.0635e-27,6.19698e-27
53,0.804157,1.66477e-26,7.85766e-27,4.36447e-27,8.32243e-28,6.12387e-27
54,0.811051,1.73666e-26,8.43546e-27,4.3527e-27,8.48128e-28,5.23218e-27
55,0.818217,1.75713e-26,8.41302e-27,3.92476e-27,6.60386e-28,6.69113e-27
56,0.825609,1.97321e-26,8.37482e-27,4.29706e-27,6.85578e-28,5.45274e-27
57,0.833176,1.9933e-26,8.66982e-27,3.93635e-27,5.34832e-28,5.62811e-27
58,0.840869,1.92912e-26,9.03016e-27,4.29991e-27,4.34518e-28,6.07889e-27
59,0.848637,1.95622e-26,8.43406e-27,4.26422e-27,3.75906e-28,5.71625e-27
60,0.856431,1.95695e-26,8.18384e-27,4.78797e-27,3.56504e-28,5.50149e-27
61,0.864202,2.17395e-26,8.79954e-27,4.5342e-27,2.64779e-28,5.13294e-27
62,0.8719,1.98991e-26,8.97018e-27,5.04806e-27,1.86401e-28,5.62531e-27
63,0.879479,1.91263e-26,8.12403e-27,5.43911e-27,1.78709e-28,5.14017e-27
64,0.886892,2.17056e-26,9.01028e-27,5.59848e-27,1.42357e-28,5.07093e-27
65,0.894096,2.25907e-26,9.32719e-27,6.10776e-27,1.161e-28,4.58054e-27
66,0.901049,1.99014e-26,9.31866e-27,5.40048e-27,1.13357e-28,4.07073e-27
67,0.90771,2.05527e-26,9.09519e-27,5.48054e-27,6.00676e-29,3.81802e-27
68,0.914044,2.1657e-26,9.39565e-27,5.53196e-27,5.1279e-29,3.94477e-27
69,0.920016,2.23371e-26,9.73328e-27,5.12521e-27,9.13886e-29,3.31509e-27
70,0.925597,2.15433e-26,1.00453e-26,5.1813e-27,5.88721e-29,2.92285e-27
71,0.930758,2.04778e-26,1.08407e-26,4.29761e-27,8.05013e-29,2.15726e-27
72,0.935476,2.33539e-26,9.88674e-27,3.96006e-27,1.05602e-28,2.10357e-27
73,0.939732,1.99268e-26,1.03678e-26,4.22791e-27,1.78374e-28,1.58894e-27
74,0.943509,2.02594e-26,1.09985e-26,3.70978e-27,1.49369e-28,1.39593e-27
75,0.946796,2.10094e-26,1.15584e-26,3.24292e-27,2.12512e-28,1.12704e-27
76,0.949584,1.97786e-26,1.03732e-26,3.16926e-27,3.07493e-28,8.98924e-28
77,0.95187,2.03172e-26,1.12736e-26,3.3059e-27,3.07109e-28,5.6485e-28
78,0.953653,1.87272e-26,1.20341e-26,3.54583e-27,3.35981e-28,7.06699e-28
79,0.954939,1.84086e-26,1.19506e-26,3.35811e-27,4.88373e-28,6.30674e-28
80,0.955735,1.74009e-26,1.22216e-26,3.31093e-27,5.45296e-28,3.38703e-28
81,0.956055,1.90677e-26,1.28686e-26,3.4333e-27,5.06186e-28,1.87417e-28
82,0.955913,1.74952e-26,1.27484e-26,3.64817e-27,7.31207e-28,1.93689e-28
83,0.955331,1.87314e-26,1.36525e-26,3.47778e-27,7.42116e-28,2.10487e-28
84,0.954331,1.63677e-26,1.53759e-26,3.45233e-27,8.29002e-28,2.27246e-28
