t,T+R,N_0,N_1,N_2,N_3,N_4
0,1,6.78834e-28,3.90641e-33,2.07692e-34,6.43018e-34,2.64517e-33
1,0.999975,6.72921e-28,4.67192e-31,2.61553e-32,7.34796e-32,3.1353e-31
2,0.999909,6.72594e-28,1.65792e-30,1.00964e-31,2.59186e-31,1.14246e-30
3,0.999802,6.61977e-28,3.51558e-30,2.27952e-31,5.2239e-31,2.48945e-30
4,0.999654,6.78542e-28,5.80858e-30,4.08771e-31,9.03455e-31,4.24761e-30
5,0.999468,6.4384e-28,8.73142e-30,6.61151e-31,1.33932e-30,6.50249e-30
6,0.999244,6.48851e-28,1.24397e-29,1.04017e-30,1.78714e-30,9.09201e-30
7,0.998984,6.56375e-28,1.66724e-29,1.43783e-30,2.282e-30,1.21171e-29
8,0.99869,6.20218e-28,2.04698e-29,1.98397e-30,2.96674e-30,1.65086e-29
9,0.998364,6.45119e-28,2.45075e-29,2.71744e-30,3.77775e-30,2.09524e-29
10,0.998008,5.69819e-28,2.86854e-29,3.6349e-30,4.49488e-30,2.52534e-29
11,0.997625,6.2073e-28,3.33405e-29,5.07797e-30,5.72805e-30,3.28513e-29
12,0.997218,5.99679e-28,3.67531e-29,6.35931e-30,6.71582e-30,3.84133e-29
13,0.996789,6.01617e-28,4.2452e-29,8.57112e-30,8.70109e-30,4.46869e-29
14,0.996342,5.18523e-28,4.33485e-29,1.07665e-29,1.02628e-29,5.13516e-29
15,0.99588,5.32613e-28,4.48206e-29,1.39128e-29,1.16325e-29,5.80268e-29
16,0.995406,5.51371e-28,5.31509e-29,1.72219e-29,1.34084e-29,6.78055e-29
17,0.994924,4.86666e-28,5.91856e-29,2.09807e-29,1.5398e-29,7.21504e-29
18,0.994436,5.39661e-28,5.68219e-29,2.48956e-29,1.87427e-29,8.37821e-29
19,0.993948,5.38616e-28,6.68184e-29,2.96665e-29,2.04027e-29,9.4283e-29
20,0.993461,5.40405e-28,6.78082e-29,3.4305e-29,2.31235e-29,1.03157e-28
21,0.99298,5.05055e-28,7.64624e-29,3.94527e-29,2.50884e-29,1.113e-28
22,0.992508,5.16806e-28,7.46507e-29,4.45501e-29,2.74959e-29,1.25993e-28
23,0.992048,4.80591e-28,8.83859e-29,4.93631e-29,3.15367e-29,1.36873e-28
24,0.991603,4.94193e-28,9.00854e-29,5.70858e-29,3.46182e-29,1.45806e-28
25,0.991177,5.13009e-28,9.23907e-29,5.8483e-29,3.16316e-29,1.52997e-28
26,0.990773,4.71473e-28,9.26267e-29,6.35853e-29,3.54715e-29,1.71969e-28
27,0.990394,4.62293e-28,1.05885e-28,6.82068e-29,3.50887e-29,1.76849e-28
28,0.990041,4.95824e-28,1.07443e-28,6.84012e-29,3.45392e-29,1.80071e-28
29,0.989718,4.90026e-28,1.15821e-28,7.32107e-29,3.44905e-29,1.90942e-28
30,0.989427,4.84312e-28,1.0593e-28,7.3677e-29,3.28168e-29,1.98299e-28
31,0.989171,4.52765e-28,1.022e-28,7.93679e-29,3.58821e-29,2.11518e-28
32,0.988949,4.25481e-28,1.18841e-28,7.96663e-29,3.49858e-29,2.01355e-28
33,0.988765,4.3432e-28,1.03124e-28,8.28556e-29,3.33022e-29,2.14255e-28
34,0.98862,4.25318e-28,1.20375e-28,9.00457e-29,3.48744e-29,2.29273e-28
35,0.988514,3.74499e-28,1.06083e-28,9.39831e-29,3.23103e-29,2.29642e-28
36,0.988449,4.27885e-28,1.02264e-28,8.75946e-29,3.51282e-29,2.41734e-28
37,0.988424,3.77173e-28,1.08688e-28,9.67565e-29,3.53646e-29,2.54666e-28
38,0.98844,3.4924e-28,1.26919e-28,1.08261e-28,3.45197e-29,2.54182e-28
39,0.988498,3.94537e-28,1.26466e-28,1.14924e-28,3.26829e-29,2.85849e-28
40,0.988595,4.32618e-28,9.88523e-29,1.19308e-28,3.19719e-29,2.88855e-28
41,0.988733,4.09427e-28,1.09941e-28,1.25269e-28,3.17614e-29,2.67938e-28
42,0.98891,3.74611e-28,1.05001e-28,1.35469e-28,3.34868e-29,2.7933e-28
43,0.989126,4.2356e-28,1.21539e-28,1.28426e-28,3.16285e-29,2.7887e-28
44,0.989378,4.39502e-28,1.14971e-28,1.62214e-28,2.65752e-29,2.81971e-28
45,0.989665,4.76073e-28,1.00714e-28,1.50519e-28,2.70578e-29,2.69872e-28
46,0.989986,4.51554e-28,8.62837e-29,1.6821e-28,2.34052e-29,2.72422e-28
47,0.990339,4.2695e-28,1.0985e-28,1.63621e-28,2.36755e-29,2.78527e-28
48,0.990721,4.41582e-28,1.0674e-28,1.84115e-28,2.20036e-29,2.68645e-28
49,0.991131,4.98656e-28,8.57563e-29,1.91284e-28,1.62194e-29,2.7165e-28
50,0.991566,5.47173e-28,7.15956e-29,1.9059e-28,1.63944e-29,2.55246e-28
51,0.992023,5.26029e-28,7.81835e-29,1.91857e-28,1.49453e-29,2.73039e-28
52,0.9925,4.7596e-28,8.31086e-29,2.08896e-28,1.45085e-29,2.31233e-28
53,0.992995,5.49499e-28,9.64738e-29,2.08264e-28,9.81521e-30,2.43751e-28
