t,T+R,N_0,N_1,N_2,N_3,N_4
0,1,1.08291e-27,5.43088e-33,1.39069e-34,8.88585e-34,2.74304e-33
1,1.00011,1.06866e-27,6.3937e-31,2.1399e-32,1.07331e-31,3.43048e-31
2,1.00041,1.05913e-27,2.28158e-30,9.10979e-32,3.87015e-31,1.26123e-30
3,1.00089,1.05584e-27,4.91271e-30,2.31871e-31,8.51166e-31,2.77469e-30
4,1.00155,1.07402e-27,8.41156e-30,4.55136e-31,1.48847e-30,4.81262e-30
5,1.00239,1.05787e-27,1.24047e-29,7.46248e-31,2.24696e-30,7.27823e-30
6,1.0034,1.04096e-27,1.77501e-29,1.1135e-30,3.0994e-30,9.97715e-30
7,1.00458,1.01787e-27,2.40439e-29,1.51037e-30,4.09693e-30,1.39826e-29
8,1.00591,9.57445e-28,3.10133e-29,1.78342e-30,5.22915e-30,1.75645e-29
9,1.00739,9.82667e-28,3.78006e-29,2.17712e-30,6.3359e-30,1.97768e-29
10,1.00901,9.20236e-28,4.42827e-29,2.67794e-30,7.55851e-30,2.39758e-29
11,1.01076,9.2831e-28,5.36353e-29,3.17799e-30,8.57987e-30,2.85838e-29
12,1.01262,8.96946e-28,6.7563e-29,3.04213e-30,9.35638e-30,3.36243e-29
13,1.01459,8.60595e-28,7.87509e-29,3.391e-30,1.05693e-29,3.84373e-29
14,1.01666,8.34274e-28,8.93185e-29,3.96857e-30,1.14617e-29,4.22898e-29
15,1.0188,8.0759e-28,1.04312e-28,4.6485e-30,1.20866e-29,4.64311e-29
16,1.02102,8.07281e-28,1.10267e-28,5.32927e-30,1.28244e-29,5.45061e-29
17,1.02328,7.89007e-28,1.29395e-28,6.56503e-30,1.30259e-29,5.81498e-29
18,1.02558,7.81388e-28,1.41348e-28,8.31657e-30,1.44707e-29,6.42892e-29
19,1.02791,7.08624e-28,1.49283e-28,9.5014e-30,1.50506e-29,7.24099e-29
20,1.03025,7.26938e-28,1.60696e-28,1.27383e-29,1.61472e-29,7.23233e-29
21,1.03257,6.60455e-28,1.8522e-28,1.5054e-29,1.6496e-29,7.44028e-29
22,1.03488,6.77447e-28,1.79886e-28,1.73457e-29,1.66848e-29,7.99142e-29
23,1.03716,6.39511e-28,1.963e-28,2.11546e-29,1.81717e-29,8.22293e-29
24,1.03938,6.08268e-28,2.19391e-28,2.6212e-29,1.90273e-29,7.90212e-29
25,1.04154,5.97763e-28,2.25256e-28,3.07649e-29,1.91514e-29,7.74369e-29
26,1.04362,5.96823e-28,2.40668e-28,3.40565e-29,2.03771e-29,8.0995e-29
27,1.04562,5.48907e-28,2.25192e-28,3.9239e-29,2.17606e-29,7.72446e-29
28,1.04751,5.71367e-28,2.70047e-28,4.18843e-29,2.04056e-29,8.27455e-29
29,1.04928,5.80529e-28,2.61742e-28,4.76113e-29,2.20952e-29,7.8273e-29
30,1.05094,5.04257e-28,2.79665e-28,5.11544e-29,2.15311e-29,7.71248e-29
31,1.05245,5.57595e-28,2.62244e-28,5.32095e-29,2.22346e-29,7.86464e-29
32,1.05382,5.57035e-28,2.88182e-28,5.94045e-29,2.06493e-29,7.75178e-29
33,1.05504,5.49798e-28,2.89299e-28,6.41045e-29,1.97291e-29,7.8198e-29
34,1.0561,5.22504e-28,3.09802e-28,6.59684e-29,2.04261e-29,7.7407e-29
