t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3
71,0.454811,14.9693,0.168167,5.53494,0.225966,7.43731,0.151056,4.97175
72,0.456501,15.2355,0.164974,5.50592,0.230192,7.68255,0.148333,4.95055
73,0.458278,15.5061,0.162075,5.48392,0.234195,7.92414,0.145452,4.92147
74,0.460106,15.7801,0.15951,5.47066,0.237963,8.16134,0.142422,4.88461
75,0.461952,16.0564,0.157314,5.46787,0.241483,8.3934,0.139251,4.84005
76,0.463782,16.3338,0.155524,5.47733,0.244745,8.61958,0.13595,4.78796
77,0.465563,16.611,0.154173,5.50082,0.247737,8.83912,0.132527,4.72848
78,0.467262,16.887,0.153296,5.54016,0.25045,9.0513,0.128992,4.6618
79,0.468847,17.1602,0.152924,5.59715,0.252873,9.2554,0.125356,4.58814
80,0.470286,17.4295,0.153085,5.67358,0.255,9.45069,0.121629,4.50774
81,0.471548,17.6934,0.153809,5.77123,0.256823,9.63651,0.117821,4.42087
82,0.472603,17.9506,0.15512,5.89186,0.258334,9.81217,0.113942,4.3278
83,0.473424,18.1998,0.157043,6.03718,0.259529,9.97705,0.110003,4.22884
84,0.473983,18.4394,0.159598,6.20886,0.260404,10.1305,0.106015,4.12432
85,0.474254,18.6682,0.162804,6.40851,0.260954,10.272,0.101988,4.01459
86,0.474212,18.8847,0.166677,6.63766,0.261178,10.401,0.0979325,3.90001
87,0.473835,19.0877,0.171232,6.8978,0.261075,10.517,0.0938589,3.78096
88,0.473102,19.2758,0.176477,7.19029,0.260643,10.6195,0.0897775,3.65784
89,0.471993,19.4476,0.182423,7.51641,0.259886,10.7081,0.0856984,3.53105
90,0.470492,19.6021,0.189073,7.87735,0.258803,10.7825,0.0816319,3.40103
91,0.468582,19.7379,0.19643,8.27417,0.2574,10.8424,0.0775875,3.26819
92,0.46625,19.854,0.204494,8.70781,0.255681,10.8875,0.0735751,3.13299
93,0.463486,19.9492,0.21326,9.17907,0.253651,10.9176,0.0696039,2.99588
94,0.460278,20.0226,0.222721,9.68863,0.251317,10.9326,0.0656832,2.8573
95,0.456622,20.0733,0.232869,10.237,0.248687,10.9324,0.0618218,2.71771
96,0.452511,20.1004,0.24369,10.8246,0.245771,10.9171,0.0580281,2.57759
97,0.447943,20.1031,0.255168,11.4516,0.242579,10.8866,0.0543106,2.43739
98,0.442917,20.0809,0.267285,12.1181,0.239121,10.8412,0.050677,2.29758
99,0.437435,20.0331,0.28002,12.824,0.23541,10.781,0.0471348,2.15862
100,0.431501,19.9593,0.293348,13.569,0.23146,10.7063,0.0436913,2.02097
101,0.425121,19.8592,0.307242,14.3526,0.227284,10.6174,0.0403532,1.88507
102,0.418302,19.7325,0.321672,15.1742,0.222899,10.5148,0.037127,1.75139
103,0.411056,19.5792,0.336607,16.0331,0.218319,10.3989,0.0340185,1.62035
104,0.403393,19.3991,0.352011,16.9282,0.213563,10.2702,0.0310333,1.49239
105,0.395329,19.1925,0.367848,17.8583,0.208647,10.1294,0.0281767,1.36793
106,0.386878,18.9595,0.384079,18.8223,0.20359,9.9772,0.0254532,1.24737
107,0.37806,18.7006,0.400662,19.8185,0.198411,9.81429,0.0228673,1.13112
108,0.368894,18.4161,0.417554,20.8453,0.193129,9.6415,0.0204227,1.01955
109,0.359401,18.1067,0.434711,21.9009,0.187766,9.4597,0.0181229,0.913036
110,0.349603,17.7732,0.452086,22.9832,0.18234,9.26982,0.0159708,0.811927
111,0.339525,17.4162,0.469633,24.0902,0.176873,9.07286,0.0139691,0.716558
112,0.329193,17.0368,0.487301,25.2195,0.171387,8.86985,0.0121199,0.627248
113,0.318632,16.6361,0.505041,26.3686,0.165902,8.66188,0.010425,0.544296
114,0.307872,16.215,0.522803,27.5351,0.16044,8.45009,0.00888553,0.467985
115,0.29694,15.7751,0.540535,28.7161,0.155023,8.23567,0.00750255,0.398576
116,0.285866,15.3174,0.558185,29.909,0.149672,8.01982,0.00627654,0.336313
117,0.274681,14.8436,0.575702,31.1107,0.144409,7.8038,0.00520765,0.281419
118,0.263415,14.3552,0.593034,32.3183,0.139255,7.5889,0.00429562,0.234096
119,0.2521,13.8537,0.61013,33.5286,0.134231,7.3764,0.00353987,0.194527
120,0.240766,13.3408,0.626937,34.7385,0.129357,7.16765,0.00293946,0.162875
121,0.229447,12.8184,0.643406,35.9448,0.124654,6.96397,0.00249309,0.13928
122,0.218172,12.2881,0.659487,37.1442,0.120142,6.76671,0.00219919,0.123864
123,0.206974,11.7518,0.675131,38.3333,0.115839,6.57722,0.00205584,0.116729
124,0.195884,11.2115,0.690291,39.509,0.111764,6.39684,0.00206086,0.117954
125,0.184933,10.669,0.70492,40.6678,0.107935,6.22691,0.00221179,0.127601
126,0.174151,10.1264,0.718975,41.8064,0.104369,6.06876,0.00250592,0.145713
127,0.163566,9.58549,0.732412,42.9216,0.101081,5.92368,0.0029403,0.17231
128,0.153209,9.04834,0.745191,44.01,0.098088,5.79295,0.00351174,0.207399
129,0.143107,8.5169,0.757274,45.0686,0.0954026,5.67781,0.00421687,0.250964
130,0.133286,7.99312,0.768623,46.0941,0.0930384,5.57948,0.00505213,0.302975
131,0.123772,7.47891,0.779207,47.0835,0.0910074,5.49912,0.00601378,0.363382
132,0.114589,6.97619,0.788993,48.034,0.0893204,5.43783,0.00709793,0.432123
133,0.10576,6.4868,0.797953,48.9425,0.0879869,5.39669,0.00830056,0.509116
134,0.0973062,6.01255,0.806061,49.8065,0.0870155,5.37669,0.00961751,0.594266
135,0.0892475,5.55519,0.813295,50.6234,0.086413,5.37876,0.0110445,0.687465
136,0.081602,5.1164,0.819635,51.3907,0.0861854,5.40377,0.0125773,0.788591
137,0.074386,4.69777,0.825066,52.1061,0.086337,5.45252,0.0142114,0.897508
138,0.0676143,4.30083,0.829572,52.7677,0.0868709,5.52571,0.0159424,1.01407
139,0.0612995,3.927,0.833146,53.3734,0.0877887,5.62397,0.0177657,1.13812
140,0.0554527,3.57762,0.83578,53.9217,0.0890908,5.74784,0.0196768,1.26948
141,0.0500826,3.2539,0.83747,54.4109,0.090776,5.89776,0.0216711,1.40799
142,0.0451965,2.95695,0.838218,54.8398,0.0928417,6.07411,0.0237441,1.55344
143,0.0407992,2.68777,0.838025,55.2074,0.0952841,6.27713,0.0258912,1.70566
144,0.036894,2.44723,0.8369,55.5129,0.0980977,6.50697,0.0281078,1.86443
145,0.0334817,2.23608,0.834853,55.7556,0.101276,6.7637,0.0303894,2.02955
146,0.0305617,2.05491,0.831896,55.9352,0.104811,7.04727,0.0327315,2.2008
147,0.0281309,1.90422,0.828047,56.0515,0.108692,7.35752,0.0351296,2.37797
148,0.0261847,1.78433,0.823326,56.1049,0.11291,7.69418,0.0375793,2.56081
149,0.0247163,1.69546,0.817755,56.0955,0.117453,8.0569,0.0400763,2.74911
150,0.0237172,1.63766,0.81136,56.0242,0.122306,8.4452,0.0426162,2.94264
151,0.0231771,1.61086,0.804172,55.8917,0.127456,8.85848,0.0451949,3.14114
152,0.0230838,1.61482,0.796221,55.6992,0.132887,9.29608,0.047808,3.34439
153,0.0234238,1.64919,0.787542,55.4482,0.138583,9.75718,0.0504516,3.55213
154,0.0241816,1.71348,0.778171,55.1403,0.144525,10.2409,0.0531216,3.76413
155,0.0253404,1.80704,0.76815,54.7773,0.150696,10.7462,0.055814,3.98013
156,0.0268819,1.92911,0.757518,54.3614,0.157075,11.2721,0.0585248,4.19988
157,0.0287866,2.0788,0.746321,53.8948,0.163642,11.8173,0.0612504,4.42314
158,0.0310338,2.25508,0.734603,53.3803,0.170377,12.3805,0.0639869,4.64964
159,0.0336014,2.45682,0.722412,52.8204,0.177256,12.9604,0.0667306,4.87913
160,0.0364666,2.68277,0.709797,52.2183,0.184258,13.5555,0.069478,5.11135
161,0.0396058,2.93157,0.696809,51.577,0.19136,14.1643,0.0722254,5.34604
162,0.0429942,3.20177,0.683498,50.8999,0.198538,14.7851,0.0749693,5.58294
163,0.0466069,3.49181,0.669917,50.1904,0.205769,15.4163,0.0777064,5.82179
164,0.0504182,3.80006,0.65612,49.4523,0.213028,16.0561,0.0804333,6.06232
165,0.0544021,4.12483,0.64216,48.6893,0.220292,16.7028,0.0831465,6.30426
166,0.0585322,4.46433,0.62809,47.9052,0.227535,17.3544,0.0858428,6.54734
167,0.0627824,4.81675,0.613965,47.1042,0.234734,18.0091,0.0885189,6.79129
168,0.0671263,5.18022,0.599838,46.2902,0.241864,18.6649,0.0911716,7.03582
169,0.0715377,5.55282,0.585763,45.4674,0.248901,19.3199,0.0937978,7.28066
170,0.0759908,5.93263,0.571794,44.6401,0.255821,19.9721,0.0963942,7.52553
171,0.0804602,6.31771,0.557981,43.8125,0.262601,20.6193,0.0989578,7.77013
172,0.0849209,6.70611,0.544377,42.9888,0.269217,21.2598,0.101485,8.01417
173,0.0893488,7.09589,0.531031,42.1733,0.275647,21.8913,0.103974,8.25736
174,0.0937204,7.48514,0.517992,41.3703,0.281868,22.5119,0.10642,8.4994
175,0.0980133,7.87197,0.505306,40.5838,0.28786,23.1196,0.108821,8.73996
176,0.102206,8.25455,0.49302,39.8182,0.293601,23.7124,0.111173,8.97875
177,0.106278,8.63108,0.481176,39.0773,0.299072,24.2883,0.113474,9.21545
178,0.110211,8.99985,0.469815,38.3652,0.304254,24.8455,0.11572,9.44972
179,0.113986,9.3592,0.458977,37.6858,0.309128,25.382,0.117908,9.68125
180,0.117588,9.70757,0.448698,37.0427,0.313678,25.896,0.120036,9.90969
181,0.121001,10.0435,0.439012,36.4396,0.317888,26.3858,0.1221,10.1347
182,0.124212,10.3656,0.429949,35.8797,0.321742,26.8497,0.124096,10.3559
183,0.12721,10.6727,0.42154,35.3665,0.325228,27.2861,0.126022,10.5731
184,0.129985,10.9636,0.413807,34.9027,0.328333,27.6933,0.127875,10.7857
185,0.132528,11.2374,0.406775,34.4914,0.331045,28.07,0.129652,10.9935
186,0.134834,11.4931,0.400463,34.1351,0.333354,28.4148,0.131348,11.196
187,0.136898,11.7302,0.394886,33.836,0.335253,28.7263,0.132962,11.393
188,0.138717,11.948,0.390058,33.5964,0.336734,29.0035,0.134491,11.5839
189,0.140291,12.1461,0.385988,33.4181,0.337791,29.2453,0.13593,11.7685
190,0.14162,12.3244,0.382682,33.3025,0.33842,29.4507,0.137277,11.9464
191,0.142709,12.4827,0.380144,33.2511,0.338618,29.6189,0.138529,12.1171
192,0.143561,12.6212,0.378372,33.2647,0.338384,29.7491,0.139683,12.2803
193,0.144183,12.7402,0.377364,33.3442,0.337716,29.8409,0.140736,12.4355
194,0.144585,12.84,0.377113,33.4899,0.336617,29.8936,0.141685,12.5825
195,0.144776,12.9214,0.377607,33.7018,0.335089,29.9071,0.142527,12.7207
196,0.144769,12.9852,0.378834,33.9798,0.333137,29.881,0.14326,12.8498
197,0.144577,13.0323,0.380777,34.3234,0.330765,29.8153,0.14388,12.9694
198,0.144216,13.0638,0.383417,34.7318,0.327981,29.7101,0.144386,13.0792
199,0.143703,13.0812,0.38673,35.2037,0.324792,29.5656,0.144774,13.1787
200,0.143056,13.0858,0.390692,35.7379,0.321209,29.382,0.145043,13.2676
201,0.142295,13.0794,0.395274,36.3325,0.317241,29.1598,0.14519,13.3454
202,0.141441,13.0636,0.400446,36.9855,0.3129,28.8997,0.145213,13.412
203,0.140517,13.0406,0.406174,37.6946,0.3082,28.6022,0.14511,13.4668
204,0.139545,13.0122,0.412422,38.4573,0.303154,28.2684,0.144879,13.5096
205,0.13855,12.9808,0.419152,39.2706,0.297778,27.899,0.14452,13.5401
