t,T+R,N_0,N_1,N_2
102,0.830178,7.48966e-26,3.21195e-26,1.06826e-25
103,0.823308,7.49816e-26,2.86454e-26,8.72831e-26
104,0.816404,7.06037e-26,3.02701e-26,1.02786e-25
105,0.809468,7.07078e-26,2.66593e-26,9.17304e-26
106,0.802505,7.06752e-26,3.10695e-26,8.04811e-26
107,0.795519,7.93895e-26,2.86621e-26,9.0182e-26
108,0.788512,7.08763e-26,2.42049e-26,8.8741e-26
109,0.781489,6.82704e-26,2.87612e-26,9.32587e-26
110,0.774453,6.22699e-26,2.76853e-26,8.76843e-26
111,0.767406,7.42512e-26,2.56997e-26,9.44494e-26
112,0.760354,8.10856e-26,2.50992e-26,9.06425e-26
113,0.753297,6.99878e-26,2.70651e-26,9.08886e-26
114,0.746239,7.59704e-26,2.88171e-26,8.98838e-26
115,0.739184,8.16319e-26,2.92129e-26,8.97635e-26
116,0.732133,7.25271e-26,2.92827e-26,9.08756e-26
117,0.725089,7.33626e-26,2.8713e-26,8.07183e-26
118,0.718054,7.17177e-26,2.72656e-26,8.12668e-26
119,0.711031,7.23558e-26,2.74555e-26,7.76607e-26
120,0.704022,7.34136e-26,2.75117e-26,8.02061e-26
121,0.697029,6.1316e-26,3.44814e-26,6.85046e-26
122,0.690053,7.45161e-26,3.70283e-26,6.19334e-26
123,0.683097,7.12476e-26,3.80824e-26,6.51318e-26
124,0.676162,6.89992e-26,4.15538e-26,6.70542e-26
125,0.669249,7.0667e-26,4.2491e-26,6.51299e-26
126,0.66236,7.53294e-26,4.91618e-26,6.54774e-26
127,0.655496,5.8516e-26,4.55824e-26,6.37576e-26
128,0.648659,5.647e-26,4.43383e-26,6.86688e-26
129,0.641848,6.47071e-26,4.85738e-26,7.07007e-26
130,0.635066,5.49458e-26,5.12077e-26,6.23317e-26
131,0.628313,5.78934e-26,5.69854e-26,6.34075e-26
132,0.62159,6.17899e-26,5.483e-26,6.36454e-26
133,0.614897,5.87045e-26,5.89978e-26,4.461e-26
134,0.608235,6.2804e-26,5.25455e-26,5.17793e-26
135,0.601604,5.51437e-26,5.65679e-26,4.98647e-26
136,0.595006,5.92058e-26,7.34183e-26,5.38232e-26
137,0.588439,5.0621e-26,6.11131e-26,4.71894e-26
138,0.581905,4.87247e-26,6.79925e-26,4.45602e-26
139,0.575403,5.12477e-26,7.51039e-26,4.63131e-26
140,0.568934,4.22011e-26,7.63518e-26,4.37248e-26
141,0.562498,5.01957e-26,8.42634e-26,4.32953e-26
142,0.556095,4.3947e-26,7.34664e-26,4.90927e-26
