t,T+R,N_0,N_1,N_2,N_3,N_4
67,0.989948,4.46919e-28,2.52582e-28,1.35313e-28,2.82616e-29,2.27559e-29
68,0.99166,4.58114e-28,3.04367e-28,1.33631e-28,2.92045e-29,1.51134e-29
69,0.993297,4.43198e-28,3.41356e-28,1.32361e-28,2.78329e-29,1.60378e-29
70,0.994854,4.12498e-28,3.24936e-28,1.39519e-28,2.94801e-29,1.81775e-29
71,0.996326,4.29943e-28,3.25933e-28,1.24089e-28,3.60265e-29,1.56823e-29
72,0.997708,4.11348e-28,3.31912e-28,1.2138e-28,2.91285e-29,1.03809e-29
73,0.998997,4.09664e-28,4.07093e-28,1.03959e-28,2.70622e-29,1.14587e-29
74,1.00019,3.61614e-28,4.16957e-28,1.06441e-28,3.50811e-29,1.63427e-29
75,1.00128,3.62934e-28,4.41188e-28,1.17771e-28,3.00202e-29,1.70722e-29
76,1.00228,3.34279e-28,4.36131e-28,1.19328e-28,3.85688e-29,1.74628e-29
77,1.00318,3.61422e-28,5.07417e-28,1.06323e-28,3.34601e-29,1.33622e-29
78,1.00397,3.79811e-28,5.41947e-28,1.07073e-28,3.50553e-29,1.54016e-29
79,1.00467,3.7937e-28,6.10866e-28,1.14189e-28,3.92378e-29,1.46815e-29
80,1.00528,3.54739e-28,5.59122e-28,1.1548e-28,4.29766e-29,1.61581e-29
81,1.00579,3.83645e-28,6.22982e-28,1.04996e-28,5.50077e-29,1.41852e-29
82,1.00622,4.03062e-28,7.47094e-28,1.03717e-28,4.77198e-29,1.35317e-29
83,1.00656,4.02794e-28,7.49801e-28,1.08119e-28,4.56394e-29,1.16387e-29
84,1.00682,3.79837e-28,7.10069e-28,1.07458e-28,5.50464e-29,1.52889e-29
85,1.00702,3.26822e-28,7.40439e-28,1.05081e-28,6.01849e-29,1.87459e-29
86,1.00714,3.5414e-28,7.42447e-28,9.92219e-29,6.60923e-29,1.34391e-29
87,1.0072,3.44487e-28,7.90562e-28,1.05394e-28,6.57154e-29,1.42743e-29
88,1.00722,3.02562e-28,7.60836e-28,1.12674e-28,5.48507e-29,1.41413e-29
89,1.00718,2.82425e-28,7.06085e-28,1.1202e-28,6.83264e-29,1.4098e-29
90,1.00711,2.52422e-28,7.26759e-28,1.02118e-28,7.18853e-29,1.40762e-29
91,1.00701,2.35842e-28,8.61041e-28,9.03028e-29,6.87629e-29,1.66098e-29
92,1.00689,2.14166e-28,8.27599e-28,1.09241e-28,8.13363e-29,1.18657e-29
93,1.00676,2.0429e-28,8.50598e-28,1.04091e-28,7.03243e-29,1.71921e-29
94,1.00662,1.91661e-28,8.28817e-28,9.9959e-29,8.32554e-29,1.79577e-29
