t,T+R,N_0,N_1,N_2
0,1,9.08076e-28,2.49177e-33,4.5677e-34
1,0.999987,9.06241e-28,2.73277e-31,5.59296e-32
2,0.999951,9.2749e-28,9.39993e-31,2.02306e-31
3,0.999894,9.3173e-28,1.83258e-30,4.45554e-31
4,0.999815,9.2933e-28,2.91092e-30,8.24697e-31
5,0.999714,9.36334e-28,4.06261e-30,1.32564e-30
6,0.999592,9.56768e-28,5.66033e-30,2.05629e-30
7,0.999449,9.58748e-28,6.7416e-30,2.9704e-30
8,0.999286,9.6675e-28,9.24359e-30,4.33187e-30
9,0.999102,9.38005e-28,1.19551e-29,6.23635e-30
10,0.998898,9.32214e-28,1.42388e-29,8.73518e-30
11,0.998675,9.35797e-28,1.69227e-29,1.17122e-29
12,0.998433,9.45046e-28,2.13052e-29,1.58872e-29
13,0.998173,9.08118e-28,2.38703e-29,2.00243e-29
14,0.997896,9.29526e-28,2.60599e-29,2.53464e-29
15,0.997602,8.90095e-28,2.71111e-29,3.13506e-29
16,0.997292,8.68375e-28,3.63639e-29,3.66611e-29
17,0.996967,8.49608e-28,3.8546e-29,4.21856e-29
18,0.996628,8.39599e-28,4.18674e-29,4.75664e-29
19,0.996275,7.7798e-28,4.7668e-29,5.45245e-29
20,0.99591,7.70358e-28,4.98144e-29,6.12067e-29
21,0.995533,7.84699e-28,5.96074e-29,6.38779e-29
22,0.995145,7.78455e-28,6.26035e-29,6.97772e-29
23,0.994748,7.4641e-28,7.46504e-29,7.7467e-29
24,0.994342,7.0316e-28,7.62741e-29,8.28952e-29
25,0.993929,7.03994e-28,7.97986e-29,8.94919e-29
26,0.993509,6.83232e-28,8.9286e-29,9.7201e-29
27,0.993084,6.63657e-28,9.71485e-29,1.02055e-28
28,0.992655,6.37963e-28,1.02992e-28,1.12758e-28
29,0.992222,5.91321e-28,1.17326e-28,1.25372e-28
30,0.991788,5.96612e-28,1.23911e-28,1.33176e-28
31,0.991353,5.94522e-28,1.27923e-28,1.40416e-28
32,0.990918,5.91738e-28,1.45926e-28,1.4271e-28
33,0.990485,5.7808e-28,1.42009e-28,1.48155e-28
34,0.990054,5.64024e-28,1.4665e-28,1.50515e-28
35,0.989627,5.28899e-28,1.51348e-28,1.67047e-28
36,0.989206,5.14199e-28,1.64801e-28,1.65646e-28
37,0.98879,5.33694e-28,1.56044e-28,1.63901e-28
38,0.988382,5.08676e-28,1.50612e-28,1.73836e-28
39,0.987982,4.85092e-28,1.85493e-28,1.78659e-28
40,0.987592,4.84147e-28,1.71927e-28,1.94748e-28
41,0.987213,4.65723e-28,1.68652e-28,1.86407e-28
42,0.986845,4.30421e-28,1.75082e-28,1.96524e-28
43,0.98649,4.14294e-28,1.85286e-28,2.0127e-28
44,0.986149,4.02538e-28,1.96154e-28,2.03715e-28
45,0.985823,3.69662e-28,2.14394e-28,2.1176e-28
46,0.985513,3.98783e-28,2.1619e-28,2.25715e-28
47,0.98522,3.61152e-28,1.95578e-28,2.19793e-28
48,0.984945,3.51385e-28,2.2469e-28,2.34864e-28
49,0.984689,3.28739e-28,2.03561e-28,2.32378e-28
50,0.984452,3.4239e-28,2.41513e-28,2.39699e-28
51,0.984236,3.23157e-28,2.10221e-28,2.42822e-28
52,0.984041,2.87092e-28,2.21946e-28,2.44929e-28
53,0.983868,2.89968e-28,2.07832e-28,2.50371e-28
54,0.983717,3.00176e-28,1.87394e-28,2.60999e-28
55,0.983591,2.91881e-28,1.96217e-28,2.88389e-28
56,0.983488,2.92482e-28,1.9666e-28,2.79772e-28
57,0.98341,3.00825e-28,1.76612e-28,2.79682e-28
58,0.983357,3.00176e-28,1.70036e-28,3.18426e-28
59,0.98333,3.10659e-28,1.81934e-28,3.13931e-28
60,0.983329,2.76005e-28,2.10822e-28,3.20463e-28
61,0.983355,3.01833e-28,2.09621e-28,3.39655e-28
62,0.983408,2.86686e-28,1.62597e-28,3.33773e-28
63,0.983488,2.73951e-28,1.649e-28,3.59303e-28
64,0.983596,2.99924e-28,1.44545e-28,3.58752e-28
65,0.983732,2.84806e-28,1.48891e-28,3.73453e-28
66,0.983896,2.96352e-28,1.90462e-28,3.55092e-28
67,0.984088,3.1102e-28,1.69227e-28,3.89737e-28
68,0.984308,2.76947e-28,1.6025e-28,3.89506e-28
69,0.984557,2.81441e-28,1.4605e-28,3.9088e-28
70,0.984834,2.75625e-28,1.57674e-28,3.82327e-28
71,0.985139,2.79398e-28,1.62874e-28,3.69601e-28
72,0.985472,2.59459e-28,1.33195e-28,4.07271e-28
73,0.985834,2.58401e-28,1.22165e-28,4.01986e-28
74,0.986224,2.22591e-28,1.39755e-28,4.59687e-28
75,0.986641,2.28215e-28,1.0255e-28,4.1395e-28
76,0.987086,2.14579e-28,1.35357e-28,4.39508e-28
77,0.987558,2.24145e-28,8.39308e-29,4.45587e-28
78,0.988057,2.40666e-28,1.20674e-28,4.79782e-28
79,0.988582,2.11428e-28,1.36946e-28,4.88687e-28
80,0.989134,2.27594e-28,1.27399e-28,4.74292e-28
81,0.989711,2.44114e-28,1.17324e-28,4.77428e-28
82,0.990314,2.73258e-28,1.05792e-28,4.93009e-28
83,0.990942,2.8751e-28,1.42438e-28,5.14972e-28
84,0.991594,3.00052e-28,1.47826e-28,4.97799e-28
85,0.992269,3.11716e-28,1.21234e-28,4.87514e-28
86,0.992968,3.06555e-28,7.49438e-29,4.67253e-28
87,0.99369,3.53152e-28,1.11861e-28,4.43832e-28
88,0.994434,3.40009e-28,1.36771e-28,4.16869e-28
89,0.995199,3.65562e-28,8.92322e-29,4.22864e-28
90,0.995985,3.62873e-28,8.24236e-29,4.23364e-28
91,0.996791,3.5231e-28,8.5251e-29,4.22435e-28
92,0.997617,3.9755e-28,5.27746e-29,4.12533e-28
93,0.998461,3.80365e-28,6.31047e-29,3.97031e-28
94,0.999324,4.64199e-28,4.76474e-29,4.1514e-28
95,1.0002,4.20249e-28,5.55087e-29,3.89465e-28
96,1.0011,4.59995e-28,5.53156e-29,4.62593e-28
97,1.00201,5.01132e-28,6.13974e-29,3.7924e-28
98,1.00294,5.328e-28,3.61267e-29,3.87723e-28
99,1.00389,5.42612e-28,3.96173e-29,3.44862e-28
100,1.00485,5.72119e-28,6.59871e-29,3.81542e-28
101,1.00582,5.82355e-28,7.53033e-29,3.54285e-28
102,1.0068,6.27638e-28,7.06825e-29,3.3377e-28
103,1.0078,6.42349e-28,5.85881e-29,3.07651e-28
104,1.0088,6.04928e-28,7.35909e-29,3.13784e-28
105,1.00982,7.02296e-28,1.04197e-28,2.99507e-28
106,1.01085,7.45989e-28,9.11905e-29,3.08722e-28
107,1.01189,8.48223e-28,9.83657e-29,3.49946e-28
108,1.01293,8.43182e-28,7.80799e-29,3.19387e-28
109,1.01399,8.47379e-28,7.63478e-29,2.5479e-28
110,1.01505,9.26049e-28,9.41065e-29,3.23813e-28
111,1.01612,1.04503e-27,9.66567e-29,2.53629e-28
112,1.0172,1.16771e-27,1.1856e-28,2.28622e-28
113,1.01828,1.16557e-27,7.75028e-29,2.34102e-28
114,1.01937,1.1866e-27,9.60637e-29,2.00035e-28
115,1.02046,1.24865e-27,1.17987e-28,1.708e-28
116,1.02156,1.36797e-27,9.80467e-29,1.64393e-28
117,1.02267,1.42339e-27,7.9622e-29,1.31654e-28
118,1.02377,1.38864e-27,7.99065e-29,9.35151e-29
119,1.02488,1.41552e-27,8.8725e-29,1.22898e-28
120,1.026,1.44592e-27,8.51818e-29,1.13305e-28
121,1.02711,1.48195e-27,7.81588e-29,6.28509e-29
122,1.02823,1.53474e-27,6.4305e-29,6.6568e-29
123,1.02935,1.43272e-27,7.14968e-29,3.22796e-29
124,1.03048,1.47706e-27,4.87575e-29,7.10252e-29
125,1.0316,1.51283e-27,4.09661e-29,4.56498e-29
126,1.03273,1.50397e-27,6.03534e-29,6.91203e-29
127,1.03386,1.43074e-27,2.34363e-29,3.76589e-29
128,1.03499,1.48071e-27,7.20803e-29,2.57672e-29
129,1.03612,1.51782e-27,8.87699e-31,3.29146e-29
130,1.03725,1.41365e-27,1.03202e-29,3.58064e-29
131,1.03838,1.37286e-27,6.8435e-30,2.39707e-29
132,1.03951,1.31335e-27,3.48243e-31,1.92789e-29
133,1.04065,1.40675e-27,2.81902e-29,2.09686e-29
134,1.04178,1.34013e-27,-8.72936e-30,2.893e-29
135,1.04291,1.27623e-27,-2.9031e-31,1.74116e-29
136,1.04405,1.18863e-27,4.01749e-30,1.94937e-29
137,1.04518,1.2384e-27,-7.57562e-30,2.06336e-29
138,1.04632,1.19188e-27,3.51697e-30,1.67787e-29
139,1.04746,1.22276e-27,-4.18369e-30,6.70822e-30
140,1.04859,1.12416e-27,1.32381e-29,2.35812e-29
141,1.04973,1.11297e-27,1.0813e-30,2.78472e-29
142,1.05087,1.15627e-27,1.20324e-29,2.10205e-29
143,1.05201,1.21766e-27,1.52391e-29,1.41632e-29
144,1.05315,1.09714e-27,2.24173e-30,1.36163e-29
145,1.05429,1.08524e-27,2.07206e-29,3.94872e-29
146,1.05543,1.12077e-27,5.11958e-29,3.93176e-29
147,1.05657,1.08715e-27,9.93096e-29,4.26831e-29
148,1.05771,1.041e-27,1.04807e-28,4.20998e-29
149,1.05886,9.75945e-28,1.47132e-28,6.33429e-29
150,1.06,9.70837e-28,1.43754e-28,5.8713e-29
151,1.06115,9.40381e-28,2.42748e-28,6.14054e-29
152,1.0623,8.41986e-28,2.58006e-28,4.96878e-29
153,1.06345,8.34861e-28,2.69532e-28,6.10248e-29
154,1.0646,7.89938e-28,3.25527e-28,7.90459e-29
155,1.06575,8.00371e-28,4.83162e-28,5.88217e-29
156,1.0669,8.39928e-28,3.74608e-28,6.18326e-29
157,1.06806,7.69229e-28,3.97111e-28,6.70574e-29
158,1.06921,8.04555e-28,4.41903e-28,5.63042e-29
159,1.07037,8.10031e-28,5.58844e-28,7.30588e-29
160,1.07153,8.24323e-28,5.24043e-28,3.9875e-29
161,1.07269,9.02465e-28,5.40497e-28,6.98506e-29
162,1.07385,9.32285e-28,5.32981e-28,5.52736e-29
163,1.07501,8.31976e-28,5.73617e-28,6.30785e-29
164,1.07618,8.74025e-28,6.03617e-28,4.92933e-29
165,1.07735,9.43007e-28,5.1646e-28,5.96333e-29
166,1.07851,9.24251e-28,6.09053e-28,6.12898e-29
167,1.07968,9.45024e-28,4.89805e-28,5.61326e-29
168,1.08085,9.50828e-28,4.80931e-28,6.97672e-29
