t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2
83,0.313124,12.0374,0.295947,11.377,0.390929,15.0284
84,0.316508,12.3131,0.287266,11.1756,0.396226,15.4144
85,0.320142,12.6019,0.278531,10.9639,0.401327,15.7975
86,0.324005,12.903,0.269773,10.7433,0.406222,16.1771
87,0.328071,13.2158,0.261026,10.515,0.410902,16.5526
88,0.332317,13.5397,0.252323,10.2805,0.41536,16.9232
89,0.336718,13.8739,0.243695,10.041,0.419587,17.2884
90,0.341248,14.2174,0.235178,9.79821,0.423575,17.6474
91,0.345883,14.5695,0.226803,9.55353,0.427315,17.9996
92,0.350597,14.9292,0.218603,9.3086,0.4308,18.3445
93,0.355365,15.2955,0.210611,9.06507,0.434024,18.6812
94,0.360162,15.6674,0.20286,8.82462,0.436979,19.0091
95,0.364962,16.0439,0.19538,8.58899,0.439658,19.3276
96,0.36974,16.4237,0.188203,8.35993,0.442057,19.636
97,0.374472,16.8058,0.181361,8.13924,0.444168,19.9337
98,0.379133,17.189,0.174881,7.92874,0.445986,20.22
99,0.383698,17.5721,0.168795,7.73025,0.447507,20.4944
100,0.388144,17.9538,0.163129,7.54563,0.448727,20.7561
101,0.392448,18.3329,0.157912,7.37673,0.44964,21.0046
102,0.396587,18.7082,0.153168,7.22539,0.450244,21.2393
103,0.40054,19.0783,0.148924,7.09347,0.450536,21.4597
104,0.404284,19.4419,0.145203,6.98279,0.450513,21.6651
105,0.407799,19.7979,0.142028,6.89518,0.450174,21.8551
106,0.411065,20.1448,0.139419,6.83243,0.449515,22.0291
107,0.414065,20.4815,0.137398,6.7963,0.448538,22.1867
108,0.416778,20.8066,0.135981,6.7885,0.447241,22.3274
109,0.41919,21.1189,0.135186,6.81072,0.445624,22.4507
110,0.421283,21.4173,0.135028,6.8646,0.443688,22.5563
111,0.423043,21.7004,0.135522,6.9517,0.441435,22.6438
112,0.424456,21.9671,0.136678,7.07353,0.438866,22.7128
113,0.42551,22.2162,0.138506,7.23154,0.435984,22.7631
114,0.426193,22.4468,0.141017,7.42711,0.432791,22.7943
115,0.426494,22.6577,0.144216,7.66152,0.429291,22.8062
116,0.426405,22.8479,0.148107,7.93597,0.425488,22.7987
117,0.425918,23.0164,0.152696,8.2516,0.421387,22.7715
118,0.425026,23.1624,0.157981,8.60941,0.416993,22.7246
119,0.423725,23.2851,0.163964,9.01033,0.412311,22.6578
120,0.42201,23.3835,0.170641,9.45518,0.407349,22.5712
121,0.419879,23.4571,0.178008,9.94465,0.402113,22.4646
122,0.417331,23.5053,0.186059,10.4794,0.39661,22.3382
123,0.414366,23.5273,0.194786,11.0598,0.390849,22.192
124,0.410984,23.5228,0.204179,11.6862,0.384837,22.0262
125,0.40719,23.4913,0.214226,12.359,0.378584,21.841
126,0.402987,23.4326,0.224914,13.0781,0.372099,21.6365
127,0.39838,23.3463,0.236228,13.8437,0.365393,21.4131
128,0.393376,23.2323,0.24815,14.6554,0.358474,21.171
129,0.387983,23.0905,0.260661,15.5131,0.351356,20.9107
130,0.38221,22.921,0.273742,16.4162,0.344048,20.6324
131,0.376067,22.7239,0.287371,17.3644,0.336562,20.3367
132,0.369567,22.4993,0.301523,18.3568,0.32891,20.0241
133,0.362721,22.2475,0.316174,19.3926,0.321105,19.695
134,0.355543,21.969,0.331297,20.4708,0.31316,19.3502
135,0.348048,21.6642,0.346864,21.5905,0.305088,18.9901
136,0.340253,21.3336,0.362846,22.7502,0.296901,18.6155
137,0.332173,20.978,0.379212,23.9487,0.288615,18.2271
138,0.323827,20.5981,0.395931,25.1845,0.280242,17.8257
139,0.315233,20.1946,0.41297,26.4559,0.271796,17.4119
140,0.306411,19.7686,0.430296,27.7612,0.263293,16.9868
141,0.297381,19.321,0.447872,29.0985,0.254747,16.551
142,0.288164,18.8529,0.465664,30.4658,0.246172,16.1056
143,0.278782,18.3656,0.483635,31.8609,0.237583,15.6515
144,0.269256,17.8601,0.501749,33.2818,0.228995,15.1896
145,0.259609,17.338,0.519967,34.726,0.220424,14.721
146,0.249865,16.8005,0.538252,36.1911,0.211883,14.2466
147,0.240048,16.2491,0.556565,37.6745,0.203388,13.7676
148,0.23018,15.6854,0.574866,39.1738,0.194954,13.285
149,0.220286,15.111,0.593118,40.6861,0.186596,12.7999
150,0.210391,14.5274,0.611281,42.2087,0.178328,12.3135
151,0.200519,13.9365,0.629315,43.7388,0.170166,11.8269
152,0.190694,13.3399,0.647182,45.2733,0.162124,11.3413
153,0.180941,12.7395,0.664843,46.8095,0.154215,10.8578
154,0.171284,12.137,0.68226,48.3441,0.146456,10.3777
155,0.161748,11.5344,0.699393,49.8742,0.138858,9.90208
156,0.152356,10.9335,0.716207,51.3967,0.131437,9.43224
157,0.143133,10.3362,0.732662,52.9085,0.124205,8.96936
158,0.134101,9.74449,0.748723,54.4063,0.117176,8.51465
159,0.125283,9.16029,0.764355,55.8872,0.110362,8.06932
160,0.116702,8.58552,0.779522,57.3478,0.103776,7.63458
161,0.10838,8.02215,0.794191,58.7851,0.0974295,7.21162
162,0.100337,7.47209,0.808328,60.1959,0.0913343,6.80164
163,0.0925954,6.93728,0.821903,61.5772,0.0855017,6.40581
164,0.0851736,6.4196,0.834884,62.9259,0.0799422,6.02531
165,0.0780911,5.92095,0.847243,64.2389,0.074666,5.66126
166,0.0713659,5.44317,0.858951,65.5133,0.0696829,5.31481
167,0.0650155,4.98807,0.869982,66.7462,0.0650021,4.98704
168,0.059056,4.55742,0.880312,67.9347,0.0606321,4.67905
169,0.0535028,4.15293,0.889916,69.076,0.056581,4.39186
170,0.0483701,3.77627,0.898773,70.1675,0.0528564,4.12651
171,0.0436713,3.42906,0.906864,71.2066,0.0494651,3.88398
172,0.0394183,3.11282,0.914168,72.1908,0.0464134,3.66521
173,0.0356221,2.82903,0.920671,73.1177,0.043707,3.47112
174,0.0322925,2.57909,0.926357,73.985,0.0413509,3.30256
175,0.0294379,2.36432,0.931212,74.7906,0.0393496,3.16038
176,0.0270658,2.18594,0.935228,75.5325,0.0377067,3.04534
177,0.0251821,2.04509,0.938393,76.2089,0.0364254,2.95818
178,0.0237917,1.94283,0.9407,76.8178,0.035508,2.89959
179,0.022898,1.88011,0.942146,77.3579,0.0349563,2.8702
180,0.0225033,1.85778,0.942725,77.8276,0.0347714,2.87059
181,0.0226085,1.87659,0.942438,78.2258,0.0349536,2.90128
182,0.0232131,1.93716,0.941284,78.5512,0.0355028,2.96274
183,0.0243156,2.04003,0.939267,78.8029,0.0364178,3.05539
184,0.0259128,2.18562,0.93639,78.9802,0.037697,3.17957
185,0.0280005,2.37423,0.932661,79.0825,0.0393382,3.33557
186,0.0305733,2.60603,0.928088,79.1093,0.0413383,3.52363
187,0.0336241,2.8811,0.922682,79.0605,0.0436937,3.74392
188,0.0371451,3.19938,0.916455,78.9359,0.0464001,3.99653
189,0.0411269,3.56068,0.909421,78.7358,0.0494526,4.28151
190,0.045559,3.96473,0.901595,78.4604,0.0528455,4.59883
191,0.0504299,4.41109,0.892997,78.1103,0.0565727,4.9484
192,0.0557267,4.89924,0.883646,77.686,0.0606273,5.33007
193,0.0614357,5.42851,0.873562,77.1886,0.0650019,5.74362
194,0.0675419,5.99813,0.862769,76.6191,0.0696886,6.18876
195,0.0740295,6.6072,0.851292,75.9786,0.0746787,6.66515
196,0.0808814,7.25473,0.839155,75.2687,0.0799631,7.17236
197,0.08808,7.93958,0.826388,74.491,0.0855323,7.70992
198,0.0956066,8.66052,0.813017,73.6471,0.091376,8.27729
199,0.103442,9.41621,0.799075,72.7391,0.0974837,8.87386
200,0.111565,10.2052,0.784591,71.7691,0.103844,9.49896
201,0.119956,11.026,0.769598,70.7393,0.110446,10.1519
202,0.128592,11.8769,0.754131,69.6521,0.117277,10.8318
203,0.137452,12.7561,0.738223,68.5102,0.124325,11.5379
204,0.146513,13.662,0.72191,67.3163,0.131577,12.2692
205,0.155752,14.5925,0.705228,66.0732,0.139021,13.0249
206,0.165145,15.5456,0.688214,64.7839,0.146642,13.8039
207,0.174668,16.5194,0.670905,63.4516,0.154427,14.6051
208,0.184297,17.5117,0.65334,62.0795,0.162362,15.4274
209,0.194009,18.5203,0.635558,60.6708,0.170433,16.2697
210,0.203778,19.5429,0.617596,59.2292,0.178626,17.1308
211,0.213581,20.5774,0.599494,57.758,0.186926,18.0093
212,0.223392,21.6213,0.581291,56.261,0.195318,18.9041
213,0.233187,22.6723,0.563026,54.7417,0.203787,19.8138
214,0.242943,23.728,0.544738,53.204,0.212319,20.737
215,0.252635,24.786,0.526467,51.6516,0.220898,21.6723
216,0.26224,25.844,0.50825,50.0885,0.22951,22.6184
217,0.271734,26.8993,0.490127,48.5183,0.238139,23.5737
218,0.281095,27.9498,0.472134,46.9451,0.246771,24.5369
219,0.2903,28.9928,0.45431,45.3728,0.25539,25.5063
220,0.299328,30.0261,0.436691,43.8053,0.263982,26.4805
221,0.308157,31.0473,0.419312,42.2464,0.272532,27.458
222,0.316766,32.054,0.402209,40.7,0.281024,28.4372
223,0.325137,33.0439,0.385416,39.17,0.289446,29.4166
224,0.333251,34.0147,0.368967,37.6603,0.297783,30.3945
225,0.341088,34.9644,0.352892,36.1744,0.30602,31.3696
226,0.348633,35.8907,0.337224,34.7162,0.314143,32.3401
227,0.355868,36.7916,0.321991,33.2892,0.322141,33.3046
228,0.36278,37.6651,0.307223,31.897,0.329998,34.2616
229,0.369352,38.5093,0.292945,30.543,0.337702,35.2094
230,0.375574,39.3223,0.279185,29.2305,0.345241,36.1466
231,0.381432,40.1026,0.265965,27.9627,0.352603,37.0716
232,0.386916,40.8483,0.253309,26.7429,0.359775,37.983
233,0.392016,41.5582,0.241237,25.5738,0.366747,38.8793
234,0.396725,42.2306,0.229768,24.4584,0.373507,39.7591
