t,T+R,N_0,N_1,N_2,N_3
81,1.01511,8.38727e-28,2.45585e-28,2.66333e-28,6.11092e-29
82,1.01384,8.9075e-28,2.86854e-28,2.67869e-28,5.99615e-29
83,1.01255,8.74856e-28,2.71001e-28,2.81287e-28,5.47413e-29
84,1.01123,9.9921e-28,2.84498e-28,3.22249e-28,5.2519e-29
85,1.0099,9.33565e-28,3.06352e-28,2.99325e-28,5.76996e-29
86,1.00855,9.84301e-28,3.1216e-28,3.13725e-28,6.14112e-29
87,1.00718,9.16992e-28,3.20831e-28,2.75787e-28,4.32221e-29
88,1.0058,1.00502e-27,3.63461e-28,2.89051e-28,5.59722e-29
89,1.00441,9.8033e-28,3.20319e-28,2.5556e-28,5.31788e-29
90,1.003,1.00661e-27,3.23711e-28,2.327e-28,5.43107e-29
91,1.0016,9.82387e-28,3.48853e-28,2.21945e-28,4.80441e-29
92,1.00018,1.04094e-27,3.3224e-28,2.34121e-28,4.52514e-29
93,0.998767,1.00448e-27,3.55248e-28,1.96876e-28,4.95172e-29
94,0.997348,9.94029e-28,4.15148e-28,2.2766e-28,4.38655e-29
95,0.99593,9.86077e-28,3.70354e-28,2.25887e-28,4.98898e-29
96,0.994512,9.87306e-28,4.31228e-28,2.13659e-28,4.0071e-29
97,0.993098,9.33209e-28,4.58387e-28,2.23463e-28,4.1226e-29
98,0.991689,1.01949e-27,4.32366e-28,1.97803e-28,4.13604e-29
99,0.990285,9.83313e-28,4.38119e-28,1.98847e-28,4.59478e-29
100,0.988888,8.70876e-28,5.26007e-28,1.82065e-28,3.29687e-29
101,0.9875,9.38397e-28,4.88473e-28,1.81885e-28,2.64813e-29
102,0.98612,9.30589e-28,6.19361e-28,1.82929e-28,2.79914e-29
103,0.984751,8.4947e-28,5.27462e-28,2.16304e-28,3.85117e-29
104,0.983393,8.50961e-28,5.8171e-28,1.97008e-28,3.82504e-29
105,0.982047,8.28724e-28,7.37077e-28,1.61152e-28,2.84852e-29
106,0.980713,7.42772e-28,7.26466e-28,1.87565e-28,3.25891e-29
107,0.979392,7.08401e-28,7.97527e-28,2.15744e-28,3.26222e-29
108,0.978084,6.44725e-28,6.58916e-28,1.92396e-28,3.55507e-29
109,0.97679,7.09898e-28,9.35908e-28,1.95728e-28,3.15433e-29
110,0.97551,6.73414e-28,9.21946e-28,1.8553e-28,3.17363e-29
111,0.974244,6.60364e-28,9.34296e-28,1.73232e-28,2.60944e-29
112,0.972992,5.90915e-28,1.02478e-27,1.68637e-28,2.73974e-29
113,0.971754,5.72774e-28,1.04744e-27,1.6299e-28,2.67383e-29
114,0.970529,5.95625e-28,1.10708e-27,1.68183e-28,2.56136e-29
115,0.969319,5.24382e-28,9.66781e-28,1.45105e-28,2.38322e-29
116,0.968121,4.79201e-28,1.10564e-27,1.48898e-28,2.65355e-29
117,0.966937,4.75814e-28,1.15186e-27,1.1705e-28,3.18225e-29
118,0.965764,4.72769e-28,1.20486e-27,1.33091e-28,2.96511e-29
119,0.964604,4.65887e-28,1.13348e-27,1.24568e-28,2.48729e-29
120,0.963454,4.60973e-28,1.17966e-27,1.19619e-28,2.21545e-29
