t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
340,0.893838,0.096433,0.0616603,0.0815983,0.027042,0.054736,0.0176122,0.0289671,0.0212273,0.00892135,0.0261449
350,0.919297,0.0988433,0.0576708,0.0868594,0.0256002,0.0583676,0.0177706,0.0308954,0.0224323,0.00951646,0.0278739
360,0.936707,0.101559,0.0541766,0.0905656,0.0245613,0.0606217,0.0178953,0.0320574,0.0232332,0.00987418,0.0289859
370,0.948021,0.104151,0.0513479,0.0929373,0.0238424,0.0619753,0.01796,0.0327267,0.0237121,0.0100771,0.0296391
380,0.955478,0.106694,0.0492861,0.0943721,0.0233445,0.0627841,0.017973,0.0331053,0.0239658,0.0101876,0.0299854
390,0.960252,0.108948,0.0478687,0.0951838,0.0229968,0.0632476,0.017955,0.0333201,0.0240865,0.0102491,0.030159
400,0.963336,0.110897,0.0469739,0.095619,0.022768,0.0634896,0.0179257,0.0334452,0.0241408,0.0102873,0.0302514
410,0.965311,0.112494,0.0464609,0.0958337,0.0226326,0.0636021,0.0179002,0.0335189,0.0241695,0.0103126,0.0303097
420,0.966575,0.113751,0.0462123,0.0959371,0.0225616,0.0636505,0.0178891,0.0335572,0.0241934,0.0103268,0.030352
430,0.9674,0.114708,0.0461314,0.0960035,0.0225296,0.0636709,0.0178953,0.0335692,0.024219,0.0103312,0.0303826
440,0.967943,0.115405,0.0461414,0.0960734,0.0225212,0.0636802,0.0179137,0.0335648,0.0242436,0.010329,0.0304024
450,0.968318,0.115902,0.0461898,0.0961583,0.0225291,0.0636862,0.0179361,0.0335546,0.0242631,0.0103243,0.0304131
460,0.968587,0.116245,0.0462439,0.0962493,0.0225478,0.0636933,0.0179569,0.033546,0.0242766,0.0103203,0.0304182
470,0.968789,0.11648,0.0462889,0.0963319,0.0225717,0.0637041,0.017974,0.0335421,0.0242857,0.0103181,0.0304214
480,0.968946,0.116639,0.0463217,0.0963955,0.022595,0.0637186,0.0179873,0.0335433,0.0242929,0.0103177,0.0304252
490,0.969069,0.116745,0.0463446,0.0964379,0.0226136,0.0637351,0.017997,0.0335485,0.024299,0.0103188,0.0304301
500,0.969166,0.116817,0.0463611,0.0964634,0.0226257,0.0637509,0.0180032,0.0335561,0.0243041,0.010321,0.0304359
600,0.96949,0.116946,0.0464008,0.096533,0.0226324,0.0638065,0.0180048,0.0335893,0.0243155,0.0103317,0.0304568
700,0.969507,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180048,0.0335909,0.0243163,0.0103322,0.0304581
800,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
900,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
1000,0.969506,0.11695,0.0463996,0.0965358,0.0226316,0.0638091,0.0180047,0.0335909,0.0243163,0.0103322,0.0304581
