t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
0,1,1.36648e-21,2.57925e-40,2.57596e-46,2.15236e-52,1.80933e-58,3.09913e-64,1.28527e-63,5.5405e-63,6.47465e-66,1.37618e-63
10,1,1.36499e-21,4.51547e-34,6.86665e-36,1.53365e-37,3.70426e-39,9.5495e-41,2.57233e-42,7.1224e-44,2.01202e-45,6.12078e-47
20,1,1.36487e-21,6.06577e-33,3.5166e-34,2.37915e-35,1.80395e-36,1.47606e-37,1.28467e-38,1.18082e-39,1.11885e-40,1.33763e-41
30,1,1.36555e-21,3.33273e-33,4.7972e-34,9.36551e-35,1.82792e-35,3.43325e-36,6.16717e-37,1.0716e-37,1.72651e-38,3.90904e-39
40,1,1.36464e-21,4.13182e-32,6.80542e-33,1.15657e-33,2.12978e-34,4.05428e-35,7.81821e-36,1.54023e-36,2.83471e-37,8.57023e-38
50,1,1.36575e-21,1.33103e-31,2.68794e-32,5.64308e-33,1.17817e-33,2.46575e-34,5.22775e-35,1.15006e-35,2.31757e-36,8.56037e-37
60,1,1.36545e-21,3.84335e-31,6.28784e-32,1.14246e-32,2.21479e-33,4.63217e-34,1.01455e-34,2.47894e-35,4.94793e-36,2.58769e-36
70,1,1.36516e-21,2.13412e-31,3.21712e-32,6.03494e-33,2.30903e-33,7.88412e-35,8.62023e-35,2.69417e-35,2.28602e-36,2.2267e-35
80,1,1.36479e-21,1.00606e-31,3.05631e-33,5.36443e-33,1.26833e-31,2.22841e-32,3.42951e-32,4.87521e-32,7.42937e-36,1.24335e-32
90,1,1.36671e-21,7.45499e-30,2.83177e-30,5.63096e-31,2.46263e-30,4.47619e-31,1.04518e-30,7.14559e-31,5.89184e-34,1.17597e-30
100,1,1.36629e-21,9.48529e-29,2.92289e-29,1.28668e-30,7.86811e-30,6.11471e-32,2.98171e-29,6.48788e-30,9.43494e-33,2.50401e-30
110,1.00003,1.36861e-21,2.26423e-28,5.3973e-30,4.38868e-30,1.18345e-29,6.56248e-30,5.04049e-29,4.63333e-31,5.7996e-33,3.68176e-30
120,1.00919,1.36632e-21,5.20324e-29,6.27872e-29,1.00215e-29,4.49504e-29,1.86739e-29,2.03185e-29,1.09257e-29,1.78343e-32,2.62539e-29
130,0.852426,1.36527e-21,2.24745e-28,2.0906e-29,7.02849e-30,8.08747e-29,6.36502e-30,1.57824e-29,3.10309e-29,1.50596e-32,9.17567e-30
140,0.336284,1.36492e-21,3.01951e-28,5.55855e-29,4.63641e-29,4.18716e-29,1.35145e-29,1.00525e-29,3.62801e-29,8.53089e-31,3.5825e-30
150,0.0484901,1.36528e-21,1.82725e-26,1.78906e-26,2.47811e-26,2.5899e-26,2.42553e-26,1.74662e-26,2.37589e-26,2.30766e-26,1.44817e-26
160,0.0638945,1.41011e-21,1.16314e-22,1.51062e-22,1.75645e-22,1.85591e-22,1.77228e-22,1.38848e-22,1.19674e-22,1.799e-22,1.2731e-22
170,0.147481,1.60788e-19,2.04449e-19,2.56746e-19,2.89967e-19,3.02027e-19,2.94853e-19,2.23212e-19,1.55811e-19,3.0071e-19,2.54535e-19
180,0.564751,7.4299e-17,9.91755e-17,1.20164e-16,1.31613e-16,1.33538e-16,1.35954e-16,1.07362e-16,5.08239e-17,1.29636e-16,1.3723e-16
190,1.22648,1.20602e-14,1.5411e-14,1.79448e-14,1.90333e-14,1.83231e-14,1.93896e-14,1.81237e-14,5.41568e-15,1.58778e-14,2.26031e-14
200,1.19977,7.45507e-13,8.93592e-13,9.89331e-13,1.01977e-12,9.01441e-13,9.07807e-13,1.15764e-12,3.44466e-13,5.66833e-13,1.2433e-12
210,0.871169,2.10174e-11,2.33927e-11,2.4194e-11,2.44148e-11,2.06104e-11,1.49967e-11,2.84698e-11,1.484e-11,5.86197e-12,2.56491e-11
220,1.06825,3.19003e-10,3.29567e-10,3.14421e-10,3.02584e-10,2.88655e-10,1.24699e-10,2.71133e-10,2.73239e-10,2.49359e-11,2.57087e-10
230,0.963355,2.86319e-09,2.75209e-09,2.4519e-09,2.03005e-09,2.38966e-09,1.1437e-09,1.01799e-09,2.1262e-09,1.08872e-10,1.63254e-09
240,1.01001,1.61691e-08,1.43925e-08,1.25687e-08,8.317e-09,1.00022e-08,8.92283e-09,1.6866e-09,8.84774e-09,3.81823e-10,6.42716e-09
250,1.00334,5.99178e-08,4.8702e-08,4.25923e-08,2.81623e-08,1.88484e-08,3.59027e-08,3.36717e-09,2.36892e-08,1.75192e-09,1.59184e-08
260,0.992815,1.49201e-07,1.11216e-07,8.74936e-08,8.32785e-08,1.84573e-08,7.19483e-08,1.18615e-08,4.2373e-08,6.25926e-09,2.86432e-08
