t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
0,1,4.54037e-23,2.355e-44,9.31638e-50,1.78493e-55,2.29314e-61,1.72258e-66,2.86932e-65,2.65455e-65,7.17328e-69,1.46805e-65
10,1,4.5387e-23,7.51117e-36,7.5975e-38,1.10383e-39,1.62166e-41,1.93132e-43,1.82995e-45,6.24443e-47,5.44493e-48,3.93928e-49
20,1,4.53644e-23,7.7811e-35,5.43717e-36,6.61988e-37,6.86339e-38,6.69779e-39,6.46775e-40,6.30207e-41,6.11921e-42,7.4139e-43
30,1,4.53487e-23,2.27157e-33,1.59102e-34,1.47591e-35,1.41653e-36,1.41579e-37,1.46751e-38,1.56384e-39,1.6489e-40,2.21868e-41
40,1,4.53248e-23,1.15633e-34,2.36256e-35,1.79282e-35,5.00028e-36,1.1187e-36,2.34397e-37,4.90176e-38,9.29975e-39,3.50533e-39
50,1,4.52836e-23,4.2072e-32,1.26632e-33,9.44065e-35,1.38368e-35,1.92662e-36,2.77445e-37,8.99627e-38,3.85943e-38,8.61201e-38
60,1,4.52621e-23,3.7668e-31,1.95182e-32,1.7572e-33,2.9894e-34,8.5082e-35,2.93348e-35,1.5154e-35,3.91171e-36,6.0074e-36
70,1,4.52795e-23,6.89526e-31,4.76586e-32,5.97316e-33,1.25558e-33,4.45387e-34,1.51204e-34,9.1105e-35,2.20189e-35,4.11177e-35
80,1,4.53114e-23,9.27744e-31,8.31745e-32,1.13632e-32,3.24229e-33,6.29833e-34,2.22848e-34,6.60749e-34,6.32693e-35,1.09395e-34
90,1,4.52983e-23,6.09557e-31,4.76109e-32,1.63549e-32,1.72386e-35,1.88177e-32,3.1745e-32,1.46504e-32,2.25803e-34,6.35505e-33
100,1,4.5302e-23,1.49195e-30,1.49267e-33,5.30253e-32,1.23956e-31,1.43738e-31,1.17847e-31,4.03204e-31,9.28327e-34,2.89633e-32
110,1,4.53074e-23,3.06937e-30,9.32872e-31,1.49518e-30,4.00994e-31,9.30666e-31,8.0318e-31,9.56546e-31,3.47928e-34,1.35076e-31
120,1.00001,4.52635e-23,1.69312e-30,6.80403e-30,6.77143e-30,6.22558e-31,1.4558e-30,4.93124e-30,1.07983e-30,1.14177e-33,5.76643e-31
130,1.00045,4.51747e-23,1.40514e-29,1.57998e-29,1.03107e-29,5.3939e-30,1.05091e-30,1.21552e-29,6.66348e-30,3.11462e-33,2.06243e-30
140,1.01894,4.51545e-23,3.86484e-29,3.55158e-29,1.76293e-29,4.75899e-29,1.21259e-29,4.52664e-29,2.9016e-30,2.56474e-30,1.60218e-30
150,0.930606,4.17366e-23,1.8749e-25,2.25878e-25,2.21834e-25,2.05962e-25,1.62702e-25,1.23622e-25,8.58878e-26,8.09696e-26,4.47748e-26
160,1.4689,1.38514e-21,1.17476e-21,1.2921e-21,1.26877e-21,1.12902e-21,9.18455e-22,6.49371e-22,4.47887e-22,4.84618e-22,3.17778e-22
170,0.656444,1.65678e-18,2.00268e-18,2.12764e-18,2.03001e-18,1.76963e-18,1.44399e-18,1.01348e-18,6.08091e-19,7.55752e-19,5.96646e-19
180,0.184723,1.04681e-15,1.19509e-15,1.22023e-15,1.12655e-15,9.5305e-16,7.79283e-16,5.66846e-16,2.80185e-16,3.74751e-16,3.6972e-16
190,0.0410802,2.70376e-13,2.9329e-13,2.86961e-13,2.56114e-13,2.08495e-13,1.67564e-13,1.33217e-13,5.69026e-14,6.89106e-14,8.88702e-14
200,0.0686104,3.25787e-11,3.35269e-11,3.13767e-11,2.71283e-11,2.12909e-11,1.61075e-11,1.43982e-11,6.32509e-12,5.35334e-12,9.48301e-12
210,0.0796304,2.0114e-09,1.96457e-09,1.7572e-09,1.47356e-09,1.13864e-09,7.72549e-10,7.54785e-10,4.07656e-10,1.99233e-10,5.05249e-10
220,0.157359,6.82173e-08,6.33941e-08,5.42835e-08,4.39203e-08,3.45242e-08,2.0993e-08,2.01075e-08,1.47248e-08,4.03317e-09,1.48575e-08
230,0.242001,1.33355e-06,1.18414e-06,9.77486e-07,7.54405e-07,6.13856e-07,3.66261e-07,2.87654e-07,2.98177e-07,4.93303e-08,2.59923e-07
240,0.389161,1.54485e-05,1.31792e-05,1.06291e-05,7.79158e-06,6.40488e-06,4.32057e-06,2.36425e-06,3.53283e-06,3.9068e-07,2.83817e-06
250,0.577959,0.00010681,8.81168e-05,7.05305e-05,5.04057e-05,3.87998e-05,3.33017e-05,1.20297e-05,2.57139e-05,2.16044e-06,1.99717e-05
260,0.796849,0.000433564,0.000349294,0.000279843,0.000209885,0.00013484,0.000159566,4.05081e-05,0.000118691,9.00152e-06,9.27667e-05
270,0.983389,0.000984065,0.000789753,0.000625902,0.000556484,0.000265166,0.000462184,9.4349e-05,0.000352161,2.81469e-05,0.000287746
280,1.08153,0.00112348,0.000941592,0.000696202,0.000884454,0.000292822,0.00080046,0.000156612,0.000674026,6.22301e-05,0.000593305
290,1.07755,0.000509648,0.00050216,0.000276788,0.000770478,0.000199994,0.000838818,0.000191807,0.000835744,9.22489e-05,0.000799676
300,1.02319,7.3537e-05,7.56412e-05,2.27876e-05,0.000386677,0.000147241,0.000595668,0.00017523,0.000686152,8.65432e-05,0.000686907
310,0.980985,9.72341e-05,3.41562e-06,0.000200772,0.000280949,0.000167397,0.00040436,0.000113844,0.000401924,4.60166e-05,0.000367641
320,0.973163,0.000133444,1.32e-05,0.000433475,0.000355139,0.000168805,0.000330452,4.88906e-05,0.000220645,9.7788e-06,0.000150485
330,0.984439,0.000133064,5.57435e-06,0.000525951,0.000346938,0.000117973,0.000297792,1.40466e-05,0.000201714,5.5335e-07,0.000142983
340,0.994086,8.66061e-05,2.36181e-06,0.000445023,0.000273618,5.11199e-05,0.00030244,6.5185e-06,0.000265241,6.48738e-06,0.000226539
350,0.995527,4.73941e-05,2.26161e-05,0.000303262,0.000249581,1.21318e-05,0.000334234,7.40695e-06,0.000315041,1.07465e-05,0.000276926
360,0.992695,2.14848e-05,4.63872e-05,0.000224143,0.000285831,6.7512e-06,0.0003597,6.21608e-06,0.000320835,9.35138e-06,0.000272343
370,0.990212,1.76727e-05,4.84328e-05,0.000235421,0.000322976,1.52586e-05,0.000362805,3.29087e-06,0.000304658,6.37818e-06,0.000249811
380,0.989417,3.36699e-05,3.19297e-05,0.000272262,0.00033268,2.06668e-05,0.000354211,1.41168e-06,0.000292221,5.01055e-06,0.000237747
390,0.98978,5.37111e-05,1.66967e-05,0.000282276,0.000323345,1.94241e-05,0.000347382,1.2233e-06,0.000290202,5.23101e-06,0.000238181
400,0.990694,6.07839e-05,1.29841e-05,0.000270754,0.000309912,1.6285e-05,0.000343523,1.8097e-06,0.000291887,5.87458e-06,0.000241849
410,0.991648,5.26448e-05,1.57673e-05,0.000260789,0.000302109,1.53118e-05,0.000340311,2.18146e-06,0.000291119,6.10182e-06,0.000241941
420,0.992048,4.07461e-05,1.78095e-05,0.000258962,0.000301274,1.62856e-05,0.000338471,2.02631e-06,0.000288124,5.7952e-06,0.000238469
430,0.991666,3.58086e-05,1.78707e-05,0.000260765,0.000302392,1.73157e-05,0.000337595,1.69567e-06,0.00028568,5.44713e-06,0.000235504
440,0.990954,3.84496e-05,1.78553e-05,0.000263114,0.000301514,1.75258e-05,0.000336517,1.57589e-06,0.00028503,5.41423e-06,0.000235201
450,0.990568,4.2777e-05,1.84413e-05,0.000264752,0.000299927,1.72111e-05,0.000336049,1.64685e-06,0.000285606,5.5416e-06,0.000236199
460,0.990704,4.43722e-05,1.89379e-05,0.000264398,0.000300342,1.69101e-05,0.000336845,1.71275e-06,0.000286386,5.60174e-06,0.000236873
470,0.991043,4.33237e-05,1.8877e-05,0.000262485,0.000302038,1.67478e-05,0.000337904,1.72705e-06,0.000286898,5.60256e-06,0.000237132
480,0.991224,4.19047e-05,1.84726e-05,0.000260936,0.00030265,1.66271e-05,0.000338182,1.74807e-06,0.000287111,5.62205e-06,0.000237338
490,0.991176,4.15381e-05,1.81527e-05,0.000260599,0.000302007,1.65881e-05,0.000337785,1.77847e-06,0.000287019,5.64748e-06,0.000237384
500,0.991053,4.20061e-05,1.81126e-05,0.000260927,0.000301424,1.66797e-05,0.000337391,1.77628e-06,0.00028671,5.63231e-06,0.000237107
600,0.99105,4.2275e-05,1.82351e-05,0.000261476,0.000301486,1.67798e-05,0.000337386,1.73826e-06,0.00028658,5.60229e-06,0.000236927
700,0.991048,4.22582e-05,1.82466e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73773e-06,0.000286574,5.60124e-06,0.000236918
800,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
900,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
1000,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
1100,0.991048,4.22581e-05,1.8247e-05,0.000261486,0.00030149,1.67843e-05,0.000337387,1.73772e-06,0.000286574,5.60124e-06,0.000236918
