t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
0,1,1.01492e-23,2.84041e-43,2.33927e-49,2.03205e-55,1.9354e-61,2.12059e-66,1.88315e-65,1.46489e-65,1.09485e-68,8.41094e-66
10,1,1.01507e-23,1.50193e-36,2.78789e-38,9.81125e-40,3.84852e-41,1.49182e-42,5.63877e-44,2.08541e-45,7.57194e-47,2.89002e-48
20,1,1.01602e-23,5.35191e-34,2.74953e-35,1.84511e-36,1.3737e-37,1.10772e-38,9.49547e-40,8.5267e-41,7.78998e-42,8.91778e-43
30,1,1.01567e-23,9.40559e-34,3.29885e-35,5.39246e-36,8.06094e-37,1.18297e-37,1.76141e-38,2.69977e-39,4.11398e-40,9.41306e-41
40,1,1.01453e-23,2.80854e-32,1.55051e-34,4.57074e-35,9.5014e-36,1.8092e-36,3.77908e-37,1.01666e-37,2.39058e-38,1.89133e-38
50,1,1.01272e-23,3.99815e-31,9.19806e-33,6.91103e-34,1.24204e-34,3.59942e-35,1.24458e-35,5.42215e-36,1.53103e-36,1.7074e-36
60,1,1.01236e-23,4.01331e-31,2.1273e-32,3.34149e-33,8.95976e-34,3.34277e-34,1.3373e-34,7.34024e-35,2.01754e-35,3.21856e-35
70,1,1.01296e-23,6.66498e-32,4.25292e-33,2.36803e-33,1.21597e-33,7.96479e-34,4.13083e-34,3.11902e-34,9.09375e-35,1.98916e-34
80,1,1.01184e-23,2.14264e-31,1.02903e-32,5.19296e-33,3.37424e-33,2.768e-33,6.31769e-34,1.85337e-33,3.79667e-34,1.03165e-33
90,1,1.01225e-23,4.91319e-31,8.3206e-32,3.62981e-32,3.60563e-32,1.62437e-32,2.85805e-32,2.03852e-32,2.39069e-33,1.01641e-32
100,1,1.01213e-23,2.54142e-30,1.31465e-30,8.75343e-31,3.97598e-31,9.66437e-32,3.81414e-32,2.04819e-31,1.16775e-32,5.18687e-32
110,1,1.0124e-23,5.00246e-30,2.824e-30,2.07378e-30,7.70965e-31,6.99514e-31,1.71591e-31,7.19102e-31,3.89786e-32,2.10425e-31
120,1,1.0123e-23,9.80043e-32,4.867e-30,1.39298e-30,8.28829e-31,2.01482e-30,5.76671e-31,8.68899e-31,1.01909e-31,3.628e-31
130,0.999965,1.01089e-23,2.11537e-30,1.59972e-29,4.27748e-31,4.33275e-30,3.92106e-30,3.8178e-30,2.87943e-30,2.36001e-31,1.6603e-31
140,0.99657,1.01794e-23,1.58426e-28,3.3213e-28,1.85205e-28,1.74771e-28,1.68862e-28,1.07416e-28,1.00178e-28,3.39119e-29,1.95653e-29
150,0.972279,2.282e-23,3.91539e-24,4.12105e-24,3.79056e-24,3.15536e-24,2.37805e-24,1.612e-24,1.07572e-24,8.74305e-25,4.71624e-25
160,1.26707,1.5037e-20,1.76042e-20,1.79135e-20,1.62574e-20,1.33635e-20,1.00602e-20,6.71828e-21,4.2621e-21,3.97764e-21,2.50089e-21
170,0.729803,2.1072e-17,2.34519e-17,2.31006e-17,2.0435e-17,1.64964e-17,1.24416e-17,8.30285e-18,4.74016e-18,4.96045e-18,3.76285e-18
180,2.08133,1.0785e-14,1.14485e-14,1.08527e-14,9.30718e-15,7.31493e-15,5.50549e-15,3.79729e-15,1.87296e-15,2.05235e-15,1.95147e-15
190,1.32078,2.38159e-12,2.40008e-12,2.17813e-12,1.80495e-12,1.37035e-12,1.0092e-12,7.49483e-13,3.34092e-13,3.26196e-13,4.0651e-13
200,0.424451,2.56395e-10,2.44165e-10,2.11169e-10,1.68818e-10,1.23987e-10,8.60025e-11,6.97701e-11,3.25746e-11,2.26129e-11,3.86649e-11
210,0.0985549,1.4792e-08,1.32695e-08,1.08962e-08,8.37337e-09,6.04542e-09,3.82191e-09,3.2306e-09,1.84281e-09,7.76237e-10,1.88004e-09
220,0.140705,4.92962e-07,4.15818e-07,3.23707e-07,2.3688e-07,1.71164e-07,1.00941e-07,7.83952e-08,5.95582e-08,1.50281e-08,5.14866e-08
230,0.0721923,1.00738e-05,7.98216e-06,5.9042e-06,4.07369e-06,2.91885e-06,1.7668e-06,1.07574e-06,1.11315e-06,1.84138e-07,8.55199e-07
240,0.11829,0.000132339,9.84537e-05,6.94359e-05,4.54713e-05,3.06595e-05,2.10384e-05,9.33552e-06,1.26425e-05,1.5896e-06,9.09395e-06
250,0.113609,0.00115957,0.00081074,0.000544029,0.000349163,0.000207355,0.000165668,5.83915e-05,9.22066e-05,1.08009e-05,6.48676e-05
260,0.133836,0.00696813,0.00460056,0.00290863,0.00189084,0.000983274,0.000852218,0.000288719,0.000451122,6.00021e-05,0.000323792
270,0.188183,0.0293067,0.0184352,0.0109401,0.00714975,0.00359106,0.00292507,0.00115081,0.00153392,0.000262528,0.00116877
280,0.32161,0.0875984,0.0529641,0.0302297,0.0186965,0.0104321,0.00695081,0.00361845,0.00375073,0.000879186,0.00313879
290,0.550546,0.188876,0.110233,0.0638285,0.0346579,0.023534,0.011888,0.00876722,0.00683451,0.00223969,0.00646923
300,0.801938,0.300623,0.170082,0.104743,0.0488828,0.0408015,0.015363,0.0163779,0.00963351,0.00439292,0.0105597
310,0.967731,0.370797,0.206756,0.135634,0.058035,0.0560142,0.0161741,0.0243679,0.0109861,0.00685158,0.0141047
320,1.02312,0.390204,0.220738,0.145966,0.0636002,0.064468,0.0153274,0.0303414,0.0107756,0.00888217,0.0160874
330,1.03157,0.393129,0.230915,0.141739,0.0680558,0.0662425,0.0143105,0.0332818,0.00973072,0.0100425,0.0164746
340,1.0305,0.394018,0.244368,0.132504,0.0723739,0.0640542,0.0137662,0.0337219,0.00852343,0.0103885,0.0158274
350,1.01781,0.386925,0.255243,0.123461,0.0760862,0.0605968,0.0137336,0.0328359,0.00749956,0.0102483,0.0147582
360,1.00259,0.378943,0.260664,0.117016,0.0786775,0.0575015,0.0140574,0.0316126,0.00683076,0.00993819,0.0137637
370,0.991565,0.375685,0.261193,0.113184,0.0800047,0.0552842,0.0144673,0.0305679,0.00652548,0.00964557,0.0131135
380,0.983814,0.376166,0.258383,0.11103,0.0801763,0.0538824,0.0147267,0.0298502,0.00643963,0.00943876,0.0127909
390,0.980672,0.380059,0.254855,0.110039,0.079681,0.0530875,0.0147936,0.0294178,0.00642004,0.00931306,0.0126434
400,0.980687,0.384945,0.251999,0.109807,0.0791086,0.0526876,0.0147716,0.0291759,0.00640371,0.00924061,0.0125607
410,0.982374,0.389234,0.250266,0.109935,0.0787697,0.052539,0.0147573,0.0290596,0.00639675,0.00920248,0.0125151
420,0.984147,0.392009,0.249442,0.110136,0.0786304,0.0525473,0.0147686,0.0290324,0.00641446,0.00918988,0.0125138
430,0.985103,0.393214,0.249096,0.110296,0.0785466,0.0526344,0.0147758,0.0290603,0.00644949,0.0091948,0.0125502
440,0.985044,0.393263,0.248867,0.110394,0.078445,0.0527407,0.0147599,0.0291094,0.00648105,0.00920746,0.0125968
450,0.984273,0.392721,0.248611,0.110414,0.0783295,0.0528245,0.0147286,0.0291532,0.00649717,0.00921937,0.0126299
460,0.983237,0.392022,0.248355,0.110354,0.0782287,0.0528635,0.0146979,0.0291774,0.00649985,0.00922608,0.0126441
470,0.982327,0.391418,0.248181,0.110248,0.0781595,0.0528625,0.0146761,0.0291821,0.00649593,0.00922751,0.0126452
480,0.981724,0.390987,0.248118,0.110148,0.0781219,0.0528441,0.0146646,0.0291765,0.00649092,0.00922607,0.0126407
490,0.981452,0.390727,0.248135,0.110092,0.0781089,0.0528293,0.0146615,0.0291705,0.00648824,0.00922435,0.0126367
500,0.981417,0.390599,0.248182,0.110079,0.0781106,0.0528275,0.0146633,0.0291695,0.00648907,0.00922394,0.0126366
600,0.98197,0.390687,0.248379,0.110143,0.0781214,0.0528844,0.0146613,0.0291994,0.00649942,0.00923242,0.0126554
700,0.981959,0.390697,0.248373,0.110143,0.0781187,0.0528816,0.0146611,0.0291969,0.00649914,0.00923155,0.0126543
800,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
900,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
1000,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
1100,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
1200,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
1300,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
1400,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
1500,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
1600,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
1700,0.981959,0.390696,0.248373,0.110143,0.0781188,0.0528816,0.0146612,0.0291969,0.00649914,0.00923155,0.0126543
