t,T+R,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9
350,0.853255,0.702768,0.11514,0.0254948,0.00120217,0.00204999,0.000151795,0.000378907,0.000250619,6.9928e-05,0.000248336
360,0.878517,0.727387,0.132139,0.0114996,0.00381404,0.000406357,6.68837e-05,0.000203765,4.29231e-05,4.79115e-05,9.68075e-05
370,0.969134,0.838828,0.105105,0.0204587,0.00241881,0.000457587,0.000172658,4.8424e-06,2.56989e-05,9.91223e-06,1.86683e-05
380,0.981057,0.818178,0.137988,0.0201091,0.00302943,0.000789761,6.73931e-05,6.03118e-05,2.22338e-05,2.43201e-06,8.73214e-06
390,1.0198,0.871042,0.128002,0.0171996,0.0027647,0.00026161,6.09619e-05,1.23654e-05,2.89317e-07,4.8793e-06,5.67634e-06
400,1.01272,0.862775,0.126387,0.019851,0.00279373,0.000549423,9.43017e-05,2.20319e-05,1.017e-05,2.49553e-07,3.08982e-06
410,0.989898,0.836234,0.131096,0.018818,0.00299158,0.000490424,9.30251e-05,3.87287e-05,7.32913e-06,6.36443e-06,7.02569e-06
420,1.00565,0.85612,0.127369,0.0188209,0.0027592,0.000416401,8.31605e-05,5.76433e-06,2.29485e-06,3.0982e-06,2.22151e-06
430,0.985109,0.835781,0.127098,0.0187655,0.0028186,0.000507838,7.35018e-05,2.16097e-05,7.8255e-06,3.84536e-07,1.04349e-06
440,0.998578,0.847308,0.128831,0.018905,0.00296176,0.000439506,8.66258e-05,2.15533e-05,3.08548e-06,2.67105e-06,1.36538e-06
450,0.999186,0.849009,0.127834,0.0190004,0.00276853,0.000456481,8.64586e-05,1.36058e-05,4.7282e-06,1.73343e-06,2.21298e-07
460,0.993684,0.843522,0.12809,0.01867,0.00282892,0.000467929,7.7638e-05,1.69406e-05,4.51254e-06,1.23095e-06,2.70429e-07
470,0.998467,0.847703,0.128286,0.0189808,0.00291231,0.000468722,8.73033e-05,1.89797e-05,4.94013e-06,1.77627e-06,4.94298e-07
480,0.99477,0.844786,0.127777,0.0188437,0.00280998,0.000450287,8.03677e-05,1.56572e-05,4.06936e-06,1.75561e-06,4.62042e-07
490,0.996571,0.845978,0.128309,0.0188662,0.0028477,0.000465067,8.23972e-05,1.65302e-05,4.68822e-06,1.20261e-06,1.67216e-07
500,0.996979,0.846658,0.128037,0.0188551,0.00285722,0.000462954,8.35359e-05,1.86232e-05,4.68013e-06,1.74514e-06,5.82385e-07
600,0.996309,0.845934,0.128092,0.0188668,0.00284806,0.000461718,8.28251e-05,1.70312e-05,4.51526e-06,1.55025e-06,3.60096e-07
700,0.996308,0.845944,0.128084,0.0188658,0.00284711,0.000461254,8.27739e-05,1.6949e-05,4.49263e-06,1.54803e-06,3.55374e-07
800,0.996309,0.845944,0.128084,0.0188658,0.0028471,0.000461253,8.27741e-05,1.6949e-05,4.49256e-06,1.54767e-06,3.55241e-07
900,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
1000,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
1100,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
1200,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
1300,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
1400,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
1500,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
1600,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
1700,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
1800,0.996309,0.845945,0.128084,0.0188658,0.0028471,0.000461253,8.27742e-05,1.6949e-05,4.49257e-06,1.54764e-06,3.5522e-07
