t,Norm_0,AvgX_0,Norm_1,AvgX_1,Norm_2,AvgX_2,Norm_3,AvgX_3,Norm_4,AvgX_4
47,0.302494,6.60208,0.184198,4.02022,0.403542,8.80752,0.0021428,0.0467678,0.107623,2.34893
48,0.316008,7.04322,0.205066,4.57055,0.375476,8.36865,0.00233698,0.0520869,0.101113,2.25362
49,0.331256,7.5363,0.225051,5.12008,0.346786,7.88962,0.0026603,0.0605238,0.0942473,2.14419
50,0.34822,8.08332,0.243624,5.6553,0.317995,7.38169,0.00310423,0.0720593,0.0870571,2.02088
51,0.366867,8.68585,0.260305,6.16292,0.289556,6.85545,0.00364313,0.0862536,0.0796283,1.88526
52,0.387146,9.34498,0.274675,6.63014,0.261849,6.32054,0.00422948,0.102092,0.0721013,1.74039
53,0.408984,10.0612,0.286377,7.04501,0.235185,5.78569,0.00479529,0.117967,0.0646587,1.59064
54,0.432291,10.8344,0.295122,7.39661,0.209825,5.2588,0.00526222,0.131886,0.0575004,1.44112
55,0.456952,11.6638,0.300692,7.67521,0.185985,4.74729,0.00555887,0.141891,0.050812,1.29698
56,0.482833,12.5475,0.302937,7.87254,0.163856,4.25819,0.0056397,0.146561,0.0447336,1.16251
57,0.509777,13.4833,0.301779,7.9819,0.143608,3.79835,0.00549816,0.145424,0.0393383,1.04048
58,0.537607,14.4679,0.297211,7.99842,0.125386,3.37435,0.00516837,0.139089,0.034628,0.931894
59,0.566124,15.4969,0.289303,7.91928,0.109314,2.99232,0.00471415,0.129043,0.0305451,0.836132
60,0.595113,16.5653,0.278202,7.74393,0.0954769,2.65766,0.00420939,0.117171,0.0269992,0.75154
61,0.62434,17.6673,0.264133,7.47433,0.0839129,2.37453,0.00371732,0.105191,0.0238961,0.676202
62,0.653561,18.796,0.247401,7.1151,0.0745982,2.1454,0.00327626,0.0942234,0.021164,0.608665
63,0.682518,19.944,0.228381,6.67358,0.0674374,1.97061,0.00289665,0.0846438,0.018767,0.548395
64,0.710947,21.103,0.20752,6.15981,0.0622591,1.84804,0.00256853,0.0762416,0.0167055,0.49587
65,0.738582,22.2643,0.185317,5.58632,0.0588201,1.77311,0.00227466,0.0685687,0.0150062,0.452356
66,0.765158,23.4186,0.162314,4.96783,0.0568193,1.73903,0.00200237,0.0612851,0.0137059,0.419485
67,0.790416,24.5565,0.139078,4.32084,0.0559212,1.73735,0.00174888,0.054334,0.0128365,0.398804
68,0.814105,25.6682,0.116178,3.66302,0.0557838,1.75882,0.00151874,0.0478849,0.0124139,0.391402
69,0.835992,26.744,0.0941732,3.01267,0.0560884,1.79431,0.0013164,0.0421125,0.01243,0.397645
70,0.855859,27.7744,0.0735876,2.38807,0.0565645,1.83564,0.0011393,0.0369727,0.0128492,0.416983
71,0.873513,28.7502,0.0548984,1.80689,0.0570069,1.87629,0.000976171,0.0321291,0.0136052,0.447793
72,0.888785,29.6628,0.0385211,1.28563,0.0572817,1.91175,0.000811932,0.0270979,0.0145997,0.487259
73,0.901537,30.5041,0.0247998,0.839117,0.057323,1.93956,0.000636778,0.0215458,0.015704,0.531355
74,0.911658,31.2669,0.0139992,0.480128,0.0571215,1.95908,0.000454143,0.0155756,0.0167668,0.575046
75,0.919077,31.945,0.00630078,0.219001,0.0567098,1.9711,0.000282661,0.00982467,0.0176302,0.612785
76,0.923752,32.5333,0.00179952,0.0633768,0.0561465,1.9774,0.000150163,0.00528855,0.018152,0.639287
77,0.925681,33.0278,0.000503821,0.0179761,0.0555031,1.98032,8.19977e-05,0.00292563,0.0182305,0.650456
78,0.924895,33.4259,0.00233652,0.0844425,0.0548539,1.98243,8.92089e-05,0.00322403,0.0178253,0.644211
79,0.921463,33.7264,0.00713794,0.261255,0.0542696,1.98632,0.000162569,0.00595018,0.0169667,0.620998
80,0.915486,33.9293,0.0146707,0.543718,0.053815,1.99447,0.000275838,0.010223,0.0157522,0.5838
81,0.907097,34.0361,0.0246265,0.924037,0.0535498,2.0093,0.000397122,0.0149008,0.0143296,0.537675
82,0.896456,34.0496,0.0366352,1.39149,0.0535322,2.03329,0.000503104,0.0191091,0.0128735,0.488968
83,0.883748,33.9738,0.0502752,1.93272,0.0538265,2.06924,0.000589273,0.0226533,0.0115612,0.444444
84,0.869177,33.8137,0.0650863,2.53206,0.0545117,2.12067,0.000671031,0.0261052,0.0105541,0.410587
85,0.852962,33.5754,0.0805832,3.17202,0.0556916,2.19221,0.000774886,0.0305021,0.00998856,0.393183
86,0.835331,33.2657,0.0962698,3.83379,0.0575031,2.28997,0.000923726,0.036786,0.00997259,0.397143
87,0.816517,32.8921,0.111654,4.49781,0.0601198,2.42183,0.00112312,0.0452431,0.0105862,0.42645
88,0.796753,32.4624,0.126261,5.14431,0.0637501,2.5974,0.00135515,0.0552135,0.0118804,0.484046
89,0.776268,31.9848,0.139648,5.75397,0.0686284,2.82771,0.0015828,0.0652167,0.0138723,0.571583
90,0.755283,31.4674,0.151415,6.30839,0.0749997,3.12471,0.00176291,0.0734483,0.0165397,0.689095
91,0.734008,30.9184,0.161213,6.7907,0.0831005,3.50041,0.00186182,0.0784249,0.0198175,0.834764
92,0.71264,30.3458,0.168755,7.18599,0.0931372,3.96599,0.00186682,0.0794936,0.0236009,1.00498
93,0.691361,29.7574,0.173826,7.48177,0.105265,4.5308,0.00178873,0.0769902,0.0277595,1.19482
94,0.670337,29.1604,0.17628,7.6684,0.11957,5.20141,0.00165533,0.0720085,0.0321581,1.39891
95,0.649716,28.5618,0.176055,7.73944,0.136049,5.98078,0.00149963,0.0659242,0.0366811,1.61252
96,0.629627,27.9678,0.173167,7.69201,0.154604,6.86746,0.00134904,0.0599238,0.0412535,1.83246
97,0.610181,27.3842,0.167719,7.52702,0.175029,7.85509,0.00122019,0.0547608,0.0458514,2.05775
98,0.591467,26.8158,0.159898,7.24941,0.197012,8.93211,0.00112089,0.0508186,0.0505015,2.28963
99,0.573558,26.2671,0.149972,6.86821,0.220146,10.082,0.00105638,0.0483786,0.0552688,2.53113
100,0.556501,25.7413,0.138284,6.39642,0.243941,11.2836,0.00103508,0.0478781,0.0602382,2.78635
101,0.540327,25.241,0.125247,5.85084,0.267862,12.513,0.00106919,0.0499464,0.0654941,3.05951
102,0.525048,24.7681,0.111326,5.25155,0.291355,13.7441,0.00116895,0.0551426,0.0711017,3.35407
103,0.510657,24.3233,0.0970226,4.62132,0.313896,14.9513,0.00133329,0.0635065,0.0770908,3.67194
104,0.497133,23.907,0.0828621,3.98483,0.335021,16.1111,0.00154242,0.074175,0.0834416,4.0127
105,0.484442,23.5187,0.0693696,3.36777,0.354359,17.2035,0.0017575,0.0853236,0.0900728,4.37287
106,0.47254,23.1575,0.0570534,2.79598,0.371645,18.213,0.00192964,0.0945649,0.0968316,4.74537
107,0.461381,22.822,0.0463876,2.29454,0.386725,19.1292,0.00201575,0.0997081,0.103491,5.11912
108,0.450914,22.5108,0.0377973,1.88694,0.399536,19.9458,0.00199489,0.0995901,0.109757,5.47935
109,0.441095,22.2225,0.0316476,1.59442,0.410085,20.6603,0.00187805,0.094617,0.115294,5.80858
110,0.431881,21.956,0.0282346,1.4354,0.418417,21.2715,0.00170645,0.0867525,0.119761,6.08844
111,0.423243,21.7106,0.0277808,1.42504,0.424578,21.7791,0.00153858,0.078923,0.12286,6.30218
112,0.415163,21.4861,0.0304313,1.57492,0.428593,22.1811,0.00143107,0.0740628,0.124382,6.4372
113,0.407636,21.283,0.0362526,1.89278,0.430441,22.4737,0.00142086,0.0741844,0.12425,6.48719
114,0.400671,21.1026,0.0452322,2.3823,0.430053,22.6501,0.00151592,0.0798408,0.122527,6.45329
115,0.394296,20.9471,0.057278,3.04292,0.427314,22.7012,0.0016973,0.0901697,0.119415,6.34398
116,0.388548,20.8194,0.0722186,3.86966,0.422085,22.6164,0.00193055,0.103444,0.115218,6.17367
117,0.383481,20.7231,0.0898035,4.85294,0.414237,22.3852,0.00218068,0.117843,0.110298,5.96047
118,0.379156,20.6627,0.109704,5.97849,0.40369,21.9997,0.00242388,0.132093,0.105025,5.72349
119,0.375646,20.643,0.131519,7.22738,0.390456,21.4568,0.00265173,0.145721,0.0997271,5.48033
120,0.373027,20.6694,0.154777,8.57615,0.37467,20.7604,0.00286774,0.158901,0.0946593,5.24506
121,0.371376,20.7475,0.178949,9.99726,0.356613,19.9227,0.00307988,0.172062,0.0899817,5.02695
122,0.370772,20.8829,0.203465,11.4597,0.336714,18.9647,0.00329428,0.185543,0.0857535,4.82988
123,0.371289,21.0814,0.227727,12.9301,0.315531,17.9155,0.00351371,0.199505,0.08194,4.65248
124,0.372993,21.3483,0.25113,14.3735,0.293706,16.8103,0.00374112,0.214124,0.0784298,4.48895
125,0.375941,21.6885,0.273091,15.755,0.271921,15.6875,0.00398489,0.229894,0.0750621,4.33043
126,0.38018,22.1064,0.29306,17.0406,0.250837,14.5855,0.00426086,0.247757,0.0716624,4.16697
127,0.385742,22.6056,0.310548,18.199,0.231041,13.5397,0.00458793,0.268867,0.0680814,3.98978
128,0.392644,23.189,0.325136,19.2021,0.21301,12.5801,0.00497727,0.293951,0.0642328,3.79351
129,0.400886,23.8584,0.336492,20.0261,0.197082,11.7292,0.00541961,0.322544,0.06012,3.578
130,0.410453,24.6147,0.344366,20.6515,0.183457,11.0019,0.00587702,0.352443,0.0558459,3.34906
131,0.421311,25.4577,0.348601,21.0642,0.172204,10.4054,0.00628469,0.379752,0.0516004,3.11795
132,0.433406,26.3858,0.34912,21.2545,0.163283,9.94068,0.00656422,0.39963,0.0476271,2.89954
133,0.446667,27.3964,0.345929,21.2176,0.156581,9.60393,0.00664477,0.407558,0.0441777,2.70965
134,0.461004,28.4854,0.339107,20.9534,0.15194,9.38838,0.00648468,0.400689,0.0414643,2.56208
135,0.476307,29.6476,0.3288,20.4661,0.149186,9.28604,0.00608527,0.378776,0.0396217,2.46624
136,0.49245,30.8763,0.31522,19.7641,0.148149,9.28888,0.00549165,0.344324,0.0386892,2.42579
137,0.509287,32.1635,0.298641,18.8604,0.148678,9.38958,0.00478043,0.301903,0.0386132,2.43858
138,0.526658,33.4998,0.279402,17.7723,0.150632,9.58147,0.00403932,0.256934,0.0392684,2.4978
139,0.544386,34.8748,0.257901,16.5218,0.153879,9.85785,0.00334651,0.214386,0.0404875,2.59373
140,0.562287,36.2769,0.234595,15.1353,0.158268,10.2109,0.00275671,0.177854,0.0420926,2.71567
141,0.580167,37.6937,0.209998,13.6437,0.163618,10.6304,0.00229711,0.149244,0.0439199,2.8535
142,0.597827,39.1124,0.184665,12.0816,0.169702,11.1027,0.00197188,0.129009,0.0458347,2.9987
143,0.615071,40.5197,0.159183,10.4866,0.176239,11.6102,0.00177052,0.116638,0.0477371,3.14482
144,0.63171,41.9023,0.13415,8.89836,0.182904,12.1323,0.00167456,0.111076,0.0495616,3.2875
145,0.647566,43.2476,0.110154,7.35664,0.189349,12.6456,0.00166004,0.110866,0.0512713,3.42415
146,0.662474,44.5435,0.0877499,5.90014,0.19523,13.1269,0.00169631,0.114057,0.0528494,3.5535
147,0.676293,45.7791,0.0674343,4.56471,0.200239,13.5545,0.00174482,0.118109,0.0542881,3.67483
148,0.688904,46.9448,0.049629,3.38193,0.20413,13.9103,0.00176206,0.120074,0.0555746,3.78708
149,0.700215,48.0326,0.0346648,2.3779,0.206735,14.1814,0.00170823,0.117179,0.056677,3.88787
150,0.710158,49.0362,0.0227735,1.5725,0.207974,14.3606,0.00155963,0.107692,0.0575343,3.97273
151,0.718698,49.951,0.0140858,0.97899,0.207843,14.4456,0.0013196,0.0917149,0.0580537,4.03486
